Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Retensi,Pihak Ketiga,Pihak Berelasi,Total Piutang Retensi,Tagihan Bruto Kepada Pemberi Kerja,Pihak Ketiga,Pihak Berelasi,Total Tagihan Bruto Kepada Pemberi Kerja,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Aset Real Estat,Others,Total Aset Lancar,Aset Tidak Lancar,Investasi Pada Entitas Asosiasi,Piutang Usaha,Piutang Retensi,Aset Real Estat,Tanah Untuk Dikembangkan,Aset Real Estat,Total Aset Real Estat,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Properti Investasi,Aset Tetap,Hak Pengusahaan Jalan Tol,Goodwill,Aset Tak Berwujud,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Pinjaman Jangka Pendek,Pihak Ketiga,Pihak Berelasi,Total Pinjaman Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Pinjaman Jangka Panjang Lainnya,Utang Sewa Pembiayaan,Utang Obligasi,Utang Sukuk,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Pajak Tangguhan,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Pinjaman Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Pinjaman Jangka Panjang Lainnya,Utang Sewa Pembiayaan,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Obligasi,Utang Sukuk,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Others,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,1051432167000.000000,1039101991000.000000,833583556000.000000,205518435000.000000,1039101991000.000000,352172831000.000000,,,352172831000.000000,706972814000.000000,,,706972814000.000000,85800618000.000000,,,85800618000.000000,1350022508000.000000,,644427378000.000000,5229930307000.000000,,19708510000.000000,,,21589497000.000000,21589497000.000000,,21589497000.000000,,,,,,335877846000.000000,,12561205000.000000,,,151756445000.000000,541493503000.000000,5771423810000.000000,,,3620586589000.000000,603838743000.000000,,,603838743000.000000,,1285670315000.000000,21326789000.000000,1306997104000.000000,32894938000.000000,,,32894938000.000000,106675119000.000000,819278650000.000000,,23574000000.000000,,,,,23574000000.000000,727328035000.000000,3620586589000.000000,683439809000.000000,3718383000.000000,,,,,,,6426000000.000000,,6426000000.000000,,,673295426000.000000,683439809000.000000,4304026398000.000000,,584615400000.000000,565877973000.000000,246892633000.000000,,,,246892633000.000000,82756205000.000000,-12744800000.000000,1467397411000.000000,5771423809000.000000,5846154000.000000
12M 2009,,,1210888160000.000000,872070756000.000000,668376900000.000000,203693856000.000000,872070756000.000000,404839180000.000000,,,404839180000.000000,643983981000.000000,,,643983981000.000000,76428845000.000000,,,76428845000.000000,1044472772000.000000,,709846703000.000000,4962530397000.000000,,121508510000.000000,,,66123559000.000000,66123559000.000000,,66123559000.000000,,,,,,332207429000.000000,,10048964000.000000,,12495893000.000000,195698848000.000000,738083203000.000000,5700613600000.000000,,,3435524548000.000000,156503407000.000000,,,156503407000.000000,,1103504794000.000000,59515116000.000000,1163019910000.000000,26737623000.000000,,,26737623000.000000,207151667000.000000,986086634000.000000,,,,,,,,896025307000.000000,3435524548000.000000,629374266000.000000,,,,,,,,,,,,,629374266000.000000,629374266000.000000,4064898814000.000000,,584636750000.000000,564159304000.000000,386017420000.000000,,,,386017420000.000000,102773556000.000000,-1872240000.000000,1635714790000.000000,5700613604000.000000,5846367500.000000
12M 2010,,,1227704869000.000000,899690382000.000000,626256102000.000000,273434280000.000000,899690382000.000000,452291797000.000000,,,452291797000.000000,934907382000.000000,,,934907382000.000000,70107915000.000000,,,70107915000.000000,853256824000.000000,,684713712000.000000,5122672881000.000000,,150108294000.000000,,,69622513000.000000,69622513000.000000,,69622513000.000000,,,,,,405546470000.000000,,7536723000.000000,,21592680000.000000,509225341000.000000,1163632021000.000000,6286304902000.000000,,,3642026776000.000000,87272013000.000000,,,87272013000.000000,,1013582454000.000000,207453500000.000000,1221035954000.000000,56935127000.000000,,,56935127000.000000,144603233000.000000,1345264219000.000000,,,,,,,,786916230000.000000,3642026776000.000000,727510182000.000000,,,,,,,,432264090000.000000,,432264090000.000000,,,295246092000.000000,727510182000.000000,4369536958000.000000,,600154050000.000000,602311833000.000000,608452745000.000000,,,,608452745000.000000,115144163000.000000,-9294847000.000000,1916767944000.000000,6286304902000.000000,6001540500.000000
12M 2011,,,1244316237000.000000,1323066544000.000000,349622599000.000000,973443945000.000000,1323066544000.000000,472736565000.000000,,,472736565000.000000,1048486790000.000000,,,1048486790000.000000,69504434000.000000,,,69504434000.000000,872775160000.000000,,807965953000.000000,5838851683000.000000,,152036132000.000000,,,383896086000.000000,85407535000.000000,298488551000.000000,383896086000.000000,,,,,,753148442000.000000,,4847052000.000000,,32500599000.000000,1157699577000.000000,2484127888000.000000,8322979571000.000000,,,5127208872000.000000,130848840000.000000,,,130848840000.000000,,2104187183000.000000,15000369000.000000,2119187552000.000000,40168879000.000000,,,40168879000.000000,148102128000.000000,1750681211000.000000,,75511741000.000000,,,,,75511741000.000000,862708521000.000000,5127208872000.000000,976394824000.000000,,,,,,,,251074132000.000000,,251074132000.000000,,,725320692000.000000,976394824000.000000,6103603696000.000000,,602726750000.000000,611571672000.000000,854681104000.000000,,,,854681104000.000000,147815102000.000000,2581247000.000000,2219375875000.000000,8322979571000.000000,6027267500.000000
12M 2012,,,1499142819000.000000,1332044873000.000000,954967541000.000000,377077332000.000000,1332044873000.000000,580217037000.000000,,,580217037000.000000,1481610381000.000000,,,1481610381000.000000,66650385000.000000,,,66650385000.000000,1138080424000.000000,,1088808724000.000000,7186554643000.000000,,173583247000.000000,,,580007873000.000000,70983815000.000000,509024058000.000000,580007873000.000000,,,,,47520500000.000000,1168756506000.000000,,4847052000.000000,,48446592000.000000,1735493005000.000000,3758654775000.000000,10945209418000.000000,,,6527627883000.000000,234689995000.000000,,,234689995000.000000,,2491951306000.000000,37265795000.000000,2529217101000.000000,25572575000.000000,,,25572575000.000000,254834173000.000000,2020866070000.000000,,86768386000.000000,,,,,86768386000.000000,1375679583000.000000,6527627883000.000000,1603575941000.000000,,,,,,,,931448145000.000000,,931448145000.000000,,,672127796000.000000,1603575941000.000000,8131203824000.000000,,610562750000.000000,743627579000.000000,1196354346000.000000,,,,1196354346000.000000,239934737000.000000,23526182000.000000,2814005594000.000000,10945209418000.000000,6105627500.000000
12M 2013,,,1386707038000.000000,1479294484000.000000,1137676813000.000000,341617671000.000000,1479294484000.000000,601391092000.000000,,,601391092000.000000,1962335244000.000000,,,1962335244000.000000,51512772000.000000,,,51512772000.000000,1118390356000.000000,62117671000.000000,1332539994000.000000,7994288651000.000000,,196682571000.000000,23802489000.000000,53539571000.000000,623431800000.000000,138436667000.000000,484995133000.000000,623431800000.000000,,,,,64270034000.000000,1640292113000.000000,,4847052000.000000,,46599378000.000000,1947209041000.000000,4600674049000.000000,12594962700000.000000,,,7298469461000.000000,278244460000.000000,,,278244460000.000000,,3063774077000.000000,24743514000.000000,3088517591000.000000,28041856000.000000,,,28041856000.000000,224841517000.000000,2123554489000.000000,,123593311000.000000,,,,,123593311000.000000,1431676237000.000000,7298469461000.000000,2069534364000.000000,,,,,,466000000000.000000,,804655404000.000000,,804655404000.000000,,,798878960000.000000,2069534364000.000000,9368003825000.000000,,613996800000.000000,713746342000.000000,1202094818000.000000,,,,1202094818000.000000,277996036000.000000,419124879000.000000,3226958875000.000000,12594962700000.000000,6139474000.000000
12M 2014,,,2300892182000.000000,1962832632000.000000,1271025540000.000000,691807092000.000000,1962832632000.000000,567875358000.000000,,,567875358000.000000,2369859861000.000000,,,2369859861000.000000,108655649000.000000,,,108655649000.000000,817307342000.000000,90434701000.000000,1296588817000.000000,9514446542000.000000,,227137428000.000000,40182013000.000000,16461906000.000000,887852065000.000000,142006418000.000000,745845647000.000000,887852065000.000000,,,,,380048382000.000000,2676043079000.000000,,4847052000.000000,,26829800000.000000,2141313415000.000000,6400715140000.000000,15915161682000.000000,,,8476042469000.000000,928515444000.000000,,,928515444000.000000,,3842802356000.000000,60004589000.000000,3902806945000.000000,71112786000.000000,,,71112786000.000000,168940523000.000000,2120553384000.000000,,221620359000.000000,16893554000.000000,,,541000000000.000000,779513913000.000000,504599474000.000000,8476042469000.000000,2460360989000.000000,,,,,,800000000000.000000,,475104845000.000000,48454961000.000000,523559806000.000000,,,1136801183000.000000,2460360989000.000000,10936403458000.000000,,614922500000.000000,715858789000.000000,1518305538000.000000,,,,1518305538000.000000,989167968000.000000,1140503429000.000000,4978758224000.000000,15915161682000.000000,6139474000.000000
12M 2015,,,2560120483000.000000,2781980156000.000000,1910721466000.000000,871258690000.000000,2781980156000.000000,662948555000.000000,,,662948555000.000000,3244397788000.000000,,,3244397788000.000000,391270718000.000000,,,391270718000.000000,1031277931000.000000,70033233000.000000,1818256473000.000000,12560285337000.000000,,300607375000.000000,13402337000.000000,9564163000.000000,1125627485000.000000,255036889000.000000,870590596000.000000,1125627485000.000000,,,,,392040421000.000000,3184400114000.000000,,4847052000.000000,,26283705000.000000,1985348045000.000000,7042120697000.000000,19602406034000.000000,,,10597534431000.000000,1221822355000.000000,,,1221822355000.000000,,4287019827000.000000,36378547000.000000,4323398374000.000000,96482975000.000000,,,96482975000.000000,177085029000.000000,3285172048000.000000,,324706736000.000000,22300954000.000000,,,249000000000.000000,596007690000.000000,897565960000.000000,10597534431000.000000,3566770238000.000000,11170726000.000000,,,,,975000000000.000000,,671067024000.000000,46365276000.000000,717432300000.000000,,,1863167212000.000000,3566770238000.000000,14164304669000.000000,,614922500000.000000,715858789000.000000,2013224280000.000000,,,,2013224280000.000000,1062936696000.000000,1031159100000.000000,5438101365000.000000,19602406034000.000000,6149225000.000000
12M 2016,,,9269999584000.000000,2730285039000.000000,1553025502000.000000,1177259537000.000000,2730285039000.000000,832260732000.000000,613585364000.000000,218675368000.000000,832260732000.000000,3970858197000.000000,2207768831000.000000,1763089366000.000000,3970858197000.000000,408792483000.000000,330861256000.000000,77931227000.000000,408792483000.000000,1247710293000.000000,488416640000.000000,2604174960000.000000,21552497928000.000000,,439202330000.000000,1205686625000.000000,16807664000.000000,1474507121000.000000,258905609000.000000,1215601512000.000000,1474507121000.000000,,,,,462488276000.000000,3465843202000.000000,,66370132000.000000,,18229018000.000000,2394907193000.000000,9544041561000.000000,31096539489000.000000,,,14606162083000.000000,,2752415707000.000000,1959410812000.000000,4711826519000.000000,,4639771929000.000000,40471632000.000000,4680243561000.000000,236196353000.000000,,,236196353000.000000,188857241000.000000,3249414450000.000000,,426401179000.000000,18772830000.000000,,,250000000000.000000,695174009000.000000,844449950000.000000,14606162083000.000000,3991662103000.000000,31490610000.000000,,,,,313807933000.000000,,,52064738000.000000,52064738000.000000,,,3594298822000.000000,3991662103000.000000,18597824186000.000000,,896995137000.000000,6541965120000.000000,2627883218000.000000,,,,2627883218000.000000,1146833858000.000000,1285037971000.000000,12498715304000.000000,31096539490000.000000,8969951372.000000
12M 2017,,,11253778215000.000000,4930153132000.000000,1929510016000.000000,3000643116000.000000,4930153132000.000000,1328166503000.000000,979998517000.000000,348167986000.000000,1328166503000.000000,9260959094000.000000,3434294927000.000000,5826664167000.000000,9260959094000.000000,304966951000.000000,170978921000.000000,133988030000.000000,304966951000.000000,1663036012000.000000,2176504289000.000000,3992544069000.000000,34910108265000.000000,,396918845000.000000,4657606000.000000,,512182215000.000000,,,512182215000.000000,1216737200000.000000,1211412309000.000000,5324891000.000000,1216737200000.000000,538548500000.000000,3932108696000.000000,,4847052000.000000,139077296000.000000,25699803000.000000,4002888824000.000000,10773666037000.000000,45683774302000.000000,,,25975617297000.000000,,3449443672000.000000,2974410303000.000000,6423853975000.000000,,8785803858000.000000,139182504000.000000,8924986362000.000000,,16879560000.000000,248574924000.000000,265454484000.000000,441631879000.000000,7805962536000.000000,,266424418000.000000,41259887000.000000,,,175000000000.000000,482684305000.000000,1631043756000.000000,25975617297000.000000,5076332392000.000000,45890326000.000000,,,107894953000.000000,107894953000.000000,1011208355000.000000,,,96849868000.000000,96849868000.000000,,,3814488890000.000000,5076332392000.000000,31051949689000.000000,,896995137000.000000,6555720677000.000000,4003197889000.000000,,,,4003197889000.000000,1998308265000.000000,1177602645000.000000,14631824613000.000000,45683774302000.000000,8969951372.000000
