Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kepada Pemasok,Pembayaran Kepada Direksi Dan Karyawan,Pembayaran Beban Usaha Dan Lainnya,Kenaikan Beban Lain-Lain,Penerimaan Bunga Jasa Giro,Pendapatan Penerimaan Pengembalian Pajak,Pembayaran Bunga Pinjaman,Penerimaan Lainnya,Penerimaan Pajak,Pembayaran Pajak Final,Pembayaran Pajak-Pajak,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penurunan (Kenaikan) Jaminan Usaha,Kenaikan Uang Muka Pembelian Tanah,Perolehan Aset Tetap,Penjualan Aset Tetap,Penambahan Properti Investasi,Laba Divestasi Anak Perusahaan,Penempatan Bank Dibatasi Penggunaannya,Kenaikan Deposito Yang Dibatasi Penggunaannya,Penambahan (Pengurangan) Dana Yang Dibatasi Penggunaannya,Penambahan Aset Keuangan Lainnya,Penurunan (Kenaikan) Kerjasama Operasi,Perolehan Tanah Dan Bangunan Untuk Pengembangan,Perolehan Tanah Dan Bangunan Sedang Dikembangkan,Penambahan (Pengurangan) Piutang Talangan Tanah,Kenaikan Jaminan Usaha,Pengembalian Investasi Ventura Bersama,Kenaikan Investasi Ventura Bersama,Penjualan Saham Pada Entitas Anak,Arus Kas Keluar Bersih Pada Saat Akuisis Entiatas Anak,Penambahan Aset Tidak Berwujud,Perolehan Aset Real Estat,Penempatan Saham Pada Entitas Asosiasi,Pengembalian Pinjaman Dari Entitas Asosiasi,Pengembalian Setoran Modal Entitas Asosiasi,Penjualan Saham Pada Entitas Asosiasi,Pinjaman Yang Diberikan Kepada Entitas Asosiasi,Kenaikan Pinjaman Jangka Panjang Dari Entitas Asosiasi,Uang Muka Investasi,Penambahan Tanah Untuk Dikembangkan,Penambahan (Pelepasan) Aset Lain-Lain,Penerimaan Bunga,Penjualan Saham Pada Investasi Lainnya,Penurunan (Kenaikan) Investasi Lainnya,Adjustment,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Pinjaman Bank,Penerimaan Pinjaman Bank,Pembayaran Pinjaman Bank,Penerimaan Pinjaman Jangka Pendek,Pembayaran Pinjaman Jangka Pendek,Penerimaan Pinjaman Jangka Menengah,Pembayaran Pinjaman Jangka Menengah,Penerimaan Pinjaman Jangka Panjang,Pembayaran Pinjaman Jangka Panjang,Pembelian Kembali Obligasi,Pembelian Kembali Saham Yang Beredar,Pendanaan Lainnya,Setoran Modal,Setoran Modal Pihak Non Pengendali,"Pembayaran Dividen, Program Kemitraan Dan Bina Lingkungan",Pembayaran Dividen,Pembayaran Dan Bina Lingkungan Dan Program Kemitraan,"Total Pembayaran Dividen, Program Kemitraan Dan Bina Lingkungan",Pembayaran Dividen Hak Minoritas,Perubahan Ekuitas Pada Perusahaan Anak,Penerimaan Modal Disetor Pada Entitas Anak,Penerimaan Dari Penerbitan Saham Entitas Anak,Penambahan Saham Entitas Anak,Pembayaran Dividen Entitas Anak,Selisih Kurs Penjabaran Laporan Keuangan,Pembayaran Utang Sewa Pambiayaan,Penerimaan Obligasi Komodo Bonds,Penerimaan Sukuk,Pembayaran Biaya Emisi Sukuk,Pembayaran Obligasi,Pembayaran Biaya Emisi Obligasi,Pembayaran Biaya Emisi Penyertaan Modal Negara,Penerimaan Surat Berharga Perpetual,Pembayaran Bagi Hasil Perpetual,Penjualan Modal Saham Diperoleh Kembali,Pembayaran Bunga Perpetual,Pembayaran Bunga Pinjaman,Hak Kepemilikan Non Pengendali,Bagian Laba Hak Minoritas Yang Dikonsolidasi,Pembayaran Sukuk Mudharabah,Kenaikan (Penurunan) Dari Aktivitas Pendanaan Lainnya,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Dari Akuisisi Entitas Anak,Kas Dan Bank Pengaruh Divestasi Entitas Anak Tidak Langsung,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2008,-454503975000.000000,6382186684000.000000,-6540233238000.000000,-105161538000.000000,-64520070000.000000,,53743541000.000000,,-44024039000.000000,,,,-136495315000.000000,-454503975000.000000,-119869929000.000000,737187000.000000,,-123685912000.000000,,,,,,,,21751811000.000000,,,,,,,,,,,-18000270000.000000,,,,,,,,,,,-672745000.000000,,-119869929000.000000,260985368000.000000,457844395000.000000,,,,,,,,,-133443664000.000000,-24206605000.000000,,,,,-34907865000.000000,-3490786000.000000,-38398651000.000000,-5080895000.000000,,,,,,,,,,,,,,,,,,,,4270788000.000000,,,260985368000.000000,-313388536000.000000,,,1364820703000.000000,,1051432167000.000000
12M 2009,880209448000.000000,6789386493000.000000,-5628651223000.000000,-119789120000.000000,-59401186000.000000,,30417205000.000000,,-51764196000.000000,,,,-79988525000.000000,880209448000.000000,-209176553000.000000,-1543399000.000000,,-39964347000.000000,,,,,,,,-25413026000.000000,,,,,,,,,,,-101800000000.000000,,,,,,,,,,,-40455781000.000000,,-209176553000.000000,-511576902000.000000,-477335336000.000000,,,,,,,,,,-10564051000.000000,-204582000.000000,21350000.000000,,,-45523581000.000000,-4552358000.000000,-50075939000.000000,-6516623000.000000,8813220000.000000,,,,,6983190000.000000,,,,,,,,,,,,,,17301869000.000000,,,-511576902000.000000,159455993000.000000,,,1051432167000.000000,,1210888160000.000000
12M 2010,209923751000.000000,5320098252000.000000,-4777313838000.000000,-126923036000.000000,-67350983000.000000,,28913365000.000000,,-9611427000.000000,,,,-157888582000.000000,209923751000.000000,-417105956000.000000,-54523442000.000000,,-145325793000.000000,,,36753928000.000000,,,,,-251252416000.000000,,,,,,,,,,,2400216000.000000,,,,,,,,,,,-5158449000.000000,,-417105956000.000000,223998912000.000000,246764401000.000000,,,,,,,,,,,,53669829000.000000,,,-70758655000.000000,-5676663000.000000,-76435318000.000000,,,,,,,,,,,,,,,,,,,,,,,,223998912000.000000,16816707000.000000,,,1210888160000.000000,,1227704867000.000000
12M 2011,838418778000.000000,7613870478000.000000,-6416412565000.000000,-146420156000.000000,-60045908000.000000,,34324442000.000000,,-15696279000.000000,,,,-171201234000.000000,838418778000.000000,-815528515000.000000,48146585000.000000,,-292592498000.000000,,,,,,,,-204986690000.000000,,,,,,,,,,,-4236132000.000000,,,,,,,,-351214854000.000000,,,-10644926000.000000,,-815528515000.000000,-6278896000.000000,93935762000.000000,,,,,,,,,,,,19213439000.000000,,-119428097000.000000,,,-119428097000.000000,,,,,,,,,,,,,,,,,,,,,,,,-6278896000.000000,16611367000.000000,,,1227704869000.000000,,1244316236000.000000
12M 2012,451505862000.000000,9584461990000.000000,-8766229773000.000000,-162976368000.000000,-91013676000.000000,,36485663000.000000,,-36228187000.000000,,,,-112993787000.000000,451505862000.000000,-1067742182000.000000,-6687252000.000000,,-496551776000.000000,,-43820500000.000000,,,,,,,,,,,,-85033987000.000000,,,,,-26685722000.000000,,,,,,,,-410405283000.000000,,,1442338000.000000,,-1067742182000.000000,871062899000.000000,795471813000.000000,,,,,,,,,,,,157560557000.000000,46915000000.000000,-128884471000.000000,,,-128884471000.000000,,,,,,,,,,,,,,,,,,,,,,,,871062899000.000000,254826579000.000000,,,1244316237000.000000,,1499142816000.000000
12M 2013,289112086000.000000,11253367322000.000000,-10381925585000.000000,-233391240000.000000,-124529655000.000000,,24107033000.000000,,-64027739000.000000,,,,-184488050000.000000,289112086000.000000,-619866710000.000000,8480429000.000000,,-604595774000.000000,,-16749534000.000000,,,,,,,,,,,,-67361122000.000000,,,,,-25890770000.000000,,,,,,,,109491200000.000000,,,-23241139000.000000,,-619866710000.000000,185308988000.000000,417020649000.000000,,,,,,,,,,,,-49151280000.000000,26570479000.000000,-150884667000.000000,,,-150884667000.000000,,-58246193000.000000,,,,,,,,,,,,,,,,,,,,,,185308988000.000000,-145445636000.000000,,,1532152673000.000000,,1386707037000.000000
12M 2014,-177690760000.000000,10916213443000.000000,-10209152410000.000000,-279412865000.000000,-186839593000.000000,,73500762000.000000,,-122326461000.000000,,,,-369673636000.000000,-177690760000.000000,-1268223615000.000000,-10057855000.000000,,-1035750966000.000000,,-315778348000.000000,,,,,,,,,,,,-11522293000.000000,,,,,-37082597000.000000,,,,,,,,140453552000.000000,,,1514892000.000000,,-1268223615000.000000,2360099519000.000000,1359095988000.000000,,,,,,,,,,,,3038147000.000000,,,-170982002000.000000,,-170982002000.000000,,721378550000.000000,,,,,,,,,,,,,,,,,,447568836000.000000,,,,2360099519000.000000,914185144000.000000,,,1386707038000.000000,,2300892182000.000000
12M 2015,238405379000.000000,12700433172000.000000,-11155714191000.000000,-286830841000.000000,-168456992000.000000,,59686089000.000000,,-431409359000.000000,,,,-479302499000.000000,238405379000.000000,-325091864000.000000,-3882764000.000000,,-700577720000.000000,,-11992039000.000000,,,,,,,,,,,,360631587000.000000,,,,,-78984482000.000000,,,,,,,,140040962000.000000,,,-30327408000.000000,,-325091864000.000000,345914785000.000000,,3719074855000.000000,,,,,,,,,,,,,,-128720449000.000000,-3240401676000.000000,-3369122125000.000000,,-4037945000.000000,,,,,,,,,,,,,,,,,,,,,,345914785000.000000,259228300000.000000,,,2300892182000.000000,,2560120482000.000000
12M 2016,-1119609477000.000000,14229682444000.000000,-13809133009000.000000,-347281835000.000000,-148888063000.000000,,50971372000.000000,,-437880109000.000000,,,,-657080277000.000000,-1119609477000.000000,-811127506000.000000,-191459737000.000000,,-285059906000.000000,,-67940343000.000000,,,,,,,,,,,,-136940192000.000000,,,,,-228563529000.000000,,,,,,,,120426781000.000000,,,-21590580000.000000,,-811127506000.000000,8637588429000.000000,,9203347539000.000000,-6047567031000.000000,,,,,,-501356795000.000000,,,,6108178968000.000000,,,-125014252000.000000,,-125014252000.000000,,,,,,,,,,,,,,,,,,,,,,,,8637588429000.000000,6706851446000.000000,,,2560120483000.000000,3027655000.000000,9269999584000.000000
12M 2017,1885252166000.000000,19893353206000.000000,-15712412482000.000000,-1129902318000.000000,,,161892298000.000000,29703766000.000000,-677973460000.000000,,,-610203006000.000000,-69205838000.000000,1885252166000.000000,-2637548255000.000000,,-123181277000.000000,-996772993000.000000,,-15455962000.000000,,,-20100000000.000000,,-27207663000.000000,,,,,-48159741000.000000,,-125340804000.000000,,-74927036000.000000,-13074442000.000000,,-241265600000.000000,,,,,-926412309000.000000,,,-25650428000.000000,,,,,-2637548255000.000000,2727823454000.000000,,,,11566717053000.000000,-9854689597000.000000,750000000000.000000,-800000000000.000000,1100715239000.000000,-560725578000.000000,,,,,,,-344653064000.000000,,-344653064000.000000,,,,920749214000.000000,,,,-50289813000.000000,,,,,,,,,,,,,,,,2727823454000.000000,1975527365000.000000,,,9269999584000.000000,8251266000.000000,11253778215000.000000
