Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Pajak Tangguhan,Aset Tetap,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Beban Akrual,Utang Pajak,Utang Pihak Berelasi,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Pembiayaan Konsumen,Utang Sewa Pembiayaan,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Pihak Berelasi,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Pembiayaan Konsumen,Utang Sewa Pembiayaan,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Adjustment,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2019,,,3109172914.000000,48404821212.000000,48232337100.000000,172484112.000000,48404821212.000000,,,,,11407704679.000000,30708800524.000000,93630499329.000000,,12741612368.000000,438780456967.000000,,451522069335.000000,545152568664.000000,,,246511719836.000000,,16645378241.000000,,16645378241.000000,,,4161634542.000000,4161634542.000000,2104641883.000000,5262194285.000000,10553539696.000000,,121243751904.000000,69033227968.000000,,190276979872.000000,17507351317.000000,246511719836.000000,148922488148.000000,,,71027286206.000000,68042500962.000000,,139069787168.000000,9852700980.000000,148922488148.000000,395434207984.000000,,113520000000.000000,,48512920248.000000,,48512920248.000000,48512920248.000000,,-12314559568.000000,149718360680.000000,,545152568664.000000,113520.000000
12M 2020,,,4803810619.000000,51834708223.000000,51793677841.000000,41030382.000000,51834708223.000000,1473100000.000000,,1473100000.000000,1473100000.000000,16221718970.000000,58535118648.000000,132868456460.000000,,15873385585.000000,219951349313.000000,236840798944.000000,472665533842.000000,605533990302.000000,,,221545838833.000000,,19382999519.000000,,19382999519.000000,,,4820038955.000000,4820038955.000000,1405142614.000000,4880804966.000000,10400860212.000000,,71715094341.000000,,86567056882.000000,158282151223.000000,22373841344.000000,221545838833.000000,104494776956.000000,,,32970323159.000000,,58715401797.000000,91685724956.000000,12809052000.000000,104494776956.000000,326040615789.000000,,151020000000.000000,55024051952.000000,86831418604.000000,100000000.000000,86731418604.000000,86831418604.000000,,-13382096043.000000,279493374513.000000,,605533990302.000000,1510200000.000000
12M 2021,,,15613208179.000000,60140319832.000000,59936079642.000000,204240190.000000,60140319832.000000,2833393.000000,2833393.000000,,2833393.000000,23029608252.000000,73186000289.000000,171971969945.000000,,14479803305.000000,195806419298.000000,264099215551.000000,474385438154.000000,646357408099.000000,,,192617916688.000000,,23559398445.000000,1986575155.000000,25545973600.000000,,,1116002714.000000,1116002714.000000,1131156096.000000,3260486056.000000,9334133862.000000,,39186908387.000000,,77394257196.000000,116581165583.000000,35648998777.000000,192617916688.000000,132753289997.000000,,,31827334061.000000,,86561417936.000000,118388751997.000000,14364538000.000000,132753289997.000000,325371206685.000000,,151020000000.000000,55024051952.000000,128291867705.000000,1100000000.000000,127191867705.000000,128291867705.000000,,-13349718243.000000,320986201414.000000,,646357408099.000000,1510200000.000000
12M 2022,,,28105360508.000000,81730732406.000000,81610608406.000000,120124000.000000,81730732406.000000,63461600.000000,3461600.000000,60000000.000000,63461600.000000,37671231824.000000,147407844734.000000,294978631072.000000,,16272009102.000000,342522153441.000000,219670340755.000000,578464503298.000000,873443134370.000000,,,301893099648.000000,,36082522879.000000,6410096911.000000,42492619790.000000,,,1830238955.000000,1830238955.000000,2557719314.000000,5552240056.000000,6459500408.000000,,65916335358.000000,,91823335139.000000,157739670497.000000,85261110628.000000,301893099648.000000,221422138792.000000,,,100160399354.000000,,105099898438.000000,205260297792.000000,16161841000.000000,221422138792.000000,523315238440.000000,,151020000000.000000,55024051952.000000,158696360858.000000,3200000000.000000,155496360858.000000,158696360858.000000,94940343.000000,-14707457223.000000,350127895930.000000,,873443134370.000000,1510200000.000000
12M 2023,,,77170039119.000000,92500949440.000000,92500949440.000000,,92500949440.000000,27780212.000000,,27780212.000000,27780212.000000,25737470178.000000,72296722241.000000,267732961190.000000,,17181715470.000000,530325250866.000000,291029124195.000000,838536090531.000000,1106269051721.000000,,,479315082139.000000,,58984066036.000000,5582766975.000000,64566833011.000000,,76233787530.000000,,76233787530.000000,928509617.000000,2422649305.000000,,,114552192455.000000,,108541242624.000000,223093435079.000000,112069867597.000000,479315082139.000000,266359554708.000000,,,135251535102.000000,,114345517606.000000,249597052708.000000,16762502000.000000,266359554708.000000,745674636847.000000,,151020000000.000000,55024051952.000000,169148037823.000000,6400000000.000000,162748037823.000000,169148037823.000000,98119764.000000,-14695794663.000000,360594414876.000000,,1106269051723.000000,1510200000.000000
12M 2024,,,13565000000.000000,165098000000.000000,165098000000.000000,,165098000000.000000,35000000.000000,35000000.000000,,35000000.000000,22241000000.000000,12282000000.000000,213221000000.000000,,20652000000.000000,454752000000.000000,182872000000.000000,658276000000.000000,871497000000.000000,,,271027000000.000000,,44366000000.000000,,44366000000.000000,,181000000.000000,,181000000.000000,10769000000.000000,6268000000.000000,,,128187000000.000000,,67174000000.000000,195361000000.000000,14082000000.000000,271027000000.000000,215052000000.000000,,,112800000000.000000,,51181000000.000000,163981000000.000000,51071000000.000000,215052000000.000000,486079000000.000000,,151020000000.000000,55024000000.000000,173369000000.000000,21385000000.000000,151984000000.000000,173369000000.000000,3000000.000000,6002000000.000000,385418000000.000000,,871497000000.000000,1510200000.000000
