Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2019,193 B,(1 B),192 B,1690856.80
12M 2020,95 B,(0 B),94 B,62.53
12M 2021,151 B,(12 B),139 B,92.32
12M 2022,81 B,(33 B),48 B,31.82
12M 2023,319 B,(73 B),246 B,162.80
12M 2024,179 B,(13 B),167 B,110.33
