Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Laba (Rugi) Selisih Kurs,Laba (Rugi) Atas Penjualan Aset Tetap,Beban Keuangan,Adjustment,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2019,401336284977.000000,-214854741803.000000,186481543174.000000,-91106434922.000000,95375108252.000000,-44126305098.000000,184860257.000000,641252409.000000,-640051354.000000,-44581118356.000000,,268751946.000000,-44126305098.000000,51248803154.000000,-20684368065.000000,-20684368065.000000,,-20684368065.000000,30564435089.000000,-239287500.000000,30325147589.000000,30564435089.000000,30564435089.000000,,30564435089.000000,30325147589.000000,30325147589.000000,,30325147589.000000
12M 2020,402461051428.000000,-225206184532.000000,177254866896.000000,-95316878701.000000,81937988195.000000,-37413006291.000000,30213469.000000,-302956052.000000,1940655108.000000,-39633899917.000000,,552981101.000000,-37413006291.000000,44524981904.000000,-6206483548.000000,-6206483548.000000,,-6206483548.000000,38318498356.000000,-1067536475.000000,37250961881.000000,38318498356.000000,38318498356.000000,,38318498356.000000,37250961881.000000,37250961881.000000,,37250961881.000000
12M 2021,402584918991.000000,-233335977893.000000,169248941098.000000,-95055576354.000000,74193364744.000000,-17244557643.000000,65038296.000000,,,-27027816224.000000,,9718220285.000000,-17244557643.000000,56948807101.000000,-10957758000.000000,-10957758000.000000,,-10957758000.000000,45991049101.000000,32377800.000000,46023426901.000000,45991049101.000000,45991049101.000000,,45991049101.000000,46023426901.000000,46023426901.000000,,46023426901.000000
12M 2022,483001336110.000000,-289715111310.000000,193286224800.000000,-127910147046.000000,65376077754.000000,-18604227596.000000,450455508.000000,,,-33499455463.000000,,14444772359.000000,-18604227596.000000,46771850158.000000,-10291616662.000000,-11700870439.000000,1409253777.000000,-10291616662.000000,36480233496.000000,-1357738980.000000,35122494516.000000,36480233496.000000,36445293153.000000,34940343.000000,36480233496.000000,35122494516.000000,35087554173.000000,34940343.000000,35122494516.000000
12M 2023,606369668837.000000,-384595718720.000000,221773950117.000000,-156216214049.000000,65557736068.000000,-41384426975.000000,,,,-47886116165.000000,,6501689190.000000,-41384426975.000000,24173309093.000000,-9187852707.000000,-10100848515.000000,912995808.000000,-9187852707.000000,14985456386.000000,11662560.000000,14997118946.000000,14985456386.000000,14982276965.000000,3179421.000000,14985456386.000000,14997118946.000000,14993939525.000000,3179421.000000,14997118946.000000
12M 2024,595273000000.000000,-454136000000.000000,141137000000.000000,-65997000000.000000,75140000000.000000,-28255000000.000000,800000000.000000,,,-44924000000.000000,,15869000000.000000,-28255000000.000000,46885000000.000000,-19176000000.000000,-19176000000.000000,,-19176000000.000000,27709000000.000000,2735000000.000000,30444000000.000000,27709000000.000000,27804000000.000000,-95000000.000000,27709000000.000000,30444000000.000000,30539000000.000000,-95000000.000000,30444000000.000000
