Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok,Pembayaran Untuk Operasi Dan Lain-Lain,Pembayaran Kepada Karyawan,Penerimaan Kas Dari Klaim Asuransi,Penerimaan Kas Dari Lain-Lain,Penerimaan Bunga,Pembayaran Bunga,Pembayaran Pajak Penghasilan Badan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Hasil Penjualan Aset Tetap,Hasil Penjualan Aset Hak Guna,Perolehan Aset Hak Guna,Pengembalian Uang Muka Perolehan Aset Tetap,Perolehan Aset Tetap,Uang Muka Perolehan Aset Tetap,Perolehan Aset Tetap Lainnya,Penempatan Deposito Berjangka,Penerimaan Atas Pinjaman Kepada Pihak Berelasi,Perolehan Investasi Lain-Lain,Perolehan Aset Lancar Lainnya,Penerimaan Dari Penjualan Aset Lancar Lainnya,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari Utang Bank Jangka Pendek,Penerimaan Utang Dari Pihak Ketiga,Penerimaan Utang Dari Pihak Berelasi,Penerimaan Utang Sewa Pembiayaan,Penerimaan Dari Pinjaman Pemegang Saham,Pembayaran Dividen Kepada Pemegang Saham,Pembayaran Utang Oleh Pemegang Saham,Penambahan Setoran Modal,Pembayaran Utang Pihak Ketiga,Pembayaran Utang Pihak Berelasi,Pembayaran Utang Sewa Pembiayaan,Pembayaran Utang Pembiayaan Konsumen,Pembayaran Utang Bank Jangka Pendek,Pembayaran Porsi Pokok Liabilitas Sewa,Penerimaan Dari Penawaran Umum Perdana,Pembayaran Biaya Penerbitan Saham,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2019,192793537672.000000,384286859220.000000,-74123061274.000000,-23723613467.000000,-49505338852.000000,1584734000.000000,615844084.000000,184860257.000000,-44682056654.000000,-1844689642.000000,192793537672.000000,18473459190.000000,19320933159.000000,,,,-847473969.000000,,,,,,,,18473459190.000000,-210605685085.000000,,15076872404.000000,,,,,,,-9017069374.000000,-10908912250.000000,-68051975059.000000,-136084296206.000000,-1620304600.000000,,,,-210605685085.000000,661311777.000000,2547043595.000000,-99182458.000000,3109172914.000000
12M 2020,94751936264.000000,393469609904.000000,-174208117980.000000,-28111658690.000000,-51532725861.000000,2569440000.000000,712441821.000000,30213469.000000,-38363741003.000000,-9813525396.000000,94751936264.000000,30915768344.000000,31237000644.000000,,,,-321232300.000000,,,,,,,,30915768344.000000,-123939977707.000000,,4595014177.000000,,,,,,,,-242848204.000000,,-134142440086.000000,,-86673755546.000000,93750000000.000000,-1225948048.000000,-123939977707.000000,1727726901.000000,3109172914.000000,-33089196.000000,4803810619.000000
12M 2021,151347743281.000000,393445137643.000000,-113119177780.000000,-38298538774.000000,-55936720127.000000,947188000.000000,845893558.000000,62204904.000000,-27219302742.000000,-9378941401.000000,151347743281.000000,25095399235.000000,31760364591.000000,3509090924.000000,,1945739483.000000,-11920057063.000000,-199738700.000000,,,,,,,25095399235.000000,-165611768494.000000,,53674792598.000000,,,,-4530600000.000000,,,-42262026790.000000,-1143999200.000000,,-74464009487.000000,,-96885925615.000000,,,-165611768494.000000,10831374022.000000,4803810619.000000,-21976462.000000,15613208179.000000
12M 2022,81056462546.000000,440306955163.000000,-188384295006.000000,-66597699480.000000,-60964903161.000000,,1021957614.000000,446363736.000000,-33287835927.000000,-11484080393.000000,81056462546.000000,66174100180.000000,25166077954.000000,18725777940.000000,,55278372845.000000,-32996128559.000000,,,,,,,,66174100180.000000,-134739578953.000000,,131770757537.000000,,,,-6040800000.000000,,60000000.000000,-81464548160.000000,-2675940631.000000,,-103409024789.000000,,-72980022910.000000,,,-134739578953.000000,12490983773.000000,15613208179.000000,1168556.000000,28105360508.000000
12M 2023,319080247098.000000,583118827520.000000,-47844446792.000000,-66498869180.000000,-87344564165.000000,954845997.000000,,,-47886116164.000000,-15419430118.000000,319080247098.000000,-48097350460.000000,25126809479.000000,,,,-73224159939.000000,,,,,,,,-48097350460.000000,-221916040545.000000,,223358847842.000000,,,,-4530600000.000000,,30000000.000000,-202011731346.000000,-6459500408.000000,,-111938514454.000000,,-120364542179.000000,,,-221916040545.000000,49066856093.000000,28105360508.000000,-2177482.000000,77170039119.000000
12M 2024,179332000000.000000,569797000000.000000,-235967000000.000000,,-95019000000.000000,,,800000000.000000,-43902000000.000000,-16377000000.000000,179332000000.000000,57561000000.000000,70367000000.000000,,-100000000.000000,,-12706000000.000000,,,,,,,,57561000000.000000,-300497000000.000000,,,,,50000000000.000000,,-6667000000.000000,,-103676000000.000000,,,-132074000000.000000,,-108080000000.000000,,,-300497000000.000000,-63604000000.000000,77170000000.000000,-1000000.000000,13565000000.000000
