Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok Dan Karyawan,Pembayaran Pajak,Pendapatan Keuangan,Pembayaran Beban Bunga,Pembayaran Kas Atas Operasi Lainnya,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Uang Muka Untuk Perolehan Aset Tetap,Hasil Penjualan Aset Tetap,Penempatan Deposito,Pembayaran Untuk Perolehan Entitas Anak,Penerimaan Setoran Modal Dari Kepentingan Non-Pengendali,Perolehan Aset Tetap,Perolehan Penjualan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pembayaran Beban Bunga,Pencairan Utang Bank,Penerimaan (Pembayaran) Utang Bank Jangka Pendek - Neto,Pembayaran Utang Bank,Penerimaan Utang Bank,Pembayaran Utang Bank Jangka Panjang,Pembayaran Utang Pihak Berelasi,Pembayaran Utang Sewa Pembiayaan,Tambahan Modal Disetor,Penerimaan (Pembayaran) Utang Pembiayaan Konsumen,Pembayaran Dividen,Akuisisi Entitas Anak,Pembayaran Biaya Emisi Saham,Penerimaan Kas Lainnya Dari Aktivitas Pendanaan,Penerimaan Dari Penjualan (Pembelian) Saham Treasuri,Penerimaan (Pengeluaran) Dari Penerbitan Saham,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2016,-35520312919.000000,194884967332.000000,-220300116164.000000,-5772333323.000000,,-2879065836.000000,-1453764928.000000,-35520312919.000000,-21123179378.000000,,,,,,-21123179378.000000,,-21123179378.000000,46692492280.000000,,,,-136017952520.000000,183026770375.000000,,-50000000.000000,-366325575.000000,100000000.000000,,,,,,,,46692492280.000000,-9951000017.000000,14833905897.000000,,4882905880.000000
12M 2017,46139446815.000000,225549242550.000000,-162348214525.000000,-12902849685.000000,,-2594460893.000000,-1564270632.000000,46139446815.000000,-23467696423.000000,,20000000.000000,,,,-23487696423.000000,,-23467696423.000000,-9612653004.000000,,,,-46220657894.000000,,,,-141400700.000000,36749405590.000000,,,,,,,,-9612653004.000000,13059097388.000000,4882905880.000000,,17942003268.000000
12M 2018,50917211634.000000,318678398268.000000,-241803934421.000000,-34290737594.000000,,9714605493.000000,-1381120112.000000,50917211634.000000,-70240717723.000000,,,,,,-70240717723.000000,,-70240717723.000000,6808464534.000000,,,,,18303445464.000000,,,-94980000.000000,,,-11400000930.000000,,,,,,6808464534.000000,-12515041555.000000,17942003268.000000,,5426961713.000000
12M 2019,44434687873.000000,357066519363.000000,-262700209335.000000,-41153608946.000000,,-5133927033.000000,-3644086176.000000,44434687873.000000,-64755252530.000000,,,,,,-64755252530.000000,,-64755252530.000000,42868913414.000000,,,,,69468915584.000000,,,,,,-26600002170.000000,,,,,,42868913414.000000,22548348757.000000,5426961713.000000,,27975310470.000000
12M 2020,218921380562.000000,593970129877.000000,-349872359474.000000,-25790718732.000000,614328891.000000,,,218921380562.000000,-152145181283.000000,9580306466.000000,416385328.000000,,,,-162141873077.000000,,-152145181283.000000,-55087550089.000000,-4331714951.000000,,49843713382.000000,-1854260069.000000,,,,,,-894046541.000000,-26600002170.000000,-71251239740.000000,,,,,-55087550089.000000,11688649190.000000,27975310470.000000,,39663959660.000000
12M 2021,331696205583.000000,1073915096140.000000,-642678334271.000000,-99781682814.000000,241126528.000000,,,331696205583.000000,-175528209710.000000,,3761363636.000000,,,,-179289573346.000000,,-175528209710.000000,-91615487318.000000,-6300752294.000000,,-49545572750.000000,-70897471982.000000,92637943108.000000,,,,,-509628750.000000,-57000004650.000000,,,,,,-91615487318.000000,64552508555.000000,39663959660.000000,,104216468215.000000
12M 2022,205457685653.000000,891533497652.000000,-566885135299.000000,-119694030917.000000,503354217.000000,,,205457685653.000000,-43813375981.000000,,,,,,-43813375981.000000,,-43813375981.000000,-214598131958.000000,-3666241353.000000,,-10015875572.000000,-29882577735.000000,19600021563.000000,,,,,-633443361.000000,-190000015500.000000,,,,,,-214598131958.000000,-52953822286.000000,104216468215.000000,,51262645929.000000
12M 2023,234322148589.000000,493083348510.000000,-217920342364.000000,-41190537019.000000,349679462.000000,,,234322148589.000000,-11312889431.000000,,,,,,-16802889431.000000,5490000000.000000,-11312889431.000000,-219348574617.000000,-3211637085.000000,,-30235400000.000000,,,-33852665131.000000,,,,-48860001.000000,-152000012400.000000,,,,,,-219348574617.000000,3660684541.000000,51262645928.000000,,54923330469.000000
12M 2024,340628159478.000000,898421748723.000000,-468933970415.000000,-92661434918.000000,3801816088.000000,,,340628159478.000000,-25764020999.000000,,,-21210000000.000000,,,-9340973875.000000,4786952876.000000,-25764020999.000000,-294055328436.000000,-1700641877.000000,,-9119030000.000000,,,-17235634859.000000,,,,,-266000021700.000000,,,,,,-294055328436.000000,20808810043.000000,54923330469.000000,,75732140512.000000
