Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Lain-Lain,Aset Tetap,Goodwill,Properti Investasi,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Utang Lain-Lain,Utang Bank Jangka Pendek,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank,Utang Sewa Pembiayaan,Utang Pembiayaan Konsumen,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2016,,,4882905880.000000,42938946590.000000,53709324.000000,36998257939.000000,7795745945.000000,92669565678.000000,,,74120324224.000000,,,1310300144.000000,2837452414.000000,78268076782.000000,170937642460.000000,,,85449374019.000000,6225855572.000000,83604961.000000,,4945686574.000000,1571825132.000000,,72504211430.000000,118190350.000000,,72622401780.000000,,85449374019.000000,4868732000.000000,,,,1800659.000000,4866931341.000000,4868732000.000000,90318106019.000000,,60000006170.000000,,21204796817.000000,,,21204796817.000000,,-585266546.000000,80619536441.000000,170937642460.000000,6243497.000000
12M 2017,,,17942003268.000000,57022227196.000000,3389415596.000000,42158623352.000000,13393796044.000000,133906065456.000000,,,89201366653.000000,,,1643301827.000000,2848841358.000000,93693509838.000000,227599575294.000000,,,54785566059.000000,15341066275.000000,83246812.000000,,11047294938.000000,1935424498.000000,,26283553536.000000,94980000.000000,,26378533536.000000,,54785566059.000000,5970143551.000000,,,,,5970143551.000000,5970143551.000000,60755709610.000000,,76000006200.000000,20749405590.000000,68487189317.000000,200000000.000000,68287189317.000000,68487189317.000000,,1607264577.000000,166843865684.000000,227599575294.000000,760000062.000000
12M 2018,,,5426961713.000000,63816431603.000000,75251322.000000,55937878980.000000,36892913255.000000,162149436873.000000,,,150750138714.000000,,,1974859846.000000,3205891032.000000,155930889592.000000,318080326465.000000,,,73075412445.000000,12406833948.000000,4412039704.000000,,8948727611.000000,2720812182.000000,,44586999000.000000,,,44586999000.000000,,73075412445.000000,7267044064.000000,,,,,7267044064.000000,7267044064.000000,80342456509.000000,,76000006200.000000,20749405590.000000,138992628049.000000,,,138992628049.000000,,1995830117.000000,237737869956.000000,318080326465.000000,760000062.000000
12M 2019,,,27975310470.000000,68294910673.000000,252951321.000000,83846821884.000000,49550993396.000000,229920987744.000000,,,205864426823.000000,,,2710733113.000000,2757920061.000000,211333079997.000000,441254067741.000000,,,75173239233.000000,10534619744.000000,210532796.000000,,3130730653.000000,4386621100.000000,,56910734940.000000,,,56910734940.000000,,75173239233.000000,67057749196.000000,,57145179644.000000,57145179644.000000,,9912569552.000000,67057749196.000000,142230988429.000000,,76000006200.000000,20749405590.000000,200395170412.000000,,,200395170412.000000,,1878497110.000000,299023079312.000000,441254067741.000000,3800000310.000000
12M 2020,,,39663959660.000000,114765439565.000000,491018966.000000,165152240135.000000,36814040612.000000,356886698938.000000,,,358409938705.000000,,,3150238312.000000,1279979644.000000,362840156661.000000,719726855599.000000,,,299279754931.000000,26346781386.000000,3871971745.000000,106754448322.000000,21715524772.000000,5468762496.000000,,55290919575.000000,,541150960.000000,55832070535.000000,79290195675.000000,299279754931.000000,10974658797.000000,,,,,10974658797.000000,10974658797.000000,310254413728.000000,,76000006200.000000,8894255569.000000,315645519263.000000,200000000.000000,315445519263.000000,315645519263.000000,2762177407.000000,6170483432.000000,409472441871.000000,719726855599.000000,3800000310.000000
12M 2021,,,104216468215.000000,191705013892.000000,3571216413.000000,249659869647.000000,36532810732.000000,585685378899.000000,,,488039263646.000000,,,3568932469.000000,1165293335.000000,492773489450.000000,1078458868349.000000,,,273462421017.000000,35209733882.000000,4137102250.000000,57208875572.000000,60665985856.000000,52027162706.000000,,26132224911.000000,,682303362.000000,26814528273.000000,37399032478.000000,273462421017.000000,61356035730.000000,,50899165790.000000,50899165790.000000,,10456869940.000000,61356035730.000000,334818456747.000000,,76000006200.000000,8894255569.000000,650796483387.000000,200000000.000000,650596483387.000000,650796483387.000000,2760341948.000000,5189324498.000000,743640411602.000000,1078458868349.000000,3800000310.000000
12M 2022,,,51262645928.000000,88593453135.000000,2333701641.000000,263226235344.000000,30842359702.000000,436258395750.000000,,3000000000.000000,561112557410.000000,,,4201048628.000000,796364203.000000,569109970241.000000,1005368365991.000000,,,111916306056.000000,6379288361.000000,4454627507.000000,47193000000.000000,9748182207.000000,4105923449.000000,,32604384591.000000,,48860001.000000,32653244592.000000,7382039940.000000,111916306056.000000,49670969091.000000,,41653972286.000000,41653972286.000000,,8016996805.000000,49670969091.000000,161587275147.000000,,76000006200.000000,8894255569.000000,703888302590.000000,200000000.000000,703688302590.000000,703888302590.000000,2761654798.000000,52236871687.000000,843781090844.000000,1005368365991.000000,3800000310.000000
12M 2023,,,54923330469.000000,154979082043.000000,655813465.000000,187695926173.000000,24781973336.000000,423036125486.000000,,3000000000.000000,505455010467.000000,,8634654150.000000,8504513416.000000,2920420737.000000,528514598770.000000,951550724256.000000,,,83438133201.000000,6875453995.000000,1969488082.000000,16957600000.000000,20968648436.000000,6225152386.000000,,22774971473.000000,,,22774971473.000000,7666818829.000000,83438133201.000000,28011050131.000000,,17630720273.000000,17630720273.000000,,10380329858.000000,28011050131.000000,111449183332.000000,,76000006200.000000,8894255569.000000,707904026066.000000,200000000.000000,707704026066.000000,707904026066.000000,2784665761.000000,44518587328.000000,840101540924.000000,951550724256.000000,3800000310.000000
12M 2024,,,75732140512.000000,166543512830.000000,344421575.000000,134449531749.000000,53195450006.000000,430265056672.000000,,3000000000.000000,501145328461.000000,,8198588136.000000,10181005997.000000,3051030129.000000,525575952723.000000,955841009395.000000,,,81027032647.000000,12304642155.000000,2182834210.000000,7838570000.000000,19755707293.000000,15781368167.000000,,17573922851.000000,,,17573922851.000000,5589987971.000000,81027032647.000000,13917711015.000000,,5596134036.000000,5596134036.000000,,8321576979.000000,13917711015.000000,94944743662.000000,,76000006200.000000,8894255569.000000,728439086644.000000,200000000.000000,728239086644.000000,728439086644.000000,2826714099.000000,44736203221.000000,860896265733.000000,955841009395.000000,3800000310.000000
