Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2016,(36 B),(21 B),(57 B),-9072.40
12M 2017,46 B,(23 B),23 B,29.80
12M 2018,51 B,(70 B),(19 B),-25.43
12M 2019,44 B,(65 B),(20 B),-5.35
12M 2020,219 B,(153 B),66 B,17.46
12M 2021,332 B,(179 B),152 B,40.11
12M 2022,205 B,(44 B),162 B,42.54
12M 2023,234 B,(17 B),218 B,57.24
12M 2024,341 B,(9 B),331 B,87.18
