Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok,Pembayaran Kas Untuk Beban Usaha,Penerimaan Penghasilan Keuangan,Pembayaran Untuk Pajak,Pembayaran Pajak Final,Pembayaran Biaya Keuangan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penerimaan Piutang Lain-Lain,Pembayaran Piutang Lain-Lain,Perolehan Investasi Saham,Penambahan Properti Investasi,Hasil Penjualan Investasi Saham,Pembayaran Uang Muka Aset Tetap,Penambahan Aset Tidak Berwujud,Perolehan Aset Tetap,Hasil Penjualan Aset Tetap,Adjustment,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Utang Bank,Pembayaran Utang Pembelian Aset Tetap,Pembayaran Utang Sewa Pembiayan,Pembayaran Utang Bank,Penerimaan Setoran Modal Melalui Pelaksanaan Waran,Penerimaan Utang Bank,Penerimaan Ipo Saham,Setoran Modal Kepentingan Nonpengendali,Biaya Emisi Saham,Pembayaran Dividen,Pembayaran Utang Leasing,Penerimaan Utang Lain-Lain Pihak Ketiga,Penerimaan Utang Pemegang Saham,Pembayaran Utang Pemegang Saham,Kenaikan (Penurunan) Utang Pihak Berelasi,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Tahun,Kas Dan Setara Kas Akhir Tahun
12M 2018,18348367221.000000,363301060887.000000,-275135174915.000000,-56185194155.000000,257354952.000000,-6033470089.000000,,-7856209459.000000,18348367221.000000,-31164128434.000000,,,-12233433960.000000,-10152452191.000000,,,,-9129151283.000000,350909000.000000,,-31164128434.000000,14276000717.000000,5085844549.000000,-819258532.000000,,,,,,,,,,,4601900000.000000,,5407514700.000000,14276000717.000000,1460239504.000000,4207533077.000000,5667772581.000000
12M 2019,39836347550.000000,376729325047.000000,-238418149399.000000,-88660770754.000000,85763230.000000,-4064408848.000000,,-5835411726.000000,39836347550.000000,-25500472339.000000,2902500000.000000,-20000000000.000000,-1125000000.000000,-4051031264.000000,,,,-3613890177.000000,386949102.000000,,-25500472339.000000,-8079031979.000000,-3301917299.000000,-178114680.000000,,,,,,,,,,,,-4599000000.000000,,-8079031979.000000,6256843232.000000,5667772581.000000,11924615813.000000
12M 2020,36114881927.000000,284990523545.000000,-173943456533.000000,-67853162917.000000,523786877.000000,-3128447672.000000,-874345425.000000,-3600015948.000000,36114881927.000000,8647524750.000000,,,,-1269652000.000000,,,,-10699571649.000000,616748399.000000,20000000000.000000,8647524750.000000,-46292905726.000000,-45548282693.000000,-744623033.000000,,,,,,,,,,,,,,-46292905726.000000,-1530499049.000000,11924615813.000000,10394116764.000000
12M 2021,-3953780702.000000,263119241938.000000,-190655906277.000000,-70617736066.000000,814952644.000000,-2539875473.000000,-973100000.000000,-3101357468.000000,-3953780702.000000,-35502970070.000000,20000000000.000000,,200000000.000000,-22212088126.000000,,-3732762074.000000,,-10600133739.000000,842013869.000000,-20000000000.000000,-35502970070.000000,39150233036.000000,-5766839894.000000,-100316755.000000,,,,8989289685.000000,60030000000.000000,,-4200000000.000000,,,,2700000000.000000,-22501900000.000000,,39150233036.000000,-306517736.000000,10394116764.000000,10087599028.000000
12M 2022,-10721023069.000000,313305065621.000000,-245106095520.000000,-70614854341.000000,82498089.000000,-4302310211.000000,-1016490000.000000,-3068836707.000000,-10721023069.000000,-12370520324.000000,,,,,,,-54054929.000000,-12531616332.000000,215150937.000000,,-12370520324.000000,21955391368.000000,-2386666666.000000,,,,2478828.000000,26569728056.000000,,450000000.000000,,-2175000650.000000,-505148200.000000,,,,,21955391368.000000,-1136152025.000000,10087599028.000000,8951447003.000000
12M 2023,7806249366.000000,365264407496.000000,-261369254805.000000,-89007484463.000000,59137398.000000,-1832888061.000000,-1042420000.000000,-4265248199.000000,7806249366.000000,-6331194046.000000,,,,,,,,-6384196073.000000,53002027.000000,,-6331194046.000000,-306116690.000000,,,,,832944.000000,2548488916.000000,,,,-1722431350.000000,-1133007200.000000,,,,,-306116690.000000,1168938630.000000,8951447003.000000,10120385633.000000
12M 2024,12262775577.000000,376051401829.000000,-245315309788.000000,-115579577484.000000,82809547.000000,578983352.000000,-947850000.000000,-2607681879.000000,12262775577.000000,-2362811731.000000,,,,,,,,-2974848578.000000,612036847.000000,,-2362811731.000000,-10176690970.000000,,,,,16849795200.000000,-24968349633.000000,,,,-1316929737.000000,-741206800.000000,,,,,-10176690970.000000,-276727124.000000,10120385633.000000,9843658509.000000
