Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Persediaan,Piutang Pihak Berelasi,Aset Pajak Tangguhan,Tanah Untuk Dikembangkan,Aset Tetap,Investasi Pada Entitas Pengendalian Bersama,Aset Tak Berwujud,Goodwill,Others,Total Aset Tak Berwujud,Aset Dalam Pelaksanaan,Others,Total Aset Tidak Lancar,Adjustment,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Beban Akrual,Utang Pajak,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Pembelian Aset Tetap,Utang Sewa Pembiayaan,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Lain-Lain,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Pembelian Aset Tetap,Utang Sewa Pembiayaan,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,17467339442.000000,,38160921600.000000,177014846.000000,37983906754.000000,38160921600.000000,112708094172.000000,1864575451.000000,170200930665.000000,,,,,29602206700.000000,1939157949.000000,,17818451.000000,17818451.000000,,17818451.000000,,5687276517.000000,37246459617.000000,,207447390282.000000,,,86158209591.000000,36000000000.000000,5639821055.000000,,680771811.000000,,680771811.000000,1761760808.000000,1496637978.000000,,,,,,40579217939.000000,86158209591.000000,2393500378.000000,,,,,,,2393500378.000000,2393500378.000000,88551709969.000000,,75437590000.000000,5956104449.000000,34579709164.000000,,,34579709164.000000,2421637.000000,2919855063.000000,118895680313.000000,207447390282.000000,754375900.000000
12M 2009,,,10720181551.000000,,37206660914.000000,176115029.000000,37030545885.000000,37206660914.000000,105714048619.000000,4275859043.000000,157916750127.000000,,,,,29602206700.000000,1329936554.000000,,16888793.000000,16888793.000000,,16888793.000000,,18639226053.000000,49588258100.000000,,207505008227.000000,,,49368395423.000000,,17924767617.000000,,2900382996.000000,287245640.000000,3187628636.000000,1511922687.000000,1276857369.000000,,5000000000.000000,,,5000000000.000000,20467219114.000000,49368395423.000000,26900341568.000000,,,23700000000.000000,,,23700000000.000000,3200341568.000000,26900341568.000000,76268736991.000000,,75437590000.000000,5956104449.000000,46920385727.000000,,,46920385727.000000,2335997.000000,2919855063.000000,131236271236.000000,207505008227.000000,754375900.000000
12M 2010,,,12377343899.000000,,40115836285.000000,208781509.000000,39907054776.000000,40115836285.000000,124028112783.000000,8309878171.000000,184831171138.000000,,,,,29602206700.000000,5404006635.000000,,15959135.000000,15959135.000000,,15959135.000000,,47085942924.000000,82108115394.000000,,266939286532.000000,,,128327989648.000000,,25268968104.000000,,5433679646.000000,,5433679646.000000,1237657698.000000,1516906712.000000,,32038000000.000000,,,32038000000.000000,62832777488.000000,128327989648.000000,8111117121.000000,,,,,2387868455.000000,2387868455.000000,5723248666.000000,8111117121.000000,136439106769.000000,,75522698000.000000,6007169249.000000,46048810557.000000,,,46048810557.000000,1646894.000000,2919855063.000000,130500179763.000000,266939286532.000000,755226980.000000
12M 2011,,,137464571770.000000,,881486712.000000,436486712.000000,445000000.000000,881486712.000000,144699253476.000000,23990088141.000000,307035400099.000000,,,,,,4880154131.000000,,15959135.000000,15959135.000000,,15959135.000000,,73750051781.000000,78646165047.000000,,385681565146.000000,,,190659581557.000000,10000000000.000000,23459383393.000000,,19975163921.000000,,19975163921.000000,1220876963.000000,2298656814.000000,,,,1419671335.000000,1419671335.000000,132285829131.000000,190659581557.000000,31200281660.000000,,,25577062000.000000,,177277553.000000,25754339553.000000,5445942107.000000,31200281660.000000,221859863217.000000,,75522698000.000000,6007169249.000000,79370243551.000000,,,79370243551.000000,1736066.000000,2919855063.000000,163821701929.000000,385681565146.000000,755226980.000000
12M 2012,,,290322102485.000000,41370058889.000000,38468637882.000000,968637882.000000,37500000000.000000,38468637882.000000,18104968517.000000,16921731522.000000,405187499295.000000,,84932956038.000000,985801855.000000,,,341869786547.000000,50606689415.000000,694108954335.000000,689175185002.000000,4933769333.000000,694108954335.000000,24645917093.000000,176091307453.000000,1373241412736.000000,,1778428912031.000000,,,285845280003.000000,17656124961.000000,32856479279.000000,,62555805223.000000,,62555805223.000000,12566264958.000000,11704134711.000000,,53000000000.000000,1384828685.000000,,54384828685.000000,94121642186.000000,285845280003.000000,358708759235.000000,,,223006798800.000000,667013687.000000,,223673812487.000000,135034946748.000000,358708759235.000000,644554039238.000000,,487121402100.000000,498076863069.000000,145705467715.000000,500000000.000000,145205467715.000000,145705467715.000000,51284846.000000,2919855063.000000,1133874872793.000000,1778428912031.000000,4871214021.000000
12M 2013,,,28296996777.000000,21989658092.000000,122310851037.000000,1045688891.000000,121265162146.000000,122310851037.000000,21422327486.000000,19151109605.000000,213170942997.000000,,98412056945.000000,,,,355153375843.000000,326524810762.000000,693088471193.000000,689159225867.000000,3929245326.000000,693088471193.000000,,258564096566.000000,1731742811309.000000,,1944913754306.000000,,,320518403573.000000,37278575653.000000,9798002430.000000,,114478800848.000000,,114478800848.000000,10155209132.000000,10034906056.000000,,30557579137.000000,1457360418.000000,,32014939555.000000,106757969899.000000,320518403573.000000,441808556557.000000,,,386579567150.000000,1196107158.000000,,387775674308.000000,54032882249.000000,441808556557.000000,762326960130.000000,,487121402100.000000,500996718132.000000,194407887789.000000,500000000.000000,193907887789.000000,194407887789.000000,60786155.000000,,1182586794176.000000,1944913754306.000000,4871214021.000000
12M 2014,,,262825831266.000000,20723324774.000000,127050278534.000000,127050278534.000000,,127050278534.000000,28662861410.000000,38438563027.000000,477700859011.000000,,989105677120.000000,37698180.000000,,,357050965296.000000,605027081208.000000,938778694400.000000,935599729533.000000,3178964867.000000,938778694400.000000,,314692516955.000000,3204692633159.000000,,3682393492170.000000,,,490566324200.000000,,46314197611.000000,,40518744770.000000,,40518744770.000000,9331392744.000000,8196787142.000000,,50693000000.000000,1630114797.000000,,52323114797.000000,333882087136.000000,490566324200.000000,1843840563863.000000,130127479101.000000,,1589092165476.000000,3557170709.000000,,1592649336185.000000,121063748577.000000,1843840563863.000000,2334406888063.000000,,487121402100.000000,500996718132.000000,359798477566.000000,500000000.000000,359298477566.000000,359798477566.000000,70006309.000000,,1347986604107.000000,3682393492170.000000,4871214021.000000
12M 2015,,,49380689764.000000,20128736490.000000,2992679570.000000,2992679570.000000,,2992679570.000000,468108771288.000000,42803074150.000000,583413951262.000000,,618475527307.000000,,,,398435872204.000000,614758008913.000000,937839709210.000000,935599729533.000000,2239979677.000000,937839709210.000000,,387662680321.000000,2957171797955.000000,,3540585749217.000000,,,575730150412.000000,,85306830691.000000,,28173029265.000000,,28173029265.000000,17908556423.000000,12868366803.000000,,224858500000.000000,1951960838.000000,,226810460838.000000,204662906392.000000,575730150412.000000,1790716412011.000000,86908314104.000000,,1627365553577.000000,1129323853.000000,,1628494877430.000000,75313220477.000000,1790716412011.000000,2366446562423.000000,,487121402100.000000,500996718132.000000,185929220847.000000,700000000.000000,185229220847.000000,185929220847.000000,91845715.000000,,1174139186794.000000,3540585749217.000000,4871214021.000000
12M 2016,,,21186936762.000000,26177729544.000000,4735750573.000000,4735750573.000000,,4735750573.000000,501982148231.000000,36523862585.000000,590606427695.000000,,637824217055.000000,,24482451.000000,,392648869825.000000,598474389497.000000,936495721402.000000,935599729533.000000,895991869.000000,936495721402.000000,,336981272190.000000,2902448952420.000000,,3493055380115.000000,,,373448368017.000000,,49003595828.000000,,95057273906.000000,,95057273906.000000,21784398417.000000,12510140202.000000,,54751700000.000000,1008475445.000000,,55760175445.000000,139332784219.000000,373448368017.000000,1919476336092.000000,,,1824975854772.000000,101708348.000000,,1825077563120.000000,94398772972.000000,1919476336092.000000,2292924704109.000000,,487121402100.000000,541374285132.000000,164966539621.000000,700000000.000000,164266539621.000000,164966539621.000000,141845354.000000,6526603799.000000,1200130676006.000000,3493055380115.000000,4871214021.000000
12M 2017,,,28855932186.000000,115331236951.000000,1994529206.000000,1994529206.000000,,1994529206.000000,563638780191.000000,32239457652.000000,742059936186.000000,,663927337744.000000,,1520995.000000,,382439592672.000000,511841890887.000000,1040853639946.000000,935599729533.000000,105253910413.000000,1040853639946.000000,,237642246237.000000,2836706228481.000000,,3578766164667.000000,,,864080034360.000000,,65872450053.000000,,127773536890.000000,,127773536890.000000,19936026129.000000,11176283778.000000,,468602116989.000000,359180306.000000,,468961297295.000000,170360440215.000000,864080034360.000000,1586829701146.000000,,,1434226193154.000000,446216670.000000,,1434672409824.000000,152157291322.000000,1586829701146.000000,2450909735506.000000,,487121402100.000000,541374285132.000000,92678496298.000000,700000000.000000,91978496298.000000,92678496298.000000,155641832.000000,6526603799.000000,1127856429161.000000,3578766164667.000000,4871214021.000000
