Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Untuk:,Perolehan Tanah Pemasok Dan Kontraktor,Beban Gaji Dan Tunjangan,Beban Usaha Diluar Beban Gaji Upah Dan Tunjangan,Total Pembayaran Kas Untuk:,Penerimaan Dari (Pembayaran Untuk):,Pendapatan Bunga,Pendapatan Denda Pembatalan Dan Pengalihan Hak,Pembayaran Kegiatan Operasional Lainnya,Beban Bunga,Beban Pajak,Pendapatan (Beban) Lain-Lain,Total Penerimaan Dari (Pembayaran Untuk):,Adjustment,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Akusisi Entitas Anak,Pembayaran Hutang Lain-Lain Pihak Ketiga,Deposito Berjangka Yang Dibatasi Penggunaanya,Penambahan Tanah Untuk Dikembangkan,Perolehan Aset Tetap,Penjualan Aset Tetap,Investasi Pada Ventura Bersama,Penambahan Penyertaan Saham,Penambahan Modal Disetor,Penambahan Investasi Saham,Penurunan Investasi Saham,Setoran Bagian Partisipasi Investasi Kerjasama Operasi,Penambahan Aset Tidak Berwujud,Hasil Penjualan Aset Lain-Lain,Penambahan Aset Lain-Lain,Penerimaan (Setoran) Bagian Partisipasi Investasi Kerjasama Operasi,Aset Tidak Lancar Lainnya,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Setoran Modal,Pembayaran Utang Lain - Lain,Agio Saham,Kepentingan Minoritas,Divestasi Saham Anak Perusahaan,Penurunan (Kenaikan) Dana Dalam Pembatasan,Penerimaan Utang Bank Jangka Pendek,Pembayaran Utang Bank Jangka Pendek,Pembayaran Utang Pembelian Aset Tetap,Penerimaan Liabilitas Jangka Panjang:,Utang Bank,Sewa Pembiayaan,Total Penerimaan Liabilitas Jangka Panjang:,Pembayaran Liabilitas Jangka Panjang :,Utang Bank,Utang Lembaga Keuangan,Utang Pembelian Aset Tetap,Sewa Pembiayaan,Total Pembayaran Liabilitas Jangka Panjang :,Kas Dan Setara Kas Yang Dibatasi Penggunaannya,Instrumen Keuangan Derivatif,Penerimaan Dari Utang Lembaga Keuangan,Premi Lindung Nilai Dimuka,Penambahan Investasi Tanah Pada Anak Perusahaan,Aset Pengampunan Pajak - Entitas Anak,Penurunan (Kenaikan) Piutang Pihak Berelasi,Pembayaran Deviden,Adjustment,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Entitas Anak Diakusisi,Dampak Perubahan Selisih Kurs Terhadap Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2008,8352879520.000000,56815883089.000000,,-22584107142.000000,-11770784503.000000,-9278463535.000000,-43633355180.000000,,3114116706.000000,191407871.000000,,-4827904244.000000,-4227918770.000000,920650048.000000,-4829648389.000000,,8352879520.000000,-24844202533.000000,,,,,-1660202533.000000,316000000.000000,,-23500000000.000000,,,,,,,,,,-24844202533.000000,-5841510705.000000,437590000.000000,,262554000.000000,,,4230124250.000000,,142251071.000000,,,,,,,,,,,,,,,,,,-9414030026.000000,-1500000000.000000,,-5841510705.000000,-22332833718.000000,39800173160.000000,,,17467339442.000000
12M 2009,8957435448.000000,79006094501.000000,,-33528770135.000000,-14258193643.000000,-12632436484.000000,-60419400262.000000,,291024915.000000,400371663.000000,,-4096258074.000000,-6189370551.000000,-35026744.000000,-9629258791.000000,,8957435448.000000,-143232314.000000,,,,,-143232314.000000,,,,,,,,,,,,,-143232314.000000,-15561361025.000000,,,,,,-7864389033.000000,,-36000000000.000000,,,28700000000.000000,,28700000000.000000,,,,,,,,,,,,,953360869.000000,-1350332861.000000,,-15561361025.000000,-6747157891.000000,17467339442.000000,,,10720181551.000000
12M 2010,10923642617.000000,143046178052.000000,,-85276005037.000000,-21264682105.000000,-18476901392.000000,-125017588534.000000,,4438999604.000000,1293437731.000000,,-5211922026.000000,-7653246466.000000,27784256.000000,-7104946901.000000,,10923642617.000000,-5273394016.000000,,,,,-5273394016.000000,,,,,,,,,,,,,-5273394016.000000,-3993086471.000000,85108000.000000,,51064800.000000,,,-11797623873.000000,,,,,16273000000.000000,3988312600.000000,20261312600.000000,,-12935000000.000000,,,-1600444154.000000,-14535444154.000000,,,,,,,3994398604.000000,-2051902448.000000,,-3993086471.000000,1657162130.000000,10720181551.000000,,,12377343681.000000
12M 2011,107047598359.000000,251297057129.000000,,-76761399271.000000,-29243268817.000000,-25744351703.000000,-131749019791.000000,,1170865632.000000,1149492790.000000,,-2475684262.000000,-12520222629.000000,175109490.000000,-12500438979.000000,,107047598359.000000,17138009304.000000,,,,,-436034192.000000,77000000.000000,,,,,,,,,,17497043496.000000,,17138009304.000000,899672968.000000,,,,,,-32944916746.000000,,,,,10000000000.000000,,10000000000.000000,,-6460938000.000000,,,-2285619567.000000,-8746557567.000000,,,,,,,32591147281.000000,,,899672968.000000,125085280631.000000,12377343899.000000,,1947240.000000,137464571770.000000
12M 2012,87968447755.000000,273324238644.000000,,-108627574772.000000,-34560300801.000000,-25795612579.000000,-168983488152.000000,,4362825572.000000,960325963.000000,,-7562146144.000000,-13790245635.000000,-343062493.000000,-16372302737.000000,,87968447755.000000,-932026228454.000000,-898500000000.000000,,,,-6032621183.000000,750000000.000000,,,,,,-28243607271.000000,,,,,,-932026228454.000000,986193045257.000000,411598704100.000000,,492069693820.000000,,,-4036801984.000000,9494127927.000000,-10000000000.000000,,,206242406166.000000,,206242406166.000000,,-75812669366.000000,,-2975272107.000000,,-78787941473.000000,,,,,,,-37055000000.000000,-3332143299.000000,,986193045257.000000,142135264558.000000,144114648776.000000,3985769831.000000,86419320.000000,290322102485.000000
12M 2013,11559495055.000000,373234526092.000000,,-133186861037.000000,-57186364837.000000,-93481461754.000000,-283854687628.000000,,2712773575.000000,1594587678.000000,,-49402027449.000000,-34016408433.000000,1290731220.000000,-77820343409.000000,,11559495055.000000,-343683049601.000000,,,,,-26433337156.000000,293500000.000000,,-4500000000.000000,,,,-254048439506.000000,,,,,-58994772939.000000,-343683049601.000000,70099240363.000000,,,,,,-7000078159.000000,30000000000.000000,-10377549309.000000,,,281540000000.000000,,281540000000.000000,,-139248427085.000000,-2035344793.000000,,,-141283771878.000000,,,,,,,-82779360291.000000,,,70099240363.000000,-262024314183.000000,290322102485.000000,,-791525.000000,28296996777.000000
12M 2014,54207738387.000000,811349670216.000000,,-317668648672.000000,,-46966359963.000000,-364635008635.000000,,294828619.000000,,,-108076164997.000000,-51028674318.000000,-233696912498.000000,-392506923194.000000,,54207738387.000000,-993684690314.000000,,,,,-13763279839.000000,122639585.000000,,-663016399996.000000,,,,,,,,-278502270446.000000,-38525379618.000000,-993684690314.000000,1149161648363.000000,,,,,,,,-37278575653.000000,,,1608236482568.000000,,1608236482568.000000,,-380478628855.000000,-2330360707.000000,,,-382808989562.000000,-38309534031.000000,,,,,,-677734959.000000,,,1149161648363.000000,209684696436.000000,28296996777.000000,24844138053.000000,,262825831266.000000
12M 2015,-35747880656.000000,409542917987.000000,,-125975216169.000000,,-106555122474.000000,-232530338643.000000,,3521748970.000000,,,-149196471093.000000,-31216662559.000000,-35869075318.000000,-212760460000.000000,,-35747880656.000000,-113513895901.000000,,,,,-48448999868.000000,,,,,-25500000000.000000,,,-296777343.000000,,-13624293144.000000,-25643825546.000000,,-113513895901.000000,-64132277966.000000,,,,,,,,,,,160977000000.000000,,160977000000.000000,,-146862550000.000000,-2106000815.000000,,,-148968550815.000000,-56596247379.000000,-19582177952.000000,,,,,37698180.000000,,,-64132277966.000000,-213394054523.000000,262825831266.000000,,-51086979.000000,49380689764.000000
12M 2016,-90917979109.000000,513040869052.000000,,-254835875208.000000,,-109354768939.000000,-364190644147.000000,,2489896878.000000,,,-161029022807.000000,-31790356143.000000,-49438721942.000000,-239768204014.000000,,-90917979109.000000,-35524095118.000000,,,,,-13005788798.000000,855542664.000000,,,,,,,,,-23373848984.000000,,,-35524095118.000000,98266720181.000000,10000000.000000,,,,,,,,,,443626500000.000000,,443626500000.000000,,-378820150000.000000,-1971100898.000000,,,-380791250898.000000,46253996604.000000,-11077980070.000000,,,,245454545.000000,,,,98266720181.000000,-28175354046.000000,49380689764.000000,,-18398956.000000,21186936762.000000
12M 2017,-14481961921.000000,516965595944.000000,,-200242275297.000000,,-118538760609.000000,-318781035906.000000,,,,-23110126543.000000,-153741013724.000000,-39153391369.000000,3338009677.000000,-212666521959.000000,,-14481961921.000000,66456439179.000000,,,,,-11808963002.000000,1670136363.000000,84198019800.000000,,,,,,,45454545.000000,-7648208527.000000,,,66456439179.000000,-44306218562.000000,10000000.000000,,,,,,,,,,,,,,-6521716340.000000,-304787377.000000,,,-6826503717.000000,-17449855129.000000,-20016786275.000000,,,,,,-23073441.000000,,-44306218562.000000,7668258696.000000,21186936762.000000,,736728.000000,28855932186.000000
