Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Laba (Rugi) Atas Penjualan Aset Tetap,Beban Keuangan,Keuntungan (Rugi) Atas Transaksi Derivatif,Laba (Rugi) Selisih Kurs,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Final,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,83805635201.000000,-50575770508.000000,33229864693.000000,-21748706543.000000,-3019680123.000000,-18729026420.000000,-21748706543.000000,11481158150.000000,-593557229.000000,3314588911.000000,294546406.000000,-4827904244.000000,,,625211698.000000,-593557229.000000,10887600921.000000,-4269882684.000000,,,,-4269882684.000000,6617718237.000000,76503.000000,6617794740.000000,,,6617794740.000000,6617718237.000000,76503.000000,6617794740.000000,,,,
12M 2009,98931430006.000000,-49962486909.000000,48968943097.000000,-26890630129.000000,-4329099084.000000,-22561531045.000000,-26890630129.000000,22078312968.000000,-3440817684.000000,416568430.000000,,-4096258074.000000,,,238871960.000000,-3440817684.000000,18637495284.000000,-4946571500.000000,,,,-4946571500.000000,13690923784.000000,85640.000000,13691009424.000000,,,13691009424.000000,13690923784.000000,85640.000000,13691009424.000000,,,,
12M 2010,100491339731.000000,-48965686707.000000,51525653024.000000,-39741583497.000000,-7567139087.000000,-32174444410.000000,-39741583497.000000,11784069527.000000,1640752009.000000,726780100.000000,,-5211922026.000000,,,6125893935.000000,1640752009.000000,13424821536.000000,-5024566986.000000,,,,-5024566986.000000,8400254550.000000,689103.000000,8400943653.000000,,,8400943653.000000,8400254550.000000,689103.000000,8400943653.000000,,,,
12M 2011,181227641077.000000,-95095082835.000000,86132558242.000000,-54987620520.000000,-11078652049.000000,-43908968471.000000,-54987620520.000000,31144937722.000000,11237966497.000000,1170865632.000000,77000000.000000,-2475684262.000000,,,12465785127.000000,11237966497.000000,42382904219.000000,-9061382053.000000,,,,-9061382053.000000,33321522166.000000,,33321522166.000000,,33321522166.000000,33321522166.000000,33321432994.000000,89172.000000,33321522166.000000,33321522166.000000,33321432994.000000,89172.000000,33321522166.000000
12M 2012,311479199666.000000,-170163595338.000000,141315604328.000000,-60355913380.000000,-9816524716.000000,-50539388664.000000,-60355913380.000000,80959690948.000000,4329501287.000000,4362825572.000000,27703704.000000,-7562146144.000000,,,7501118155.000000,4329501287.000000,85289192235.000000,-15614039311.000000,,,,-15614039311.000000,69675152924.000000,,69675152924.000000,,69675152924.000000,69675152924.000000,69667367463.000000,7785461.000000,69675152924.000000,69675152924.000000,69667367463.000000,7785461.000000,69675152924.000000
12M 2013,330837427396.000000,-134880298986.000000,195957128410.000000,-95141730927.000000,-6794912137.000000,-88346818790.000000,-95141730927.000000,100815397483.000000,-24203597566.000000,,,-51631535900.000000,,,27427938334.000000,-24203597566.000000,76611799917.000000,-27899878534.000000,,,,-27899878534.000000,48711921383.000000,,48711921383.000000,,48711921383.000000,48711921383.000000,48702420074.000000,9501309.000000,48711921383.000000,48711921383.000000,48702420074.000000,9501309.000000,48711921383.000000
12M 2014,566385701354.000000,-232913466452.000000,333472234902.000000,-138626484851.000000,-18246433109.000000,-120380051742.000000,-138626484851.000000,194845750051.000000,11994675017.000000,,,-90782434485.000000,,-15249680642.000000,118026790144.000000,11994675017.000000,206840425068.000000,-41443383617.000000,,,,-41443383617.000000,165397041451.000000,,165397041451.000000,,165397041451.000000,165397041451.000000,165390589777.000000,6451674.000000,165397041451.000000,165397041451.000000,165390589777.000000,6451674.000000,165397041451.000000
12M 2015,583329689427.000000,-201531400662.000000,381798288765.000000,-179074576825.000000,-26028040960.000000,-153046535865.000000,-179074576825.000000,202723711940.000000,-340322259021.000000,,,-157678393786.000000,,-171308806160.000000,-11335059075.000000,-340322259021.000000,-137598547081.000000,-41093639643.000000,,,,-41093639643.000000,-178692186724.000000,,-178692186724.000000,3882893401.000000,-174809293323.000000,-178692186724.000000,-178714181733.000000,21995009.000000,-178692186724.000000,-174809293323.000000,-174831833672.000000,22540349.000000,-174809293323.000000
12M 2016,570072055705.000000,-219308812476.000000,350763243229.000000,-189953616842.000000,-20899694698.000000,-169053922144.000000,-189953616842.000000,160809626387.000000,-148307913413.000000,,,-168493334017.000000,,47012057150.000000,-26826636546.000000,-148307913413.000000,12501712974.000000,-35953047934.000000,,,,-35953047934.000000,-23451334960.000000,,-23451334960.000000,2527482893.000000,-20923852067.000000,-23451334960.000000,-23490095217.000000,38760257.000000,-23451334960.000000,-20923852067.000000,-20962681226.000000,38829159.000000,-20923852067.000000
12M 2017,525324518118.000000,-190484445834.000000,334840072284.000000,-178254228118.000000,-18586113621.000000,-159668114497.000000,-178254228118.000000,156585844166.000000,-190520022061.000000,,,-162007728253.000000,,-14446369142.000000,-14065924666.000000,-190520022061.000000,-33934177895.000000,-35099030973.000000,,,,-35099030973.000000,-69033208868.000000,,-69033208868.000000,-3227964536.000000,-72261173404.000000,-69033208868.000000,-69060109323.000000,26900455.000000,-69033208868.000000,-72261173404.000000,-72288043323.000000,26869919.000000,-72261173404.000000
