Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,"Pembayaran Kas Kepada Karyawan, Pemasok Dan Lainnya",Pendapatan Bunga Deposito Dan Jasa Giro,Penerimaan Klaim Asuransi,Pembayaran Pajak Penghasilan Badan,Pembayaran Aktivitas Operasional Lainnya,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penambahan Piutang Perkebunan Kemitraan,Penambahan Proyek Perkebunan Kemitraan,Penambahan Tanaman Belum Menghasilkan,Perolehan Aset Tetap,Penjualan Aset Tetap,Perolehan Aset Hak Guna,Penerimaan Setoran Pemesanan Saham Atas Kepentingan Nonpengendali,Dampak Dari Restrukturisasi Entitas Anak,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pembayaran Kepada Pihak Berelasi,Pembayaran Dividen Kepada Kepentingan Non-Pengendali,Penambahan Utang Bank,Pembayaran Utang Bank,Pembayaran Bunga Utang Bank,Pembayaran Liabilitas Sewa,Pembayaran Bunga Liabilitas Sewa,Perolehan Sewa Pembiayaan,Penerimaan Setoran Pemesanan Saham Atas Kepentingan Non Pengendali,Penerimaan Dari (Pembayaran Kepada) Pemegang Saham,Penerbitan Saham Dengan Penawaran Umum Perdana,Pembayaran Biaya Emisi Saham,Pembayaran Pembelian Saham Treasuri,Penerimaan (Pengeluaran) Kas Lainnya,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2019,178259198994.000000,2062583888143.000000,-1873476866808.000000,458235222.000000,1844720555.000000,-13150778118.000000,,178259198994.000000,-817340382399.000000,-59933048066.000000,-18490717827.000000,-120564631490.000000,-618351985016.000000,,,,,-817340382399.000000,654207376563.000000,-24752670.000000,-384945900.000000,887888391745.000000,-772550833894.000000,-218873861960.000000,-379831905.000000,-272788847.000000,,,758805999994.000000,,,,,654207376563.000000,15126193158.000000,-222946475366.000000,-207820282208.000000
12M 2020,547159305187.000000,2643937158584.000000,-2083195711056.000000,474022309.000000,147319688.000000,-14203484338.000000,,547159305187.000000,-501227105934.000000,-20705901689.000000,-41865865754.000000,-119034962323.000000,-481014614805.000000,8238637.000000,,124775000000.000000,36611000000.000000,-501227105934.000000,-39608656639.000000,,-3312833450.000000,1606849332576.000000,-1609436455434.000000,-259433638225.000000,-829592623.000000,-200237712.000000,,,-772643321637.000000,1001717712000.000000,-2319622134.000000,,,-39608656639.000000,6323542614.000000,-207820282208.000000,-201496739594.000000
12M 2021,965637388389.000000,3408087698855.000000,-2404588954982.000000,503092415.000000,235891067.000000,-38600338966.000000,,965637388389.000000,-295496899605.000000,-59835168401.000000,-44086849151.000000,-40655922407.000000,-151020150548.000000,101190902.000000,,,,-295496899605.000000,-302198673366.000000,,-3250004240.000000,190797262063.000000,-275639810212.000000,-210534405322.000000,-779482538.000000,-155673242.000000,,56485000000.000000,-59121559875.000000,,,,,-302198673366.000000,367941815418.000000,-201496739594.000000,166445075824.000000
12M 2022,1895737342505.000000,4994762976048.000000,-2985027167433.000000,9193199164.000000,913298033.000000,-124104963307.000000,,1895737342505.000000,-552264612041.000000,-33419726101.000000,-50100498407.000000,-57880396961.000000,-410978311422.000000,114320850.000000,,,,-552264612041.000000,-1429888737268.000000,,-650000000.000000,231270353189.000000,-650738352548.000000,-239813715116.000000,-337226173.000000,-113023187.000000,,-38849000000.000000,-730657773433.000000,,,,,-1429888737268.000000,-86416006804.000000,166445075824.000000,80029069020.000000
12M 2023,1030969177395.000000,5125563879580.000000,-3930468069381.000000,24270897671.000000,456472424.000000,-196615639698.000000,7761636799.000000,1030969177395.000000,-545449722115.000000,40322075.000000,-27646938515.000000,-77365700874.000000,-441137127940.000000,1069741157.000000,-410018018.000000,,,-545449722115.000000,-814561761888.000000,,,159816178443.000000,-732723848159.000000,-241460372592.000000,-481005763.000000,-73289816.000000,360575999.000000,,,,,,,-814561761888.000000,-329042306608.000000,80029069020.000000,-249013237588.000000
12M 2024,1706122019311.000000,5794705296615.000000,-3921351581431.000000,33412990533.000000,2627138961.000000,-115881187174.000000,-87390638193.000000,1706122019311.000000,-546768651888.000000,82862495713.000000,-12163286558.000000,-105289349571.000000,-516222721585.000000,4044210113.000000,,,,-546768651888.000000,-771131318998.000000,,-40168000000.000000,1002343821557.000000,-728614301893.000000,-237879307105.000000,-467861055.000000,-72480000.000000,,,,,,-766273190502.000000,,-771131318998.000000,388222048425.000000,-249013237588.000000,139208810837.000000
