Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok Dan Karyawan,Pembayaran Kas Kepada Pemasok,Pembayaran Kas Kepada Karyawan,Total Pembayaran Kas Kepada Pemasok Dan Karyawan,Pembayaran Bunga Dan Beban Keuangan,Penerimaan Restitusi Pajak,Pembayaran Pajak Penghasilan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Uang Muka Untuk Perolehan Aset Tetap,Hasil Penjualan Aset Tetap,Perolehan Aset Tetap,Pembayaran Utang Pembelian Aset Tetap,Penerimaan Embali Uang Muka Pembelian Aset Tetap,Penurunan (Kenaikan) Piutang Kepada Pihak Ketiga,Penurunan (Kenaikan) Piutang Kepada Pihak Berelasi,Piutang Lain-Lain,Penerimaan Bunga,(Penempatan) Rekening Bang Yang Dibatasi Penggunaannya,Arus Kas Neto Penjualan Entitas Anak,Penerimaan Penggantian Asuransi,Pencairan Efek Keuangan Lainnya,Pencairan (Penambahan) Aset Keuangan Lainnya,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pembayaran Utang Bank Jangka Panjang,Penurunan (Kenaikan) Piutang / Utang Kepada Pihak Berelasi - Bersih,Penerimaan Utang Lain-Lain,Pembayaran Liabilitas Sewa,Pembayaran Utang Lain-Lain,Pembayaran Utang Wesel Jangka Panjang,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2008,289039500000.000000,4061013664000.000000,,-3736005855000.000000,,-3736005855000.000000,-25257402000.000000,17564031000.000000,-28274938000.000000,289039500000.000000,-183927810000.000000,-68393227000.000000,3898935000.000000,-74201357000.000000,,,,,,5256017000.000000,,,,,-50488178000.000000,-183927810000.000000,-42055708000.000000,-41213083000.000000,-842625000.000000,,,,,-42055708000.000000,63055982000.000000,87985596000.000000,11034466000.000000,162076044000.000000
12M 2009,114930902000.000000,3160610705000.000000,,-3011085280000.000000,,-3011085280000.000000,-23448005000.000000,17252542000.000000,-28399060000.000000,114930902000.000000,-101879203000.000000,-38025514000.000000,324687000.000000,-55972456000.000000,,,,,,10791730000.000000,,,,,-18997650000.000000,-101879203000.000000,-45422842000.000000,-37721403000.000000,-7701439000.000000,,,,,-45422842000.000000,-32371143000.000000,162076044000.000000,-11163474000.000000,118541427000.000000
12M 2010,170451080000.000000,3697533573000.000000,,-3513770539000.000000,,-3513770539000.000000,-8624798000.000000,25786275000.000000,-30473431000.000000,170451080000.000000,-107175836000.000000,-35226722000.000000,678319000.000000,-99037396000.000000,,,,,,11156235000.000000,,,,15253728000.000000,,-107175836000.000000,-34513162000.000000,-25743861000.000000,-8769301000.000000,,,,,-34513162000.000000,28762082000.000000,118541427000.000000,-3125258000.000000,144178251000.000000
12M 2011,347091222000.000000,4741767442000.000000,,-4296128504000.000000,,-4296128504000.000000,-17993327000.000000,15733324000.000000,-96287713000.000000,347091222000.000000,-140274904000.000000,-66610181000.000000,99000000.000000,-93666615000.000000,,,,302330000.000000,,19600562000.000000,,,,,,-140274904000.000000,-42234935000.000000,-42234935000.000000,,,,,,-42234935000.000000,164581383000.000000,144178251000.000000,570810000.000000,309330444000.000000
12M 2012,23151023.000000,487506257.000000,,-441398993.000000,,-441398993.000000,-2213416.000000,,-20742825.000000,23151023.000000,-27093321.000000,-4819031.000000,,-4648433.000000,,,,55092.000000,,269051.000000,,,,,-17950000.000000,-27093321.000000,-4200000.000000,-4200000.000000,,,,,,-4200000.000000,-8142298.000000,34112312.000000,-122182.000000,25847832.000000
12M 2013,38623964.000000,507822087.000000,,-462097293.000000,,-462097293.000000,-2268088.000000,995634.000000,-5828376.000000,38623964.000000,468946.000000,-2306078.000000,8889.000000,-9318575.000000,,11851851.000000,,,,232859.000000,,,,,,468946.000000,-40400000.000000,-4400000.000000,,,,,-36000000.000000,-40400000.000000,-1307090.000000,25847832.000000,-355104.000000,24185638.000000
12M 2014,20410930.000000,460664785.000000,,-432634235.000000,-10245017.000000,-442879252.000000,-2038595.000000,8293888.000000,-3629896.000000,20410930.000000,22877882.000000,-1551892.000000,29192.000000,-2771900.000000,,,,,,305620.000000,,,,27124420.000000,-257558.000000,22877882.000000,-38985842.000000,-4667637.000000,,,,,-34318205.000000,-38985842.000000,4302970.000000,24185638.000000,-50776.000000,28437832.000000
12M 2015,22937126.000000,311011669.000000,,-276794372.000000,-8445930.000000,-285240302.000000,-1405920.000000,2188806.000000,-3617127.000000,22937126.000000,-1389397.000000,,,-1932591.000000,,,,,,546065.000000,,,,,-2871.000000,-1389397.000000,-18886712.000000,-4886712.000000,,,,,-14000000.000000,-18886712.000000,2661017.000000,28437832.000000,-245308.000000,30853541.000000
12M 2016,13215889.000000,279608385.000000,,-257484069.000000,-8851778.000000,-266335847.000000,-1102491.000000,3628661.000000,-2582819.000000,13215889.000000,-4385558.000000,-54185.000000,10933.000000,-5011951.000000,,,,,,489939.000000,,,,,179706.000000,-4385558.000000,-19593736.000000,-7413736.000000,,,,,-12180000.000000,-19593736.000000,-10763405.000000,30853541.000000,67685.000000,20157821.000000
12M 2017,16913184.000000,386454528.000000,,-359375805.000000,-10044952.000000,-369420757.000000,-1016658.000000,3617031.000000,-2720960.000000,16913184.000000,-1369643.000000,-380899.000000,35781.000000,-1369350.000000,-8706.000000,,,,,356587.000000,,,,,-3056.000000,-1369643.000000,-8240000.000000,,,,,-5740000.000000,-2500000.000000,-8240000.000000,7303541.000000,20157821.000000,-26407.000000,27434955.000000
