Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Lain-Lain,Properti Investasi,Aset Tetap,Investasi Pada Entitas Asosiasi,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Ketiga,Total Utang Usaha,Beban Akrual,Utang Pajak,Utang Bank Jangka Pendek,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank,Utang Sewa Pembiayaan,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Lain-Lain,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank,Utang Sewa Pembiayaan,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Lain-Lain,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2019,,,7918000000.000000,498197000000.000000,9524000000.000000,27671000000.000000,36997000000.000000,580307000000.000000,,3250000000.000000,,184069000000.000000,,35492000000.000000,2246000000.000000,225057000000.000000,805364000000.000000,,,514838000000.000000,,147535000000.000000,147535000000.000000,15307000000.000000,9766000000.000000,,,55558000000.000000,71749000000.000000,127307000000.000000,101518000000.000000,113405000000.000000,514838000000.000000,336449000000.000000,,16122000000.000000,272480000000.000000,288602000000.000000,24452000000.000000,23395000000.000000,336449000000.000000,851287000000.000000,,6500000000.000000,17348000000.000000,-47554000000.000000,,-47554000000.000000,-47554000000.000000,-22422000000.000000,205000000.000000,-45923000000.000000,805364000000.000000,6500.000000
12M 2020,,,7843000000.000000,431845000000.000000,492000000.000000,34862000000.000000,23885000000.000000,498927000000.000000,,3250000000.000000,,701562000000.000000,,25000000000.000000,49823000000.000000,779635000000.000000,1278562000000.000000,,,625910000000.000000,,287010000000.000000,287010000000.000000,10844000000.000000,11590000000.000000,2092000000.000000,,168772000000.000000,60219000000.000000,228991000000.000000,25715000000.000000,59668000000.000000,625910000000.000000,560205000000.000000,,229518000000.000000,277855000000.000000,507373000000.000000,24452000000.000000,28380000000.000000,560205000000.000000,1186115000000.000000,,6500000000.000000,17348000000.000000,38787000000.000000,,38787000000.000000,38787000000.000000,28994000000.000000,818000000.000000,92447000000.000000,1278562000000.000000,6500.000000
12M 2021,,,11739000000.000000,594552000000.000000,570000000.000000,58120000000.000000,229705000000.000000,894686000000.000000,,,,1464269000000.000000,1844000000.000000,32632000000.000000,10674000000.000000,1509419000000.000000,2404105000000.000000,,,1321791000000.000000,,735097000000.000000,735097000000.000000,11373000000.000000,42089000000.000000,61328000000.000000,,206033000000.000000,171390000000.000000,377423000000.000000,43526000000.000000,50955000000.000000,1321791000000.000000,482656000000.000000,,116893000000.000000,328869000000.000000,445762000000.000000,3035000000.000000,33859000000.000000,482656000000.000000,1804447000000.000000,,250600000000.000000,17348000000.000000,198383000000.000000,1300000000.000000,197083000000.000000,198383000000.000000,131903000000.000000,1424000000.000000,599658000000.000000,2404105000000.000000,12530000000.000000
12M 2022,,,73209000000.000000,913645000000.000000,673000000.000000,77265000000.000000,263367000000.000000,1328159000000.000000,,,,2006814000000.000000,1463000000.000000,37700000000.000000,84085000000.000000,2130062000000.000000,3458221000000.000000,,,1855008000000.000000,,735175000000.000000,735175000000.000000,9607000000.000000,74574000000.000000,113984000000.000000,,318061000000.000000,343577000000.000000,661638000000.000000,15602000000.000000,244428000000.000000,1855008000000.000000,623298000000.000000,,139711000000.000000,433525000000.000000,573236000000.000000,23688000000.000000,26374000000.000000,623298000000.000000,2478306000000.000000,,250600000000.000000,17348000000.000000,499416000000.000000,50120000000.000000,449296000000.000000,499416000000.000000,211545000000.000000,1006000000.000000,979915000000.000000,3458221000000.000000,2506000000.000000
12M 2023,,,108158000000.000000,676066000000.000000,1444000000.000000,99911000000.000000,385938000000.000000,1271517000000.000000,,,545795000000.000000,2946673000000.000000,,98165000000.000000,115224000000.000000,3705857000000.000000,4977374000000.000000,,,2141465000000.000000,,684693000000.000000,684693000000.000000,1322000000.000000,22986000000.000000,310610000000.000000,,519799000000.000000,547977000000.000000,1067776000000.000000,15382000000.000000,38696000000.000000,2141465000000.000000,999925000000.000000,,483836000000.000000,474810000000.000000,958646000000.000000,2428000000.000000,38851000000.000000,999925000000.000000,3141390000000.000000,,294830000000.000000,501890000000.000000,762045000000.000000,58966000000.000000,703079000000.000000,762045000000.000000,276780000000.000000,439000000.000000,1835984000000.000000,4977374000000.000000,2948300000.000000
12M 2024,,,45543000000.000000,1325860000000.000000,581000000.000000,117390000000.000000,313867000000.000000,1803241000000.000000,,,554201000000.000000,3731455000000.000000,,62278000000.000000,130134000000.000000,4478068000000.000000,6281309000000.000000,,,2654198000000.000000,,1245098000000.000000,1245098000000.000000,11547000000.000000,53097000000.000000,418382000000.000000,,368238000000.000000,470785000000.000000,839023000000.000000,15701000000.000000,71350000000.000000,2654198000000.000000,1912455000000.000000,,1064736000000.000000,481631000000.000000,1546367000000.000000,316952000000.000000,49136000000.000000,1912455000000.000000,4566653000000.000000,,294830000000.000000,501890000000.000000,664348000000.000000,58966000000.000000,605382000000.000000,664348000000.000000,252347000000.000000,1241000000.000000,1714656000000.000000,6281309000000.000000,2948300000.000000
