Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok,Pembayaran Kepada Karyawan,Penerimaan Bunga,Pembayaran Bunga Dan Beban Keuangan,Pembayaran Pajak Penghasilan Badan,Penerimaan Dari Aktivitas Operasi Lainnya,Pembayaran Dari Aktivitas Operasi Lainnya,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Aset Lain-Lain,Penempatan (Pencairan) Kas Dan Setara Kas Yang Dibatasi Penggunaannya,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari Penawaran Umum Perdana Saham,Biaya Emisi Saham,Dividen,Dividen Anak Perusahaan Pada Kepentingan Non Pengendali,Penerimaan (Pembayaran) Utang Sewa Pembiayaan,Hasil Emisi Saham Ipo,Penerimaan Pinjaman Bank,Pembayaran Pinjaman Bank,Penerimaan Utang Pemegang Saham,Penerimaan (Pembayaran) Lainnya,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2019,150642000000.000000,657158000000.000000,-264883000000.000000,-143487000000.000000,35000000.000000,-30328000000.000000,-36309000000.000000,10817000000.000000,-42361000000.000000,150642000000.000000,-95742000000.000000,-97939000000.000000,2197000000.000000,,-95742000000.000000,-48384000000.000000,,,,,-39560000000.000000,,12045000000.000000,-20771000000.000000,,-98000000.000000,-48384000000.000000,6516000000.000000,1402000000.000000,7918000000.000000
12M 2020,351645000000.000000,1042810000000.000000,-342454000000.000000,-195771000000.000000,86000000.000000,-46283000000.000000,-20442000000.000000,10630000000.000000,-96931000000.000000,351645000000.000000,-670926000000.000000,-623349000000.000000,-496000000.000000,-47081000000.000000,-670926000000.000000,319206000000.000000,,,,,-6155000000.000000,,351376000000.000000,-22674000000.000000,,-3341000000.000000,319206000000.000000,-75000000.000000,7918000000.000000,7843000000.000000
12M 2021,698109000000.000000,1822210000000.000000,-565625000000.000000,-297322000000.000000,116000000.000000,-90422000000.000000,-51763000000.000000,820000000.000000,-119905000000.000000,698109000000.000000,-834467000000.000000,-873616000000.000000,2187000000.000000,36962000000.000000,-834467000000.000000,140254000000.000000,,,,,155997000000.000000,,96497000000.000000,-112625000000.000000,,385000000.000000,140254000000.000000,3896000000.000000,7843000000.000000,11739000000.000000
12M 2022,555006000000.000000,3139888000000.000000,-1689226000000.000000,-547741000000.000000,323000000.000000,-146088000000.000000,-35264000000.000000,-32000000.000000,-166854000000.000000,555006000000.000000,-957881000000.000000,-884470000000.000000,-44332000000.000000,-29079000000.000000,-957881000000.000000,464345000000.000000,,,,,276843000000.000000,,259904000000.000000,-72402000000.000000,,,464345000000.000000,61470000000.000000,11739000000.000000,73209000000.000000
12M 2023,202115000000.000000,4077595000000.000000,-2350718000000.000000,-760304000000.000000,6583000000.000000,-229814000000.000000,-173719000000.000000,-402000000.000000,-367106000000.000000,202115000000.000000,-1573163000000.000000,-1542024000000.000000,-3627000000.000000,-27512000000.000000,-1573163000000.000000,1405997000000.000000,552875000000.000000,-24103000000.000000,-88449000000.000000,-22500000000.000000,245685000000.000000,,803382000000.000000,-60893000000.000000,,,1405997000000.000000,34949000000.000000,73209000000.000000,108158000000.000000
12M 2024,744249000000.000000,3503208000000.000000,-1340772000000.000000,-944441000000.000000,18804000000.000000,-337943000000.000000,-19325000000.000000,,-135282000000.000000,744249000000.000000,-1450998000000.000000,-1445814000000.000000,-4197000000.000000,-987000000.000000,-1450998000000.000000,653860000000.000000,,,-128204000000.000000,,-70371000000.000000,,1465320000000.000000,-928209000000.000000,315324000000.000000,,653860000000.000000,-52889000000.000000,98432000000.000000,45543000000.000000
