Period,Aset,Aset Lancar,Kas Dan Setara Kas,Deposito Berjangka,Investasi Jangka Pendek,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Deposito Berjangka,Piutang Lain-Lain,Pihak Berelasi,Total Piutang Lain-Lain,Aset Tetap,Aset Tak Berwujud,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Beban Akrual,Utang Pajak,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Pembiayaan Konsumen,Utang Bank,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Pembiayaan Konsumen,Utang Bank,Utang Jangka Panjang Dari Pihak Berelasi,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12M 2020,,,33142129102.000000,,,32996198131.000000,593280000.000000,32402918131.000000,32996198131.000000,7213030376.000000,5503418933.000000,1709611443.000000,7213030376.000000,1835381472.000000,12817606649.000000,88004345730.000000,,,1064630826.000000,1064630826.000000,1064630826.000000,42961150000.000000,676041667.000000,5759571233.000000,7558139255.000000,58019532981.000000,146023878711.000000,,,46387789909.000000,,181411000.000000,9705659494.000000,9887070494.000000,,10348744446.000000,3008907778.000000,13357652224.000000,10378437633.000000,4744129564.000000,,,1749997322.000000,1470507780.000000,3220505102.000000,4799994892.000000,46387789909.000000,48160040447.000000,,,2828696742.000000,28003091340.000000,2434695625.000000,33266483707.000000,14893556740.000000,48160040447.000000,94547830356.000000,,15000000000.000000,2606322633.000000,37386536462.000000,,37386536462.000000,37386536462.000000,-228707635.000000,-3288103105.000000,51476048355.000000,146023878711.000000,1500.000000
12M 2021,,,28927745749.000000,,,31876518001.000000,,31876518001.000000,31876518001.000000,12061921276.000000,6055129168.000000,6006792108.000000,12061921276.000000,21873457.000000,8109576282.000000,80997634765.000000,,,1064630826.000000,1064630826.000000,1064630826.000000,44141887316.000000,730541665.000000,6944455365.000000,10628185273.000000,63509700445.000000,144507335210.000000,,,41649600395.000000,,372924500.000000,4545223332.000000,4918147832.000000,,8127775726.000000,2759954356.000000,10887730082.000000,9593917581.000000,5972239773.000000,,,1974165632.000000,2348288936.000000,4322454568.000000,5955110559.000000,41649600395.000000,38492065747.000000,,,3670164448.000000,17227860905.000000,2768088882.000000,23666114235.000000,14825951512.000000,38492065747.000000,80141666142.000000,,15000000000.000000,4398400016.000000,50998408925.000000,,50998408925.000000,50998408925.000000,-605122372.000000,-5426017501.000000,64365669068.000000,144507335210.000000,1500.000000
12M 2022,,,32675065176.000000,,,42042043009.000000,,42042043009.000000,42042043009.000000,123072169.000000,77723011.000000,45349158.000000,123072169.000000,,13258553278.000000,88098733632.000000,,1265000000.000000,,,,50348348921.000000,462500000.000000,6682639649.000000,12622522393.000000,71381010963.000000,159479744595.000000,,,34156297167.000000,,2307883860.000000,3086795687.000000,5394679547.000000,,832580000.000000,198114613.000000,1030694613.000000,6840277516.000000,7525102497.000000,,,8873898076.000000,2623956087.000000,11497854163.000000,1867688831.000000,34156297167.000000,51290492032.000000,,,33962374321.000000,,2743652789.000000,36706027110.000000,14584464922.000000,51290492032.000000,85446789199.000000,,55000000000.000000,35734167.000000,20636431858.000000,7135334563.000000,13501097295.000000,20636431858.000000,150950863.000000,-1790161492.000000,74032955396.000000,159479744595.000000,2200000000.000000
12M 2023,,,45575696548.000000,33000000.000000,10200000000.000000,69963256492.000000,44499900.000000,69918756592.000000,69963256492.000000,2698087468.000000,2392800000.000000,305287468.000000,2698087468.000000,4207751557.000000,48393587140.000000,181071379205.000000,,1265000000.000000,,,,58840179742.000000,452864583.000000,7971351374.000000,25845079005.000000,94374474704.000000,275445853909.000000,,,33240502083.000000,,1750252413.000000,2607229898.000000,4357482311.000000,,,175464031.000000,175464031.000000,3243692052.000000,7960750744.000000,,,9445742002.000000,3729769396.000000,13175511398.000000,4327601547.000000,33240502083.000000,41610507610.000000,,,24516620553.000000,,1566412206.000000,26083032759.000000,15527474851.000000,41610507610.000000,74851009693.000000,,78571430000.000000,73726566964.000000,51538737638.000000,7135334563.000000,44403403075.000000,51538737638.000000,205323174.000000,-3447213560.000000,200594844216.000000,275445853909.000000,3142857200.000000
12M 2024,,,42946474834.000000,53720668.000000,100000000.000000,79888009263.000000,12071491.000000,79875937772.000000,79888009263.000000,4594075050.000000,2287705000.000000,2306370050.000000,4594075050.000000,7075060275.000000,28385532265.000000,163042872355.000000,,1265000000.000000,,,,85731500290.000000,337239583.000000,8790070690.000000,32594800946.000000,128718611509.000000,291761483864.000000,,,29974936501.000000,,2361440193.000000,2876367684.000000,5237807877.000000,,31832295.000000,27451232.000000,59283527.000000,334706601.000000,4256957921.000000,,421837471.000000,12852459668.000000,2956999026.000000,16231296165.000000,3854884410.000000,29974936501.000000,45316359974.000000,,284116866.000000,25609341597.000000,,4034428674.000000,29927887137.000000,15388472837.000000,45316359974.000000,75291296475.000000,,78572233325.000000,73736174731.000000,66155425158.000000,7135334563.000000,59020090595.000000,66155425158.000000,242951944.000000,-2236597769.000000,216470187389.000000,291761483864.000000,3142857200.000000
