Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kas Kepada Pemasok,Pembayaran Kepada Karyawan,Pembayaran Pajak Penghasilan,Penerimaan Pendapatan Keuangan,Pembayaran Beban Keuangan,Pembayaran Bunga,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Pelepasan (Perolehan) Aset Takberwujud,(Perolehan) Pelepasan Aset Tidak Lancar Lainnya,Pemberian Pinjaman Pembayaran Pihak Berelasi,Hasil Pelepasan Investasi Entitas Anak,Hasil Pelepasan Investasi Saham,Penambahan Investasi Saham,Perolehan Obligasi Dan Sukuk,Perolehan Aset Hak Guna,Pencairan ( Penempatan ) Investasi Jangka Pendek,Penempatan Dana Yang Dibatasi Penggunaanya,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari Ipo Setelah Dikurangi Biaya Emisi Saham,(Pembayaran) Penerimaan Pinjaman Ke Pihak Berelasi,Pembayaran Beban Tangguhan Penerbitan Saham,Pembayaran Utang Pembiayaan Konsumen,Penerimaan Tambahan Modal,Penerimaan Atas Setoran Modal Dari Pelaksanaan Waran,Penerimaan Utang Bank,Pembayaran Utang Bank,Pembayaran Dividen,Pembayaran Liabilitas Sewa,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan/(Penurunan) Neto Kas Dan Setara Kas,Kas Dan Setara Kas Awal Tahun,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Adjustment,Kas Dan Setara Kas Akhir Tahun
12M 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12M 2020,23256521823.000000,221800683027.000000,-135876442880.000000,-48701560237.000000,-8628026226.000000,,,-5338131861.000000,23256521823.000000,-7211691205.000000,-9206590610.000000,-712500000.000000,228130585.000000,,-16062006.000000,2496330826.000000,-1000000.000000,,,,,-7211691205.000000,-5485523944.000000,,78710838.000000,,,,,1850000000.000000,-2072073055.000000,-3452593433.000000,-1889568294.000000,-5485523944.000000,10559306674.000000,27643812987.000000,-119117254.000000,,38084002407.000000
12M 2021,29124619467.000000,219903925080.000000,-129128346854.000000,-48466607097.000000,-9471063628.000000,,,-3713288034.000000,29124619467.000000,-8021104936.000000,-6545631935.000000,-117000000.000000,-7000000.000000,,-37473001.000000,,-49000000.000000,,,,-1265000000.000000,-8021104936.000000,-21251279251.000000,,-10426615689.000000,,,,,5361540445.000000,-4295904428.000000,-7840783992.000000,-4049515587.000000,-21251279251.000000,-147764720.000000,33142129102.000000,-294508398.000000,,32699855984.000000
12M 2022,34357141109.000000,266226782221.000000,-143370460075.000000,-74665672687.000000,-10262127716.000000,306680523.000000,-3878061157.000000,,34357141109.000000,-20370612667.000000,-19505963280.000000,268041665.000000,-220392984.000000,,-999798068.000000,87500000.000000,,,,,,-20370612667.000000,-13690206288.000000,,-17227860905.000000,-1178500000.000000,,,,43279000000.000000,-5159711171.000000,-30324606255.000000,-3078527957.000000,-13690206288.000000,296322154.000000,28927745749.000000,-715271882.000000,,28508796021.000000
12M 2023,9651579080.000000,255687902882.000000,-167393170138.000000,-57958722600.000000,-16373989435.000000,1358335463.000000,-5668777092.000000,,9651579080.000000,-72823451260.000000,-21560071260.000000,,,-2405380000.000000,,,,-38625000000.000000,,-10200000000.000000,-33000000.000000,-72823451260.000000,76102510212.000000,97262262797.000000,,,,,,,-8873909842.000000,,-12285842743.000000,76102510212.000000,12930638032.000000,32675065176.000000,-30006660.000000,,45575696548.000000
12M 2024,1527550433.000000,297685748274.000000,-194623966209.000000,-82711101907.000000,-14678323315.000000,1991932364.000000,-6136738774.000000,,1527550433.000000,9909010096.000000,-37526158125.000000,,,-300000000.000000,,,,38625000000.000000,-969111111.000000,10100000000.000000,-20720668.000000,9909010096.000000,-14148843241.000000,,,,-150057458.000000,,10411092.000000,42836000000.000000,-38336561290.000000,-9428571600.000000,-9080063985.000000,-14148843241.000000,-2712282712.000000,45575696548.000000,83060998.000000,,42946474834.000000
