Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Usaha,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Beban Bunga,Beban Pajak Penghasilan,Laba (Rugi) Selisih Kurs,Adjustment,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2020,225182271492.000000,-130298235602.000000,94884035890.000000,-60886110316.000000,-60886110316.000000,-60886110316.000000,33997925574.000000,-4777486837.000000,,-5338131861.000000,,,-119117254.000000,,679762278.000000,-4777486837.000000,29220438737.000000,-5545705963.000000,-7855345464.000000,2309639501.000000,-5545705963.000000,23674732774.000000,-4290598.000000,23670442176.000000,23674732774.000000,23672424233.000000,2308541.000000,23674732774.000000,23670442176.000000,23668133635.000000,2308541.000000,23670442176.000000
12M 2021,226414102263.000000,-118645403056.000000,107768699207.000000,-73255073223.000000,-73255073223.000000,-73255073223.000000,34513625984.000000,-8151624116.000000,,-3713288034.000000,,,-294508398.000000,,-4143827684.000000,-8151624116.000000,26362001868.000000,-7040362633.000000,-8287799222.000000,1247436589.000000,-7040362633.000000,19321639235.000000,490754082.000000,19812393317.000000,19321639236.000000,19603823821.000000,-282184585.000000,19321639236.000000,19812393317.000000,20094577902.000000,-282184585.000000,19812393317.000000
12M 2022,281816959935.000000,-143823176196.000000,137993783739.000000,-83473813681.000000,-83473813681.000000,-83473813681.000000,54519970058.000000,-5975441317.000000,306680523.000000,-3878061157.000000,,,,,-2404060683.000000,-5975441317.000000,48544528741.000000,-11760662159.000000,-12683638337.000000,922976178.000000,-11760662159.000000,36783866582.000000,58403818.000000,36842270400.000000,36783866582.000000,36578091582.000000,205775000.000000,36783866582.000000,36842270400.000000,36636495400.000000,205775000.000000,36842270400.000000
12M 2023,286709568181.000000,-147020433678.000000,139689134503.000000,-88048178892.000000,-88048178892.000000,-88048178892.000000,51640955611.000000,-7970008664.000000,1588917964.000000,-5615145157.000000,,,,,-3943781471.000000,-7970008664.000000,43670946947.000000,-12714268856.000000,-12714268856.000000,,-12714268856.000000,30956678091.000000,-1657052068.000000,29299626023.000000,30956678091.000000,30902305780.000000,54372311.000000,30956678091.000000,29299626023.000000,29245253712.000000,54372311.000000,29299626023.000000
12M 2024,308840772455.000000,-169730389914.000000,139110382541.000000,-97519197118.000000,-97519197118.000000,-97519197118.000000,41591185423.000000,-4438581353.000000,2575213196.000000,-6136738774.000000,,,,,-877055775.000000,-4438581353.000000,37152604070.000000,-13037839006.000000,-13037839006.000000,,-13037839006.000000,24114765064.000000,1210570912.000000,25325335976.000000,24114765064.000000,24045259120.000000,69505944.000000,24114765064.000000,25325335976.000000,25255874911.000000,69461065.000000,25325335976.000000
