Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Premi,Penerimaan Klaim Reasuransi,Penerimaan Lain-Lain,Pembayaran Klaim,Pembayaran Beban Usaha,Pembayaran Premi Reasuransi,Pembayaran Beban Komisi,Pembayaran Pajak Penghasilan,Pembayaran Lain-Lain,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Pencairan Investasi,Penerimaan Hasil Investasi,Penempatan Investasi,Penjualan Aset Tetap,Perolehan Surat Promes,Perolehan Aset Tetap,Penambahan Aset Tidak Berwujud,Penerimaan (Pembayaran) Lainnya,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Setoran Modal Penawaran Umum,Penerbitan Surat Utang Jangka Menengah,Pembayaran Biaya Penerbitan Surat Utang Jangka Menengah,Penerimaan Setoran Modal,Penerimaan Setoran Modal Dari Non-Pengendali,Pemnbayaran Emisi Saham,Penerimaan Dari (Pembayaran Kepada) Pihak Berelasi,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2019,-7635149083.000000,63764659841.000000,16712131315.000000,636436708.000000,-41916757337.000000,-23742733101.000000,-16434297237.000000,-5637995470.000000,-59855250.000000,-956738552.000000,-7635149083.000000,-138843243790.000000,78213594479.000000,25196005324.000000,-242936150000.000000,,,-196787700.000000,-62403000.000000,942497107.000000,-138843243790.000000,145263231862.000000,299900000000.000000,,,,2000000.000000,,-154638768138.000000,145263231862.000000,-1215161011.000000,7117880843.000000,5902719832.000000
12M 2020,-1786169174.000000,64434729132.000000,2938756145.000000,8863662994.000000,-38105298554.000000,-25836423071.000000,-4853206496.000000,-6245286338.000000,,-2983102986.000000,-1786169174.000000,-201307345505.000000,311910150000.000000,23476326259.000000,-331188050000.000000,,-205000000000.000000,-71414450.000000,-12265000.000000,-422092314.000000,-201307345505.000000,200101072133.000000,206000000000.000000,,,,,-4429000000.000000,-1469927867.000000,200101072133.000000,-2992442546.000000,5902719832.000000,2910277286.000000
12M 2021,-1036065799.000000,83179617131.000000,882500000.000000,11604729150.000000,-53842004317.000000,-25892103457.000000,-222854252.000000,-9701145467.000000,,-7044804587.000000,-1036065799.000000,9322450494.000000,121523587537.000000,40867793303.000000,-356776100000.000000,,205000000000.000000,-88152500.000000,,-1204677846.000000,9322450494.000000,,,,,,,,,,8286384695.000000,2910277286.000000,11196661981.000000
12M 2022,9443651810.000000,137433569582.000000,24974829524.000000,9683497913.000000,-82936465245.000000,-25923949320.000000,-24948447188.000000,-18250660855.000000,,-10588722601.000000,9443651810.000000,-10960179623.000000,231966900945.000000,46216580694.000000,-287047000000.000000,,,-329438170.000000,,-1767223092.000000,-10960179623.000000,247692000000.000000,,250000000000.000000,-2308000000.000000,,,,,247692000000.000000,246175472187.000000,11196661981.000000,257372134168.000000
12M 2023,-2570115655.000000,137498506938.000000,236096243.000000,24361265354.000000,-85215536578.000000,-28266284430.000000,-4432988284.000000,-21762726054.000000,,-24988448844.000000,-2570115655.000000,10006027507.000000,456289769648.000000,52032426224.000000,-495036444400.000000,22000000.000000,,-149802054.000000,,-3151921911.000000,10006027507.000000,,,,,,,,,,7435911852.000000,257372134168.000000,264808046020.000000
12M 2024,39072743683.000000,302754359683.000000,181522424.000000,12945386306.000000,-159490099525.000000,-31478447996.000000,-7196373438.000000,-56287611742.000000,,-22355992029.000000,39072743683.000000,-39718464129.000000,366848040453.000000,36754564150.000000,-441005660000.000000,,,-784026360.000000,,-1531382372.000000,-39718464129.000000,,,,,,,,,,-645720446.000000,264808046020.000000,264162325574.000000
