Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2019,3.00 B,0.96,0.00,0.00,1.73 B,0.72%,0.94%,0.73%,258.64
12M 2020,5.00 B,2.30,269.57,36.46,3.32 B,1.77%,2.23%,0.48%,93.08
12M 2021,5.00 B,1.86,537.63,46.57,(1.84 B),1.26%,1.74%,-0.38%,-189.77
12M 2022,5.00 B,0.60,1441.67,25.91,8.16 B,0.29%,0.56%,0.84%,0.55
12M 2023,5.00 B,0.67,873.13,15.58,(0.32 B),0.30%,0.62%,-0.06%,-0.03
12M 2024,5.00 B,0.04,11550.00,7.18,11.65 B,0.02%,0.04%,0.98%,0.55
