Period,Aset,Kas Dan Setara Kas,Investasi Jangka Pendek,Deposito Berjangka,Others,Total Investasi Jangka Pendek,Piutang Premi,Piutang Reasuransi,Aset Reasuransi,Aset Tetap,Aset Tak Berwujud,Aset Pajak Tangguhan,Others,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Utang Klaim,Utang Reasuransi,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Utang Pajak,Surat Berharga Jangka Menengah,Beban Akrual,Liabilitas Kontrak Asuransi,Others,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2019,,5902719832.000000,,205000000000.000000,132188519151.000000,337188519151.000000,12991247147.000000,8611180152.000000,33459143038.000000,608672514.000000,105551347.000000,285670742.000000,1854455536.000000,401007159459.000000,,,3130096805.000000,9134484403.000000,2084954995.000000,615027128.000000,1469927867.000000,2084954995.000000,387824094.000000,,264372554.000000,73100953809.000000,2692312023.000000,90794998683.000000,,300000000000.000000,,4076965760.000000,,,4076965760.000000,3213454223.000000,2921740793.000000,310212160776.000000,401007159459.000000,3000000000.000000
12M 2020,,2910277286.000000,,210077650000.000000,143784474096.000000,353862124096.000000,17762176751.000000,24268400151.000000,42093546064.000000,420918983.000000,71400283.000000,434539497.000000,209942382390.000000,651765765501.000000,,,4172882885.000000,23217138434.000000,1259189614.000000,1259189614.000000,,1259189614.000000,243263876.000000,,319651376.000000,95065198527.000000,7963382864.000000,132240707576.000000,,500000000000.000000,1571000000.000000,15601928582.000000,500000000.000000,15101928582.000000,15601928582.000000,3414246521.000000,-1062117178.000000,519525057925.000000,651765765501.000000,5000000000.000000
12M 2021,,11196661981.000000,,410077650000.000000,192831356825.000000,602909006825.000000,8453389590.000000,49095904110.000000,52882865237.000000,247156875.000000,30133594.000000,612669540.000000,10638873695.000000,736066661447.000000,,,18191770199.000000,35340931686.000000,7586370007.000000,7586370007.000000,,7586370007.000000,337954148.000000,,484626440.000000,128480996119.000000,5934626014.000000,196357274613.000000,,500000000000.000000,1571000000.000000,24907568906.000000,1000000000.000000,23907568906.000000,24907568906.000000,3662624320.000000,9568193608.000000,539709386834.000000,736066661447.000000,5000000000.000000
12M 2022,,257372134168.000000,,417077650000.000000,243831772863.000000,660909422863.000000,13309224550.000000,42915101963.000000,62167073551.000000,395531798.000000,6476021.000000,546817434.000000,1288067845.000000,1038909850193.000000,,,26138441609.000000,35313765817.000000,8287750970.000000,8287750970.000000,,8287750970.000000,358257928.000000,247999733333.000000,5580056410.000000,167474392812.000000,6390530597.000000,497542929476.000000,,500000000000.000000,1571000000.000000,27918872113.000000,1500000000.000000,26418872113.000000,27918872113.000000,3957992965.000000,7919055637.000000,541366920715.000000,1038909850191.000000,5000000000.000000
12M 2023,,264808046020.000000,,384077650000.000000,316769604030.000000,700847254030.000000,15794381252.000000,71325138702.000000,59249763784.000000,403380553.000000,,616414272.000000,1707150670.000000,1114751529283.000000,,,38258527711.000000,36713664719.000000,7450902942.000000,7450902942.000000,,7450902942.000000,582661020.000000,248461333333.000000,5121224118.000000,221482528396.000000,9248939435.000000,567319781674.000000,,500000000000.000000,1571000000.000000,31268423080.000000,2000000000.000000,29268423080.000000,31268423080.000000,4081973665.000000,10510350864.000000,547431747609.000000,1114751529283.000000,5000000000.000000
12M 2024,,264162325574.000000,,404477650000.000000,352989300946.000000,757466950946.000000,6824545315.000000,54399318136.000000,42050166950.000000,918535049.000000,,782385026.000000,4885986445.000000,1131490213441.000000,,,15219755132.000000,4367455546.000000,10490081902.000000,10490081902.000000,,10490081902.000000,159247621.000000,248922933333.000000,5639581105.000000,287858257254.000000,10073314309.000000,582730626202.000000,,500000000000.000000,1571000000.000000,31472394359.000000,2500000000.000000,28972394359.000000,31472394359.000000,4400074295.000000,11316118585.000000,548759587239.000000,1131490213441.000000,5000000000.000000
