Period,Total Pendapatan,Premi Bruto,Premi Reasuransi,Penurunan (Kenaikan) Premi Yang Belum Merupakan Pendapatan,Hasil Investasi,Total Pendapatan,Total Beban Usaha,Beban Umum Dan Administrasi,Beban Akuisisi,Beban Pemasaran,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2019,63325777561.0,50683041471.0,-15192146220.0,-3329444931.0,31164327241.0,63325777561.0,-61863732623.0,-24365791469.0,-12428270852.0,-122475894.0,-24947194408.0,-61863732623.0,1462044938.0,1297407010.0,1305654303.0,-5652819.0,-2594474.0,1297407010.0,2759451948.0,166344448.0,2925796396.0,2884684033.0,5810480429.0,2925796396.0,2870759989.0,55036407.0,2925796396.0,5810480429.0,5726597182.0,83883247.0,5810480429.0
12M 2020,85028258823.0,75859569558.0,-18935860527.0,3693992642.0,24410557150.0,85028258823.0,-82514027338.0,-27215861975.0,-17455486267.0,-266735833.0,-37575943263.0,-82514027338.0,2514231485.0,9102242453.0,9789168378.0,-27012540.0,-659913385.0,9102242453.0,11616473938.0,149613277.0,11766087215.0,-4024190066.0,7741897149.0,11766087215.0,11524962822.0,241124393.0,11766087215.0,7741897149.0,7541104851.0,200792298.0,7741897149.0
12M 2021,107367266073.0,76665844286.0,-12363379158.0,250365878.0,42814435067.0,107367266073.0,-110024339961.0,-27428257214.0,-17395649380.0,-172701398.0,-65027731969.0,-110024339961.0,-2657073888.0,11945393079.0,11942751823.0,-14001300.0,16642556.0,11945393079.0,9288319191.0,158322055.0,9446641246.0,10737687663.0,20184328909.0,9446641246.0,9305640324.0,141000922.0,9446641246.0,20184328909.0,19935951110.0,248377799.0,20184328909.0
12M 2022,166910409892.0,149461798172.0,-25016256473.0,112307510.0,42352560683.0,166910409892.0,-159464062232.0,-27259193976.0,-29793353089.0,-595885154.0,-101815630013.0,-159464062232.0,7446347660.0,-4198216721.0,9716802500.0,-13586042790.0,-328976431.0,-4198216721.0,3248130939.0,73972977.0,3322103916.0,-1664570036.0,1657533880.0,3322103916.0,3011303207.0,310800709.0,3322103916.0,1657533881.0,1362165236.0,295368645.0,1657533881.0
12M 2023,187693759660.0,146056759483.0,-5832887184.0,-361994414.0,47831881775.0,187693759660.0,-188303282940.0,-30988501699.0,-32902439994.0,-783870674.0,-123628470573.0,-188303282940.0,-609523280.0,3901059670.0,24361265354.0,-20020770059.0,-439435625.0,3901059670.0,3291536390.0,155820578.0,3447356968.0,2617469926.0,6064826894.0,3447356968.0,3349550967.0,97806001.0,3447356968.0,6064826894.0,5940846194.0,123980700.0,6064826894.0
12M 2024,321839896819.0,295593912166.0,-1444803264.0,101136768.0,27589651149.0,321839896819.0,-310851125421.0,-43858269053.0,-67596800218.0,-678298556.0,-198717757594.0,-310851125421.0,10988771398.0,-10669374786.0,9812259169.0,-20020022362.0,-461611593.0,-10669374786.0,319396612.0,194536229.0,513932841.0,813906789.0,1327839630.0,513932841.0,203971279.0,309961562.0,513932841.0,1327839630.0,1009739000.0,318100630.0,1327839630.0
