Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Usaha,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Bagian Atas Hasil Bersih Entitas Asosiasi,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Operasi Yang Dihentikan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2012,10776919000000.0,-9158704000000.0,1618215000000.0,-872140000000.0,-919111000000.0,46971000000.0,-872140000000.0,746075000000.0,-167183000000.0,29807000000.0,-201395000000.0,4405000000.0,-167183000000.0,578892000000.0,-173963000000.0,404929000000.0,1037000000.0,405966000000.0,3230000000.0,409196000000.0,405966000000.0,373535000000.0,32431000000.0,405966000000.0,409196000000.0,374611000000.0,34585000000.0,409196000000.0
12M 2013,13878602000000.000000,-11854831000000.000000,2023771000000.000000,-1122749000000.000000,-1171596000000.000000,48847000000.000000,-1122749000000.000000,901022000000.000000,-135016000000.000000,68819000000.000000,-208183000000.000000,4348000000.000000,-135016000000.000000,766006000000.000000,-201994000000.000000,564012000000.000000,,564012000000.000000,2300000000.000000,566312000000.000000,564012000000.000000,526490000000.000000,37522000000.000000,564012000000.000000,566312000000.000000,528644000000.000000,37668000000.000000,566312000000.000000
12M 2014,16076412000000.000000,-13762866000000.000000,2313546000000.000000,-1445602000000.000000,-1507185000000.000000,61583000000.000000,-1445602000000.000000,867944000000.000000,-168985000000.000000,106806000000.000000,-281074000000.000000,5283000000.000000,-168985000000.000000,698959000000.000000,-186199000000.000000,512760000000.000000,,512760000000.000000,-133198000000.000000,379562000000.000000,512760000000.000000,487188000000.000000,25572000000.000000,512760000000.000000,379562000000.000000,360426000000.000000,19136000000.000000,379562000000.000000
12M 2015,16639689000000.000000,-14341164000000.000000,2298525000000.000000,-1585809000000.000000,-1761105000000.000000,175296000000.000000,-1585809000000.000000,712716000000.000000,-211303000000.000000,108279000000.000000,-323862000000.000000,4280000000.000000,-211303000000.000000,501413000000.000000,-193654000000.000000,307759000000.000000,,307759000000.000000,-193761000000.000000,113998000000.000000,307759000000.000000,284946000000.000000,22813000000.000000,307759000000.000000,113998000000.000000,85046000000.000000,28952000000.000000,113998000000.000000
12M 2016,17722543000000.000000,-15091592000000.000000,2630951000000.000000,-1794132000000.000000,-1947129000000.000000,152997000000.000000,-1794132000000.000000,836819000000.000000,-213970000000.000000,115979000000.000000,-334636000000.000000,4687000000.000000,-213970000000.000000,622849000000.000000,-212553000000.000000,410296000000.000000,,410296000000.000000,8120000000.000000,418416000000.000000,410296000000.000000,360751000000.000000,49545000000.000000,410296000000.000000,418416000000.000000,397765000000.000000,20651000000.000000,418416000000.000000
12M 2017,16086087000000.0,-14250889000000.0,1835198000000.0,-1039110000000.0,-1126093000000.0,86983000000.0,-1039110000000.0,796088000000.0,-314213000000.0,98589000000.0,-436849000000.0,24047000000.0,-314213000000.0,481875000000.0,-194087000000.0,287788000000.0,124838000000.0,412626000000.0,81889000000.0,494515000000.0,412626000000.0,384404000000.0,28222000000.0,412626000000.0,494515000000.0,470404000000.0,24111000000.0,494515000000.0
12M 2018,15893585000000.0,-14741445000000.0,1152140000000.0,-663733000000.0,-943831000000.0,280098000000.0,-663733000000.0,488407000000.0,-262905000000.0,135661000000.0,-458994000000.0,60428000000.0,-262905000000.0,225502000000.0,-178771000000.0,46731000000.0,3655104000000.0,3701835000000.0,151944000000.0,3853779000000.0,3701835000000.0,3660250000000.0,41585000000.0,3701835000000.0,3853779000000.0,3812327000000.0,41452000000.0,3853779000000.0
12M 2019,16818172000000.0,-15402387000000.0,1415785000000.0,-870156000000.0,-969083000000.0,98927000000.0,-870156000000.0,545629000000.0,140180000000.0,162410000000.0,-29426000000.0,7196000000.0,140180000000.0,685809000000.0,-183241000000.0,502568000000.0,-36320000000.0,466248000000.0,-16309000000.0,449939000000.0,466248000000.0,433065000000.0,33183000000.0,466248000000.0,449939000000.0,416048000000.0,33891000000.0,449939000000.0
12M 2020,11181671000000.0,-10133038000000.0,1048633000000.0,-703927000000.0,-801203000000.0,97276000000.0,-703927000000.0,344706000000.0,-61242000000.0,119483000000.0,-62175000000.0,-118550000000.0,-61242000000.0,283464000000.0,-93039000000.0,190425000000.0,-56853000000.0,133572000000.0,-39266000000.0,94306000000.0,133572000000.0,118331000000.0,15241000000.0,133572000000.0,94306000000.0,78602000000.0,15704000000.0,94306000000.0
12M 2021,12908103000000.0,-11711877000000.0,1196226000000.0,-719314000000.0,-840894000000.0,121580000000.0,-719314000000.0,476912000000.0,57325000000.0,88012000000.0,-56181000000.0,25494000000.0,57325000000.0,534237000000.0,-110403000000.0,423834000000.0,-12086000000.0,411748000000.0,45688000000.0,457436000000.0,411748000000.0,411735000000.0,13000000.0,411748000000.0,457436000000.0,457423000000.0,13000000.0,457436000000.0
