Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Premi,Piutang Pembiayaan Konsumen,Piutang Sewa Pembiayaan,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Pembiayaan Konsumen,Piutang Premi,Piutang Sewa Pembiayaan,Investasi Pada Entitas Asosiasi,Aset Pajak Tangguhan,Aset Tetap,Goodwill,Aset Tak Berwujud,Aset Reasuransi,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Pinjaman Jangka Pendek,Utang Usaha,Pihak Ketiga,Total Utang Usaha,Utang Lain-Lain,Utang Pajak,Utang Reasuransi,Beban Akrual,Estimasi Liabilitas Klaim,Liabilitas Derivatif,Bagian Lancar Atas Liabilitas Jangka Panjang,Liabilitas Derivatif,Pinjaman Jangka Panjang,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Pinjaman Jangka Panjang,Utang Obligasi,Liabilitas Derivatif,Surat Berharga Jangka Menengah,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Obligasi Konversi,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2012,,,1191806000000.000000,375909000000.000000,18333000000.000000,357576000000.000000,375909000000.000000,,1601290000000.000000,483223000000.000000,118705000000.000000,7500000000.000000,111205000000.000000,118705000000.000000,176904000000.000000,314323000000.000000,4262160000000.000000,,1243487000000.000000,,448766000000.000000,35680000000.000000,19498000000.000000,1772208000000.000000,857633000000.000000,48748000000.000000,,381884000000.000000,4807904000000.000000,9070064000000.000000,,,3883585000000.000000,97805000000.000000,,647618000000.000000,647618000000.000000,184154000000.000000,102756000000.000000,,62056000000.000000,,,,,2789196000000.000000,2789196000000.000000,,3883585000000.000000,3349275000000.000000,,2240044000000.000000,,,,2240044000000.000000,1010000000000.000000,37341000000.000000,61890000000.000000,3349275000000.000000,7232860000000.000000,,1287000000000.000000,,370900000000.000000,,,370900000000.000000,257405000000.000000,-78101000000.000000,1837204000000.000000,9070064000000.000000,1287000.000000
12M 2013,,,1102749000000.000000,535599000000.000000,,535599000000.000000,535599000000.000000,,1917630000000.000000,584024000000.000000,192161000000.000000,,192161000000.000000,192161000000.000000,356860000000.000000,184255000000.000000,4873278000000.000000,,1400216000000.000000,,521643000000.000000,39323000000.000000,31869000000.000000,2643746000000.000000,1140360000000.000000,36561000000.000000,,533249000000.000000,6346967000000.000000,11220245000000.000000,,,4478387000000.000000,514634000000.000000,,697096000000.000000,697096000000.000000,277065000000.000000,87203000000.000000,,114024000000.000000,,,,,2788365000000.000000,2788365000000.000000,,4478387000000.000000,2347284000000.000000,,2235542000000.000000,,,,2235542000000.000000,,27848000000.000000,83894000000.000000,2347284000000.000000,6825671000000.000000,,2231482000000.000000,1466851000000.000000,894759000000.000000,,,894759000000.000000,250329000000.000000,-448847000000.000000,4394574000000.000000,11220245000000.000000,4462963276.000000
12M 2014,,,1421735000000.000000,871415000000.000000,,871415000000.000000,871415000000.000000,,2083251000000.000000,651916000000.000000,292017000000.000000,,292017000000.000000,292017000000.000000,683770000000.000000,196922000000.000000,6201026000000.000000,,1767375000000.000000,,686962000000.000000,42683000000.000000,67834000000.000000,3214402000000.000000,1164854000000.000000,24374000000.000000,,780667000000.000000,7749151000000.000000,13950177000000.000000,,,4207258000000.000000,355950000000.000000,,885619000000.000000,885619000000.000000,387845000000.000000,25791000000.000000,,138505000000.000000,,,,2557000000.000000,2365474000000.000000,2368031000000.000000,45517000000.000000,4207258000000.000000,4482760000000.000000,,1797944000000.000000,2472753000000.000000,71286000000.000000,,4341983000000.000000,,3679000000.000000,137098000000.000000,4482760000000.000000,8690018000000.000000,,2231482000000.000000,1466851000000.000000,1366010000000.000000,105298000000.000000,1260712000000.000000,1366010000000.000000,721506000000.000000,-525690000000.000000,5260159000000.000000,13950177000000.000000,4462963276.000000
12M 2015,,,1483587000000.000000,936935000000.000000,,936935000000.000000,936935000000.000000,,1905376000000.000000,679703000000.000000,356290000000.000000,,356290000000.000000,356290000000.000000,744853000000.000000,347671000000.000000,6454415000000.000000,,1411674000000.000000,,674323000000.000000,46655000000.000000,170971000000.000000,3351007000000.000000,1164854000000.000000,29493000000.000000,,1177011000000.000000,8025988000000.000000,14480403000000.000000,,,4048546000000.000000,502765000000.000000,,1060039000000.000000,1060039000000.000000,473915000000.000000,27206000000.000000,,158797000000.000000,,,,23173000000.000000,1763757000000.000000,1786930000000.000000,38894000000.000000,4048546000000.000000,5091610000000.000000,,2071278000000.000000,2753847000000.000000,69126000000.000000,,4894251000000.000000,,2393000000.000000,194966000000.000000,5091610000000.000000,9140156000000.000000,,2231482000000.000000,1466851000000.000000,1639196000000.000000,105298000000.000000,1533898000000.000000,1639196000000.000000,749094000000.000000,-746376000000.000000,5340247000000.000000,14480403000000.000000,4462963276.000000
12M 2016,,,1285079000000.000000,743662000000.000000,,,743662000000.000000,89122000000.000000,1725396000000.000000,614216000000.000000,,,,,709536000000.000000,551573000000.000000,5718584000000.000000,,1939151000000.000000,,952671000000.000000,55289000000.000000,99171000000.000000,3520883000000.000000,1193544000000.000000,14339000000.000000,135636000000.000000,1296957000000.000000,9207641000000.000000,14926225000000.000000,,,4427840000000.000000,547043000000.000000,,961707000000.000000,961707000000.000000,304873000000.000000,43850000000.000000,58538000000.000000,148999000000.000000,82531000000.000000,,,38404000000.000000,2134734000000.000000,2173138000000.000000,107161000000.000000,4427840000000.000000,4850913000000.000000,,1611695000000.000000,2695855000000.000000,15420000000.000000,299636000000.000000,4622606000000.000000,,5405000000.000000,222902000000.000000,4850913000000.000000,9278753000000.000000,,2231482000000.000000,1468694000000.000000,1919595000000.000000,105298000000.000000,1814297000000.000000,1919595000000.000000,770485000000.000000,-742784000000.000000,5647472000000.000000,14926225000000.000000,4462963276.000000
12M 2017,,,1241107000000.000000,895168000000.000000,,,895168000000.000000,99801000000.000000,,,,,,,534471000000.000000,407092000000.000000,3177639000000.000000,,,,,936338000000.000000,125206000000.000000,3390300000000.000000,769859000000.000000,11372000000.000000,156295000000.000000,1173567000000.000000,6562937000000.000000,9740576000000.000000,,,2161452000000.000000,233124000000.000000,,963271000000.000000,963271000000.000000,199682000000.000000,45480000000.000000,44865000000.000000,174907000000.000000,120169000000.000000,,,35271000000.000000,236591000000.000000,271862000000.000000,108092000000.000000,2161452000000.000000,2954079000000.000000,,2662193000000.000000,,23899000000.000000,,2686092000000.000000,,118000000.000000,267869000000.000000,2954079000000.000000,5115531000000.000000,,2231482000000.000000,1470582000000.000000,1502487000000.000000,105298000000.000000,1397189000000.000000,1502487000000.000000,103796000000.000000,-683302000000.000000,4625045000000.000000,9740576000000.000000,4462963276.000000
12M 2018,,,4032146000000.000000,717837000000.000000,,,717837000000.000000,81569000000.000000,,,,,,,636691000000.000000,545763000000.000000,6014006000000.000000,,,,,958182000000.000000,83154000000.000000,2832408000000.000000,769859000000.000000,52962000000.000000,253492000000.000000,979344000000.000000,5929401000000.000000,11943407000000.000000,,,2826059000000.000000,254862000000.000000,,1024167000000.000000,1024167000000.000000,189751000000.000000,714462000000.000000,42496000000.000000,173823000000.000000,236692000000.000000,,,434000000.000000,82496000000.000000,82930000000.000000,106876000000.000000,2826059000000.000000,347878000000.000000,,9572000000.000000,,,,9572000000.000000,,2049000000.000000,336257000000.000000,347878000000.000000,3173937000000.000000,,2231482000000.000000,1484370000000.000000,5164910000000.000000,105298000000.000000,5059612000000.000000,5164910000000.000000,145235000000.000000,-256527000000.000000,8769470000000.000000,11943407000000.000000,4462963276.000000
12M 2019,,,1829008000000.000000,563537000000.000000,,,563537000000.000000,90950000000.000000,,,,,,,553019000000.000000,485297000000.000000,3521811000000.000000,,,,,939827000000.000000,102456000000.000000,2868386000000.000000,764859000000.000000,46381000000.000000,227868000000.000000,1092093000000.000000,6041870000000.000000,9563681000000.000000,,,1754995000000.000000,168622000000.000000,,821831000000.000000,821831000000.000000,146847000000.000000,21030000000.000000,37806000000.000000,182891000000.000000,202157000000.000000,,,,50364000000.000000,50364000000.000000,123447000000.000000,1754995000000.000000,542381000000.000000,,186468000000.000000,,,,186468000000.000000,,3728000000.000000,352185000000.000000,542381000000.000000,2297376000000.000000,,2231482000000.000000,1484742000000.000000,3526949000000.000000,105298000000.000000,3421651000000.000000,3526949000000.000000,179115000000.000000,-155983000000.000000,7266305000000.000000,9563681000000.000000,4462963276.000000
12M 2020,,,1630591000000.000000,257613000000.000000,,,257613000000.000000,115056000000.000000,,,,,,,249311000000.000000,517147000000.000000,2769718000000.000000,,,,,779883000000.000000,79709000000.000000,2815811000000.000000,754859000000.000000,76525000000.000000,747337000000.000000,1185996000000.000000,6440120000000.000000,9209838000000.000000,,,1798275000000.000000,37290000000.000000,,551902000000.000000,551902000000.000000,125106000000.000000,2458000000.000000,50849000000.000000,147222000000.000000,639488000000.000000,,,,123163000000.000000,123163000000.000000,120797000000.000000,1798275000000.000000,1087683000000.000000,,523651000000.000000,,934000000.000000,,524585000000.000000,,,563098000000.000000,1087683000000.000000,2885958000000.000000,,2231482000000.000000,1482730000000.000000,3196837000000.000000,105298000000.000000,3091539000000.000000,3196837000000.000000,49000000.000000,-587218000000.000000,6323880000000.000000,9209838000000.000000,4462963276.000000
12M 2021,,,1848427000000.000000,260815000000.000000,,,260815000000.000000,114603000000.000000,,,,,,,148177000000.000000,671936000000.000000,3043958000000.000000,,,,,855759000000.000000,65282000000.000000,2898963000000.000000,721859000000.000000,99753000000.000000,957653000000.000000,1226507000000.000000,6825776000000.000000,9869734000000.000000,,,2107057000000.000000,61000000000.000000,,720297000000.000000,720297000000.000000,95272000000.000000,18044000000.000000,67033000000.000000,172779000000.000000,609784000000.000000,,,,208466000000.000000,208466000000.000000,154382000000.000000,2107057000000.000000,1503711000000.000000,,707333000000.000000,,708000000.000000,,708041000000.000000,,,795670000000.000000,1503711000000.000000,3610768000000.000000,,2231482000000.000000,1482234000000.000000,3108270000000.000000,115298000000.000000,2992972000000.000000,3108270000000.000000,49000000.000000,-563069000000.000000,6258966000000.000000,9869734000000.000000,4462963276.000000
