Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2012,0.00,1227505.05,0.00,523246.31,"5,676 B","3,250 B","8,926 B","7,734 B",379 B
12M 2013,1.38,928.59,1.93,664.88,"6,091 B","2,236 B","8,327 B","7,224 B",395 B
12M 2014,0.78,1016.96,1.05,750.49,"5,089 B","4,342 B","9,431 B","8,010 B","1,994 B"
12M 2015,0.48,1028.72,0.64,761.11,"4,053 B","4,894 B","8,948 B","(1,484 B)","2,406 B"
12M 2016,0.75,1092.77,1.00,822.12,"4,855 B","4,623 B","9,478 B","8,192 B","1,291 B"
12M 2017,0.96,1013.06,1.16,838.01,742 B,"2,686 B","3,428 B","2,187 B","1,016 B"
12M 2018,0.47,1932.40,0.52,1748.03,420 B,10 B,430 B,"(3,602 B)","3,188 B"
12M 2019,0.42,1588.00,0.47,1406.23,269 B,186 B,456 B,"(1,373 B)","1,767 B"
12M 2020,0.35,1416.96,0.40,1230.67,284 B,525 B,808 B,(822 B),971 B
12M 2021,0.82,1402.41,0.94,1218.32,478 B,708 B,"1,186 B",(662 B),937 B
12M 2022,0.81,1386.34,0.82,1365.49,7 B,,7 B,"(1,992 B)","1,709 B"
12M 2023,0.77,1369.46,0.78,1347.17,7 B,,7 B,"(1,705 B)","1,615 B"
12M 2024,0.71,1390.68,0.72,1367.72,10 B,,10 B,"(1,858 B)","1,616 B"
