Period,Total Pendapatan,Premi Bruto,Premi Reasuransi,Penurunan (Kenaikan) Premi Yang Belum Merupakan Pendapatan,Others,Total Penurunan (Kenaikan) Premi Yang Belum Merupakan Pendapatan,Pendapatan Komisi,Hasil Investasi,Others,Total Pendapatan,Total Beban Usaha,Klaim Bruto,Klaim Reasuransi,Beban Komisi,Beban Underwriting,Beban Usaha,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,239576339000.000000,238719697000.000000,-24421412000.000000,-6967098000.000000,,-6967098000.000000,,28596649000.000000,3648503000.000000,239576339000.000000,-205754749000.000000,-101914300000.000000,4118176000.000000,-53963881000.000000,,-40062117000.000000,-13932627000.000000,-205754749000.000000,33821590000.000000,,33821590000.000000,-3992406000.000000,29829184000.000000,,,,,29829184000.000000,29829184000.000000,,29829184000.000000,,,,
12M 2009,254568266000.000000,244674572000.000000,-23663072000.000000,-2685287000.000000,,-2685287000.000000,,33607929000.000000,2634124000.000000,254568266000.000000,-199665100000.000000,-102645573000.000000,3994054000.000000,-51348465000.000000,,-41693550000.000000,-7971566000.000000,-199665100000.000000,54903166000.000000,,54903166000.000000,-5710614000.000000,49192552000.000000,,,,,49192552000.000000,49192552000.000000,,49192552000.000000,,,,
12M 2010,277764025000.000000,290659555000.000000,-28459348000.000000,-16551087000.000000,,-16551087000.000000,,29999157000.000000,2115748000.000000,277764025000.000000,-209967940000.000000,-120935681000.000000,11526893000.000000,-55008874000.000000,,-48920830000.000000,3370552000.000000,-209967940000.000000,67796085000.000000,,67796085000.000000,-8433644000.000000,59362441000.000000,,,,,59362441000.000000,59362441000.000000,,59362441000.000000,,,,
12M 2011,367391047000.000000,377299508000.000000,-34362945000.000000,-32218839000.000000,,-32218839000.000000,,54297562000.000000,2375761000.000000,367391047000.000000,-257996334000.000000,-128742104000.000000,6130816000.000000,-64676922000.000000,,-55087598000.000000,-15620526000.000000,-257996334000.000000,109394713000.000000,,109394713000.000000,-13928550000.000000,95466163000.000000,-7359135000.000000,-7359135000.000000,-7359135000.000000,88107028000.000000,95466163000.000000,95466163000.000000,,95466163000.000000,88107028000.000000,88107028000.000000,,88107028000.000000
12M 2012,441491099000.000000,496024031000.000000,-43096656000.000000,,-4953976000.000000,-4953976000.000000,,71628318000.000000,-78110618000.000000,441491099000.000000,-268948602000.000000,-174638016000.000000,13996693000.000000,-9619747000.000000,,-75312984000.000000,-23374548000.000000,-268948602000.000000,172542497000.000000,,172542497000.000000,-25399816000.000000,147142681000.000000,8260437000.000000,8260437000.000000,8260437000.000000,155403118000.000000,147142681000.000000,147142681000.000000,,147142681000.000000,155403118000.000000,155403118000.000000,,155403118000.000000
12M 2013,497183977000.000000,555122707000.000000,-35170542000.000000,,-11203585000.000000,-11203585000.000000,,84516871000.000000,-96081474000.000000,497183977000.000000,-321210920000.000000,-236942362000.000000,19506537000.000000,-6207742000.000000,,-87114556000.000000,-10452797000.000000,-321210920000.000000,175973057000.000000,,175973057000.000000,-23203441000.000000,152769616000.000000,-25999382000.000000,-25999382000.000000,-25999382000.000000,126770234000.000000,152769616000.000000,152769616000.000000,,152769616000.000000,126770234000.000000,126770234000.000000,,126770234000.000000
12M 2014,571071098000.000000,587647577000.000000,-55404466000.000000,,-16946927000.000000,-16946927000.000000,,114059666000.000000,-58284752000.000000,571071098000.000000,-422425950000.000000,-315628961000.000000,26493750000.000000,-27772377000.000000,,-110654138000.000000,5135776000.000000,-422425950000.000000,148645148000.000000,,148645148000.000000,-8680907000.000000,139964241000.000000,-6266570000.000000,-6266570000.000000,-6266570000.000000,133697671000.000000,139964241000.000000,139964241000.000000,,139964241000.000000,133697671000.000000,133697671000.000000,,133697671000.000000
12M 2015,757076355000.000000,906518019000.000000,-243992013000.000000,,3184548000.000000,3184548000.000000,,146025707000.000000,-54659906000.000000,757076355000.000000,-545127304000.000000,-404001995000.000000,71778326000.000000,-28708085000.000000,,-188684235000.000000,4488685000.000000,-545127304000.000000,211949051000.000000,,211949051000.000000,-18198799000.000000,193750252000.000000,-4492987000.000000,-4492987000.000000,-4492987000.000000,189257265000.000000,193750252000.000000,193750252000.000000,,193750252000.000000,189257265000.000000,189257265000.000000,,189257265000.000000
12M 2016,748068685000.000000,981897319000.000000,-369426113000.000000,,22783758000.000000,22783758000.000000,,165959430000.000000,-53145709000.000000,748068685000.000000,-609221859000.000000,-405692202000.000000,65157375000.000000,-31268377000.000000,,-238394680000.000000,976025000.000000,-609221859000.000000,138846826000.000000,,138846826000.000000,-8540404000.000000,130306422000.000000,124925358000.000000,124925358000.000000,124925358000.000000,255231780000.000000,130306422000.000000,130306422000.000000,,130306422000.000000,255231780000.000000,255231780000.000000,,255231780000.000000
12M 2017,768738025000.000000,1459984104000.000000,-803033947000.000000,,-18872000.000000,-18872000.000000,,101405731000.000000,10401009000.000000,768738025000.000000,-633024148000.000000,-644903560000.000000,298952988000.000000,16580021000.000000,-53961056000.000000,-224093055000.000000,-25599486000.000000,-633024148000.000000,135713877000.000000,,135713877000.000000,-12523967000.000000,123189910000.000000,7073411000.000000,7073411000.000000,7073411000.000000,130263321000.000000,123189910000.000000,123189910000.000000,,123189910000.000000,130263321000.000000,130263321000.000000,,130263321000.000000
12M 2018,728317736000.000000,1616030333000.000000,-887562397000.000000,,-26884569000.000000,-26884569000.000000,,21373999000.000000,5360370000.000000,728317736000.000000,-673984388000.000000,-765645627000.000000,444457356000.000000,-64075872000.000000,,-242653981000.000000,-46066264000.000000,-673984388000.000000,54333348000.000000,,54333348000.000000,-26086433000.000000,28246915000.000000,-55951335000.000000,-55951335000.000000,-55951335000.000000,-27704420000.000000,28246915000.000000,28246915000.000000,,28246915000.000000,-27704420000.000000,-27704420000.000000,,-27704420000.000000
12M 2019,779573143000.000000,1981123687000.000000,-1149054802000.000000,,-13309705000.000000,-13309705000.000000,,54455361000.000000,-93641398000.000000,779573143000.000000,-700639614000.000000,-746903813000.000000,432730673000.000000,-97287880000.000000,,-255384370000.000000,-33794224000.000000,-700639614000.000000,78933529000.000000,,78933529000.000000,-5873219000.000000,73060310000.000000,51729320000.000000,51729320000.000000,51729320000.000000,124789630000.000000,73060310000.000000,73060310000.000000,,73060310000.000000,124789630000.000000,124789630000.000000,,124789630000.000000
12M 2020,767768686000.000000,2036966460000.000000,-1287966593000.000000,,15803622000.000000,15803622000.000000,,53453038000.000000,-50487841000.000000,767768686000.000000,-643913485000.000000,-764550263000.000000,490011026000.000000,-39055989000.000000,,-335949835000.000000,5631576000.000000,-643913485000.000000,123855201000.000000,,123855201000.000000,-16601935000.000000,107253266000.000000,98073349000.000000,98073349000.000000,98073349000.000000,205326615000.000000,107253266000.000000,107253266000.000000,,107253266000.000000,205326615000.000000,205326615000.000000,,205326615000.000000
