Period,Days Sales Outstanding (Annual),Days Inventory (Annual),Payables Period (Annual),Cash Conversion Cycle (Annual),Receivables Turnover (Annual),Receivables Turnover (TTM),Inventory Turnover (Annual),Inventory Turnover (TTM),Fixed Assets Turnover (Annual),Fixed Assets Turnover (TTM),Asset Turnover (Annual),Asset Turnover (TTM),Working Capital Turnover (Annual),Working Capital Turnover (TTM),Working Capital Ratio (Annual)
12M 2008,,,,,,,,,,18.96,,0.56,,,0.0
12M 2009,,,,,,,,,19.58,18.96,0.54,0.52,,,0.0
12M 2010,,,,,,,,,22.56,23.22,0.48,0.45,,,0.0
12M 2011,,,,,,,,,33.61,33.62,0.43,0.39,,,0.0
12M 2012,,,,,,,,,11.8,11.38,0.37,0.33,,,0.0
12M 2013,,,,,,,,,7.64,7.55,0.35,0.34,,,0.0
12M 2014,,,,,,,,,7.91,7.23,0.36,0.36,,,0.0
12M 2015,,,,,,,,,9.77,9.79,0.35,0.29,,,0.0
12M 2016,,,,,,,,,5.95,4.42,0.25,0.24,,,0.0
12M 2017,,,,,,,,,4.49,4.53,0.21,0.19,,,0.0
12M 2018,,,,,,,,,4.43,4.55,0.18,0.17,,,0.0
12M 2019,,,,,,,,,4.98,10.25,0.18,0.34,,,0.0
12M 2020,,,,,,,,,5.33,5.28,0.16,0.16,,,0.0
12M 2021,,,,,,,,,5.86,5.86,0.17,0.17,,,0.0
12M 2022,,,,,,,,,6.84,7.02,0.19,0.18,,,0.0
12M 2023,,,,,,,,,7.54,7.56,0.19,0.18,,,0.0
12M 2024,,,,,,,,,8.78,8.93,0.2,0.19,,,0.0
