Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Premi,Penerimaan Klaim Reasuransi,Penerimaan (Pembayaran) Lain-Lain,Penerimaan Lain-Lain,Pembayaran Lain-Lain,Total Penerimaan (Pembayaran) Lain-Lain,Penerimaan Piutang Pihak Berelasai,Pembayaran Klaim,Penerimaan Komisi,Pembayaran Komisi,Pembayaran Kas Kepada Direksi Dan Karyawan,Pembayaran Premi Reasuransi,Pembayaran Beban Usaha,Pembayaran Beban Pajak,Penerimaan Dari Pengembalian Pajak,Pembayaran Pajak Penghasilan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Pencairan Deposito Berjangka,Penempatan Deposito Berjangka,Pencairan Reksadana,Penempatan Reksadana,Pencairan Efek Tersedia Untuk Dijual,Penempatan Efek Tersedia Untuk Dijual,Penempatan Efek Yang Dibeli Dengan Janji Dijual Kembali,Pencairan Efek Yang Dibeli Dengan Janji Untuk Dijual Kembali,Pencairan Efek Diperdagangkan,Pencairan Efek Dimiliki Hingga Jatuh Tempo,Penempatan Efek Diperdagangkan,Pelepasan Penyertaan Dalam Bentuk Saham,Penerimaan Hasil Investasi,Penerimaan Hasil Bunga,Penerimaan Hasil Investasi,Total Penerimaan Hasil Investasi,Penerimaan Dari Penjualan Investasi,Penerimaan Dividen Dari Perusahaan Lain,Hasil Penjualan Aset Tetap,Perolehan Aset Tetap,Penerimaan Dari Penghentian Aset Tak Berwujud,Perolehan Aset Tak Berwujud,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari Penawaran Umum Terbatas I,Penambahan Modal Disetor,Penerimaan Dari Pelaksanaan Warran,Saham Treasuri,Pembayaran Dividen Tunai,Pembayaran Utang Sewa Guna Usaha,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2008,56172266000.000000,257461508000.000000,5756976000.000000,,3530235000.000000,,3530235000.000000,,-101959423000.000000,,-53620595000.000000,-20592601000.000000,-21066713000.000000,-12096097000.000000,-1241024000.000000,,,56172266000.000000,-61510905000.000000,369679180000.000000,-482209980000.000000,,,68951800000.000000,,-63000000000.000000,23000000000.000000,,,,,25004559000.000000,,,25004559000.000000,,-34915000.000000,239052000.000000,-3140601000.000000,,,-61510905000.000000,-420000000.000000,,,,,,-420000000.000000,-420000000.000000,-5758639000.000000,18978280000.000000,,13219641000.000000
12M 2009,30946786000.000000,240922523000.000000,3055579000.000000,,2483502000.000000,,2483502000.000000,,-104024154000.000000,,-48631918000.000000,-24026537000.000000,-22650205000.000000,-9956422000.000000,-6225582000.000000,,,30946786000.000000,-34603750000.000000,518578600000.000000,-626753300000.000000,120000000000.000000,-120000000000.000000,38000000000.000000,-53000000000.000000,,60000000000.000000,,,,,30286793000.000000,,,30286793000.000000,,-74400000.000000,413206000.000000,-2054649000.000000,,,-34603750000.000000,-633325000.000000,,,,,,-633325000.000000,-633325000.000000,-4290289000.000000,13219641000.000000,,8929352000.000000
12M 2010,102930868000.000000,330165660000.000000,10027740000.000000,,2115748000.000000,,2115748000.000000,,-108416172000.000000,,-53628960000.000000,-28508877000.000000,-27827480000.000000,-13916899000.000000,-7079892000.000000,,,102930868000.000000,-121652144000.000000,388412100000.000000,-514551180000.000000,,,10000000000.000000,-72000154000.000000,,8000000000.000000,58860000000.000000,,-42857506000.000000,17419921000.000000,27213844000.000000,,,27213844000.000000,,78746000.000000,97625000.000000,-2325540000.000000,,,-121652144000.000000,21109588000.000000,,21790288000.000000,,,,-680700000.000000,21109588000.000000,2388312000.000000,8929352000.000000,,11317664000.000000
12M 2011,154466471000.000000,420798499000.000000,6106325000.000000,,2322275000.000000,,2322275000.000000,,-112773375000.000000,,-65413482000.000000,-35921358000.000000,-34244837000.000000,-13520929000.000000,-12886647000.000000,,,154466471000.000000,-353149601000.000000,834122130000.000000,-1127716400000.000000,,,220786011000.000000,-313791000000.000000,,,9501536000.000000,,-25963840000.000000,,52088133000.000000,,,52088133000.000000,,104392000.000000,155925000.000000,-2436488000.000000,,,-353149601000.000000,196967495000.000000,211699645000.000000,,,,-14366450000.000000,-365700000.000000,196967495000.000000,-1715635000.000000,11317664000.000000,,9602029000.000000
12M 2012,199750799000.000000,495414929000.000000,16161964000.000000,,2942956000.000000,,2942956000.000000,,-172321923000.000000,,-9426140000.000000,-49960469000.000000,-46214582000.000000,-13611373000.000000,-23234563000.000000,,,199750799000.000000,-213407796000.000000,,-132250000000.000000,,,98171668000.000000,-168816014000.000000,,,,,-19950125000.000000,,65969621000.000000,,,65969621000.000000,,131419000.000000,392000000.000000,-57056365000.000000,,,-213407796000.000000,-29005839000.000000,,,1334000.000000,,-28732898000.000000,-274275000.000000,-29005839000.000000,-42662836000.000000,736761529000.000000,711200000.000000,694809893000.000000
12M 2013,96601830000.000000,464841682000.000000,18761324000.000000,,-2531318000.000000,,-2531318000.000000,,-239434673000.000000,,-6154414000.000000,-54465623000.000000,-40091061000.000000,-23581988000.000000,-20742099000.000000,,,96601830000.000000,-55708213000.000000,51450000000.000000,,,,55690000000.000000,-249967389000.000000,,,18752960000.000000,,,,76616942000.000000,,,76616942000.000000,,135107000.000000,536755000.000000,-8922588000.000000,,,-55708213000.000000,-29917519000.000000,,,4896710000.000000,,-34814229000.000000,,-29917519000.000000,10976098000.000000,694809893000.000000,5573730000.000000,711359721000.000000
12M 2014,19768454000.000000,488020033000.000000,22161056000.000000,,1993311000.000000,,1993311000.000000,,-315656518000.000000,,-26621089000.000000,-67387543000.000000,-47540628000.000000,-21076116000.000000,-14124052000.000000,,,19768454000.000000,60177287000.000000,11000000000.000000,-16000000000.000000,,,2000000000.000000,,,,,,-23000000000.000000,,,106336076000.000000,347630000.000000,106683706000.000000,,157296000.000000,992850000.000000,-21656565000.000000,,,60177287000.000000,37704948000.000000,,,73754542000.000000,,-35191627000.000000,-857967000.000000,37704948000.000000,117650689000.000000,711359721000.000000,899865000.000000,829910275000.000000
12M 2015,29114979000.000000,855249078000.000000,65594961000.000000,,16129152000.000000,-1555600000.000000,14573552000.000000,,-405802908000.000000,,-42727815000.000000,-104181022000.000000,-249072818000.000000,-69094744000.000000,-35423305000.000000,,,29114979000.000000,-273325280000.000000,14389501000.000000,-167090553000.000000,,,102519633000.000000,-299199483000.000000,,,167866300000.000000,,-230311872000.000000,,,141715335000.000000,270619000.000000,141985954000.000000,,2294320000.000000,1143850000.000000,-6922930000.000000,,,-273325280000.000000,-33726939000.000000,,,,,-33227330000.000000,-499609000.000000,-33726939000.000000,-277937240000.000000,989929402000.000000,1358287000.000000,713350449000.000000
12M 2016,-49487215000.000000,915438776000.000000,52576823000.000000,,9227026000.000000,-814920000.000000,8412106000.000000,,-395498105000.000000,,-30711582000.000000,-178341953000.000000,-359599867000.000000,-50588347000.000000,-11175066000.000000,,,-49487215000.000000,-484863887000.000000,270901052000.000000,-30200000000.000000,,,291768680000.000000,-496020251000.000000,,,175298972000.000000,,,,,163625935000.000000,63422000000.000000,227047935000.000000,,2967096000.000000,918492000.000000,-11298388000.000000,,-916247475000.000000,-484863887000.000000,-499607000.000000,,,,,,-499607000.000000,-499607000.000000,-534850709000.000000,713350448000.000000,-3333826000.000000,175165913000.000000
12M 2017,71805602000.000000,1320086126000.000000,294308868000.000000,,63257165000.000000,,63257165000.000000,,-643900006000.000000,,-43054280000.000000,-143561371000.000000,-719127166000.000000,-48467058000.000000,-7736676000.000000,,,71805602000.000000,30988600000.000000,-66210783000.000000,,,,,,,,,,,,,84098615000.000000,,84098615000.000000,,3088501000.000000,1041809000.000000,8970458000.000000,,,30988600000.000000,-40045731000.000000,,,,,-40012420000.000000,-33311000.000000,-40045731000.000000,62748471000.000000,175165913000.000000,1442201000.000000,239356585000.000000
