Period,Aset,Kas Dan Setara Kas,Others,Total Kas Dan Setara Kas,Deposito Berjangka,Pihak Berelasi,Pihak Ketiga,Total Deposito Berjangka,Efek Tersedia Untuk Dijual,Pihak Berelasi,Pihak Ketiga,Total Efek Tersedia Untuk Dijual,Piutang Premi,Pihak Berelasi,Pihak Ketiga,Others,Total Piutang Premi,Piutang Reasuransi,Pihak Berelasi,Pihak Ketiga,Others,Total Piutang Reasuransi,Aset Pajak Tangguhan,Aset Reasuransi,Aset Tetap,Aset Tak Berwujud,Others,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Utang Klaim,Pihak Berelasi,Pihak Ketiga,Total Utang Klaim,Utang Reasuransi,Pihak Berelasi,Pihak Ketiga,Total Utang Reasuransi,Utang Pajak,Utang Lain-Lain,Beban Akrual,Utang Sewa Pembiayaan,Pihak Berelasi,Total Utang Sewa Pembiayaan,Liabilitas Kontrak Asuransi,Estimasi Liabilitas Klaim,Liabilitas Manfaat Polis Masa Depan,Pihak Berelasi,Pihak Ketiga,Total Liabilitas Manfaat Polis Masa Depan,Premi Yang Belum Merupakan Pendapatan,Pihak Berelasi,Pihak Ketiga,Total Premi Yang Belum Merupakan Pendapatan,Total Liabilitas Kontrak Asuransi,Liabilitas Pajak Tangguhan,Adjustment,Others,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,13219641000.000000,13219641000.000000,,163161500000.000000,34214300000.000000,197375800000.000000,,4267500000.000000,29235000000.000000,33502500000.000000,,1902078000.000000,5640508000.000000,,7542586000.000000,,72000.000000,1047508000.000000,,1047580000.000000,3794220000.000000,,12583055000.000000,,168274855000.000000,437340237000.000000,,,882907000.000000,,882907000.000000,882907000.000000,8384176000.000000,,8384176000.000000,8384176000.000000,5602316000.000000,1831594000.000000,7076343000.000000,735000000.000000,735000000.000000,735000000.000000,117043034000.000000,31323720000.000000,,,,,,53503141000.000000,32216173000.000000,85719314000.000000,117043034000.000000,,,73926884000.000000,215482254000.000000,,121874200000.000000,-234872000.000000,94752903000.000000,,,94752903000.000000,5465752000.000000,221857983000.000000,437340237000.000000,1218742000.000000
12M 2009,,,8929352000.000000,8929352000.000000,,41900000000.000000,265398600000.000000,307298600000.000000,,19975000000.000000,29288178000.000000,49263178000.000000,,3424691000.000000,5414489000.000000,,8839180000.000000,,2317000.000000,968189000.000000,,970506000.000000,4772490000.000000,,13414879000.000000,,112836148000.000000,506324333000.000000,,,300144000.000000,231125000.000000,69019000.000000,300144000.000000,7445701000.000000,,7445701000.000000,7445701000.000000,4014684000.000000,1063593000.000000,13651337000.000000,1320675000.000000,1320675000.000000,1320675000.000000,127699887000.000000,39295286000.000000,,,,,,55143091000.000000,33261510000.000000,88404601000.000000,127699887000.000000,,,79017099000.000000,234513120000.000000,,121874200000.000000,-234872000.000000,143945455000.000000,,,143945455000.000000,6226430000.000000,271811213000.000000,506324333000.000000,1218742000.000000
12M 2010,,,11317664000.000000,11317664000.000000,,49147750000.000000,384166980000.000000,433314730000.000000,,75927090000.000000,34837542000.000000,110764632000.000000,,3237987000.000000,5151100000.000000,,8389087000.000000,,,295988000.000000,,295988000.000000,5488726000.000000,,11206040000.000000,,73579860000.000000,654356727000.000000,,,32605000.000000,11478000.000000,21127000.000000,32605000.000000,5946548000.000000,,5946548000.000000,5946548000.000000,7295062000.000000,13797676000.000000,12942939000.000000,639975000.000000,639975000.000000,639975000.000000,140880422000.000000,35924734000.000000,,,,,,64096888000.000000,40858800000.000000,104955688000.000000,140880422000.000000,,,121856701000.000000,303391928000.000000,,143664488000.000000,-234872000.000000,203307896000.000000,15000000000.000000,188307896000.000000,203307896000.000000,4227287000.000000,350964799000.000000,654356727000.000000,1436644880.000000
12M 2011,,,9602029000.000000,9602029000.000000,,61794200000.000000,665365300000.000000,727159500000.000000,,100515642000.000000,95905862000.000000,196421504000.000000,,2688731000.000000,4485853000.000000,,7174584000.000000,,,357994000.000000,,357994000.000000,7337757000.000000,,10658417000.000000,,93223038000.000000,1051934823000.000000,,,270834000.000000,14625000.000000,256209000.000000,270834000.000000,5922057000.000000,,5922057000.000000,5922057000.000000,9058374000.000000,29516948000.000000,14321413000.000000,274275000.000000,274275000.000000,274275000.000000,188719787000.000000,51545260000.000000,,,,,,92250956000.000000,44923571000.000000,137174527000.000000,188719787000.000000,,,167446113000.000000,415529801000.000000,,287328976000.000000,67800285000.000000,284407609000.000000,18000000000.000000,266407609000.000000,284407609000.000000,-3131848000.000000,636405022000.000000,1051934823000.000000,2873289760.000000
12M 2012,,,5593593000.000000,5593593000.000000,,61900000000.000000,759566300000.000000,821466300000.000000,,69003310000.000000,210759828000.000000,279763138000.000000,,2785768000.000000,19076042000.000000,-3800932000.000000,18060878000.000000,,,3681699000.000000,-320948000.000000,3360751000.000000,,38763028000.000000,64155475000.000000,,118294225000.000000,1349457388000.000000,,,2586927000.000000,2486102000.000000,100825000.000000,2586927000.000000,8087328000.000000,,8087328000.000000,8087328000.000000,5802473000.000000,56038720000.000000,16400054000.000000,,,,465069619000.000000,102072206000.000000,,200385350000.000000,8872930000.000000,209258280000.000000,,107530346000.000000,46208787000.000000,153739133000.000000,465069619000.000000,703827000.000000,,29546526000.000000,584235474000.000000,,287329738000.000000,67800857000.000000,402817392000.000000,21000000000.000000,381817392000.000000,402817392000.000000,7273927000.000000,765221914000.000000,1349457388000.000000,2873297383.000000
12M 2013,,,9788721000.000000,9788721000.000000,,75337800000.000000,707033200000.000000,782371000000.000000,,31536000000.000000,414888673000.000000,446424673000.000000,,6501583000.000000,15677155000.000000,-2324386000.000000,19854352000.000000,,19431000.000000,5884028000.000000,-1797493000.000000,4105966000.000000,5351228000.000000,42883364000.000000,66062956000.000000,,101886128000.000000,1478728388000.000000,,,94615000.000000,11571000.000000,83044000.000000,94615000.000000,3166808000.000000,,3166808000.000000,3166808000.000000,6762380000.000000,69544942000.000000,15290535000.000000,,,,487033917000.000000,115358463000.000000,,197381558000.000000,8064302000.000000,205445860000.000000,,113809923000.000000,52419671000.000000,166229594000.000000,487033917000.000000,,,34760562000.000000,616653759000.000000,,290127858000.000000,75348949000.000000,520772779000.000000,24000000000.000000,496772779000.000000,520772779000.000000,-24174957000.000000,862074629000.000000,1478728388000.000000,2901278585.000000
12M 2014,,,12044162000.000000,12044162000.000000,,52900000000.000000,850766113000.000000,903666113000.000000,,30115650000.000000,416752272000.000000,446867922000.000000,,16054258000.000000,17891910000.000000,-3210698000.000000,30735470000.000000,,49246000.000000,10407969000.000000,-3121916000.000000,7335299000.000000,2152011000.000000,37761762000.000000,78305203000.000000,,132914545000.000000,1651782487000.000000,,,67059000.000000,9613000.000000,57446000.000000,67059000.000000,8819913000.000000,253448000.000000,8566465000.000000,8819913000.000000,5464191000.000000,63786073000.000000,18816289000.000000,833327000.000000,833327000.000000,833327000.000000,477964705000.000000,95880303000.000000,,177222731000.000000,12464368000.000000,189687099000.000000,,121611133000.000000,70786170000.000000,192397303000.000000,477964705000.000000,,,41695715000.000000,617447272000.000000,,332273310000.000000,106958039000.000000,625545393000.000000,27000000000.000000,598545393000.000000,625545393000.000000,-30441527000.000000,1034335215000.000000,1651782487000.000000,3322733109.000000
12M 2015,,,18403579000.000000,18403579000.000000,,53400000000.000000,920047921000.000000,973447921000.000000,,10040800000.000000,646872699000.000000,656913499000.000000,,42923471000.000000,85821895000.000000,-11130196000.000000,117615170000.000000,,,24752833000.000000,-4240967000.000000,20511866000.000000,18390203000.000000,239311278000.000000,76680401000.000000,,506537847000.000000,2627811764000.000000,,,2277476000.000000,168894000.000000,2108582000.000000,2277476000.000000,79724869000.000000,,79724869000.000000,79724869000.000000,4217726000.000000,63901437000.000000,32701643000.000000,433318000.000000,433318000.000000,433318000.000000,588515579000.000000,239759307000.000000,,,,,,174387468000.000000,174368804000.000000,348756272000.000000,588515579000.000000,,,347512993000.000000,1119285041000.000000,,500155252000.000000,263076098000.000000,788599111000.000000,30000000000.000000,758599111000.000000,788599111000.000000,-43303738000.000000,1508526723000.000000,2627811764000.000000,5001552516.000000
12M 2016,,,52831381000.000000,52831381000.000000,,,160134532000.000000,160134532000.000000,,,885128475000.000000,885128475000.000000,,9299000.000000,159273506000.000000,-2433173000.000000,156849632000.000000,,427083000.000000,51312745000.000000,-891750000.000000,50848078000.000000,26920594000.000000,703379396000.000000,174883737000.000000,908612495000.000000,316800137000.000000,3436388457000.000000,,,19308586000.000000,,19308586000.000000,19308586000.000000,135560262000.000000,26620699000.000000,108939563000.000000,135560262000.000000,6030663000.000000,51953799000.000000,46859504000.000000,33311000.000000,33311000.000000,33311000.000000,1100118684000.000000,591199743000.000000,,,,,,1623638000.000000,507295303000.000000,508918941000.000000,1100118684000.000000,,,312765145000.000000,1672629954000.000000,,500155252000.000000,263076098000.000000,918880707000.000000,33000000000.000000,885880707000.000000,918880707000.000000,81646446000.000000,1763758503000.000000,3436388457000.000000,5001552516.000000
12M 2017,,61418035000.000000,,61418035000.000000,,,213640345000.000000,213640345000.000000,,,1160297830000.000000,1160297830000.000000,278139048000.000000,,,,278139048000.000000,74960041000.000000,,,,74960041000.000000,16093235000.000000,922386090000.000000,167302129000.000000,908562620000.000000,84161567000.000000,3886960940000.000000,,,20312140000.000000,,20312140000.000000,20312140000.000000,219467043000.000000,,,219467043000.000000,2950305000.000000,57679755000.000000,46983996000.000000,,,,1344743736000.000000,795810268000.000000,,,,,548933468000.000000,,,548933468000.000000,1344743736000.000000,,,340814561000.000000,2032951536000.000000,,500155252000.000000,263076098000.000000,1002058197000.000000,36000000000.000000,966058197000.000000,1002058197000.000000,88719857000.000000,1854009404000.000000,3886960940000.000000,5001552516.000000
