Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Deposito Berjangka,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Pajak Tangguhan,Pembibitan,Aset Tetap,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Beban Akrual,Utang Pajak,Utang Pemegang Saham,Utang Obligasi,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Pihak Ketiga,Pihak Berelasi,Total Utang Sewa Pembiayaan,Utang Lain Jangka Panjang,Pihak Ketiga,Pihak Berelasi,Total Utang Lain Jangka Panjang,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Pajak Tangguhan,Liabilitas Derivatif,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Pihak Ketiga,Pihak Berelasi,Total Utang Sewa Pembiayaan,Utang Lain Jangka Panjang,Pihak Ketiga,Pihak Berelasi,Total Utang Lain Jangka Panjang,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2010,,,80165521000.000000,4002920000.000000,4002920000.000000,4002920000.000000,118846235000.000000,59487036000.000000,59359199000.000000,118846235000.000000,,28938279000.000000,94683776000.000000,326636731000.000000,,8896232000.000000,45621109000.000000,1065889749000.000000,138213624000.000000,1258620714000.000000,1585257445000.000000,,,170807784000.000000,15000000000.000000,,38755490000.000000,,38755490000.000000,,27897190000.000000,8291077000.000000,36188267000.000000,16321190000.000000,6927551000.000000,4577727000.000000,,,46637359000.000000,5216776000.000000,,,5216776000.000000,,,,,51854135000.000000,1183424000.000000,170807784000.000000,833521131000.000000,,,,695508042000.000000,6219620000.000000,,,6219620000.000000,121767438000.000000,,,121767438000.000000,10026031000.000000,833521131000.000000,1004328915000.000000,,102000000000.000000,,13306370000.000000,,,13306370000.000000,9708000.000000,465612452000.000000,580928530000.000000,1585257445000.000000,142000.000000
12M 2011,,,197731797000.000000,6480554000.000000,6480554000.000000,6480554000.000000,201513806000.000000,26330414000.000000,175183392000.000000,201513806000.000000,,35639370000.000000,20255517000.000000,461621044000.000000,,10348808000.000000,40738615000.000000,2189127995000.000000,107531458000.000000,2347746876000.000000,2809367920000.000000,,,538854454000.000000,40000000000.000000,,50286340000.000000,,50286340000.000000,,24079472000.000000,324778017000.000000,348857489000.000000,29574212000.000000,17175742000.000000,3999619000.000000,,,39026646000.000000,7564030000.000000,,,7564030000.000000,,,,,46590676000.000000,2370376000.000000,538854454000.000000,1187763920000.000000,,,,993493702000.000000,4449647000.000000,,,4449647000.000000,170714450000.000000,,,170714450000.000000,19106121000.000000,1187763920000.000000,1726618374000.000000,,142000000000.000000,,40469438000.000000,,,40469438000.000000,-783776000.000000,901063884000.000000,1082749546000.000000,2809367920000.000000,142000.000000
12M 2012,,,259046646000.000000,3346482000.000000,3346482000.000000,3346482000.000000,52713603000.000000,52713603000.000000,,52713603000.000000,,78076689000.000000,22909653000.000000,416093073000.000000,,1894289000.000000,36680668000.000000,2813287587000.000000,19278824000.000000,2871141368000.000000,3287234441000.000000,,,457212409000.000000,21700000000.000000,,74446786000.000000,,74446786000.000000,,62705614000.000000,,62705614000.000000,30693373000.000000,16769374000.000000,,,,68421646000.000000,9006927000.000000,,,9006927000.000000,154720000000.000000,,,154720000000.000000,232148573000.000000,18748689000.000000,457212409000.000000,1938282381000.000000,220034896000.000000,16984602000.000000,,1049163464000.000000,6148060000.000000,,,6148060000.000000,615217000000.000000,,,615217000000.000000,30734359000.000000,1938282381000.000000,2395494790000.000000,,492798600000.000000,224259850000.000000,-42835400000.000000,,,-42835400000.000000,74173000.000000,217442428000.000000,891739651000.000000,3287234441000.000000,4927986000.000000
12M 2013,,,411052372000.000000,3994529000.000000,3994529000.000000,3994529000.000000,89982594000.000000,89982594000.000000,,89982594000.000000,,42340386000.000000,29227245000.000000,576597126000.000000,,3776915000.000000,40824911000.000000,3346477961000.000000,23217912000.000000,3414297699000.000000,3990894825000.000000,,,535300070000.000000,41000000000.000000,,52671542000.000000,,52671542000.000000,,63743851000.000000,,63743851000.000000,45207143000.000000,11281025000.000000,,,,126032715000.000000,7356344000.000000,,,7356344000.000000,,78009600000.000000,95695697000.000000,173705297000.000000,307094356000.000000,14302153000.000000,535300070000.000000,1908689000000.000000,195282523000.000000,37174674000.000000,,1374317947000.000000,3779176000.000000,,,3779176000.000000,,253532358000.000000,,253532358000.000000,44602322000.000000,1908689000000.000000,2443989070000.000000,,703998000000.000000,530058866000.000000,-459928841000.000000,,,-459928841000.000000,48541000.000000,772729189000.000000,1546905755000.000000,3990894825000.000000,7039980000.000000
12M 2014,,,171363300000.000000,8456706000.000000,8456706000.000000,8456706000.000000,154409754000.000000,154409754000.000000,,154409754000.000000,,40937571000.000000,39426918000.000000,414594249000.000000,,1098756000.000000,16510590000.000000,3786661891000.000000,4770487000.000000,3809041724000.000000,4223635973000.000000,,,480562655000.000000,41000000000.000000,,56792428000.000000,,56792428000.000000,,57065526000.000000,,57065526000.000000,27661914000.000000,17874140000.000000,,,,176182381000.000000,,9272083000.000000,626041000.000000,9898124000.000000,,87524345000.000000,,87524345000.000000,273604850000.000000,6563797000.000000,480562655000.000000,2062617507000.000000,271504628000.000000,14514183000.000000,,1523140653000.000000,,10601109000.000000,667221000.000000,11268330000.000000,,92149692000.000000,92106901000.000000,184256593000.000000,57933120000.000000,2062617507000.000000,2543180162000.000000,,711954036000.000000,526162099000.000000,-291670252000.000000,,,-291670252000.000000,-181879000.000000,734191807000.000000,1680455811000.000000,4223635973000.000000,7119540356.000000
12M 2015,,,49438562000.000000,3556508000.000000,3556508000.000000,3556508000.000000,30396334000.000000,30396334000.000000,,30396334000.000000,,73311263000.000000,47271441000.000000,203974108000.000000,,956033000.000000,8844972000.000000,4309021209000.000000,174143026000.000000,4492965240000.000000,4696939348000.000000,,,904699012000.000000,368699100000.000000,,65284481000.000000,,65284481000.000000,,84372260000.000000,,84372260000.000000,48683235000.000000,8170360000.000000,,,,189450000000.000000,,11250733000.000000,555058000.000000,11805791000.000000,,,108304385000.000000,108304385000.000000,309560176000.000000,19929400000.000000,904699012000.000000,2104976758000.000000,278662499000.000000,,,1655445859000.000000,,10368873000.000000,112162000.000000,10481035000.000000,,102186897000.000000,,102186897000.000000,58200468000.000000,2104976758000.000000,3009675770000.000000,,711954036000.000000,526379808000.000000,-336737906000.000000,,,-336737906000.000000,1040073000.000000,784627567000.000000,1687263578000.000000,4696939348000.000000,7119540356.000000
12M 2016,,,439520994000.000000,5886697000.000000,5886697000.000000,5886697000.000000,19188640000.000000,19188640000.000000,,19188640000.000000,550000000000.000000,35902062000.000000,9942949000.000000,1060441342000.000000,,956028000.000000,5692628000.000000,2743120683000.000000,50565098000.000000,2800334437000.000000,3860775779000.000000,,,330446795000.000000,,,21570440000.000000,,21570440000.000000,,64658667000.000000,,64658667000.000000,39249541000.000000,45783998000.000000,,,,131230000000.000000,,5684910000.000000,84273000.000000,5769183000.000000,,,,,136999183000.000000,22184966000.000000,330446795000.000000,1204015405000.000000,260349195000.000000,,,890626342000.000000,,2204333000.000000,,2204333000.000000,,,,,50835535000.000000,1204015405000.000000,1534462200000.000000,,711954036000.000000,531154469000.000000,371758261000.000000,,,371758261000.000000,927620000.000000,710519193000.000000,2326313579000.000000,3860775779000.000000,7119540356.000000
12M 2017,,,117908238000.000000,2359866000.000000,2359866000.000000,2359866000.000000,13564920000.000000,13564920000.000000,,13564920000.000000,,32256049000.000000,10427308000.000000,176516381000.000000,,991061000.000000,5370798000.000000,2626749237000.000000,39466603000.000000,2672577699000.000000,2849094080000.000000,,,324526289000.000000,,,25183346000.000000,,25183346000.000000,,56113605000.000000,,56113605000.000000,17799703000.000000,9090518000.000000,,,,203913000000.000000,,4623713000.000000,,4623713000.000000,,,,,208536713000.000000,7802404000.000000,324526289000.000000,984258273000.000000,229925739000.000000,,,673423134000.000000,,5639119000.000000,,5639119000.000000,,,,,75270281000.000000,984258273000.000000,1308784562000.000000,,106793105000.000000,531154469000.000000,267463958000.000000,5000000000.000000,262463958000.000000,267463958000.000000,848323000.000000,634049663000.000000,1540309518000.000000,2849094080000.000000,7119540356.000000
12M 2018,,,98438402000.000000,1135881000.000000,1135881000.000000,1135881000.000000,24833560000.000000,24833560000.000000,,24833560000.000000,,11531770000.000000,18500494000.000000,154440107000.000000,,863218000.000000,1890643000.000000,808538076000.000000,1026812370000.000000,1838104307000.000000,1992544414000.000000,,,102794199000.000000,,,7219490000.000000,,7219490000.000000,,165303000.000000,,165303000.000000,6623315000.000000,12532260000.000000,,,,75670000000.000000,,354110000.000000,,354110000.000000,,,,,76024110000.000000,229721000.000000,102794199000.000000,277003135000.000000,99679404000.000000,,,143840010000.000000,,233506000.000000,,233506000.000000,,,,,33250215000.000000,277003135000.000000,379797334000.000000,,106793105000.000000,531154469000.000000,372477233000.000000,6000000000.000000,366477233000.000000,372477233000.000000,717733000.000000,601604540000.000000,1612747080000.000000,1992544414000.000000,7119540356.000000
12M 2019,,,54697298000.000000,3547266000.000000,3547266000.000000,3547266000.000000,14293279000.000000,14293279000.000000,,14293279000.000000,,7226466000.000000,15268665000.000000,95032974000.000000,,330510000.000000,190257000.000000,554764481000.000000,1679997519000.000000,2235282767000.000000,2330315741000.000000,,,99844021000.000000,,,4834595000.000000,,4834595000.000000,,56542000.000000,,56542000.000000,5553917000.000000,2028363000.000000,,,,86940000000.000000,,233506000.000000,,233506000.000000,,,,,87173506000.000000,197098000.000000,99844021000.000000,163055758000.000000,74418004000.000000,,,54740000000.000000,,,,,,,,,33897754000.000000,163055758000.000000,262899779000.000000,,106793105000.000000,531154469000.000000,346978754000.000000,6000000000.000000,340978754000.000000,346978754000.000000,16481000.000000,1082473153000.000000,2067415962000.000000,2330315741000.000000,7119540356.000000
