Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Usaha,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2011,399571017000.000000,-238604554000.000000,160966463000.000000,-74054264000.000000,,-74054264000.000000,86912199000.000000,-50374022000.000000,,-50374022000.000000,-50374022000.000000,36538177000.000000,-11661642000.000000,-13114218000.000000,1452576000.000000,-11661642000.000000,24876535000.000000,667201177000.000000,667201177000.000000,667201177000.000000,692077712000.000000,24876535000.000000,27163068000.000000,-2286533000.000000,24876535000.000000,692077712000.000000,694364245000.000000,-2286533000.000000,692077712000.000000
12M 2012,599235242000.000000,-457127884000.000000,142107358000.000000,-98780480000.000000,,-98780480000.000000,43326878000.000000,-122635715000.000000,,-122635715000.000000,-122635715000.000000,-79308837000.000000,-7508218000.000000,-10052338000.000000,2544120000.000000,-7508218000.000000,-86817055000.000000,-84068454000.000000,-84068454000.000000,-84068454000.000000,-170885509000.000000,-86817055000.000000,-83304838000.000000,-3512217000.000000,-86817055000.000000,-170885509000.000000,-167441858000.000000,-3443651000.000000,-170885509000.000000
12M 2013,710567871000.000000,-519365576000.000000,191202295000.000000,-105647243000.000000,,-105647243000.000000,85555052000.000000,-487525797000.000000,,-487525797000.000000,-487525797000.000000,-401970745000.000000,-15157105000.000000,-7307062000.000000,-7850043000.000000,-15157105000.000000,-417127850000.000000,189673809000.000000,189673809000.000000,189673809000.000000,-227454041000.000000,-417127850000.000000,-417093441000.000000,-34409000.000000,-417127850000.000000,-227454041000.000000,-227428409000.000000,-25632000.000000,-227454041000.000000
12M 2014,1057575868000.000000,-703260836000.000000,354315032000.000000,-120759436000.000000,,-120759436000.000000,233555596000.000000,-57676661000.000000,,-57676661000.000000,-57676661000.000000,175878935000.000000,-7726617000.000000,-7088787000.000000,-637830000.000000,-7726617000.000000,168152318000.000000,-48176131000.000000,,-48176131000.000000,119976187000.000000,168152318000.000000,168258589000.000000,-106271000.000000,168152318000.000000,119976187000.000000,120097627000.000000,-121440000.000000,119976187000.000000
12M 2015,1046536241000.000000,-719070581000.000000,327465660000.000000,-125364181000.000000,-125364181000.000000,-125364181000.000000,202101479000.000000,-261506631000.000000,,-261506631000.000000,-261506631000.000000,-59405152000.000000,4163030000.000000,-8803866000.000000,12966896000.000000,4163030000.000000,-55242122000.000000,54466120000.000000,54466120000.000000,54466120000.000000,-776002000.000000,-55242122000.000000,-55206476000.000000,-35646000.000000,-55242122000.000000,-776002000.000000,-742002000.000000,-34000000.000000,-776002000.000000
12M 2016,1169777700000.000000,-835338065000.000000,334439635000.000000,-147188793000.000000,-147188793000.000000,-147188793000.000000,187250842000.000000,63399891000.000000,,63399891000.000000,63399891000.000000,250650733000.000000,-31551166000.000000,-47461193000.000000,15910027000.000000,-31551166000.000000,219099567000.000000,-79008003000.000000,-79008003000.000000,-79008003000.000000,140091564000.000000,219099567000.000000,219214425000.000000,-114858000.000000,219099567000.000000,140091564000.000000,140204017000.000000,-112453000.000000,140091564000.000000
12M 2017,759994916000.000000,-507181001000.000000,252813915000.000000,-96751976000.000000,-96751976000.000000,-96751976000.000000,156061939000.000000,-80576110000.000000,,-80576110000.000000,-80576110000.000000,75485829000.000000,-7270138000.000000,-9699329000.000000,2429191000.000000,-7270138000.000000,68215691000.000000,-86053732000.000000,-86053732000.000000,-86053732000.000000,-17838041000.000000,68215691000.000000,68286973000.000000,-71282000.000000,68215691000.000000,-17838041000.000000,-17758744000.000000,-79297000.000000,-17838041000.000000
12M 2018,446646667000.000000,-332520353000.000000,114126314000.000000,-137479661000.000000,-137479661000.000000,-137479661000.000000,-23353347000.000000,-63333824000.000000,,-63333824000.000000,-63333824000.000000,-86687171000.000000,-24811597000.000000,-17569650000.000000,-7241947000.000000,-24811597000.000000,-111498768000.000000,-3785731000.000000,-3785731000.000000,-3785731000.000000,-115284499000.000000,-111498768000.000000,-111414418000.000000,-84350000.000000,-111498768000.000000,-115284499000.000000,-115200149000.000000,-84350000.000000,-115284499000.000000
12M 2019,189158260000.000000,-146919044000.000000,42239216000.000000,-66992481000.000000,-66992481000.000000,-66992481000.000000,-24753265000.000000,-46842143000.000000,,-46842143000.000000,-46842143000.000000,-71595408000.000000,869392000.000000,,869392000.000000,869392000.000000,-70726016000.000000,476221410000.000000,476221410000.000000,476221410000.000000,405495394000.000000,-70726016000.000000,-70724206000.000000,-1810000.000000,-70726016000.000000,405495394000.000000,405497204000.000000,-1810000.000000,405495394000.000000
12M 2020,238689151000.000000,-158606212000.000000,80082939000.000000,-49800796000.000000,-49800796000.000000,-49800796000.000000,30282143000.000000,1968502455000.000000,,1968502455000.000000,1968502455000.000000,1998784598000.000000,-5163428000.000000,-6069476000.000000,906048000.000000,-5163428000.000000,1993621170000.000000,23412211000.000000,23412211000.000000,23412211000.000000,2017033381000.000000,1993621170000.000000,1993617292000.000000,3878000.000000,1993621170000.000000,2017033381000.000000,2017029503000.000000,3878000.000000,2017033381000.000000
12M 2021,316685911000.000000,-166543281000.000000,150142630000.000000,-75875177000.000000,-75875177000.000000,-75875177000.000000,74267453000.000000,2002422504000.000000,,2002422504000.000000,2002422504000.000000,2076689957000.000000,-62314505000.000000,-54842239000.000000,-7472266000.000000,-62314505000.000000,2014375452000.000000,-246957574000.000000,-246957574000.000000,-246957574000.000000,1767417878000.000000,2014375452000.000000,2014375469000.000000,-17000.000000,2014375452000.000000,1767417878000.000000,1767417895000.000000,-17000.000000,1767417878000.000000
12M 2022,,,,-31539917000.000000,-31539917000.000000,-31539917000.000000,-31539917000.000000,270748775000.000000,2229972000.000000,268518803000.000000,270748775000.000000,239208858000.000000,341291000.000000,,341291000.000000,341291000.000000,239550149000.000000,32796000.000000,32796000.000000,32796000.000000,239582945000.000000,239550149000.000000,239550152000.000000,-3000.000000,239550149000.000000,239582945000.000000,239582948000.000000,-3000.000000,239582945000.000000
12M 2023,,,,-48254360000.000000,-48254360000.000000,-48254360000.000000,-48254360000.000000,-3256456291000.000000,3064892000.000000,-3259521183000.000000,-3256456291000.000000,-3304710651000.000000,443239000.000000,,443239000.000000,443239000.000000,-3304267412000.000000,-40977000.000000,-40977000.000000,-40977000.000000,-3304308389000.000000,-3304267412000.000000,-3304038343000.000000,-229069000.000000,-3304267412000.000000,-3304308389000.000000,-3304079320000.000000,-229069000.000000,-3304308389000.000000
12M 2024,,,,-60153241000.000000,-60153241000.000000,-60153241000.000000,-60153241000.000000,-1923034103000.000000,3037734000.000000,-1926071837000.000000,-1923034103000.000000,-1983187344000.000000,345487000.000000,,345487000.000000,345487000.000000,-1982841857000.000000,202477000.000000,202477000.000000,202477000.000000,-1982639380000.000000,-1982841857000.000000,-1983034275000.000000,192418000.000000,-1982841857000.000000,-1982639380000.000000,-1982831798000.000000,192418000.000000,-1982639380000.000000
