Period,Arus Kas Dari Aktivitas Operasi,Hasil Penjualan Investasi,Penambahan Investasi,Pembayaran Dividen,Kas Diterima Dari Pelanggan,Pengembalian Jaminan,Penerimaan Dana Plasma Dari Bank,Kas Dibayar Untuk Perkebunan Plasma,"Kas Dibayar Kepada Pemasok, Karyawan Dan Beban Usaha",Kas Dibayar Untuk Karyawan,Kas Yang Dibayar Untuk Pemasok Dan Beban Operasional Lainnya,Kas Dibayar Untuk Beban Operasional Dan Lainnya,Kas Dibayar Untuk Pemasok,Total Kas Yang Dibayar Untuk Pemasok Dan Beban Operasional Lainnya,"Total Kas Dibayar Kepada Pemasok, Karyawan Dan Beban Usaha",Penerimaan Kas Dari:,Bunga,Aset Lain-Lain,Total Penerimaan Kas Dari:,Pembayaran Kas Untuk:,Beban Bunga,Pajak Penghasilan,Total Pembayaran Kas Untuk:,Lain-Lain,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Akuisisi Entitas Anak,Penerimaan Uang Muka Atas Penjualan Investasi Entitas Anak,Penambahan Investasi,Hasil Penjualan Investasi,Hasil Penggantian Asuransi,Hasil Penjualan Aset Tetap,Perolehan Aset Tetap,Penempatan Deposito,Pencairan Deposito,Perolehan Pembibitan,Penurunan Aset Tidak Lancar Lainnya,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Peningkatan Modal Disetor,Penurunan Piutang Iain-Lain - Pihak Berelasi,Peningkatan Piutang Iain-Lain - Pihak Berelasi,Pembayaran Utang Lain-Lain - Pihak Ketiga,Penerimaan Piutang Lain-Lain - Pihak Ketiga,Penerimaan Utang Lain-Lain - Pihak Ketiga,Pembayaran Utang Lain-Lain - Pihak Berelasi,Peningkatan Utang Iain-Lain - Pihak Berelasi,Peningkatan Utang Lain Jangka Panjang,Pembayaran Utang Sewa Pembiayaan,Penerimaan Utang Bank,Pembayaran Utang Bank,Pembayaran Biaya Pinjaman Bank,Saham Treasuri,Penerimaan Utang Obligasi,Pembayaran Utang Obligasi,Pembayaran Biaya Penerbitan Obligasi,Pembayaran Utang Iain-Lain Jangka Panjang,Penerimaan Dari Penerbitan Saham Baru,Penurunan Modal Disetor,Penerimaan Saham Treasuri,Pembayaran Dividen,Pembayaran Dividen Kepada Kepentingan Non-Pengendali,Biaya Emisi Efek Ekuitas,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dekonsolidasi Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2011,116708066000.000000,,,,398280336000.000000,,,,-220042560000.000000,,,,,,-220042560000.000000,,2642682000.000000,,2642682000.000000,,-71580980000.000000,-5587161000.000000,-77168141000.000000,12995749000.000000,116708066000.000000,-263089034000.000000,,,,196862000000.000000,,716730000.000000,-432869902000.000000,,,-37865422000.000000,10067560000.000000,-263089034000.000000,263947244000.000000,,,-115825193000.000000,,,,-8951860000.000000,8610196000.000000,48947012000.000000,-4423590000.000000,592676101000.000000,-257085422000.000000,,,,,,,,,,,,,263947244000.000000,117566276000.000000,80165521000.000000,,197731797000.000000
12M 2012,4571465000.000000,,,,618747626000.000000,,,,-511155796000.000000,,,,,,-511155796000.000000,,4899685000.000000,,4899685000.000000,,-100177840000.000000,-7742210000.000000,-107920050000.000000,,4571465000.000000,-751461013000.000000,,,-385303356000.000000,,,312922000.000000,-354198320000.000000,,,-13893485000.000000,1621226000.000000,-751461013000.000000,226702947000.000000,,175184392000.000000,,-15213947000.000000,,,-52698667000.000000,56232333000.000000,77104000000.000000,-10405502000.000000,85926365000.000000,-62983027000.000000,,,,,,,,,,-20000000000.000000,,-6443000000.000000,226702947000.000000,446618205000.000000,197731797000.000000,,644350002000.000000
12M 2013,-59265333000.000000,,,,712437880000.000000,,21912538000.000000,-48758403000.000000,,,,-87969429000.000000,-505404516000.000000,-593373945000.000000,-593373945000.000000,,6801705000.000000,,6801705000.000000,,-18443390000.000000,-139841718000.000000,-158285108000.000000,,-59265333000.000000,-367185757000.000000,,,,,121582000.000000,,-341276148000.000000,,,-26031191000.000000,,-367185757000.000000,578456816000.000000,887037480000.000000,,,,,,,,45416000000.000000,-9680244000.000000,343613500000.000000,-52351985000.000000,,,,,,-631160600000.000000,,,,,,-4417335000.000000,578456816000.000000,152005726000.000000,259046646000.000000,,411052372000.000000
12M 2014,61829794000.000000,,,,1045857230000.000000,17127000000.000000,,-23454148000.000000,,,,-160121915000.000000,-699095948000.000000,-859217863000.000000,-859217863000.000000,,8274806000.000000,,8274806000.000000,,-122576130000.000000,-4181101000.000000,-126757231000.000000,,61829794000.000000,-538433257000.000000,,,-766927000.000000,19332472000.000000,,737000000.000000,-544850080000.000000,,,-12885722000.000000,,-538433257000.000000,236229131000.000000,,,199606096000.000000,-1159100000.000000,,,-121214967000.000000,,92349695000.000000,-11616630000.000000,344903000000.000000,-125249268000.000000,,,,,,-141389695000.000000,,,,,,,236229131000.000000,-240374332000.000000,411737633000.000000,,171363301000.000000
12M 2015,-52789977000.000000,,,,1064802043000.000000,,,-40730961000.000000,,-277666758000.000000,-585732995000.000000,,,-585732995000.000000,-863399753000.000000,,1108004000.000000,,1108004000.000000,,-202845317000.000000,-11723993000.000000,-214569310000.000000,,-52789977000.000000,-417585450000.000000,,,,,249432000.000000,347083000.000000,-409330787000.000000,,,-8851178000.000000,,-417585450000.000000,348450689000.000000,1250000000.000000,,27288000000.000000,,,,,,,-12679248000.000000,740547260000.000000,-308031022000.000000,,,,,,-99924301000.000000,,,,,,,348450689000.000000,-121924738000.000000,171363300000.000000,,49438562000.000000
12M 2016,40448676000.000000,,,,1169703077000.000000,,,-18259936000.000000,,-284372358000.000000,-584581860000.000000,,,-584581860000.000000,-868954218000.000000,,8221475000.000000,,8221475000.000000,,-244026814000.000000,-6234908000.000000,-250261722000.000000,,40448676000.000000,798104820000.000000,,,,1476063261000.000000,,1774473000.000000,-123928738000.000000,-550000000000.000000,,-5804176000.000000,,798104820000.000000,-448471064000.000000,,,,,417472025000.000000,,-110944799000.000000,,,-16445577000.000000,228200000000.000000,-569360000000.000000,,,,,,-98372018000.000000,,,,-299020695000.000000,,,-448471064000.000000,390082432000.000000,49438562000.000000,,439520994000.000000
12M 2017,93934411000.000000,,,,748929618000.000000,,,-8989996000.000000,,-202213900000.000000,-309346112000.000000,,,-309346112000.000000,-511560012000.000000,,31389747000.000000,,31389747000.000000,,-120992167000.000000,-44842779000.000000,-165834946000.000000,,93934411000.000000,525735178000.000000,,,,61070200000.000000,154325000.000000,3305728000.000000,-81674145000.000000,-80000000000.000000,630000000000.000000,-7120930000.000000,,525735178000.000000,-941282345000.000000,,,,,,,,,,-4961299000.000000,10700000000.000000,-162859000000.000000,,-1082089000.000000,,,,,,-605160931000.000000,,-177919026000.000000,,,-941282345000.000000,-321612756000.000000,439520994000.000000,,117908238000.000000
12M 2018,-76094209000.000000,,,,440297970000.000000,,,-5752447000.000000,,-191912700000.000000,-249059630000.000000,,,-249059630000.000000,-440972330000.000000,,24616810000.000000,,24616810000.000000,,-84229800000.000000,-10054412000.000000,-94284212000.000000,,-76094209000.000000,-115863370000.000000,,,-699284205000.000000,653694522000.000000,,9628251000.000000,-76635467000.000000,,,-3266471000.000000,,-115863370000.000000,172487743000.000000,,,1118700000000.000000,,-7000000000.000000,,,,,-9675216000.000000,115000000000.000000,-772826124000.000000,,-13289707000.000000,,,,,,,,-258421210000.000000,,,172487743000.000000,-19469836000.000000,117908238000.000000,,98438402000.000000
12M 2019,-34635339000.000000,,,,186714252000.000000,,,,,-96581740000.000000,-91105884000.000000,,,-91105884000.000000,-187687624000.000000,,3875826000.000000,,3875826000.000000,,-25099639000.000000,-12438154000.000000,-37537793000.000000,,-34635339000.000000,87817836000.000000,,,-105485220000.000000,227714671000.000000,,738950000.000000,-34803523000.000000,,,-347042000.000000,,87817836000.000000,-96923601000.000000,,,,,,,,,,-354110000.000000,40000000000.000000,-117830010000.000000,,-1049885000.000000,,,,,,,,-17689596000.000000,,,-96923601000.000000,-43741104000.000000,98438402000.000000,,54697298000.000000
12M 2020,54569435000.000000,,,,240068018000.000000,,,,,-75668043000.000000,-100513652000.000000,,,-100513652000.000000,-176181695000.000000,,3479722000.000000,,3479722000.000000,,-12796610000.000000,,-12796610000.000000,,54569435000.000000,264264562000.000000,,,,290583050000.000000,,1551468000.000000,-26499704000.000000,,,-1370252000.000000,,264264562000.000000,-320687785000.000000,,,,,,,,,,-233506000.000000,5000000000.000000,-91940000000.000000,,,,,,,,,,-233502666000.000000,-11613000.000000,,-320687785000.000000,-1853788000.000000,54697298000.000000,,52843510000.000000
