Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Pada Karyawan Dan Pemasok,Pembayaran Pajak Penghasilan,Klaim Asuransi,Pembayaran Beban Keuangan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penerimaan Bunga,Penempatan Investasi,Penarikan Investasi,Penempatan Kas Dibatasi Penggunaannya,Penggunaan Kas Dibatasi Penggunaannya,Penerimaan Dari Kepentinga Non Pengendali,Pembayaran Dividen Entitas Anak,Uang Jaminan,Kas Entitas Anak Yang Diakuisisi,Uang Muka Akuisisi,Pengembalian Uang Muka Akuisisi,Pelepasan Saham Entitas Anak,Penempatan Piutang,Pembelian Saham Diperoleh Kembali,Penjualan Aset Tetap,Perolehan Aset Tetap,Uang Muka Perolehan Aset Tetap,Pengembalian Uang Muka Perolehan Aset Tetap,Akuisisi Entitas Anak,Penerimaan Dari Pelaksanaan Waran,Penjualan Aset Keuangan Tersedia Dijual,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Perubahan Piutang Kepada Pihak Berelasi,Pembayaran Utang Kepada Pihak Berelasi,Penambahan Pinjaman Jangka Panjang,Pembayaran Pinjaman Jangka Panjang,Penambahan Pinjaman Jangka Pendek,Pembayaran Pinjaman Jangka Pendek,Pembayaran Liabilitas Sewa,Pembelian Saham Treasuri,Penambahan Modal Disetor,Pembayaran Dividen Entitas Anak,Penerimaan Dari Pelaksaan Waran,Penerimaan Dari Penawaran Umum Perdana,Penerimaan Dari Penerbitan Instrumen Ekuitas,Biaya Penawaran Umum Perdana,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Entitas Anak Yang Diakuisisi,Kas Dan Setara Kas Akhir Periode
12M 2010,267658152000.000000,513988543000.000000,-221768456000.000000,-6592062000.000000,,-17969873000.000000,267658152000.000000,-22025461000.000000,33624000.000000,,,,,,,,,,,,,,,-22059085000.000000,,,,,,-22025461000.000000,-239816912000.000000,6431725000.000000,-628613998000.000000,,-21609165000.000000,,,,,403974526000.000000,,,,,,-239816912000.000000,5815779000.000000,7714794000.000000,,,13530573000.000000
12M 2011,191856826000.000000,768640327000.000000,-522950348000.000000,-10693088000.000000,,-43140065000.000000,191856826000.000000,-580890133000.000000,547879000.000000,-489665750000.000000,,,,,,,,,,,,,47559706000.000000,-139331968000.000000,,,,,,-580890133000.000000,404300966000.000000,-677102096000.000000,,267750000000.000000,-144576465000.000000,,,,,958229527000.000000,,,,,,404300966000.000000,15267659000.000000,13530573000.000000,,,28798232000.000000
12M 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12M 2013,11460869.000000,60055133.000000,-38369275.000000,-655487.000000,,-9569502.000000,11460869.000000,1796411.000000,14245.000000,,,-10907017.000000,,,,,,,,,,,13317977.000000,-628794.000000,,,,,,1796411.000000,-8913952.000000,-4276459.000000,,,-4637493.000000,,,,,,,,,,,-8913952.000000,4343328.000000,2713081.000000,30440.000000,,7086849.000000
12M 2014,5444489.000000,42051836.000000,-28469839.000000,-603614.000000,,-7533894.000000,5444489.000000,8581064.000000,8509.000000,,,,10482891.000000,,,,,,,,,,20908280.000000,-13177048.000000,-9643818.000000,,,2250.000000,,8581064.000000,-17478226.000000,450498.000000,,,-17928724.000000,,,,,,,,,,,-17478226.000000,-3452673.000000,7086849.000000,25407.000000,-3840.000000,3655743.000000
12M 2015,2892072.000000,40992406.000000,-31498466.000000,-32435.000000,,-6569433.000000,2892072.000000,-7593055.000000,7093.000000,,,,353016.000000,,,,,,,,,,96.000000,-7836554.000000,-116706.000000,,,,,-7593055.000000,4284143.000000,,,20000000.000000,-15715857.000000,10000000.000000,-10000000.000000,,,,,,,,,4284143.000000,-416840.000000,3655743.000000,195263.000000,,3434166.000000
12M 2016,4781112.000000,40453882.000000,-30154868.000000,-79086.000000,,-5438816.000000,4781112.000000,-12716567.000000,98730.000000,,,-9344845.000000,9100664.000000,,,,447159.000000,,,,,,5573.000000,-13023848.000000,,,,,,-12716567.000000,7790962.000000,,,47101193.000000,-39310231.000000,,,,,,,,,,,7790962.000000,-144493.000000,3434166.000000,63752.000000,,3353425.000000
12M 2017,19377719.000000,64724658.000000,-37892889.000000,-63278.000000,,-7390772.000000,19377719.000000,-48370815.000000,22875.000000,-749344.000000,,-8759150.000000,8346638.000000,,,,,,,8719076.000000,,,,-50602974.000000,-6235595.000000,,,,887659.000000,-48370815.000000,31489473.000000,,,70990502.000000,-56861823.000000,18481642.000000,-18481642.000000,,,17359676.000000,,,,1118.000000,,31489473.000000,2496377.000000,3353425.000000,-35271.000000,,5814531.000000
12M 2018,20617994.000000,76032171.000000,-47163805.000000,-19474.000000,,-8230898.000000,20617994.000000,-24832184.000000,170628.000000,-13665000.000000,,-10380742.000000,11065905.000000,,,,,-6167178.000000,,,,,762.000000,-433059.000000,-5423500.000000,,,,,-24832184.000000,2097193.000000,,,70667948.000000,-89570474.000000,13500000.000000,-13500000.000000,,,23682812.000000,-2773600.000000,,,90507.000000,,2097193.000000,-2116997.000000,5814531.000000,-148418.000000,,3549116.000000
12M 2019,40964065.000000,99278486.000000,-45224066.000000,-169420.000000,,-12920935.000000,40964065.000000,-172816579.000000,35423.000000,-15702144.000000,494987.000000,-12053109.000000,12049451.000000,,,-76718.000000,631754.000000,,6167178.000000,,,,,-87369962.000000,-29614822.000000,2875000.000000,-50253617.000000,,,-172816579.000000,134198360.000000,,,193858690.000000,-121908032.000000,126441468.000000,-117252208.000000,,,41647025.000000,,,,11411417.000000,,134198360.000000,2345846.000000,3549116.000000,186652.000000,,6081614.000000
