Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2019,0.00 B,-2829.27,-0.00,0.00,,-0.00%,-0.00%,-0.01%,
12M 2020,0.00 B,-121733.89,-0.00,0.00,,-0.20%,-0.20%,0.00%,
12M 2021,0.00 B,92017.95,0.00,0.00,,9.52%,9.52%,-0.10%,
12M 2022,0.01 B,36499.47,0.00,0.00,764.94 B,0.85%,2.16%,2.58%,1.41
12M 2023,108.00 B,0.98,571.43,2.98,"1,584.96 B",0.21%,0.45%,1.81%,2.37
12M 2024,108.00 B,3.34,137.13,1.69,"2,667.36 B",0.65%,1.44%,2.70%,10.03
