Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Investasi Pada Entitas Asosiasi,Aset Tetap,Properti Pertambangan,Goodwill,Aset Pajak Tangguhan,Aset Tak Berwujud,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Beban Akrual,Utang Pajak,Utang Obligasi,Bagian Lancar Atas Liabilitas Jangka Panjang,Pinjaman Jangka Panjang,Utang Pemegang Saham,Liabilitas Derivatif,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Beban Akrual,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Pinjaman Jangka Panjang,Utang Pemegang Saham,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Obligasi,Liabilitas Pajak Tangguhan,Liabilitas Derivatif,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2019,,,40.000000,,,,,,,,,,40.000000,,482108.000000,,,,,,14506033.000000,14988141.000000,14988181.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175402.000000,,-500.000000,,,-500.000000,,14813279.000000,14988181.000000,14988181.000000,2500.000000
12M 2020,,,84.000000,,,,,,,,,,84.000000,,479313.000000,,,,,,10382696.000000,10862009.000000,10862093.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175402.000000,,-21378.000000,,,-21378.000000,,10708069.000000,10862093.000000,10862093.000000,2500.000000
12M 2021,,,169181.000000,,,,,,,,,,169181.000000,,,,,,,,,,169181.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175402.000000,,-5304.000000,,,-5304.000000,,-917.000000,169181.000000,169181.000000,2500.000000
12M 2022,,,280291055.000000,64181247.000000,64181247.000000,64181247.000000,3365391.000000,3359534.000000,5857.000000,3365391.000000,78914708.000000,42376037.000000,469128438.000000,,255816.000000,917881988.000000,527347795.000000,324918803.000000,1378118.000000,650682.000000,180006234.000000,1952439436.000000,2421567874.000000,,,164437587.000000,,62370322.000000,3688624.000000,66058946.000000,,43733806.000000,,43733806.000000,32193318.000000,2601723.000000,,,4474528.000000,13423583.000000,,1951683.000000,19849794.000000,,164437587.000000,697740367.000000,2083333.000000,,311035809.000000,206759748.000000,77667736.000000,595463293.000000,,93349814.000000,,6843927.000000,697740367.000000,862177954.000000,,605532557.000000,257192537.000000,20001190.000000,,20001190.000000,20001190.000000,602400122.000000,74263514.000000,1559389920.000000,2421567874.000000,8829636.000000
12M 2023,,,290213641.000000,119231169.000000,119231169.000000,119231169.000000,1550743.000000,1550743.000000,,1550743.000000,287696073.000000,85257660.000000,783949286.000000,,226088.000000,1414237588.000000,521044691.000000,358694581.000000,6042195.000000,802020.000000,178079970.000000,2479127133.000000,3263076419.000000,,,358158255.000000,,258840940.000000,3328786.000000,262169726.000000,,,,,83885103.000000,8695954.000000,,,,,,2363764.000000,2363764.000000,1043708.000000,358158255.000000,595430384.000000,3847648.000000,,282848725.000000,183050000.000000,24129620.000000,490028345.000000,,93187444.000000,,8366947.000000,595430384.000000,953588639.000000,,739792644.000000,765543895.000000,26958846.000000,2000.000000,26956846.000000,26958846.000000,777673839.000000,-481444.000000,2309487780.000000,3263076419.000000,107995419900.000000
12M 2024,,,244034440.000000,179100788.000000,179100788.000000,179100788.000000,2947387.000000,2947387.000000,,2947387.000000,275170772.000000,102954247.000000,804207634.000000,,61017604.000000,1582456238.000000,499191249.000000,358694581.000000,5700598.000000,1061958.000000,122891300.000000,2631013528.000000,3435221162.000000,,,419384088.000000,,184352695.000000,15439930.000000,199792625.000000,,,,,79448513.000000,10630236.000000,45778222.000000,,,,385091.000000,79011031.000000,79396122.000000,4338370.000000,419384088.000000,666591231.000000,9894284.000000,,257421147.000000,105300000.000000,26907480.000000,389628627.000000,169689139.000000,87725917.000000,306399.000000,9346865.000000,666591231.000000,1085975319.000000,,739792644.000000,765675594.000000,50011474.000000,3000.000000,50008474.000000,50011474.000000,794697270.000000,-931139.000000,2349245843.000000,3435221162.000000,107995419900.000000
