Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,"Pembayaran Kepada Pemasok, Kontraktor Dan Lain-Lain",Penerimaan Restitusi Pajak Pertambahan Nilai,Pembayaran Biaya Karyawan,Pembayaran Biaya Keuangan,Pembayaran Pajak Penghasilan Badan,Penerimaan Penghasilan Bunga,Penempatan Kas Dan Deposito Berjangka Yang Dibatasi Penggunaanya,Penerimaan Dari Pencairan Kas Dan Deposito Berjangka Yang Dibatasi Penggunaanya,Penerimaan Lain-Lain - Bersih,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,"Akuisisi Entitas Anak, Setelah Dikurangi Kas Yg Diperoleh","Pelepasan Entitas Anak, Setelah Dikurangi Kas Yang Dilepas Karena Kehilangan Pengendalian Pada Entitas Anak",Perolehan Aset Tetap,Pembayaran Atas Uang Muka Investasi,Pinjaman Diberikan Ke Pihak Berelasi,Penempatan Kas Dan Deposito Berjangka Yang Dibatasi Penggunaannya,Penambahan Properti Pertambangan,Penambahan Aset Tidak Berwujud,Penerimaan Hasil Penjualan Aset Tetap,Penerimaan Pituang Pihak Ketiga,Penerimaan Dari Pencairan Kas Dan Deposito Yang Dibatasi Penggunaannya,Pembayaran Jumlah Retensi Atas Akuisisi Entitas Anak,"Akuisisi Entitas Anak, Setelah Dikurangi Kas Yang Diperoleh",Penerimaan Dari Penjualan Investasi Pada Entitas Asosiasi,Penerimaan Kas Dari Akuisisi Entitas Sepengendali,Penambahan Investasi Pada Asosiasi,Penerimaan Dari Pengembalian Uang Muka Investasi,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Penambahan Modal,Penerimaan Dari Utang Obligas,Penerimaan Penambahan Modal Melalui Ipo,Pembayaran Emisi Saham,Pembayaran Pinjaman Dari Pemegang Saham,Penerimaan Pinjaman Dari Pemegang Saham Entitas Anak,Penerimaan Pinjaman Dari Pemegang Saham,Penerimaan Pinjaman Pihak Ketiga,Pembayaran Pinjaman Pihak Ketiga,Penerimaan Pinjaman Dari Pihak Berelasi,Pembayaran Pinjaman Dari Pihak Berelasi,Pembayaran Utang Kepada Pihak Berelasi,Penerimaan Dari Pinjaman Bank,Pembayaran Pinjaman Bank Dan Kredit Fasilitas,Penerimaan Dari Penerbitan Pinjaman Konversi,Pembayaran Dividen Kepada Kepentingan Non-Pengendali,Penerimaan Dari Uang Muka Penyertaan Modal Entitas Anak Dari Kepentingan Non-Pengendali,Pembayaran Up Font Fee,Penerimaan Dari Penerbitan Saham Entitas Anak Kepada Kepentingan Non-Pengendali,Penerimaan Setoran Modal Entitas Anak Dari Kepentingan Non-Pengendali,Pembayaran Beban Yang Berhubungan Dengan Pinjaman,Akuisisi Kepentingan Pada Entitas Anak Dari Kepentingan Non-Pengendali,Pembayaran Liabilitas Sewa,Penempatan Kas Yang Dibatasi Penggunaannya,Penerimaan Dari Pencairan Kas Yang Dibatasi Penggunaannya,Pembayaran Biaya Yang Berhubungan Dengan Utang Obligasi,Pembayaran Biaya Penerbitan Obligasi,Pembayaran Biaya Keuangan,Pengembalian Uang Muka Penyertaan Modal,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Pengurangan Kas Dan Bank Karena Kehilangan Pengendalian,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2019,-102.000000,,,,,-31.000000,,,,,-71.000000,-102.000000,141.000000,141.000000,,,,,,,,,,,,,,,,,141.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.000000,,,1.000000,40.000000
12M 2020,45.000000,,,,,-26.000000,,,,,71.000000,45.000000,4468377.000000,,,,,,,,,,,,,,,,,4468377.000000,4468377.000000,-4468377.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4468377.000000,-4468377.000000,45.000000,40.000000,,-1.000000,84.000000
12M 2021,-5259.000000,,-5383.000000,,,-25.000000,,149.000000,,,,-5259.000000,9963966.000000,,,,,,,,,,,,,,9963966.000000,,,,9963966.000000,-9803593.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9803593.000000,-9803593.000000,155114.000000,84.000000,,13983.000000,169181.000000
12M 2022,108901822.000000,491705162.000000,-431965241.000000,72315697.000000,-23162858.000000,,-263834.000000,295822.000000,-22926.000000,,,108901822.000000,-1126829845.000000,,,-522456323.000000,,-74899500.000000,,-5456448.000000,-236823.000000,10513.000000,,,-102383072.000000,-432914745.000000,63.000000,11506490.000000,,,-1126829845.000000,1304651598.000000,829320764.000000,,,,-190000000.000000,74600500.000000,140000000.000000,70000000.000000,-71374948.000000,,,,547819256.000000,-96994430.000000,74797592.000000,-56108671.000000,47138000.000000,-4500000.000000,,1097043.000000,-8750099.000000,-417331.000000,-3785466.000000,-8843927.000000,,,,-17588253.000000,-21758432.000000,1304651598.000000,286723575.000000,169181.000000,-2595.000000,-6599106.000000,280291055.000000
12M 2023,-15485718.000000,1447495456.000000,-1442994481.000000,21878170.000000,-51717845.000000,,-4783474.000000,5516434.000000,-58905.000000,4996.000000,9173931.000000,-15485718.000000,-462286837.000000,,,-363685011.000000,-41194015.000000,,,-5222267.000000,-284372.000000,13069.000000,2317762.000000,,-4979200.000000,-49252803.000000,,,,,-462286837.000000,486722595.000000,,,614402805.000000,-14780657.000000,-391950000.000000,66778100.000000,350000000.000000,,,,-6037.000000,,40650789.000000,-75000000.000000,,-25678839.000000,52885290.000000,,40.000000,,-743346.000000,-80040000.000000,-4578724.000000,-3483706.000000,12327633.000000,,,-54060753.000000,,486722595.000000,8950040.000000,280291055.000000,,972546.000000,290213641.000000
12M 2024,78493399.000000,1787850403.000000,-1720893377.000000,82803311.000000,-68219213.000000,,-16151496.000000,6621075.000000,-2319928.000000,,8802624.000000,78493399.000000,-270536876.000000,,13713519.000000,-236276977.000000,,,,-5560338.000000,-283227.000000,297847.000000,,,-41673267.000000,,,,-754433.000000,,-270536876.000000,150087134.000000,,226717730.000000,,-1250000.000000,-180550000.000000,4410000.000000,102800000.000000,,,,,,158000000.000000,-106419268.000000,,-16520304.000000,28350000.000000,,,,-2747500.000000,,-2351074.000000,,,,-1419199.000000,-58933251.000000,,150087134.000000,-41956343.000000,290213641.000000,,-4222858.000000,244034440.000000
