Period,Total Pendapatan,Others,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Laba (Rugi) Selisih Kurs,Pendapatan Keuangan,Bagian Atas Hasil Bersih Entitas Asosiasi,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Adjustment,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,5943476000000.000000,5943476000000.000000,5943476000000.000000,-3114452000000.000000,2829024000000.000000,-2191287000000.000000,-1563648000000.000000,-627639000000.000000,-2191287000000.000000,637737000000.000000,-965135000000.000000,-730262000000.000000,-539641000000.000000,95266000000.000000,-540000000.000000,210042000000.000000,-965135000000.000000,-327398000000.000000,86360000000.000000,-110730000000.000000,197090000000.000000,86360000000.000000,-241038000000.000000,-114224000000.000000,-355262000000.000000,,,,,,-355262000000.000000,-241038000000.000000,-114224000000.000000,-355262000000.000000,,,,
12M 2009,5465757000000.000000,5465757000000.000000,5465757000000.000000,-2806688000000.000000,2659069000000.000000,-1905933000000.000000,-1431035000000.000000,-474898000000.000000,-1905933000000.000000,753136000000.000000,-229336000000.000000,-561136000000.000000,618966000000.000000,58444000000.000000,428000000.000000,-346038000000.000000,-229336000000.000000,523800000000.000000,-352450000000.000000,-261029000000.000000,-91421000000.000000,-352450000000.000000,171350000000.000000,-219363000000.000000,-48013000000.000000,,,,,,-48013000000.000000,171350000000.000000,-219363000000.000000,-48013000000.000000,,,,
12M 2010,6831838000000.000000,6831838000000.000000,6831838000000.000000,-3366850000000.000000,3464988000000.000000,-1904073000000.000000,-1344737000000.000000,-559336000000.000000,-1904073000000.000000,1560915000000.000000,-467412000000.000000,-479262000000.000000,157139000000.000000,8670000000.000000,-93000000.000000,-153866000000.000000,-467412000000.000000,1093503000000.000000,-319880000000.000000,-323134000000.000000,3254000000.000000,-319880000000.000000,773623000000.000000,-515147000000.000000,258476000000.000000,,,,,,258476000000.000000,773623000000.000000,-515147000000.000000,258476000000.000000,,,,
12M 2011,7715913000000.000000,7715913000000.000000,7715913000000.000000,-4126818000000.000000,3589095000000.000000,-1646112000000.000000,-1646112000000.000000,,-1646112000000.000000,1942983000000.000000,-558211000000.000000,-497840000000.000000,,10193000000.000000,,-70564000000.000000,-558211000000.000000,1384772000000.000000,-405702000000.000000,,,-405702000000.000000,979070000000.000000,,979070000000.000000,83532000000.000000,,83532000000.000000,83532000000.000000,1062602000000.000000,979070000000.000000,244217000000.000000,734853000000.000000,979070000000.000000,1062602000000.000000,309546000000.000000,753056000000.000000,1062602000000.000000
12M 2012,9787237000000.000000,9787237000000.000000,9787237000000.000000,-5085108000000.000000,4702129000000.000000,-1963364000000.000000,-1963364000000.000000,,-1963364000000.000000,2738765000000.000000,-173375000000.000000,-423382000000.000000,,86427000000.000000,,163580000000.000000,-173375000000.000000,2565390000000.000000,-589735000000.000000,,,-589735000000.000000,1975655000000.000000,,1975655000000.000000,95886000000.000000,,95886000000.000000,95886000000.000000,2071541000000.000000,1975655000000.000000,695003000000.000000,1280652000000.000000,1975655000000.000000,2071541000000.000000,733584000000.000000,1337957000000.000000,2071541000000.000000
12M 2013,11531675000000.000000,11531675000000.000000,11531675000000.000000,-6292821000000.000000,5238854000000.000000,-2170484000000.000000,-2170484000000.000000,,-2170484000000.000000,3068370000000.000000,-2361973000000.000000,-878664000000.000000,-1549475000000.000000,93524000000.000000,,-27358000000.000000,-2361973000000.000000,706397000000.000000,-311410000000.000000,,,-311410000000.000000,394987000000.000000,,394987000000.000000,336248000000.000000,,336248000000.000000,336248000000.000000,731235000000.000000,394987000000.000000,-343699000000.000000,738686000000.000000,394987000000.000000,731235000000.000000,-136957000000.000000,868192000000.000000,731235000000.000000
12M 2014,12433400000000.000000,12433400000000.000000,12433400000000.000000,-7073824000000.000000,5359576000000.000000,-2399187000000.000000,-2399187000000.000000,,-2399187000000.000000,2960389000000.000000,-1167506000000.000000,-872704000000.000000,-340567000000.000000,124577000000.000000,138346000000.000000,-217158000000.000000,-1167506000000.000000,1792883000000.000000,-623020000000.000000,,,-623020000000.000000,1169863000000.000000,,1169863000000.000000,-50440000000.000000,,-50440000000.000000,-50440000000.000000,1119423000000.000000,1169863000000.000000,194518000000.000000,975345000000.000000,1169863000000.000000,1119423000000.000000,171076000000.000000,948347000000.000000,1119423000000.000000
12M 2015,12210568000000.000000,12210568000000.000000,12210568000000.000000,-7438020000000.000000,4772548000000.000000,-2603110000000.000000,-2603110000000.000000,,-2603110000000.000000,2169438000000.000000,-2614622000000.000000,-1127868000000.000000,-1406874000000.000000,62689000000.000000,68105000000.000000,-210674000000.000000,-2614622000000.000000,-445184000000.000000,-143208000000.000000,,,-143208000000.000000,-588392000000.000000,,-588392000000.000000,124951000000.000000,,124951000000.000000,124951000000.000000,-463441000000.000000,-588392000000.000000,-863821000000.000000,275429000000.000000,-588392000000.000000,-463441000000.000000,-732067000000.000000,268626000000.000000,-463441000000.000000
12M 2016,12894525000000.000000,12894525000000.000000,12894525000000.000000,-7763595000000.000000,5130930000000.000000,-2986021000000.000000,-2986021000000.000000,,-2986021000000.000000,2144909000000.000000,-546069000000.000000,-1120787000000.000000,370466000000.000000,32372000000.000000,671564000000.000000,-499684000000.000000,-546069000000.000000,1598840000000.000000,-750897000000.000000,,,-750897000000.000000,847943000000.000000,,847943000000.000000,-37454000000.000000,,-37454000000.000000,-37454000000.000000,810489000000.000000,847943000000.000000,232931000000.000000,615012000000.000000,847943000000.000000,810489000000.000000,210325000000.000000,600164000000.000000,810489000000.000000
12M 2017,13580269000000.000000,13580269000000.000000,13580269000000.000000,-7823078000000.000000,5757191000000.000000,-3516071000000.000000,-3516071000000.000000,,-3516071000000.000000,2241120000000.000000,-1035666000000.000000,-1455562000000.000000,-160585000000.000000,12461000000.000000,438999000000.000000,129021000000.000000,-1035666000000.000000,1205454000000.000000,-680746000000.000000,,,-680746000000.000000,524708000000.000000,,524708000000.000000,-126481000000.000000,,-126481000000.000000,-126481000000.000000,398227000000.000000,524708000000.000000,148619000000.000000,376089000000.000000,524708000000.000000,398227000000.000000,65875000000.000000,332352000000.000000,398227000000.000000
12M 2018,14725851000000.000000,,14725851000000.000000,-7561955000000.000000,7163896000000.000000,-3400465000000.000000,-3400465000000.000000,,-3400465000000.000000,3763431000000.000000,-2241147000000.000000,-1606360000000.000000,-899593000000.000000,20603000000.000000,199720000000.000000,44483000000.000000,-2241147000000.000000,1522284000000.000000,-577089000000.000000,,,-577089000000.000000,945195000000.000000,,945195000000.000000,48974000000.000000,,,48974000000.000000,994169000000.000000,945195000000.000000,86353000000.000000,858842000000.000000,945195000000.000000,994169000000.000000,152067000000.000000,842102000000.000000,994169000000.000000
12M 2019,15967376000000.000000,,15967376000000.000000,-8203372000000.000000,7764004000000.000000,-3666474000000.000000,-3666474000000.000000,,-3666474000000.000000,4097530000000.000000,-1383982000000.000000,-1741161000000.000000,387489000000.000000,12520000000.000000,58911000000.000000,-101741000000.000000,-1383982000000.000000,2713548000000.000000,-625725000000.000000,,,-625725000000.000000,2087823000000.000000,,2087823000000.000000,84005000000.000000,,,84005000000.000000,2171828000000.000000,2087823000000.000000,430814000000.000000,1657009000000.000000,2087823000000.000000,2171828000000.000000,504582000000.000000,1667246000000.000000,2171828000000.000000
12M 2020,14795285000000.000000,14795285000000.000000,14795285000000.000000,-7560783000000.000000,7234502000000.000000,-3600053000000.000000,-3600053000000.000000,,-3600053000000.000000,3634449000000.000000,-1447252000000.000000,-1307081000000.000000,-151604000000.000000,11313000000.000000,,120000000.000000,-1447252000000.000000,2187197000000.000000,-661308000000.000000,,,-661308000000.000000,1525889000000.000000,,1525889000000.000000,57253000000.000000,,,57253000000.000000,1583142000000.000000,1525889000000.000000,150954000000.000000,1374935000000.000000,1525889000000.000000,1583142000000.000000,187422000000.000000,1395720000000.000000,1583142000000.000000
