Period,Aset,Aset Lancar,Kas Dan Setara Kas,Investasi Jangka Pendek,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Others,Total Piutang Usaha,Piutang Nasabah,Piutang Pada Lembaga Kliring Dan Penjaminan,Piutang Pembiayaan,Pihak Berelasi,Pihak Ketiga,Others,Total Piutang Pembiayaan,Aset Reasuransi,Piutang Premi Dan Reasuransi,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Aset Pajak Tangguhan,Investasi Pada Entitas Asosiasi,Piutang Pembiayaan,Pihak Berelasi,Pihak Ketiga,Others,Total Piutang Pembiayaan,Properti Investasi,Aset Tetap,Others,Total Aset Tetap,Properti Pertambangan,Goodwill,Aset Tak Berwujud,Tanah Untuk Dikembangkan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Simpanan Dari Bank Lain,Pihak Berelasi,Pihak Ketiga,Total Simpanan Dari Bank Lain,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Liabilitas Akseptasi,Utang Pajak,Beban Akrual,Utang Bank Jangka Pendek,Utang Pada Lembaga Kliring Dan Penjaminan,Utang Nasabah,Pihak Berelasi,Pihak Ketiga,Total Utang Nasabah,Utang Reasuransi,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Bagian Lancar Atas Liabilitas Jangka Panjang,Wesel Bayar,Utang Sewa Pembiayaan,Utang Bank Jangka Panjang,Utang Obligasi,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Simpanan Dari Bank Lain,Pihak Berelasi,Pihak Ketiga,Total Simpanan Dari Bank Lain,Liabilitas Pajak Tangguhan,Utang Jangka Panjang Dari Pihak Berelasi,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Wesel Bayar,Utang Sewa Pembiayaan,Utang Bank Jangka Panjang,Utang Obligasi,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Liabilitas Manfaat Polis Masa Depan,Obligasi Subordinasi,Utang Lain Jangka Panjang,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,1464100000000.000000,1585621000000.000000,1742163000000.000000,108595000000.000000,1633568000000.000000,,1742163000000.000000,211711000000.000000,392465000000.000000,357618000000.000000,,,357618000000.000000,357618000000.000000,,,332289000000.000000,6128000000.000000,326161000000.000000,332289000000.000000,1162515000000.000000,349636000000.000000,7598118000000.000000,,7459000000.000000,,,7459000000.000000,320614000000.000000,5701000000.000000,,,,,,130588000000.000000,2520576000000.000000,,2520576000000.000000,,2506044000000.000000,,,4675531000000.000000,10166513000000.000000,17764631000000.000000,,,2820552000000.000000,,,,,,65603000000.000000,704384000000.000000,769987000000.000000,,244588000000.000000,381159000000.000000,311863000000.000000,426379000000.000000,52097000000.000000,,,52097000000.000000,,,1657000000.000000,99710000000.000000,101367000000.000000,,32080000000.000000,7305000000.000000,356651000000.000000,,396036000000.000000,137076000000.000000,2820552000000.000000,4504126000000.000000,,,,,31491000000.000000,,,,8861000000.000000,1125788000000.000000,3189680000000.000000,4324329000000.000000,,,34281000000.000000,114025000000.000000,4504126000000.000000,7324678000000.000000,,723693000000.000000,2831986000000.000000,800062000000.000000,,,800062000000.000000,5594617000000.000000,489595000000.000000,10439953000000.000000,17764631000000.000000,7236933545.000000
12M 2009,,,1618345000000.000000,1327357000000.000000,1784621000000.000000,63408000000.000000,1721213000000.000000,,1784621000000.000000,132733000000.000000,34532000000.000000,262583000000.000000,,,262583000000.000000,262583000000.000000,,,332145000000.000000,6918000000.000000,325227000000.000000,332145000000.000000,1223890000000.000000,511194000000.000000,7227400000000.000000,,4588000000.000000,,,4588000000.000000,196885000000.000000,6129000000.000000,,,,,,186672000000.000000,2592877000000.000000,,2592877000000.000000,,2275669000000.000000,,,4619037000000.000000,9881857000000.000000,17109257000000.000000,,,4068381000000.000000,,,,,,14130000000.000000,706311000000.000000,720441000000.000000,,315813000000.000000,358155000000.000000,372831000000.000000,19129000000.000000,247022000000.000000,,,247022000000.000000,,,28067000000.000000,112995000000.000000,141062000000.000000,,174800000000.000000,5791000000.000000,214923000000.000000,1377888000000.000000,1773402000000.000000,120526000000.000000,4068381000000.000000,2662566000000.000000,,,,,76801000000.000000,,,,1815000000.000000,939650000000.000000,1458233000000.000000,2399698000000.000000,,,44161000000.000000,141906000000.000000,2662566000000.000000,6730947000000.000000,,723693000000.000000,2831986000000.000000,752049000000.000000,,,752049000000.000000,5545879000000.000000,524703000000.000000,10378310000000.000000,17109257000000.000000,7236933545.000000
12M 2010,,,1285907000000.000000,,2178776000000.000000,25955000000.000000,2152821000000.000000,,2178776000000.000000,201105000000.000000,85370000000.000000,270343000000.000000,,,270343000000.000000,270343000000.000000,,,485242000000.000000,11931000000.000000,473311000000.000000,485242000000.000000,1202370000000.000000,1757924000000.000000,7467037000000.000000,,14971000000.000000,,,14971000000.000000,200134000000.000000,4993000000.000000,,,,,,154909000000.000000,3583774000000.000000,,3583774000000.000000,,2222401000000.000000,,,2954520000000.000000,9135702000000.000000,16602739000000.000000,,,5017965000000.000000,,,,,,8706000000.000000,601528000000.000000,610234000000.000000,,364142000000.000000,293643000000.000000,374612000000.000000,64869000000.000000,210763000000.000000,,,210763000000.000000,,,27973000000.000000,218783000000.000000,246756000000.000000,,84944000000.000000,7391000000.000000,284741000000.000000,2352047000000.000000,2729123000000.000000,123823000000.000000,5017965000000.000000,1826007000000.000000,,,,,121333000000.000000,,,,8496000000.000000,245412000000.000000,1232244000000.000000,1486152000000.000000,17680000000.000000,,53776000000.000000,147066000000.000000,1826007000000.000000,6843972000000.000000,,2984816000000.000000,826244000000.000000,1010525000000.000000,,,1010525000000.000000,4184759000000.000000,752423000000.000000,9758767000000.000000,16602739000000.000000,29848162845.000000
12M 2011,,,1121551000000.000000,,2566639000000.000000,35551000000.000000,2531088000000.000000,,2566639000000.000000,215260000000.000000,88444000000.000000,401146000000.000000,,,401146000000.000000,401146000000.000000,,16844000000.000000,519224000000.000000,14309000000.000000,504915000000.000000,519224000000.000000,1104146000000.000000,2228939000000.000000,8262193000000.000000,,69456000000.000000,,,69456000000.000000,224051000000.000000,4329000000.000000,,,,,,131521000000.000000,3724535000000.000000,,3724535000000.000000,,3635980000000.000000,,,2805439000000.000000,10595311000000.000000,18857504000000.000000,,,3692306000000.000000,,,,,,7635000000.000000,876269000000.000000,883904000000.000000,,358490000000.000000,335231000000.000000,212917000000.000000,69919000000.000000,287070000000.000000,,,287070000000.000000,4552000000.000000,,27365000000.000000,94731000000.000000,122096000000.000000,,106600000000.000000,14092000000.000000,271513000000.000000,940742000000.000000,1332947000000.000000,85180000000.000000,3692306000000.000000,2956036000000.000000,,,,,129308000000.000000,,,47720000000.000000,14570000000.000000,996763000000.000000,1526563000000.000000,2585616000000.000000,52765000000.000000,,11757000000.000000,176590000000.000000,2956036000000.000000,6648342000000.000000,,2996849000000.000000,839131000000.000000,1195220000000.000000,,,1195220000000.000000,6544635000000.000000,633327000000.000000,12209162000000.000000,18857504000000.000000,29968494291.000000
12M 2012,,,1338676000000.000000,,2961008000000.000000,45959000000.000000,2915049000000.000000,,2961008000000.000000,1408768000000.000000,136717000000.000000,793840000000.000000,,,793840000000.000000,793840000000.000000,38596000000.000000,37926000000.000000,600719000000.000000,10758000000.000000,589961000000.000000,600719000000.000000,1723639000000.000000,5406273000000.000000,14446162000000.000000,,96010000000.000000,,,96010000000.000000,187657000000.000000,2908000000.000000,,,,,,16178000000.000000,5100141000000.000000,,5100141000000.000000,74160000000.000000,3542992000000.000000,,,3787707000000.000000,12807753000000.000000,27253915000000.000000,,,4786454000000.000000,,,,,,27329000000.000000,1271600000000.000000,1298929000000.000000,,295677000000.000000,376244000000.000000,138213000000.000000,212647000000.000000,,372734000000.000000,840164000000.000000,1212898000000.000000,25840000000.000000,,28510000000.000000,104167000000.000000,132677000000.000000,,76343000000.000000,11748000000.000000,902138000000.000000,,990229000000.000000,103100000000.000000,4786454000000.000000,4040978000000.000000,,,,,129465000000.000000,,,,11857000000.000000,826005000000.000000,2686837000000.000000,3524699000000.000000,145153000000.000000,,14374000000.000000,227287000000.000000,4040978000000.000000,8827432000000.000000,,3568808000000.000000,2344523000000.000000,1790350000000.000000,1000000000.000000,1789350000000.000000,1790350000000.000000,9164929000000.000000,1557873000000.000000,18426483000000.000000,27253915000000.000000,35688083807.000000
12M 2013,,,1947803000000.000000,,3209104000000.000000,178940000000.000000,3030164000000.000000,,3209104000000.000000,343642000000.000000,81733000000.000000,952868000000.000000,,,952868000000.000000,952868000000.000000,63717000000.000000,119963000000.000000,1092405000000.000000,943000000.000000,1091462000000.000000,1092405000000.000000,1829529000000.000000,3398621000000.000000,13039385000000.000000,,54338000000.000000,,,54338000000.000000,410445000000.000000,3665461000000.000000,,,,,,14641000000.000000,6064331000000.000000,,6064331000000.000000,70212000000.000000,3469891000000.000000,,,4959915000000.000000,18709234000000.000000,31748619000000.000000,,,4520609000000.000000,,,,,,20724000000.000000,1633669000000.000000,1654393000000.000000,,355929000000.000000,356772000000.000000,167753000000.000000,97371000000.000000,,,304128000000.000000,304128000000.000000,31490000000.000000,,29064000000.000000,885386000000.000000,914450000000.000000,,,12036000000.000000,489875000000.000000,,501911000000.000000,136412000000.000000,4520609000000.000000,10407693000000.000000,,,,,13814000000.000000,,,,6134000000.000000,4013500000000.000000,5471258000000.000000,9490892000000.000000,275666000000.000000,,394169000000.000000,233152000000.000000,10407693000000.000000,14928302000000.000000,,3590009000000.000000,2419450000000.000000,1273297000000.000000,2000000000.000000,1271297000000.000000,1273297000000.000000,8589353000000.000000,948208000000.000000,16820317000000.000000,31748619000000.000000,35900092807.000000
12M 2014,,,3660815000000.000000,,3470882000000.000000,149997000000.000000,3412467000000.000000,-91582000000.000000,3470882000000.000000,533578000000.000000,132940000000.000000,435881000000.000000,15591000000.000000,425535000000.000000,-5245000000.000000,435881000000.000000,132847000000.000000,190706000000.000000,682159000000.000000,786000000.000000,681373000000.000000,682159000000.000000,2091685000000.000000,6621343000000.000000,17952836000000.000000,,38388000000.000000,31188000000.000000,7200000000.000000,38388000000.000000,638270000000.000000,4577499000000.000000,800148000000.000000,23332000000.000000,785442000000.000000,-8626000000.000000,800148000000.000000,,7559925000000.000000,7559925000000.000000,7559925000000.000000,,3747232000000.000000,1118355000000.000000,,11099019000000.000000,29578836000000.000000,47531672000000.000000,,,10822188000000.000000,,237246000000.000000,6639568000000.000000,6876814000000.000000,,46055000000.000000,1382347000000.000000,1428402000000.000000,,329495000000.000000,430967000000.000000,229142000000.000000,165189000000.000000,,,384823000000.000000,384823000000.000000,60312000000.000000,,8556000000.000000,397506000000.000000,406062000000.000000,,,5635000000.000000,185141000000.000000,,190776000000.000000,320206000000.000000,10822188000000.000000,14185270000000.000000,411595000000.000000,,,411595000000.000000,24388000000.000000,,,,12879000000.000000,7478671000000.000000,5479728000000.000000,12971278000000.000000,377296000000.000000,,88184000000.000000,312529000000.000000,14185270000000.000000,25007458000000.000000,,3873919000000.000000,3244652000000.000000,1352350000000.000000,3000000000.000000,1349350000000.000000,1352350000000.000000,11608861000000.000000,2444432000000.000000,22524214000000.000000,47531672000000.000000,38739193407.000000
12M 2015,,,4141203000000.000000,,3538719000000.000000,131393000000.000000,3522559000000.000000,-115233000000.000000,3538719000000.000000,1188893000000.000000,130567000000.000000,890935000000.000000,22295000000.000000,873877000000.000000,-5237000000.000000,890935000000.000000,93127000000.000000,237481000000.000000,912421000000.000000,29805000000.000000,882616000000.000000,912421000000.000000,1932262000000.000000,8231230000000.000000,21296838000000.000000,,33204000000.000000,30659000000.000000,2545000000.000000,33204000000.000000,1156625000000.000000,4767254000000.000000,869730000000.000000,19378000000.000000,858937000000.000000,-8585000000.000000,869730000000.000000,,9325584000000.000000,9325584000000.000000,9325584000000.000000,,3890917000000.000000,1087540000000.000000,,10749782000000.000000,31880636000000.000000,53177474000000.000000,,,19121248000000.000000,,407156000000.000000,9219719000000.000000,9626875000000.000000,,85592000000.000000,1747067000000.000000,1832659000000.000000,,271644000000.000000,429316000000.000000,272056000000.000000,195519000000.000000,,,977842000000.000000,977842000000.000000,78648000000.000000,,7116000000.000000,788474000000.000000,795590000000.000000,,,18826000000.000000,4320904000000.000000,58947000000.000000,4398677000000.000000,242422000000.000000,19121248000000.000000,11322367000000.000000,151151000000.000000,,,151151000000.000000,27305000000.000000,,,,50453000000.000000,4528844000000.000000,5868605000000.000000,10447902000000.000000,395072000000.000000,,13085000000.000000,287852000000.000000,11322367000000.000000,30443615000000.000000,,3890210000000.000000,3314384000000.000000,381284000000.000000,4000000000.000000,377284000000.000000,381284000000.000000,12394059000000.000000,2753922000000.000000,22733859000000.000000,53177474000000.000000,38902106607.000000
12M 2016,,,3608806000000.000000,,3221025000000.000000,47143000000.000000,3309021000000.000000,-135139000000.000000,3221025000000.000000,1199092000000.000000,150202000000.000000,1129648000000.000000,15407000000.000000,1125264000000.000000,-11023000000.000000,1129648000000.000000,134318000000.000000,238773000000.000000,640158000000.000000,40476000000.000000,599682000000.000000,640158000000.000000,2190412000000.000000,8020150000000.000000,20532584000000.000000,,48325000000.000000,48325000000.000000,,48325000000.000000,1147316000000.000000,5681926000000.000000,1429567000000.000000,2580000000.000000,1437515000000.000000,-10528000000.000000,1429567000000.000000,,9925623000000.000000,9925623000000.000000,9925623000000.000000,,3858256000000.000000,953638000000.000000,,11715714000000.000000,34760365000000.000000,55292949000000.000000,,,18996986000000.000000,,102390000000.000000,8325479000000.000000,8427869000000.000000,,85851000000.000000,1327221000000.000000,1413072000000.000000,,256920000000.000000,405748000000.000000,629580000000.000000,121023000000.000000,,,1025882000000.000000,1025882000000.000000,74048000000.000000,,26281000000.000000,459414000000.000000,485695000000.000000,,,29371000000.000000,4675420000000.000000,999577000000.000000,5704368000000.000000,452781000000.000000,18996986000000.000000,12132471000000.000000,,,1747744000000.000000,1747744000000.000000,23123000000.000000,,,,94372000000.000000,4317676000000.000000,5122692000000.000000,9534740000000.000000,458138000000.000000,,7913000000.000000,360813000000.000000,12132471000000.000000,31129457000000.000000,,4805705000000.000000,3826626000000.000000,614271000000.000000,4000000000.000000,610271000000.000000,614271000000.000000,12060405000000.000000,2856485000000.000000,24163492000000.000000,55292949000000.000000,48057050367.000000
12M 2017,,,2700509000000.000000,,3359616000000.000000,84609000000.000000,3397921000000.000000,-122914000000.000000,3359616000000.000000,811042000000.000000,244084000000.000000,1398716000000.000000,6348000000.000000,1400769000000.000000,-8401000000.000000,1398716000000.000000,160282000000.000000,288821000000.000000,656856000000.000000,621000000.000000,656235000000.000000,656856000000.000000,2930612000000.000000,7645236000000.000000,20195774000000.000000,,81827000000.000000,81827000000.000000,,81827000000.000000,1186168000000.000000,5581312000000.000000,1238321000000.000000,4151000000.000000,1247924000000.000000,-13754000000.000000,1238321000000.000000,,12801851000000.000000,,12801851000000.000000,,4361192000000.000000,899621000000.000000,,10177745000000.000000,36328037000000.000000,56523811000000.000000,,,18897593000000.000000,,88895000000.000000,6841835000000.000000,6930730000000.000000,,43044000000.000000,1439742000000.000000,1482786000000.000000,,202374000000.000000,612684000000.000000,1001334000000.000000,172534000000.000000,,,704119000000.000000,704119000000.000000,114733000000.000000,268283000000.000000,,,268283000000.000000,,,48026000000.000000,2184061000000.000000,4932191000000.000000,7164278000000.000000,243738000000.000000,18897593000000.000000,13540028000000.000000,,17851000000.000000,1798936000000.000000,1816787000000.000000,27871000000.000000,,,,131101000000.000000,8885350000000.000000,1693509000000.000000,10709960000000.000000,527712000000.000000,,10430000000.000000,447268000000.000000,13540028000000.000000,32437621000000.000000,,4805705000000.000000,3829817000000.000000,762890000000.000000,4000000000.000000,758890000000.000000,762890000000.000000,12038218000000.000000,2649560000000.000000,24086190000000.000000,56523811000000.000000,48057050367.000000
