Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Media Dan Penyiaran,Media Berbasis Pelanggan,"Pembiayaan, Efek Dan Asuransi",Transportasi,Media Pendukung Dan Infrastruktur,Lain-Lain,Pembayaran Untuk Pemasok Dan Karyawan,Pemasok,Karyawan,Total Pembayaran Untuk Pemasok Dan Karyawan,Penurunan (Kenaikan) Aset Operasi Entitas Lembaga Keuangan Bank,Efek-Efek,Kredit,Aset Lain-Lain,Total Penurunan (Kenaikan) Aset Operasi Entitas Lembaga Keuangan Bank,Kenaikan (Penurunan) Liabilitas Operasi,Simpanan-Dan Simpanan Bank Lain,Liabilitas Lain-Lain,Total Kenaikan (Penurunan) Liabilitas Operasi,Penerimaan Resistusi Pajak,Pembayaran Pajak,Pembayaran Bunga,Pembayaran Royalti Ke Pemerintah,Adjustment,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Pencarian Investasi Jangka Pendek-Bersih,Penerimaan Dividen Dan Bunga,Penerimaan Deviden Dari Etitas Asosiasi,Penerimaan Uang Jaminan Bank Garansi,Hasil Penjualan Aset Tetap,Pelepasan Investasi Lain,Penerimaan Dari Akusisi Entitas Anak,Pengurangan (Penambahan) Investasi Dan Performance Bond,Penerimaan Pelunasan Wesel Tagih,Pembayaran Beban Keuangan,Pelunasan Wesel Bayar,Pengurangan (Penambahan) Investasi Pada Entitas Anak Dan Entitas Asosiasi,Penambahan Investasi Pada Entitas Anak,Pengurangan Investasi Pada Entitas Asosiasi,Total Pengurangan (Penambahan) Investasi Pada Entitas Anak Dan Entitas Asosiasi,Pembayaran Untuk Aktivitas Pertambangan,Pelepasan / (Penambahan) Investasi Pada Entitas Anak,Penjualan Sebagian Saham Entitas Anak,Penempatan Aset Keuangan Lainnya Tidak Lancar - Bersih,Penurunan (Penambahan) Aset Lain Dan Uang Muka,Perolehan Aset Tetap,Penambahan Aset Ijarah,Penjualan Aset Ijarah,Pencairan (Penempatan) Aset Keuangan Lainnya Lancar,Pelepasan Investasi Pada Saham Tersedia Untuk Dijual,Penambahan Bank Dibatasi Penggunaanya,Penambahan Properti Investasi,Penambahan Aset Tidak Berwujud,Penambahan Piutang Pihak Hubungan Istimewa,Pelunasan Piutang Pihak Hubungan Istimewa,Penjualan Investasi Saham,Kas Dan Setara Kas Dari Pelepasan Entitas Anak,Kas Dan Setara Kas Yang Diperoleh Dari Akuisisi Entitas Anak Setelah Dikurangi Biaya Perolehan,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,"Penerimaan Utang Bank, Liabilitas Jangka Pendek, Jangka Panjang Dan Penerbitan Obilgasi",Penerimaan (Pelunasan) Utang Pihak Berelasi,Penerimaan Dari Hasi Penawaran Umum Entitas Anak,Penerimaan Setoran Modal Non-Pengendali Entitas Anak,Penerimaan Setoran Modal Saham,Perusahaan Dan Entitas Anak,Total Penerimaan Setoran Modal Saham,Penerimaan Uang Muka Setoran Modal,Entitas Anak,Perusahaan,Total Penerimaan Uang Muka Setoran Modal,Penjualan Saham Diperoleh Kembali,Entitas Anak,Perusahaan,Total Penjualan Saham Diperoleh Kembali,Pembelian Kembali Saham Beredar,Entitas Anak,Perusahaan,Total Pembelian Kembali Saham Beredar,Pembayaran Dividen,Perusahaan,Entitas Anak Kepada Non-Pengendali,Total Pembayaran Dividen,Pembayaran Beban Keuangan,Penerimaan Jaminan,Pembayaran Biaya Perolehan Jaminan,Penerimaan (Pembayaran) Utang Obligasi,Pembayaran Bunga Obligasi,Pelunasan Obligasi,Pembayaran Emisi Saham,Penerimaan Utang Bank Dan Liabilitas Jangka Panjang,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Penurunan Kas Dan Setara Kas Akibat Pelepasan Entitas Anak,Kas Dan Setara Kas Akhir Periode
12M 2008,115075000000.000000,,3191912000000.000000,695374000000.000000,307124000000.000000,279384000000.000000,802650000000.000000,154362000000.000000,-4308080000000.000000,,,-4308080000000.000000,,,,,,,,,,,-190890000000.000000,-816761000000.000000,,,115075000000.000000,-1688177000000.000000,-866198000000.000000,119832000000.000000,,,44450000000.000000,-2440208000000.000000,761130000000.000000,-7689000000.000000,,,,-93204000000.000000,,,-93204000000.000000,,1221228000000.000000,,,-3720000000.000000,-792629000000.000000,,,,,20806000000.000000,-104380000000.000000,,,,452405000000.000000,,,-1688177000000.000000,727506000000.000000,,-23829000000.000000,,,1099000000.000000,,1099000000.000000,,,,,,,,,,-8895000000.000000,-16783000000.000000,-25678000000.000000,-55479000000.000000,,,-55479000000.000000,,,,,,,,831393000000.000000,727506000000.000000,-1759798000000.000000,3223898000000.000000,,1464100000000.000000
12M 2009,313491000000.000000,,3713848000000.000000,1054863000000.000000,550039000000.000000,259634000000.000000,178372000000.000000,4533000000.000000,-4760198000000.000000,,,-4760198000000.000000,,,,,,,,,,,-115767000000.000000,-571833000000.000000,,,313491000000.000000,-2668000000.000000,291214000000.000000,65438000000.000000,,,40566000000.000000,17760000000.000000,,10356000000.000000,,,,-11942000000.000000,,,-11942000000.000000,,,,,-59257000000.000000,-424665000000.000000,,,,159811000000.000000,,-91949000000.000000,,,,,,,-2668000000.000000,337898000000.000000,,3224000000.000000,,,784000000.000000,,784000000.000000,,,,,,,,,,-27698000000.000000,-29000000.000000,-27727000000.000000,-23447000000.000000,,,-23447000000.000000,,,,,,,,385064000000.000000,337898000000.000000,154245000000.000000,1464100000000.000000,,1618345000000.000000
12M 2010,265471000000.000000,,4432663000000.000000,1411809000000.000000,55400000000.000000,218636000000.000000,62739000000.000000,29410000000.000000,-5182033000000.000000,,,-5182033000000.000000,,,,,,,,,,6602000000.000000,-286150000000.000000,-483605000000.000000,,,265471000000.000000,-1251456000000.000000,249663000000.000000,49000000000.000000,,,46148000000.000000,215385000000.000000,-306464000000.000000,-464000000.000000,,,,2000000000.000000,,,2000000000.000000,,,,,21120000000.000000,-1430585000000.000000,,,,,-94574000000.000000,-2685000000.000000,,,,,,,-1251456000000.000000,1678457000000.000000,,-24144000000.000000,,,696000000.000000,4503000000.000000,696000000.000000,,,,,,,,,,-173994000000.000000,,-173994000000.000000,-54869000000.000000,,,-54869000000.000000,,,,,,,,1930768000000.000000,1678457000000.000000,-332438000000.000000,1618345000000.000000,,1285907000000.000000
12M 2011,1034213000000.000000,8585897000000.000000,,,-6623982000000.000000,,,,,,,,,,,,,,,,,266000000.000000,-389460000000.000000,-538508000000.000000,,,1034213000000.000000,-261778000000.000000,,66143000000.000000,,,6568000000.000000,,4129000000.000000,-1755000000.000000,26759000000.000000,-101263000000.000000,,-516123000000.000000,,,-516123000000.000000,,675230000000.000000,,18189000000.000000,101291000000.000000,-272691000000.000000,,,-351245000000.000000,82990000000.000000,,,,,,,,,-261778000000.000000,908237000000.000000,,-6486000000.000000,,,,,,,56894000000.000000,17909000000.000000,74803000000.000000,,402292000000.000000,,402292000000.000000,,-474873000000.000000,-3000000.000000,-474876000000.000000,-186140000000.000000,,,-186140000000.000000,-66436000000.000000,,,,,,,1165080000000.000000,908237000000.000000,-164356000000.000000,1285907000000.000000,,1121551000000.000000
12M 2012,797798000000.000000,9749866000000.000000,,,-6947876000000.000000,,,,-1048026000000.000000,,,-1048026000000.000000,,,,,,,,,,3408000000.000000,-555687000000.000000,-403887000000.000000,,,797798000000.000000,-3212789000000.000000,,69943000000.000000,,,33551000000.000000,,8467000000.000000,1328000000.000000,,,-41100000000.000000,-327107000000.000000,,,-327107000000.000000,-6923000000.000000,1008768000000.000000,,-53500000000.000000,-25921000000.000000,-1432844000000.000000,,,-2447451000000.000000,,,,,,,,,,-3212789000000.000000,3290285000000.000000,1243490000000.000000,-20945000000.000000,1204748000000.000000,28446000000.000000,,,,,141930000000.000000,33493000000.000000,175423000000.000000,,757291000000.000000,169120000000.000000,926411000000.000000,,-391525000000.000000,-522534000000.000000,-914059000000.000000,-333710000000.000000,,,-333710000000.000000,,,,,,,-11270000000.000000,991751000000.000000,3290285000000.000000,217125000000.000000,1121551000000.000000,,1338676000000.000000
12M 2013,999509000000.000000,11345892000000.000000,,,-7807446000000.000000,,,,-1119359000000.000000,,,-1119359000000.000000,,,,,,,,,,,-711458000000.000000,-673213000000.000000,-34907000000.000000,,999509000000.000000,-3999672000000.000000,,62152000000.000000,,,14369000000.000000,,,,,,,,-650723000000.000000,-3605898000000.000000,-4256621000000.000000,,127169000000.000000,,52299000000.000000,-67717000000.000000,-1996135000000.000000,-184877000000.000000,,2395421000000.000000,,-145732000000.000000,,,,,,,,-3999672000000.000000,4471645000000.000000,2583854000000.000000,-19857000000.000000,,213458000000.000000,,,,,270297000000.000000,33604000000.000000,303901000000.000000,,403412000000.000000,555456000000.000000,958868000000.000000,,-1613608000000.000000,-167392000000.000000,-1781000000000.000000,,-173354000000.000000,-547151000000.000000,-720505000000.000000,,,-23829000000.000000,,,-2118512000000.000000,,5075267000000.000000,4471645000000.000000,626143000000.000000,1338676000000.000000,-17016000000.000000,1947803000000.000000
12M 2014,-1078623000000.000000,11689579000000.000000,,,-8463782000000.000000,,,,-1286828000000.000000,,,-1286828000000.000000,,656000000.000000,-169142000000.000000,1028071000000.000000,859585000000.000000,,-1853857000000.000000,-407870000000.000000,-2261727000000.000000,,-761720000000.000000,-810889000000.000000,-42841000000.000000,,-1078623000000.000000,-3582019000000.000000,,82481000000.000000,26708000000.000000,,86957000000.000000,,,,,,,,,-225801000000.000000,-225801000000.000000,,,,-910761000000.000000,-597240000000.000000,-2538425000000.000000,-126624000000.000000,,-1689467000000.000000,,,,,,,,,2310153000000.000000,-3582019000000.000000,6868997000000.000000,,5681000000.000000,,223553000000.000000,,,,,1304051000000.000000,1133178000000.000000,2437229000000.000000,,992260000000.000000,87936000000.000000,1080196000000.000000,,-9024000000.000000,-38423000000.000000,-47447000000.000000,,-115465000000.000000,-372931000000.000000,-488396000000.000000,,,,,,-80121000000.000000,,3738302000000.000000,6868997000000.000000,1713012000000.000000,1947803000000.000000,,3660815000000.000000
12M 2015,3689364000000.000000,11389578000000.000000,,,-5742677000000.000000,,,,-1552020000000.000000,,,-1552020000000.000000,,62930000000.000000,-937014000000.000000,,-874084000000.000000,,2489617000000.000000,-76142000000.000000,2413475000000.000000,,-807879000000.000000,-1117717000000.000000,-19312000000.000000,,3689364000000.000000,-3447390000000.000000,,43794000000.000000,26737000000.000000,,56800000000.000000,,,,,,,,,-73199000000.000000,-73199000000.000000,,,,-759994000000.000000,87804000000.000000,-3067533000000.000000,-19788000000.000000,,250746000000.000000,,,,,,,,,7243000000.000000,-3447390000000.000000,2249173000000.000000,,-39748000000.000000,,272217000000.000000,,,,,460366000000.000000,64717000000.000000,525083000000.000000,,5373000000.000000,30604000000.000000,35977000000.000000,,-226495000000.000000,-8278000000.000000,-234773000000.000000,,-116253000000.000000,-370766000000.000000,-487019000000.000000,,,,,,-250000000000.000000,,2427436000000.000000,2249173000000.000000,480388000000.000000,3660815000000.000000,,4141203000000.000000
12M 2016,-357754000000.000000,12526818000000.000000,,,,,,,,-9160933000000.000000,-1781425000000.000000,-10942358000000.000000,,180963000000.000000,-863294000000.000000,-165742000000.000000,-848073000000.000000,,397587000000.000000,247385000000.000000,644972000000.000000,,-603037000000.000000,-1120787000000.000000,-15289000000.000000,,-357754000000.000000,-1975118000000.000000,,24833000000.000000,16351000000.000000,,87664000000.000000,,,,,,,,,-18033000000.000000,-18033000000.000000,,,,645509000000.000000,-168265000000.000000,-1615143000000.000000,-1292000000.000000,,-950930000000.000000,,,,,,,,,4188000000.000000,-1975118000000.000000,7581329000000.000000,6357865000000.000000,20938000000.000000,,50138000000.000000,,,,,1211322000000.000000,1422303000000.000000,2633625000000.000000,,115199000000.000000,,115199000000.000000,,-1244175000000.000000,-38956000000.000000,-1283131000000.000000,,,-254305000000.000000,-254305000000.000000,,,,,,-59000000000.000000,,,7581329000000.000000,-416006000000.000000,4024812000000.000000,,3608806000000.000000
12M 2017,517819000000.000000,13134599000000.000000,,,,,,,,-7377903000000.000000,-1665022000000.000000,-9042925000000.000000,,-96598000000.000000,327782000000.000000,-585142000000.000000,-353958000000.000000,,-840762000000.000000,-173056000000.000000,-1013818000000.000000,,-785532000000.000000,-1391862000000.000000,-28685000000.000000,,517819000000.000000,-2013820000000.000000,,64825000000.000000,,,511221000000.000000,,,,,,,,,197974000000.000000,197974000000.000000,,,,-679744000000.000000,-168739000000.000000,-2816393000000.000000,,,821306000000.000000,,,,,,,,,55730000000.000000,-2013820000000.000000,8054115000000.000000,9634375000000.000000,-20790000000.000000,,371488000000.000000,,,,,,,,,,,,,-666100000000.000000,,-666100000000.000000,,,-264858000000.000000,-264858000000.000000,,,,,,-1000000000000.000000,,,8054115000000.000000,-908297000000.000000,3608806000000.000000,,2700509000000.000000
