Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Kegiatan Perantara Perdagangan Efek,"Penerimaan Jasa Penasehat Investasi, Penjamin Emisi Dan Penjualan Manajer Investasi",Penerimaan Dividen Dan Pendapatan Bunga,Penerimaan Dari Piutang Repo,"Penjualan (Pembelian) Aset Keuangan, Pada Nilai Wajar Melalui Laporan Laba Rugi",Penerimaan Komisi,Penerimaan Kepada (Pembayaran Kepada) Perusahaan,Penempatan Portofolio Efek,Penerimaan (Pembayaran) Kepada Nasabah,Penerimaan Kepada (Pembayaran Kepada) Nasabah Margin,Penerimaan Kepada (Pembayaran Kepada) Lembaga Kliring Dan Penjamin,Penambahan Kas Dan Setara Kas Yang Dibatasi Penggunaannya,Penerimaan Dari Perusahaan Efek,Pembayaran Kepada Efek Diperdagangkan,Pembayaran Kepada Karyawan,Penerimaan (Pembayaran) Pajak Penghasilan,Pencairan Deposito Berjangka,Pembayaran Denda Kepada Ojk,Penerimaan (Pembayaran) Transaksi Bursa,Pembayaran Pajak Lain-Lain,Pembayaran Imbalan Kerja Karyawan,Beban Operasional,Pembayaran Pajak,Penerimaan (Pembayaran) Lain-Lain,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Hasil Penjualan Aset Tetap,"Pembelian Aset Keuangan, Pada Nilai Wajar Melalui Penghasilan Komprehensif Lain","Penjualan (Pembelian) Aset Keuangan, Pada Nilai Wajar Melalui Laba Rugi - Neto",Pembelian Portfolio Efek Diukur Pada Fvoci,Penerimaan Bunga Dari Aktivitas Investasi,Perolehan Aset Tetap,Investasi Entitas Asosiasi,Biaya Penjualan Entitas Asosiasi,Penempatan Deposito Berjangka,Akuisisi Entitas Anak Dari Entitas Sepengendali,Penambahan Aset Hak Guna,Uang Muka Penyertaan Saham,Penerimaan Deviden Atas Entitas Asosiasi,Adjustment,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pembayaran Bunga,Deposito Yang Dijaminkan Untuk Pihak Berelasi,Penerimaan Pokok Hutang Bank,Pinjaman Dari Pihak Berelasi,Deposito Yang Dijaminkan,Dana Dibayar Dimuka,Pembayaran (Penerimaan) Pinjaman Leasing,(Pelunasan) Penerimaan Dari Promissory Note,Pembayaran Deviden,Hail Penerbitan (Pelunasan) Obligasi,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2016,-19071661953.000000,82959441457.000000,1006944438.000000,3198903300.000000,37924333911.000000,10258778002.000000,,-68887127858.000000,,,-24614298145.000000,1968959047.000000,,,,-13536093941.000000,-502757159.000000,,,-168027391.000000,-4456391976.000000,,-44224325638.000000,,,-19071661953.000000,-1050227415.000000,,,,,,-1050227415.000000,,,,,,,,,-1050227415.000000,34923267356.000000,-76732644.000000,,,,,,,,,35000000000.000000,34923267356.000000,14801377988.000000,345127338432.000000,359928716420.000000
12M 2017,-87108935112.000000,30584355925.000000,3073983265.000000,3382553655.000000,2010000000.000000,-80874348031.000000,,35323999438.000000,,,13261588397.000000,-30924601442.000000,,,,-16572269412.000000,-1618303409.000000,13530000.000000,-3000000000.000000,-548491306.000000,-3563109096.000000,-239125000.000000,-42487982757.000000,,5069284661.000000,-87108935112.000000,19386342973.000000,365471075.000000,,,,19221095091.000000,-1350183929.000000,,,,,,,1149960736.000000,,19386342973.000000,-109050114472.000000,-50114472.000000,,,,,,,,-9000000000.000000,-100000000000.000000,-109050114472.000000,-176772706611.000000,359928716420.000000,183156009809.000000
12M 2018,3341364556.000000,38572921927.000000,268841146.000000,7203333483.000000,-2880000000.000000,57008309681.000000,,-23818485176.000000,,,13426234681.000000,-42556769700.000000,,2744500000.000000,,-18153052961.000000,-23457285.000000,,-2500000000.000000,144180685.000000,-2467858817.000000,-155681250.000000,-23825931244.000000,,354279386.000000,3341364556.000000,6578421671.000000,9111364.000000,,,,8160335238.000000,-1591024931.000000,,,,,,,,,6578421671.000000,-13841546.000000,-13841546.000000,,,,,,,,,,-13841546.000000,9905944681.000000,183156009809.000000,193061954490.000000
12M 2019,-34940392825.000000,53218049505.000000,3083776407.000000,7730254585.000000,18057000000.000000,-129022450856.000000,,-36191967908.000000,,,1684379379.000000,91862653940.000000,,-2744500000.000000,,-17175237828.000000,634864853.000000,,,-902561892.000000,-5177381029.000000,-142433998.000000,-20603504138.000000,,748666155.000000,-34940392825.000000,7005159650.000000,159545454.000000,,,,10265149154.000000,-3419534958.000000,,,,,,,,,7005159650.000000,-471270606.000000,-471270606.000000,,,,,,,,,,-471270606.000000,-28406503781.000000,193061954490.000000,164655450709.000000
12M 2020,-63333892154.000000,17984205282.000000,954634033.000000,8708613769.000000,-19000000000.000000,-33933612071.000000,,-11972582796.000000,,,,6289965032.000000,,,,-10705647574.000000,,,,418449540.000000,-2701919019.000000,-660569498.000000,-17698695094.000000,,-1016733758.000000,-63333892154.000000,79545502458.000000,490812324.000000,,,,8270395537.000000,-3843195796.000000,110000000000.000000,-32700302343.000000,,,-2672207264.000000,,,,79545502458.000000,-11413373841.000000,-133373841.000000,,,,,,,-11280000000.000000,,,-11413373841.000000,4798236463.000000,128477062108.000000,133275298571.000000
12M 2021,-3257203850.000000,20149015904.000000,13585766698.000000,22966737623.000000,-20246341598.000000,,,,,-6325370922.000000,,40242563.000000,2216035000.000000,,,-8994190799.000000,,,,-1024886746.000000,-4358718755.000000,-86473500.000000,-21391696823.000000,,212677505.000000,-3257203850.000000,12163807934.000000,521361158.000000,-1069880606.000000,13976991021.000000,,,-1054140912.000000,,,,,-210522727.000000,,,,12163807934.000000,-20025020358.000000,-25020358.000000,-20000000000.000000,,,,,,,,,-20025020358.000000,-11118416274.000000,133275298570.000000,122156882296.000000
12M 2022,64050730499.000000,13072415221.000000,10757849998.000000,32241997880.000000,44130320467.000000,,3747246677.000000,,,797911844.000000,,,,,,-12229083495.000000,,,,-1783334030.000000,-3437675291.000000,-241175121.000000,-19891802502.000000,,-3113941149.000000,64050730499.000000,-189940785024.000000,381602091.000000,-147166405653.000000,,,,-842641374.000000,,,-2100000000.000000,-40000000000.000000,-213340088.000000,,,,-189940785024.000000,9012893645.000000,-8125355.000000,20000000000.000000,,6000000000.000000,,,,,-16978981000.000000,,9012893645.000000,-116877160880.000000,122205157022.000000,5327996142.000000
12M 2023,-14859991975.000000,11971608584.000000,7562771551.000000,34471963181.000000,-28523250686.000000,,4174763633.000000,,,-5466774192.000000,,20123499.000000,,,,-11858811996.000000,,,,-1777506747.000000,-3604946993.000000,-88798840.000000,-20362762879.000000,,-1378370090.000000,-14859991975.000000,64360309959.000000,21400000.000000,103937547671.000000,,,,-2552727990.000000,-33961768600.000000,,,,-3084141122.000000,,,,64360309959.000000,-10506309748.000000,-15227167.000000,,,-6000000000.000000,,-4491082581.000000,,,,,-10506309748.000000,38994008236.000000,5327996141.000000,44322004377.000000
12M 2024,12722261495.000000,12925069768.000000,5298242871.000000,29579272955.000000,-51834297.000000,,2571008172.000000,,,-1031135543.000000,,5018537930.000000,,,,-11066678054.000000,,,,-1426501195.000000,-2603551153.000000,-324035448.000000,-23523866856.000000,,-2642267655.000000,12722261495.000000,53938704804.000000,,23889477054.000000,,,,-92001980.000000,30200000000.000000,,,,-58770270.000000,,,,53938704804.000000,-40439811550.000000,-30802332.000000,,,-173072157.000000,,-4148370662.000000,,,-36087566399.000000,,-40439811550.000000,26221154749.000000,44322004379.000000,70543159128.000000
