Period,Total Pendapatan,Premi Bruto,Premi Reasuransi,Pendapatan Komisi,Hasil Investasi,Others,Total Pendapatan,Total Beban Usaha,Klaim Bruto,Klaim Reasuransi,Beban Underwriting,Beban Usaha,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2014,18246788001.000000,26453550544.000000,-16755148916.000000,250852125.000000,13038915966.000000,-4741381718.000000,18246788001.000000,-10249513349.000000,-1671923029.000000,519290284.000000,,-8602936855.000000,-493943749.000000,-10249513349.000000,7997274652.000000,326380483.000000,8323655135.000000,-23850245.000000,8299804890.000000,-6098322961.000000,2201481929.000000,8299804890.000000,8299804890.000000,,8299804890.000000,2201481929.000000,2201481929.000000,,2201481929.000000
12M 2015,32302221293.000000,39824051269.000000,-23267702953.000000,1355114933.000000,15243622625.000000,-852864581.000000,32302221293.000000,-16924590328.000000,-15455833608.000000,9638284280.000000,,-9982456702.000000,-1124584298.000000,-16924590328.000000,15377630965.000000,1923489719.000000,17301120684.000000,-328477928.000000,16972642756.000000,1566151633.000000,18538794389.000000,16972642756.000000,16972642756.000000,,16972642756.000000,18538794389.000000,18538794389.000000,,18538794389.000000
12M 2016,38124533316.000000,64742327024.000000,-35350410997.000000,2183829653.000000,10026917696.000000,-3478130060.000000,38124533316.000000,-29899011696.000000,-23672855398.000000,13145804077.000000,,-13706256942.000000,-5665703433.000000,-29899011696.000000,8225521620.000000,8376175.000000,8233897795.000000,-241532641.000000,7992365154.000000,-6027518910.000000,1964846244.000000,7992365154.000000,7992365154.000000,,7992365154.000000,1964846244.000000,1964846244.000000,,1964846244.000000
12M 2017,45599372423.000000,51644914662.000000,-22498838588.000000,1530595828.000000,11612371887.000000,3310328634.000000,45599372423.000000,-35249415518.000000,-20700814350.000000,5036200875.000000,,-14672260767.000000,-4912541276.000000,-35249415518.000000,10349956905.000000,-1837428499.000000,8512528406.000000,302250254.000000,8814778660.000000,13636411549.000000,22451190209.000000,8814778660.000000,8814778660.000000,,8814778660.000000,22451190209.000000,22451190209.000000,,22451190209.000000
12M 2018,37165598367.000000,50674198295.000000,-34313150728.000000,2764606754.000000,11769437214.000000,6270506832.000000,37165598367.000000,-26661680257.000000,-28281870443.000000,9831083879.000000,,-13406900449.000000,5196006756.000000,-26661680257.000000,10503918110.000000,-5710620101.000000,4793298009.000000,-845640086.000000,3947657923.000000,-11951225685.000000,-8003567762.000000,3947657923.000000,3947657923.000000,,3947657923.000000,-8003567762.000000,-8003567762.000000,,-8003567762.000000
12M 2019,48420594853.000000,69095156501.000000,-49690955777.000000,7040181309.000000,22303110485.000000,-326897665.000000,48420594853.000000,-26671648838.000000,-30826730285.000000,18281136199.000000,-577853964.000000,-15315108957.000000,1766908169.000000,-26671648838.000000,21748946015.000000,311189686.000000,22060135701.000000,-254105670.000000,21806030031.000000,-2888496386.000000,18917533645.000000,21806030031.000000,21806030031.000000,,21806030031.000000,18917533645.000000,18917533645.000000,,18917533645.000000
12M 2020,37119173157.000000,106850587146.000000,-91121785098.000000,11426123782.000000,10609204525.000000,-644957198.000000,37119173157.000000,-30817364304.000000,-48295988093.000000,34055792166.000000,-3524271229.000000,-13577579905.000000,524682757.000000,-30817364304.000000,6301808853.000000,45690646.000000,6347499499.000000,-135853743.000000,6211645756.000000,5264096314.000000,11475742070.000000,6211645756.000000,6211645756.000000,,6211645756.000000,11475742070.000000,11475742070.000000,,11475742070.000000
12M 2021,44867615460.000000,101078629161.000000,-78873347610.000000,8510011681.000000,14112385938.000000,39936290.000000,44867615460.000000,-33331317886.000000,-58382641000.000000,42439200451.000000,-4002930721.000000,-14208234062.000000,823287446.000000,-33331317886.000000,11536297574.000000,143938917.000000,11680236491.000000,628778941.000000,12309015432.000000,49013804055.000000,61322819487.000000,12309015432.000000,12309015432.000000,,12309015432.000000,61322819487.000000,61322819487.000000,,61322819487.000000
12M 2022,41993407912.000000,130851697483.000000,-104979345917.000000,4083151931.000000,12275529871.000000,-237625456.000000,41993407912.000000,-33502361569.000000,-60307076505.000000,45470671545.000000,-3160342413.000000,-14237506132.000000,-1268108064.000000,-33502361569.000000,8491046343.000000,659438059.000000,9150484402.000000,-486935050.000000,8663549352.000000,-57766381150.000000,-49102831798.000000,8663549352.000000,8663549352.000000,,8663549352.000000,-49102831798.000000,-49102831798.000000,,-49102831798.000000
12M 2023,57607895281.000000,125312545131.000000,-75453561218.000000,-1234136042.000000,7064117929.000000,1918929481.000000,57607895281.000000,-51818617654.000000,-71952898129.000000,35135293464.000000,-1950291753.000000,-15304345854.000000,2253624618.000000,-51818617654.000000,5789277627.000000,489205615.000000,6278483242.000000,200580147.000000,6479063389.000000,-32520012447.000000,-26040949058.000000,6479063389.000000,6479063389.000000,,6479063389.000000,-26040949058.000000,-26040949058.000000,,-26040949058.000000
