Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2014,0.00,1090468.36,0.00,1090468.36,,,,,
12M 2015,0.92,113.46,0.92,113.46,,,,,
12M 2016,0.71,115.32,0.71,115.32,,,,,
12M 2017,1.45,130.77,1.45,130.77,,,,,
12M 2018,1.02,123.65,1.02,123.65,,,,,
12M 2019,0.96,127.92,0.96,127.92,,,,,
12M 2020,0.72,126.15,0.72,126.15,,,,,
12M 2021,0.99,164.73,0.99,164.73,,,,,
12M 2022,1.39,127.71,1.39,127.71,,,,,
12M 2023,1.43,105.18,1.43,105.18,,,,,
12M 2024,1.05,104.15,1.05,104.15,,,,,
