Period,Days Sales Outstanding (Annual),Days Inventory (Annual),Payables Period (Annual),Cash Conversion Cycle (Annual),Receivables Turnover (Annual),Receivables Turnover (TTM),Inventory Turnover (Annual),Inventory Turnover (TTM),Fixed Assets Turnover (Annual),Fixed Assets Turnover (TTM),Asset Turnover (Annual),Asset Turnover (TTM),Working Capital Turnover (Annual),Working Capital Turnover (TTM),Working Capital Ratio (Annual)
12M 2014,,,,,,,,,,,,,,,0.0
12M 2015,,,,,,,,,40.03,48.12,0.18,0.15,,,0.0
12M 2016,,,,,,,,,33.66,22.48,0.17,0.16,,,0.0
12M 2017,,,,,,,,,30.12,31.82,0.19,0.18,,,0.0
12M 2018,,,,,,,,,29.1,30.94,0.14,0.15,,,0.0
12M 2019,,,,,,,,,30.14,23.77,0.18,0.18,,,0.0
12M 2020,,,,,,,,,13.33,13.05,0.12,0.12,,,0.0
12M 2021,,,,,,,,,11.28,10.75,0.13,0.13,,,0.0
12M 2022,,,,,,,,,11.86,13.66,0.13,0.14,,,0.0
12M 2023,,,,,,,,,25.79,30.86,0.21,0.21,,,0.0
12M 2024,,,,,,,,,39.64,45.25,0.25,0.24,,,0.0
