Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Premi,Penerimaan Klaim Reasuransi,Pembayaran Premi Reasuransi,Pembayaran Klaim,Penerimaan (Pembayaran) Komisi,Penerimaan Komisi,Pembayaran Komisi,Total Penerimaan (Pembayaran) Komisi,Pembayaran Beban Usaha,Penerimaan (Pembayaran) Lain-Lain,Penerimaan Lain-Lain,Pembayaran Lain-Lain,Total Penerimaan (Pembayaran) Lain-Lain,Pembayaran Beban Pajak,Adjustment,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Pencairan Deposito Berjangka,Penempatan Deposito Berjangka,Pencairan Efek Tersedia Untuk Dijual,Penempatan Efek Tersedia Untuk Dijual,Penempatan Efek Diperdagangkan,Pencairan Efek Diperdagangkan,Penempatan Penyertaan Langsung,Pencairan Penyertaan Langsung,Pelepasan Tanah Dan Bangunan,Penerimaan Hasil Investasi,Hasil Penjualan Aset Tetap,Penyertaan Saham,Perolehan Aset Tetap,Lain-Lain,Perolehan Properti Invastasi,Pembayaran Utang Pembelian Kendaraan,Penempatan Penyertaan Dalam Bentuk Saham,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pembayaran Utang Pembelian Kendaraan,Penambahan Modal Disetor,Pembayaran Liabilitas Sewa,Pembayaran Bunga,Pembayaran Dividen,Kenaikan (Penurunan) Surat Berharga Yang Belum Direalisasi,Total Arus Kas Dari Aktivitas Pendanaan,Adjustment,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2014,3497610345.000000,26442407598.000000,477674501.000000,-14764609533.000000,-1693727713.000000,,3277067191.000000,-3405787460.000000,-128720269.000000,-6621067762.000000,-170622107.000000,,,-170622107.000000,-43724370.000000,,3497610345.000000,-4639774283.000000,31623300731.000000,-23446543299.000000,42845288098.000000,-53346161187.000000,-9786667450.000000,,,,,7642318306.000000,,,-78123672.000000,,,-93185810.000000,,-4639774283.000000,,,,,,,,,21446306.000000,,-1120717632.000000,3102353069.000000,1981635437.000000
12M 2015,-1757680835.000000,35162872380.000000,4746221595.000000,-20582390410.000000,-14845684036.000000,,5363411046.000000,-2657131813.000000,2706279233.000000,-8956094862.000000,59862967.000000,,,59862967.000000,-48747702.000000,,-1757680835.000000,-34658752813.000000,3246543299.000000,-25000000000.000000,19818465808.000000,-55359798000.000000,,9690000150.000000,,,,12984721400.000000,,,-16862000.000000,,,-21823470.000000,,-34658752813.000000,36955734516.000000,,36955734516.000000,,,,,36955734516.000000,,,539300868.000000,1981635437.000000,2520936305.000000
12M 2016,-2770211140.000000,54780176033.000000,6830912142.000000,-30778338019.000000,-24227726398.000000,,8695010429.000000,-4588376270.000000,4106634159.000000,-12421291216.000000,-440483454.000000,,,-440483454.000000,-620094387.000000,,-2770211140.000000,1403021280.000000,14500000000.000000,-11500000000.000000,28202768174.000000,-22925000000.000000,,,,,,11366607477.000000,,-14400000000.000000,-223004082.000000,,-3100902000.000000,-517448289.000000,,1403021280.000000,721900000.000000,,721900000.000000,,,,,721900000.000000,,,-645289860.000000,2520936305.000000,1875646445.000000
12M 2017,14185118211.000000,63985048870.000000,15145680565.000000,-28902028456.000000,-20372161625.000000,,3649420383.000000,-4941548091.000000,-1292127708.000000,-14168371065.000000,123430388.000000,,,123430388.000000,-334352758.000000,,14185118211.000000,-13769163842.000000,27500000000.000000,-4851400000.000000,27878895362.000000,-71317900000.000000,,,,,,11090895079.000000,,-3650000000.000000,-203802200.000000,,,-215852083.000000,,-13769163842.000000,184404000.000000,,184404000.000000,,,,,184404000.000000,,,600358369.000000,1875646444.000000,2476004813.000000
12M 2018,-4719694169.000000,48344829330.000000,11340101301.000000,-28386107232.000000,-28418362501.000000,,5848419928.000000,-2735030331.000000,3113389597.000000,-11137326308.000000,766392965.000000,,,766392965.000000,-342611321.000000,,-4719694169.000000,6432084180.000000,13441300000.000000,-29667800000.000000,27843000000.000000,-17392800000.000000,,,,,,12357685783.000000,281000000.000000,,-193211100.000000,,,-237090503.000000,,6432084180.000000,-2169994322.000000,,155738000.000000,,,-2325732322.000000,,-2169994322.000000,,,-457604311.000000,2476004813.000000,2018400502.000000
12M 2019,-5902837807.000000,60857664008.000000,18276796707.000000,-47168477156.000000,-29968044156.000000,,10209116565.000000,-3480133497.000000,6728983068.000000,-14654251130.000000,361326831.000000,,,361326831.000000,-336835979.000000,,-5902837807.000000,18548477735.000000,30167800000.000000,-15711850000.000000,28825911175.000000,-47963700000.000000,,,,,,24513095760.000000,22953300.000000,,-1305732500.000000,,,,,18548477735.000000,-12520328380.000000,-206744000.000000,332585110.000000,,,-12646169490.000000,,-12520328380.000000,,,125311548.000000,2018400502.000000,2143712050.000000
12M 2020,-11657561273.000000,71469512396.000000,32545939971.000000,-67399445295.000000,-49368538653.000000,,14915480128.000000,-3067385481.000000,11848094647.000000,-11968281136.000000,,1484519355.000000,,1484519355.000000,-269362558.000000,,-11657561273.000000,28528664661.000000,198385050500.000000,-187390000000.000000,232621246794.000000,-226801937818.000000,,,,,,12364829002.000000,9030468.000000,,-659554285.000000,,,,,28528664661.000000,-14568962630.000000,-49269628.000000,436415650.000000,-879623328.000000,-202089342.000000,-13874395982.000000,,-14568962630.000000,,,2302140758.000000,2143712050.000000,4445852808.000000
12M 2021,1344624035.000000,117217603942.000000,45755636956.000000,-100261534669.000000,-58145491979.000000,,12158881109.000000,-2149035419.000000,10009845690.000000,-13044208400.000000,,-219929231.000000,,-219929231.000000,32701726.000000,,1344624035.000000,4747248441.000000,142533766024.000000,-136033766024.000000,112092729890.000000,-126346422300.000000,,,,,,13131273874.000000,334000000.000000,,-964333023.000000,,,,,4747248441.000000,-6346302328.000000,-434769756.000000,,-729155036.000000,-216427242.000000,-4965950294.000000,,-6346302328.000000,,,-254429852.000000,4445952808.000000,4191522956.000000
12M 2022,10509885246.000000,134311447142.000000,48735434788.000000,-112392167560.000000,-53462850699.000000,,8951623076.000000,-4656136746.000000,4295486330.000000,-11656811338.000000,,706707598.000000,,706707598.000000,-27361015.000000,,10509885246.000000,-1757414938.000000,86400000000.000000,-92000000000.000000,121149236691.000000,-129939893394.000000,,,,,,12685551765.000000,13500000.000000,,-65810000.000000,,,,,-1757414938.000000,-6719118597.000000,-507629456.000000,,-1053767964.000000,-191770883.000000,-4965950294.000000,,-6719118597.000000,,,2033351711.000000,4191422955.000000,6224774666.000000
12M 2023,-3260191798.000000,131842582860.000000,33047876658.000000,-74647814956.000000,-77961518664.000000,,4625143332.000000,-6513217252.000000,-1888073920.000000,-13383883570.000000,,-264585106.000000,,-264585106.000000,-4775100.000000,,-3260191798.000000,8950193651.000000,226455900000.000000,-250539100000.000000,64272379728.000000,-40033920000.000000,,,,,,8882134023.000000,400000.000000,,-87600100.000000,,,,,8950193651.000000,-8752368407.000000,-560784894.000000,,-1209472264.000000,-117415252.000000,-6864695997.000000,,-8752368407.000000,,,-3062366554.000000,6224774666.000000,3162408112.000000
12M 2024,5198519746.000000,119263958931.000000,4905548716.000000,-61842359311.000000,-43627327541.000000,,5738947642.000000,-6075628523.000000,-336680881.000000,-14240296804.000000,,1077240176.000000,,1077240176.000000,-1563540.000000,,5198519746.000000,-5976901464.000000,110317590000.000000,-98937570000.000000,30683605063.000000,-54773488563.000000,,,,,,6784499840.000000,13040000.000000,,-64577804.000000,,,,,-5976901464.000000,-1129353587.000000,-286815894.000000,,-539413252.000000,-303124441.000000,,,-1129353587.000000,,,-1907735305.000000,3162408112.000000,1254672807.000000
