Period,Aset,Kas Dan Setara Kas,Others,Total Kas Dan Setara Kas,Others,Total Deposito Berjangka,Others,Total Efek Tersedia Untuk Dijual,Others,Total Efek Tersedia Untuk Dijual,Piutang Premi,Pihak Berelasi,Pihak Ketiga,Total Piutang Premi,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Piutang Reasuransi,Aset Reasuransi,Aset Pajak Tangguhan,Aset Tetap,Others,Total Aset,Adjustment,Liabilitas Dan Ekuitas,Liabilitas,Utang Klaim,Utang Reasuransi,Pihak Ketiga,Total Utang Reasuransi,Utang Lain-Lain,Utang Pajak,Beban Akrual,Liabilitas Kontrak Asuransi,Estimasi Liabilitas Klaim,Premi Yang Belum Merupakan Pendapatan,Total Liabilitas Kontrak Asuransi,Utang Nasabah,Pihak Berelasi,Pihak Ketiga,Total Utang Nasabah,Utang Pembelian Kendaraan,Pihak Ketiga,Total Utang Pembelian Kendaraan,Liabilitas Pajak Tangguhan,Adjustment,Others,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Others,Total Ekuitas,Adjustment,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2014,,,1981635437.000000,1981635437.000000,40246543299.000000,40246543299.000000,65255402370.000000,65255402370.000000,66961585311.000000,66961585311.000000,,1246837399.000000,7933524130.000000,9180361529.000000,,,,,52896337.000000,26272143775.000000,47249487.000000,983888166.000000,119654454132.000000,158172628863.000000,,,,7406286.000000,6410979055.000000,6410979055.000000,6410979055.000000,154632500.000000,47394751.000000,438464852.000000,33353392283.000000,17267688451.000000,16085703832.000000,33353392283.000000,7330110571.000000,3131025558.000000,4199085013.000000,7330110571.000000,21823470.000000,,21823470.000000,,,1323416890.000000,49087620658.000000,,100000000000.000000,,7430653405.000000,,,7430653405.000000,1616182941.000000,109046836346.000000,38171858.000000,158172628862.000000,100000.000000
12M 2015,,,2520936305.000000,2520936305.000000,62000000000.000000,62000000000.000000,105808399420.000000,105808399420.000000,105898399420.000000,105898399420.000000,,1122180659.000000,14101171766.000000,15223352425.000000,,,,,6355345030.000000,15042913357.000000,95004898.000000,629879500.000000,170740621378.000000,210608052893.000000,,,,617555858.000000,9096291598.000000,9096291598.000000,9096291598.000000,1868500.000000,363205610.000000,792239400.000000,24101610746.000000,6756257273.000000,17345353473.000000,24101610746.000000,8711922578.000000,2545478426.000000,6166444152.000000,8711922578.000000,,,,,,2343821494.000000,46028515784.000000,,145049050000.000000,-644265484.000000,16972647930.000000,,,16972647930.000000,3202104663.000000,164579537109.000000,,210608052893.000000,1450490500.000000
12M 2016,,,1875646444.000000,1875646444.000000,59000000000.000000,59000000000.000000,93477629351.000000,93477629351.000000,107967629351.000000,107967629351.000000,,1751356511.000000,22035877146.000000,23787233657.000000,,,,,12670236965.000000,20671239877.000000,161129208.000000,1635610624.000000,173073527981.000000,233874624756.000000,,,,62684859.000000,13668364576.000000,13668364576.000000,13668364576.000000,738456137.000000,184889985.000000,1472885309.000000,38873770760.000000,13070183472.000000,25803587288.000000,38873770760.000000,7313652819.000000,3743316798.000000,3570336021.000000,7313652819.000000,,,,,,4293636958.000000,66608341403.000000,,145049050000.000000,77634516.000000,24965013084.000000,,,24965013084.000000,-2825414247.000000,167266283353.000000,,233874624756.000000,1450490500.000000
12M 2017,,,2476004813.000000,2476004813.000000,36354800000.000000,36354800000.000000,140963180410.000000,140963180410.000000,159103180410.000000,159103180410.000000,,1489097010.000000,10491127139.000000,11980224149.000000,,245147085.000000,13273123128.000000,13518270213.000000,2560757275.000000,22456935533.000000,,1391799788.000000,199258772910.000000,253642764681.000000,,,,391337584.000000,7265174708.000000,7265174708.000000,7265174708.000000,834102871.000000,66390491.000000,1130111842.000000,49783396747.000000,,,49783396747.000000,,,,,,,,2793343850.000000,,1477029026.000000,63740887119.000000,,145216690000.000000,94398516.000000,33781005588.000000,2000000000.000000,31781005588.000000,33781005588.000000,10809783458.000000,189901877562.000000,,253642764681.000000,1452166900.000000
12M 2018,,,2018400502.000000,2018400502.000000,52696200000.000000,52696200000.000000,132402308372.000000,132402308372.000000,132492308372.000000,132492308372.000000,,1455894239.000000,12853698875.000000,14309593114.000000,,187926862.000000,4709618592.000000,4897545454.000000,1051739853.000000,48106717662.000000,704184709.000000,1162886570.000000,189867562965.000000,262118630829.000000,,,,254845526.000000,13192218204.000000,13192218204.000000,13192218204.000000,1479674649.000000,47146429.000000,1394049308.000000,63966665289.000000,,,63966665289.000000,,,,,,,,,,2055715946.000000,82390315351.000000,,145358270000.000000,108556516.000000,35572209533.000000,3000000000.000000,32572209533.000000,35572209533.000000,-1310720571.000000,179728315478.000000,,262118630829.000000,1453582700.000000
12M 2019,,,2143712050.000000,2143712050.000000,38195050500.000000,38195050500.000000,147767266661.000000,147767266661.000000,150883374661.000000,150883374661.000000,,1546403302.000000,21000682305.000000,22547085607.000000,,565936111.000000,2319670676.000000,2885606787.000000,1056079345.000000,60108697573.000000,1765705167.000000,2050262917.000000,191613805985.000000,284170955431.000000,,,,1113531655.000000,15714696825.000000,15714696825.000000,15714696825.000000,2210647751.000000,220245414.000000,1255311383.000000,74528634696.000000,,,74528634696.000000,,,,,,,,,,2795622964.000000,97838690688.000000,,145660620100.000000,138791526.000000,44673196590.000000,13000000000.000000,31673196590.000000,44673196590.000000,-4140343473.000000,186332264743.000000,,284170955431.000000,1456606201.000000
12M 2020,,,4445852808.000000,4445852808.000000,27200000000.000000,27200000000.000000,148914617746.000000,148914617746.000000,150909852004.000000,150909852004.000000,,2266451863.000000,52123713426.000000,54390165289.000000,,55621875.000000,2197904547.000000,2253526422.000000,10151962791.000000,67400947254.000000,95499268.000000,3518827068.000000,180085606420.000000,322342387320.000000,,,,31231096.000000,48033632126.000000,48033632126.000000,48033632126.000000,1307422178.000000,118292425.000000,1559857520.000000,81941158817.000000,,,81941158817.000000,,,,,,,,,,5103702714.000000,138095296876.000000,,146057361600.000000,178465676.000000,36883225429.000000,15000000000.000000,21883225429.000000,36883225429.000000,1128037739.000000,184247090444.000000,,322342387320.000000,1460573616.000000
12M 2021,,,4191422955.000000,4191422955.000000,20700000000.000000,20700000000.000000,68317800000.000000,68317800000.000000,238832194198.000000,214823463830.000000,,1473675771.000000,32774628322.000000,34248304093.000000,,23212500.000000,2374604204.000000,2397816704.000000,6835481980.000000,64307436165.000000,1027850636.000000,4433003494.000000,239147056448.000000,356588372475.000000,,,,190685183.000000,26645445067.000000,26645445067.000000,26645445067.000000,2796953645.000000,129410281.000000,2520062946.000000,77984423990.000000,,,77984423990.000000,,,,,,,,,,5717431726.000000,115984412838.000000,,146057361600.000000,178465676.000000,44382884486.000000,16000000000.000000,28382884486.000000,44382884486.000000,49985247875.000000,240603959637.000000,,356588372475.000000,1460573616.000000
12M 2022,,,6224774666.000000,6224774666.000000,26300000000.000000,26300000000.000000,75269800000.000000,75269800000.000000,170155302763.000000,165590148533.000000,,1110901550.000000,26520051653.000000,27630953203.000000,,1762500.000000,1565679101.000000,1567441601.000000,3570718739.000000,59728079500.000000,550863887.000000,2650799620.000000,195122576986.000000,297046208202.000000,,,,6129136977.000000,19232623426.000000,19232623426.000000,19232623426.000000,2255474688.000000,145922908.000000,2334203041.000000,74910800847.000000,,,74910800847.000000,,,,,,,,,,5502868770.000000,110511030657.000000,,146057361600.000000,178465676.000000,48077483239.000000,17000000000.000000,31077483239.000000,48077483239.000000,-7778132970.000000,186535177545.000000,,297046208202.000000,1460573616.000000
12M 2023,,,3162408112.000000,3162408112.000000,50383200000.000000,50383200000.000000,48776000000.000000,48776000000.000000,107198089400.000000,107198089400.000000,,765866167.000000,20111845127.000000,20877711294.000000,,,789612375.000000,789612375.000000,5658135545.000000,46597156163.000000,754418938.000000,1816655427.000000,163279150636.000000,242935248490.000000,,,,120516442.000000,20038369687.000000,20038369687.000000,20038369687.000000,1464904861.000000,167724376.000000,2700535173.000000,57607323411.000000,,,57607323411.000000,,,,,,,,,,7206342050.000000,89305716000.000000,,146057361600.000000,178465676.000000,47686846703.000000,18000000000.000000,29686846703.000000,47686846703.000000,-40293141489.000000,153629532490.000000,,242935248490.000000,1460573616.000000
