Period,Aset,Kas Dan Setara Kas,Giro Pada Bank Indonesia,Penempatan Pada Bank Indonesia Dan Bank Lain,Penempatan Pada Bank Indonesia Dan Bank Lain,Pihak Ketiga,Pihak Berelasi,Total Penempatan Pada Bank Indonesia Dan Bank Lain,Others,Total Penempatan Pada Bank Indonesia Dan Bank Lain,Others,Total Pihak Ketiga,Others,Total Pihak Berelasi,Obligasi Pemerintah,Others,Total Obligasi Pemerintah,Pinjaman Yang Diberikan,Pihak Ketiga,Pihak Berelasi,Others,Total Pinjaman Yang Diberikan,Aset Tetap,Others,Total Aset Tetap,Aset Pajak Tangguhan,Others,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Segera,Simpanan Nasabah,Deposito Berjangka,Pihak Ketiga,Pihak Berelasi,Total Deposito Berjangka,Others,Total Simpanan Nasabah,Simpanan Dari Bank Lain,Pihak Ketiga,Pihak Berelasi,Total Simpanan Dari Bank Lain,Liabilitas Derivatif,Liabilitas Akseptasi,Surat Berharga Yang Diterbitkan,Pinjaman Yang Diterima,Pihak Ketiga,Pihak Berelasi,Total Pinjaman Yang Diterima,Obligasi Subordinasi,Pihak Ketiga,Pihak Berelasi,Total Obligasi Subordinasi,Liabilitas Pajak Tangguhan,Dana Syirkah Temporer,Simpanan Nasabah,Others,Total Simpanan Nasabah,Simpanan Dari Bank Lain,Total Dana Syirkah Temporer,Others,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,229843000000.000000,1811728000000.000000,,131755000000.000000,,,131755000000.000000,-6542000000.000000,125213000000.000000,1737394000000.000000,1737394000000.000000,,,,7576569000000.000000,7576569000000.000000,,30767976000000.000000,6019000000.000000,-540827000000.000000,30233168000000.000000,,1072645000000.000000,1072645000000.000000,103981000000.000000,3839024000000.000000,44992171000000.000000,,,592025000000.000000,31448744000000.000000,,20678662000000.000000,41141000000.000000,20719803000000.000000,10728941000000.000000,31448744000000.000000,330190000000.000000,,,330190000000.000000,2115000000.000000,,2496157000000.000000,3281294000000.000000,,,3281294000000.000000,249902000000.000000,,,249902000000.000000,,,,,,,,3513274000000.000000,41913701000000.000000,,2559804000000.000000,,633413000000.000000,202939000000.000000,430474000000.000000,633413000000.000000,-114747000000.000000,3078470000000.000000,44992171000000.000000,15093540.000000
12M 2009,,294357000000.000000,2842112000000.000000,,136688000000.000000,,,136688000000.000000,-3763000000.000000,132925000000.000000,5487972000000.000000,5487972000000.000000,,,,7380213000000.000000,7380213000000.000000,,38718344000000.000000,18858000000.000000,-619829000000.000000,38117373000000.000000,,1236672000000.000000,1236672000000.000000,72221000000.000000,8440185000000.000000,58516058000000.000000,,,664765000000.000000,40214954000000.000000,,22743026000000.000000,28093000000.000000,22771119000000.000000,17443835000000.000000,40214954000000.000000,504763000000.000000,,,504763000000.000000,,,3221894000000.000000,2983997000000.000000,,,2983997000000.000000,,,,,,,,,,,,5464169000000.000000,53054542000000.000000,,4357029000000.000000,708017000000.000000,450709000000.000000,158421000000.000000,292288000000.000000,450709000000.000000,-54239000000.000000,5461516000000.000000,58516058000000.000000,8714057000.000000
12M 2010,,362769000000.000000,4126152000000.000000,,2374930000000.000000,,,2374930000000.000000,-3120000000.000000,2371810000000.000000,931177000000.000000,931177000000.000000,,,,7193270000000.000000,7193270000000.000000,,48682818000000.000000,20102000000.000000,-725119000000.000000,47977801000000.000000,,1450837000000.000000,1450837000000.000000,38836000000.000000,4864064000000.000000,68385539000000.000000,,,781931000000.000000,47546047000000.000000,,29496407000000.000000,17518000000.000000,29513925000000.000000,18032122000000.000000,47546047000000.000000,558271000000.000000,,,558271000000.000000,,,4139934000000.000000,3399787000000.000000,,,3399787000000.000000,,,,,,,,,,,,5512291000000.000000,61938261000000.000000,,4357029000000.000000,639626000000.000000,1262137000000.000000,346199000000.000000,915938000000.000000,1262137000000.000000,188486000000.000000,6447278000000.000000,68385539000000.000000,8714057000.000000
12M 2011,,512399000000.000000,5261418000000.000000,,9780615000000.000000,9580615000000.000000,200000000000.000000,9780615000000.000000,-3051000000.000000,9777564000000.000000,632918000000.000000,632918000000.000000,106049000000.000000,106049000000.000000,,7106814000000.000000,7106814000000.000000,,58799385000000.000000,538371000000.000000,-804587000000.000000,58533169000000.000000,,1497455000000.000000,1497455000000.000000,58188000000.000000,6374452000000.000000,89121459000000.000000,,,1017008000000.000000,61970015000000.000000,,14055132000000.000000,16972268000000.000000,31027400000000.000000,30942615000000.000000,61970015000000.000000,792970000000.000000,782742000000.000000,10228000000.000000,792970000000.000000,,,5438382000000.000000,5695307000000.000000,3402801000000.000000,2292506000000.000000,5695307000000.000000,,,,,,,,,,,,6886134000000.000000,81799816000000.000000,,4417985000000.000000,734359000000.000000,2073959000000.000000,916587000000.000000,1157372000000.000000,2073959000000.000000,95340000000.000000,7321643000000.000000,89121459000000.000000,8835970500.000000
12M 2012,,694941000000.000000,7297835000000.000000,,11472346000000.000000,11267346000000.000000,205000000000.000000,11472346000000.000000,-6050000000.000000,11466296000000.000000,914156000000.000000,914156000000.000000,108409000000.000000,108409000000.000000,,7468930000000.000000,7468930000000.000000,,75277840000000.000000,132865000000.000000,-788913000000.000000,74621792000000.000000,,1582812000000.000000,1582812000000.000000,,8615987000000.000000,111748593000000.000000,,,1201499000000.000000,80667983000000.000000,,14612144000000.000000,26909431000000.000000,41521575000000.000000,39146408000000.000000,80667983000000.000000,706703000000.000000,668965000000.000000,37738000000.000000,706703000000.000000,,,7136776000000.000000,6737260000000.000000,3165614000000.000000,3571646000000.000000,6737260000000.000000,,,,,45009000000.000000,,,,,,,4974492000000.000000,101469722000000.000000,,5178220000000.000000,1793503000000.000000,3175036000000.000000,1811074000000.000000,1363962000000.000000,3175036000000.000000,132112000000.000000,10278871000000.000000,111748593000000.000000,10356440500.000000
12M 2013,,924451000000.000000,9858758000000.000000,,4839318000000.000000,4834318000000.000000,5000000000.000000,4839318000000.000000,-50000000.000000,4839268000000.000000,4124761000000.000000,4124761000000.000000,85679000000.000000,85679000000.000000,,8384960000000.000000,8384960000000.000000,,92090448000000.000000,295860000000.000000,-1007461000000.000000,91378847000000.000000,,1522724000000.000000,1522724000000.000000,,14260722000000.000000,131169730000000.000000,,,1284306000000.000000,96207622000000.000000,,17238042000000.000000,31032591000000.000000,48270633000000.000000,47936989000000.000000,96207622000000.000000,275257000000.000000,269514000000.000000,5743000000.000000,275257000000.000000,,,8836711000000.000000,7073032000000.000000,2953619000000.000000,4119413000000.000000,7073032000000.000000,,,,,152777000000.000000,,,,,,,5783272000000.000000,119612977000000.000000,,5282427000000.000000,2025764000000.000000,4328008000000.000000,2765847000000.000000,1562161000000.000000,4328008000000.000000,-79446000000.000000,11556753000000.000000,131169730000000.000000,10564853500.000000
12M 2014,,920482000000.000000,9371509000000.000000,,1496455000000.000000,1496455000000.000000,,1496455000000.000000,,1496455000000.000000,5239538000000.000000,5239538000000.000000,206834000000.000000,206834000000.000000,,8238065000000.000000,8238065000000.000000,,106138003000000.000000,133274000000.000000,-1365412000000.000000,104905865000000.000000,,1488383000000.000000,1488383000000.000000,,18155202000000.000000,144575961000000.000000,,,1835807000000.000000,106470677000000.000000,,19405284000000.000000,31086000000000.000000,50491284000000.000000,55979393000000.000000,106470677000000.000000,1179269000000.000000,1175970000000.000000,3299000000.000000,1179269000000.000000,,,8519884000000.000000,6998213000000.000000,2919183000000.000000,4079030000000.000000,6998213000000.000000,,,,,152422000000.000000,,,,,,,7213283000000.000000,132369555000000.000000,,5283848000000.000000,2028136000000.000000,4974952000000.000000,3859360000000.000000,1115592000000.000000,4974952000000.000000,-80530000000.000000,12206406000000.000000,144575961000000.000000,10567696000.000000
12M 2015,,1181219000000.000000,10986351000000.000000,,7839477000000.000000,7679477000000.000000,160000000000.000000,7839477000000.000000,,7839477000000.000000,1701338000000.000000,1701338000000.000000,118224000000.000000,118224000000.000000,,8230908000000.000000,8230908000000.000000,,127699492000000.000000,32666000000.000000,-1725724000000.000000,126006434000000.000000,,1553401000000.000000,1553401000000.000000,,16009802000000.000000,171807592000000.000000,,,1960789000000.000000,127708670000000.000000,,23504207000000.000000,34545033000000.000000,58049240000000.000000,69659430000000.000000,127708670000000.000000,1721198000000.000000,1719714000000.000000,1484000000.000000,1721198000000.000000,,,12492202000000.000000,7726728000000.000000,1998175000000.000000,5728553000000.000000,7726728000000.000000,,,,,9566000000.000000,,,,,,,6328332000000.000000,157947485000000.000000,,5291173000000.000000,2046598000000.000000,6759480000000.000000,4751833000000.000000,2007647000000.000000,6759480000000.000000,-237144000000.000000,13860107000000.000000,171807592000000.000000,10582345000.000000
12M 2016,,1006682000000.000000,10697378000000.000000,,17581350000000.000000,17581082000000.000000,268000000.000000,17581350000000.000000,,17581350000000.000000,3187329000000.000000,3187329000000.000000,998812000000.000000,998812000000.000000,,9243639000000.000000,9243639000000.000000,,148100848000000.000000,2121112000000.000000,-1724935000000.000000,148497025000000.000000,,4659379000000.000000,4659379000000.000000,102791000000.000000,22380235000000.000000,214168479000000.000000,,,2081886000000.000000,159987717000000.000000,,26310843000000.000000,43226110000000.000000,69536953000000.000000,90450764000000.000000,159987717000000.000000,3652735000000.000000,3152735000000.000000,500000000000.000000,3652735000000.000000,,,14919910000000.000000,4999616000000.000000,2999695000000.000000,1999921000000.000000,4999616000000.000000,2999118000000.000000,,2999118000000.000000,2999118000000.000000,,,,,,,,6396961000000.000000,195037943000000.000000,,5295000000000.000000,2054454000000.000000,9008204000000.000000,6232559000000.000000,2775645000000.000000,9008204000000.000000,2772878000000.000000,19130536000000.000000,214168479000000.000000,10590000000.000000
12M 2017,,1027554000000.000000,12554585000000.000000,,24697503000000.000000,24691186000000.000000,6317000000.000000,24697503000000.000000,,24697503000000.000000,6532212000000.000000,6532212000000.000000,1188742000000.000000,1188742000000.000000,,8183973000000.000000,8183973000000.000000,,176511761000000.000000,4491022000000.000000,-2024561000000.000000,178978222000000.000000,,4837319000000.000000,4837319000000.000000,174555000000.000000,30911556000000.000000,261365267000000.000000,,,2813874000000.000000,177091421000000.000000,,33155848000000.000000,52326084000000.000000,85481932000000.000000,91609489000000.000000,177091421000000.000000,5063433000000.000000,5063433000000.000000,,5063433000000.000000,,8081000000.000000,20480459000000.000000,7991053000000.000000,2997908000000.000000,4993145000000.000000,7991053000000.000000,2999319000000.000000,,2999319000000.000000,2999319000000.000000,,15764370000000.000000,,15382372000000.000000,15382372000000.000000,,15764370000000.000000,7489823000000.000000,239701833000000.000000,,5295000000000.000000,2054454000000.000000,11511889000000.000000,8327684000000.000000,3184205000000.000000,11511889000000.000000,2802091000000.000000,21663434000000.000000,261365267000000.000000,10590000000.000000
