Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Bunga Dan Bagi Hasil,Penerimaan Kredit Yang Telah Dihapus Bukukan,"Pembayaran Bunga Dan Bonus, Provisi Dan Komisi",Pembayaran Pajak Penghasilan Badan,Penerimaan Atas Surat Ketetapan Pajak,Pembayaran Atas Surat Ketetapan Pajak,Beban Operasional Lainnya,Pendapatan (Beban) Bukan Operasional - Bersih,Perubahan Dalam Aset Dan Liabilitas:,Penurunan/(Kenaikan) Aset:,Penempatan Pada Bank Lain,Efek-Efek Yang Diukur Pada Nilai Wajar Melalu Laporan Laba Rugi Dan Tersedia Untuk Dijual,Obligasi Pemerintah Untuk Nilai Wajar Melalui Laporan Laba Rugi Dan Tersedia Untuk Dijual,Tagihan Derivatif/Swap Suku Bunga,Piutang Pembiayaan Syariah,Tagihan Akseptasi,Tagihan Derivatif,Kredit Yang Diberikan,Aset Lain-Lain Dan Beban Dibayar Dimuka,Total Penurunan/(Kenaikan) Aset:,Kenaikan/(Penurunan) Liabilitas:,Liabilitas Segera,Simpanan Nasabah,Giro,Giro Wadiah,Giro Mudharabah,Tabungan,Tabungan Wadiah Dan Mudharabah,Deposito Berjangka,Deposito Berjangka Mudharabah,Total Simpanan Nasabah,Simpanan Dari Bank Lain,Liabilitas Akseptasi,Kewajiban Swap Suku Bunga,Liabilitas Lain-Lain,Pembayaran Sewa Jangka Pendek,Pembayaran Sewa Aset Bernilai Rendah,Pembayaran Sewa Variabel Yang Tidak Termasuk Dalam Pengukuran Liabilitas Sewa,Dana Syirkah Temporer,Total Kenaikan/(Penurunan) Liabilitas:,Total Perubahan Dalam Aset Dan Liabilitas:,Penerimaan Dari Klaim Asuransi,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Jatuh Tempo Efek-Efek Yang Dimiliki Hingga Jatuh Tempo,Jatuh Tempo Obligasi Pemerintah Yang Dimiliki Hingga Jatuh Tempo,Penjualan (Pembelian) Efek-Efek Yang Dimiliki Hingga Jatuh Tempo,Perolehan Aset Tetap,Penjualan Aset Tetap,Kenaikan (Penurunan) Efek-Efek Tersedia Untuk Dijual,Kenaikan (Penurunan) Obligasi Pemerintah Diukur Pada Nilai Wajar Melalui Penghasilan Komprehensif Lain,Penjualan (Pembelian) Obligasi Pemerintah Yang Dimiliki Hingga Jatuh Tempo,Penjualan,Pembelian,Total Penjualan (Pembelian) Obligasi Pemerintah Yang Dimiliki Hingga Jatuh Tempo,Pembelian Efek-Efek Yang Dibeli Dengan Janji Dijual Kembali,Penerimaan Obligasi Pemerintah Yang Biaya Perolehan Diamortisasi,Penerimaan Efek-Efek Yang Dibeli Dengan Janji Dijual Kembali,Penerimaan Saat Jatuh Tempo Dari Efek-Efek Biaya Perolehan Diamortisasi,Pembelian Efek-Efek Yang Diukur Pada Biaya Perolehan Diamortisasi,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari Surat-Surat Berharga Yang Diterbitkan,Penerimaan (Pelunasan) Pinjaman Subordinasi,Pembayaran Dari Pinjaman Subordinasi,Pembayaran Biaya Emisi Surat-Surat Berharga Yang Diterbitkan,Penerimaan (Pembayaran) Dari Efek-Efek Yang Dijual Dengan Janji Dibeli Kembali,Penerimaan,Pembayaran,Total Penerimaan (Pembayaran) Dari Efek-Efek Yang Dijual Dengan Janji Dibeli Kembali,Penjualan (Pembelian) Kembali Obligasi Dalam Perbendaharaan,Pembayaran Atas Jatuh Tempo Surat-Surat Berharga Yang Diterbitkan,Hasil Penerbitan Saham,Biaya Emisi Penerbitan Saham,Eksekusi Opsi Saham Karyawan,Pembayaran Dividen Dan Program Kemitraan Dan Bina Lingkungan,Pembayaran Bagian Pokok Liabilitas Sewa,Pembayaran Bagian Bunga Liabilitas Sewa,Penerimaan (Pembayaran) Pinjaman Yang Diterima,Penerimaan Pinjaman Yang Diterima,Pembayaran Pinjaman Yang Diterima,Total Penerimaan (Pembayaran) Pinjaman Yang Diterima,Penjualan Saham Dalam Rangka Initial Public Offering (Ipo),Modal Disetor,Penerimaan (Pengeluaran) Kas Lainnya,Pembagian Laba,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2008,-167736000000.000000,4480873000000.000000,93280000000.000000,-2535349000000.000000,-293709000000.000000,,,-1181133000000.000000,-4292000000.000000,,,-77195000000.000000,-58331000000.000000,1047424000000.000000,109367000000.000000,,,,-9775606000000.000000,139904000000.000000,-8614437000000.000000,,88817000000.000000,,577466000000.000000,30577000000.000000,,161802000000.000000,57162000000.000000,6386571000000.000000,48078000000.000000,7261656000000.000000,315042000000.000000,,2115000000.000000,219401000000.000000,,,,,7887031000000.000000,-727406000000.000000,,-167736000000.000000,-37782000000.000000,,,141946000000.000000,-134503000000.000000,4947000000.000000,,,,,-50172000000.000000,-50172000000.000000,,,,,,-37782000000.000000,5502000000.000000,,,,,,1124999000000.000000,,1124999000000.000000,8000000000.000000,-750000000000.000000,,,,-33037000000.000000,,,,,-344460000000.000000,-344460000000.000000,,,,,5502000000.000000,-200016000000.000000,2263192000000.000000,2063176000000.000000
12M 2009,1379312000000.000000,5691970000000.000000,86671000000.000000,-3462878000000.000000,-269211000000.000000,,,-1386112000000.000000,6379000000.000000,,,-4933000000.000000,-36049000000.000000,288294000000.000000,-49000000.000000,,,,-8794395000000.000000,-24418000000.000000,-8571550000000.000000,,120096000000.000000,,4462404000000.000000,48638000000.000000,,1491859000000.000000,74007000000.000000,2051316000000.000000,637986000000.000000,8766210000000.000000,174573000000.000000,,-2115000000.000000,184979000000.000000,,,,,9243743000000.000000,672193000000.000000,40300000000.000000,1379312000000.000000,-4077138000000.000000,,,-3718363000000.000000,-347641000000.000000,,,,,,-11134000000.000000,-11134000000.000000,,,,,,-4077138000000.000000,3804497000000.000000,1500000000000.000000,-250000000000.000000,,,,1789710000000.000000,,1789710000000.000000,-20000000000.000000,-750000000000.000000,1888046000000.000000,,,-55962000000.000000,,,,,-297297000000.000000,-297297000000.000000,,,,,3804497000000.000000,1106671000000.000000,2063176000000.000000,3169847000000.000000
12M 2010,-2832958000000.000000,6424521000000.000000,78758000000.000000,-3141922000000.000000,-291979000000.000000,,,-2131694000000.000000,-13495000000.000000,,,62450000000.000000,-278269000000.000000,-532558000000.000000,33410000000.000000,,,,-10895306000000.000000,282084000000.000000,-11328189000000.000000,,34795000000.000000,,-2220607000000.000000,30511000000.000000,,1850934000000.000000,75729000000.000000,6742806000000.000000,851721000000.000000,7331094000000.000000,53509000000.000000,,,126265000000.000000,,,,,7545663000000.000000,-3782526000000.000000,25379000000.000000,-2832958000000.000000,2982362000000.000000,,,2304519000000.000000,-335552000000.000000,,,,1013395000000.000000,,,1013395000000.000000,,,,,,2982362000000.000000,1091678000000.000000,1650000000000.000000,,,,,,-100890000000.000000,-100890000000.000000,20000000000.000000,-750000000000.000000,,,,-143221000000.000000,,,,415789000000.000000,,415789000000.000000,,,,,1091678000000.000000,1241082000000.000000,5714016000000.000000,6955098000000.000000
12M 2011,4799245000000.000000,7411788000000.000000,74743000000.000000,-3759750000000.000000,-415944000000.000000,,,-2107691000000.000000,-3488000000.000000,,,41911000000.000000,290112000000.000000,12016000000.000000,,-1379347000000.000000,,,-10709579000000.000000,-6604000000.000000,-11751491000000.000000,,258186000000.000000,,7679510000000.000000,295902000000.000000,,3819294000000.000000,128992000000.000000,1513475000000.000000,986795000000.000000,14423968000000.000000,234699000000.000000,,,434225000000.000000,,,,,15351078000000.000000,3599587000000.000000,,4799245000000.000000,-341584000000.000000,,,7452000000.000000,-298710000000.000000,,,,-50326000000.000000,,,-50326000000.000000,,,,,,-341584000000.000000,4431045000000.000000,1300000000000.000000,,,,,986675000000.000000,,986675000000.000000,,,,,155690000000.000000,-306840000000.000000,,,,2295520000000.000000,,2295520000000.000000,,,,,4431045000000.000000,8888706000000.000000,6955098000000.000000,15843804000000.000000
12M 2012,1831532000000.000000,8656890000000.000000,107508000000.000000,-4069719000000.000000,-437556000000.000000,,,-2429538000000.000000,-7767000000.000000,,,-127402000000.000000,-562700000000.000000,-141143000000.000000,,-1803699000000.000000,,,-16214143000000.000000,-93127000000.000000,-18942214000000.000000,,235420000000.000000,,-204929000000.000000,326569000000.000000,,6468869000000.000000,255643000000.000000,10494175000000.000000,1357641000000.000000,18697968000000.000000,-86267000000.000000,,,106807000000.000000,,,,,18953928000000.000000,11714000000.000000,,1831532000000.000000,-383668000000.000000,,,189342000000.000000,-352262000000.000000,,,,,120000000000.000000,-340748000000.000000,-220748000000.000000,,,,,,-383668000000.000000,2189157000000.000000,2000000000000.000000,,,-3953000000.000000,,1978118000000.000000,-4093612000000.000000,-2115494000000.000000,,-300000000000.000000,1878534000000.000000,-59154000000.000000,10155000000.000000,-262885000000.000000,,,,1041954000000.000000,,1041954000000.000000,,,,,2189157000000.000000,3637021000000.000000,15843804000000.000000,19480825000000.000000
12M 2013,-3295676000000.000000,10795629000000.000000,193606000000.000000,-5079114000000.000000,-453656000000.000000,,,-3066021000000.000000,4862000000.000000,,,148041000000.000000,-1159263000000.000000,-1028326000000.000000,,-2142427000000.000000,,,-17195657000000.000000,25512000000.000000,-21352120000000.000000,,85654000000.000000,,5450432000000.000000,394537000000.000000,,2504024000000.000000,193444000000.000000,6749058000000.000000,248144000000.000000,15539639000000.000000,-431446000000.000000,,,467291000000.000000,,,,,15661138000000.000000,-5690982000000.000000,,-3295676000000.000000,-259036000000.000000,,,70408000000.000000,-219359000000.000000,,,,,220400000000.000000,-330485000000.000000,-110085000000.000000,,,,,,-259036000000.000000,2185910000000.000000,2000000000000.000000,,,-2417000000.000000,,2770600000000.000000,-2452870000000.000000,317730000000.000000,,-300000000000.000000,,,244014000000.000000,-409189000000.000000,,,,335772000000.000000,,335772000000.000000,,,,,2185910000000.000000,-1368802000000.000000,19480825000000.000000,18112023000000.000000
12M 2014,-2049009000000.000000,12548940000000.000000,202373000000.000000,-7269328000000.000000,-358876000000.000000,,,-3234585000000.000000,1960000000.000000,,,,9660000000.000000,105015000000.000000,,-1600125000000.000000,,,-14199296000000.000000,-217784000000.000000,-15902530000000.000000,,477250000000.000000,,4040235000000.000000,266187000000.000000,,1847289000000.000000,82732000000.000000,2220651000000.000000,1805961000000.000000,10263055000000.000000,904012000000.000000,,,318720000000.000000,,,,,11963037000000.000000,-3939493000000.000000,,-2049009000000.000000,-3332479000000.000000,,,-177304000000.000000,-191400000000.000000,,-3000489000000.000000,-13286000000.000000,,50000000000.000000,,50000000000.000000,,,,,,-3332479000000.000000,301463000000.000000,577381000000.000000,,,,,5146854000000.000000,-3981981000000.000000,1164873000000.000000,,-900000000000.000000,,,2676000000.000000,-468648000000.000000,,,,-74819000000.000000,,-74819000000.000000,,,,,301463000000.000000,-5080025000000.000000,18112023000000.000000,13031998000000.000000
12M 2015,1707579000000.000000,14603342000000.000000,227272000000.000000,-8119236000000.000000,-647413000000.000000,,,-3448993000000.000000,8281000000.000000,,,,,572465000000.000000,,-1657894000000.000000,,,-21816707000000.000000,-349149000000.000000,-23251285000000.000000,,-21579000000.000000,,7150960000000.000000,794865000000.000000,,4171998000000.000000,417769000000.000000,7557956000000.000000,1144445000000.000000,21237993000000.000000,541929000000.000000,,,577268000000.000000,,,,,22335611000000.000000,-915674000000.000000,,1707579000000.000000,2643735000000.000000,,,86016000000.000000,-262524000000.000000,,3399053000000.000000,873070000000.000000,,,-1451880000000.000000,-1451880000000.000000,,,,,,2643735000000.000000,2826668000000.000000,3984790000000.000000,,,,,2772233000000.000000,-4454745000000.000000,-1682512000000.000000,,,,,18994000000.000000,-223119000000.000000,,,,728515000000.000000,,728515000000.000000,,,,,2826668000000.000000,7177982000000.000000,13031998000000.000000,20209980000000.000000
12M 2016,9783925000000.000000,16822384000000.000000,197916000000.000000,-8950086000000.000000,-938172000000.000000,,,-4051884000000.000000,-22148000000.000000,,,,-542078000000.000000,-1107805000000.000000,,-3063288000000.000000,,,-23086511000000.000000,-414285000000.000000,-28213967000000.000000,,224818000000.000000,,13491520000000.000000,986092000000.000000,,3374101000000.000000,694426000000.000000,11487713000000.000000,2245195000000.000000,32279047000000.000000,1931537000000.000000,,,504480000000.000000,,,,,34939882000000.000000,6725915000000.000000,,9783925000000.000000,-1974142000000.000000,,,60326000000.000000,-285604000000.000000,,-1880992000000.000000,61595000000.000000,,135785000000.000000,-65252000000.000000,70533000000.000000,,,,,,-1974142000000.000000,1588435000000.000000,3430667000000.000000,2999118000000.000000,,-2959000000.000000,,,-750091000000.000000,-750091000000.000000,,-1000000000000.000000,,,8993000000.000000,-370181000000.000000,,,,-2727112000000.000000,,-2727112000000.000000,,,,,1588435000000.000000,9398218000000.000000,20209980000000.000000,29608198000000.000000
12M 2017,321044000000.000000,18785473000000.000000,161612000000.000000,-9821680000000.000000,-975516000000.000000,,-477742000000.000000,-4467421000000.000000,-30347000000.000000,,,,-4301109000000.000000,703654000000.000000,,,,,-35209569000000.000000,-28207000000.000000,-38835231000000.000000,,773805000000.000000,,7376147000000.000000,486967000000.000000,,5441102000000.000000,54609000000.000000,15944980000000.000000,,29303805000000.000000,1419543000000.000000,,,929317000000.000000,,,,3555426000000.000000,35981896000000.000000,-2853335000000.000000,,321044000000.000000,832608000000.000000,,,51388000000.000000,-396710000000.000000,,743790000000.000000,719340000000.000000,,14046000000.000000,-299246000000.000000,-285200000000.000000,,,,,,832608000000.000000,8075789000000.000000,5608134000000.000000,,,,,,,,,,,,,-523781000000.000000,,,,2991436000000.000000,,2991436000000.000000,,,,,8075789000000.000000,9229441000000.000000,29608198000000.000000,38837639000000.000000
