Period,Total Pendapatan,Pendapatan Bunga,Provisi Dan Komisi Kredit,Pendapatan Syariah,Total Pendapatan,Total Beban Pokok Penjualan,Beban Bunga,Bonus,Others,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Pendapatan Operasional Lainnya,Provisi Dan Komisi Lainnya,Jasa Administrasi,Keuntungan Penjualan Obligasi Pemerintah,Keuntungan Penjualan Efek-Efek,Keuntungan Dari Perubahan Nilai Wajar Efek-Efek,Others,Total Pendapatan Operasional Lainnya,Beban Operasional Lainnya,Beban Penyisihan Kerugian Penurunan Nilai Atas Aset Keuangan Dan Non-Keuangan,Beban Tenaga Kerja,Beban Umum Dan Administrasi,Kerugian Transaksi Mata Uang Asing,Kerugian Dari Penjualan Aset-Aset Keuangan,Others,Total Beban Operasional Lainnya,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Non-Operasional,Beban Non-Operasional,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Pos Luar Biasa,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Pos Luar Biasa,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,4567026000000.000000,4372009000000.000000,120320000000.000000,74697000000.000000,4567026000000.000000,-2606694000000.000000,-2600060000000.000000,-2775000000.000000,-3859000000.000000,-2606694000000.000000,1960332000000.000000,-1290507000000.000000,,,176330000000.000000,-23105000000.000000,53000000.000000,-7535000000.000000,8251000000.000000,153994000000.000000,,4782000000.000000,-772818000000.000000,-555335000000.000000,-3530000000.000000,,-60747000000.000000,-1387648000000.000000,-56853000000.000000,-1290507000000.000000,669825000000.000000,-4292000000.000000,,,-4292000000.000000,665533000000.000000,-235059000000.000000,-291935000000.000000,56876000000.000000,-235059000000.000000,430474000000.000000,,430474000000.000000,,,,,430474000000.000000,430474000000.000000,,,430474000000.000000,,,,
12M 2009,5729941000000.000000,5471728000000.000000,124954000000.000000,133259000000.000000,5729941000000.000000,-3427732000000.000000,-3420345000000.000000,-3272000000.000000,-4115000000.000000,-3427732000000.000000,2302209000000.000000,-1562771000000.000000,,,208936000000.000000,5198000000.000000,,2000000.000000,50694000000.000000,264830000000.000000,,-52864000000.000000,-937075000000.000000,-673954000000.000000,-11407000000.000000,,-82044000000.000000,-1757344000000.000000,-70257000000.000000,-1562771000000.000000,739438000000.000000,6379000000.000000,,,6379000000.000000,745817000000.000000,-239574000000.000000,-227996000000.000000,-11578000000.000000,-239574000000.000000,506243000000.000000,-15790000000.000000,490453000000.000000,,,,,490453000000.000000,506243000000.000000,,-15790000000.000000,490453000000.000000,,,,
12M 2010,6498752000000.000000,6295354000000.000000,30979000000.000000,172419000000.000000,6498752000000.000000,-3143934000000.000000,-3135975000000.000000,-3594000000.000000,-4365000000.000000,-3143934000000.000000,3354818000000.000000,-2091101000000.000000,,,244817000000.000000,42444000000.000000,68051000000.000000,4360000000.000000,128218000000.000000,487890000000.000000,,-310536000000.000000,-1136484000000.000000,-886244000000.000000,,,-101208000000.000000,-2434472000000.000000,-144519000000.000000,-2091101000000.000000,1263717000000.000000,-13495000000.000000,,,-13495000000.000000,1250222000000.000000,-334284000000.000000,-374350000000.000000,40066000000.000000,-334284000000.000000,915938000000.000000,,915938000000.000000,,,,,915938000000.000000,915938000000.000000,,,915938000000.000000,,,,
12M 2011,7556104000000.000000,7334318000000.000000,,221786000000.000000,7556104000000.000000,-3770231000000.000000,-3759509000000.000000,-4762000000.000000,-5960000000.000000,-3770231000000.000000,3785873000000.000000,-2260124000000.000000,,,326842000000.000000,13045000000.000000,27123000000.000000,3201000000.000000,141806000000.000000,512017000000.000000,,-109562000000.000000,-1321601000000.000000,-1184927000000.000000,,,-48155000000.000000,-2664245000000.000000,-107896000000.000000,-2260124000000.000000,1525749000000.000000,-3489000000.000000,,,-3489000000.000000,1522260000000.000000,-403599000000.000000,-392836000000.000000,-10763000000.000000,-403599000000.000000,1118661000000.000000,,1118661000000.000000,-92460000000.000000,-92460000000.000000,-92460000000.000000,1026201000000.000000,1118661000000.000000,1118661000000.000000,,,1118661000000.000000,1026201000000.000000,1026201000000.000000,,1026201000000.000000
12M 2012,8818579000000.000000,8481318000000.000000,,337261000000.000000,8818579000000.000000,-4091760000000.000000,-4080603000000.000000,-5998000000.000000,-5159000000.000000,-4091760000000.000000,4726819000000.000000,-2855850000000.000000,,,355287000000.000000,8551000000.000000,8288000000.000000,8620000000.000000,190748000000.000000,571494000000.000000,,-212624000000.000000,-1486938000000.000000,-1462757000000.000000,,,-136035000000.000000,-3298354000000.000000,-128990000000.000000,-2855850000000.000000,1870969000000.000000,-7767000000.000000,,,-7767000000.000000,1863202000000.000000,-499240000000.000000,-392729000000.000000,-106511000000.000000,-499240000000.000000,1363962000000.000000,,1363962000000.000000,-6123000000.000000,-6123000000.000000,-6123000000.000000,1357839000000.000000,1363962000000.000000,1363962000000.000000,,,1363962000000.000000,1357839000000.000000,1357839000000.000000,,1357839000000.000000
12M 2013,10782877000000.000000,10392786000000.000000,,390091000000.000000,10782877000000.000000,-5129554000000.000000,-5115187000000.000000,-8711000000.000000,-5656000000.000000,-5129554000000.000000,5653323000000.000000,-3517414000000.000000,,,392856000000.000000,22528000000.000000,9061000000.000000,12063000000.000000,327475000000.000000,763983000000.000000,,-430289000000.000000,-1613152000000.000000,-1784062000000.000000,,,-316174000000.000000,-4143677000000.000000,-137720000000.000000,-3517414000000.000000,2135909000000.000000,4862000000.000000,,,4862000000.000000,2140771000000.000000,-578610000000.000000,,,-578610000000.000000,1562161000000.000000,,1562161000000.000000,-119104000000.000000,-119104000000.000000,-119104000000.000000,1443057000000.000000,1562161000000.000000,1562161000000.000000,,,1562161000000.000000,1443057000000.000000,1443057000000.000000,,1443057000000.000000
12M 2014,12807328000000.000000,12394564000000.000000,,412764000000.000000,12807328000000.000000,-7342747000000.000000,-7295733000000.000000,-10329000000.000000,-36685000000.000000,-7342747000000.000000,5464581000000.000000,-3918369000000.000000,,,468951000000.000000,47406000000.000000,61696000000.000000,999000000.000000,315768000000.000000,894820000000.000000,,-771166000000.000000,-1595409000000.000000,-2122830000000.000000,,,-204180000000.000000,-4693585000000.000000,-119604000000.000000,-3918369000000.000000,1546212000000.000000,1960000000.000000,,,1960000000.000000,1548172000000.000000,-432580000000.000000,,,-432580000000.000000,1115592000000.000000,,1115592000000.000000,33000000.000000,33000000.000000,33000000.000000,1115625000000.000000,1115592000000.000000,1115592000000.000000,,,1115592000000.000000,1115625000000.000000,1115625000000.000000,,1115625000000.000000
12M 2015,14966209000000.000000,14455136000000.000000,,511073000000.000000,14966209000000.000000,-8155133000000.000000,-8073584000000.000000,-11166000000.000000,-70383000000.000000,-8155133000000.000000,6811076000000.000000,-4277471000000.000000,,,533688000000.000000,19495000000.000000,147558000000.000000,,405785000000.000000,1106526000000.000000,,-901008000000.000000,-1929346000000.000000,-2151266000000.000000,,,-222544000000.000000,-5204164000000.000000,-179833000000.000000,-4277471000000.000000,2533605000000.000000,8281000000.000000,,,8281000000.000000,2541886000000.000000,-690979000000.000000,,,-690979000000.000000,1850907000000.000000,,1850907000000.000000,-39570000000.000000,-39570000000.000000,-39570000000.000000,1811337000000.000000,1850907000000.000000,1850907000000.000000,,,1850907000000.000000,1811337000000.000000,1811337000000.000000,,1811337000000.000000
12M 2016,17138819000000.000000,16501472000000.000000,,637347000000.000000,17138819000000.000000,-8975274000000.000000,-8870675000000.000000,-13647000000.000000,-90952000000.000000,-8975274000000.000000,8163545000000.000000,-4811313000000.000000,,,591244000000.000000,54430000000.000000,218091000000.000000,6443000000.000000,412614000000.000000,1282822000000.000000,,-707531000000.000000,-2121653000000.000000,-2465706000000.000000,,,-285344000000.000000,-5580234000000.000000,-513901000000.000000,-4811313000000.000000,3352232000000.000000,-22148000000.000000,,,-22148000000.000000,3330084000000.000000,-711179000000.000000,,,-711179000000.000000,2618905000000.000000,,2618905000000.000000,3012712000000.000000,3012712000000.000000,3012712000000.000000,5631617000000.000000,2618905000000.000000,2618905000000.000000,,,2618905000000.000000,5631617000000.000000,5631617000000.000000,,5631617000000.000000
12M 2017,19271582000000.000000,18446734000000.000000,,824848000000.000000,19271582000000.000000,-9930642000000.000000,-9805116000000.000000,-11753000000.000000,-113773000000.000000,-9930642000000.000000,9340940000000.000000,-5449037000000.000000,,,750364000000.000000,101934000000.000000,294486000000.000000,8145000000.000000,451002000000.000000,1605931000000.000000,,-884401000000.000000,-2554429000000.000000,-2952916000000.000000,,,-348556000000.000000,-6740302000000.000000,-314666000000.000000,-5449037000000.000000,3891903000000.000000,-30348000000.000000,,,-30348000000.000000,3861555000000.000000,-834089000000.000000,,,-834089000000.000000,3027466000000.000000,,3027466000000.000000,29213000000.000000,29213000000.000000,29213000000.000000,3056679000000.000000,3027466000000.000000,3027466000000.000000,,,3027466000000.000000,3056679000000.000000,3056679000000.000000,,3056679000000.000000
