Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok,Pembayaran Beban Operasi,Pembayaran Kepada Karyawan,Adjustment,Pembayaran Pajak Penghasilan,Penerimaan (Pembayaran) Lain-Lain,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Uang Muka Untuk Perolehan Aset Tetap,Penerimaan Dari Pelepasan Investasi Pada Entitas Asosiasi,Penambahan Aset Hak-Guna,Penerimaan Dari Pendapatan Keuangan,Pembelian Investasi Pada Surat Berharga,Penerimaan Dari Investasi Pada Surat Berharga,Perolehan Aset Takberwujud,Penerimaan Dari Pelepasan Aset Tetap,Penerimaan Dari Pelepasan Investasi Pada Entitas Anak,Perolehan Investasi Pada Entitas Asosiasi,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Neto Dari Penerbitan Modal Saham,Pembayaran Dividen,Pembayaran Utang Pembiayaan Konsumen,Pembayaran Beban Bunga Dan Provisi Bunga,Penerimaan Utang Bank Jangka Panjang,Pembayaran Utang Bank Jangka Panjang,Penerimaan Pinjaman Rekening Koran,Pembayaran Liabilitas Sewa,Kenaikan (Penurunan) Bersih Atas Utang Lain-Lain Pihak Berelasi,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Operasi Yang Dihentikan,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2018,107494000000.000000,1062946000000.000000,-583770000000.000000,-180534000000.000000,-155223000000.000000,,-36812000000.000000,887000000.000000,107494000000.000000,-148294000000.000000,-126643000000.000000,-35435000000.000000,3200000000.000000,,3477000000.000000,,,,9007000000.000000,,-1900000000.000000,-148294000000.000000,-51572000000.000000,,-50000000000.000000,-17000000.000000,-730000000.000000,,-2513000000.000000,,,1688000000.000000,-51572000000.000000,-92372000000.000000,483000000.000000,90693000000.000000,-1196000000.000000
12M 2019,48867000000.000000,1349458000000.000000,-775656000000.000000,-290250000000.000000,-200493000000.000000,,-37224000000.000000,3032000000.000000,48867000000.000000,-47481000000.000000,-41144000000.000000,-13300000000.000000,,,112000000.000000,,,,11225000000.000000,6654000000.000000,-11028000000.000000,-47481000000.000000,5704000000.000000,,,-5903000000.000000,-4731000000.000000,,-286000000.000000,,,16624000000.000000,5704000000.000000,7090000000.000000,-491000000.000000,-1196000000.000000,5403000000.000000
12M 2020,198885000000.000000,1724362000000.000000,-979429000000.000000,-279434000000.000000,-242888000000.000000,,-23726000000.000000,,198885000000.000000,-105332000000.000000,-101282000000.000000,-1298000000.000000,,-3189000000.000000,368000000.000000,,,,69000000.000000,,,-105332000000.000000,-31950000000.000000,,,-8586000000.000000,-4767000000.000000,,-286000000.000000,,,-18311000000.000000,-31950000000.000000,61603000000.000000,,5403000000.000000,67006000000.000000
12M 2021,725649000000.000000,3782552000000.000000,-2100679000000.000000,-516648000000.000000,-356461000000.000000,,-83115000000.000000,,725649000000.000000,-288536000000.000000,-244871000000.000000,-48162000000.000000,3479000000.000000,-6107000000.000000,7411000000.000000,,,-447000000.000000,161000000.000000,,,-288536000000.000000,3157722000000.000000,3569667000000.000000,-400013000000.000000,-8551000000.000000,-3127000000.000000,,-119000000.000000,,-135000000.000000,,3157722000000.000000,3594835000000.000000,,67006000000.000000,3661841000000.000000
12M 2022,485962000000.000000,6241427000000.000000,-3884408000000.000000,-956134000000.000000,-539834000000.000000,,-375089000000.000000,,485962000000.000000,-1475147000000.000000,-667034000000.000000,-61531000000.000000,,-8590000000.000000,73800000000.000000,-808531000000.000000,,-3522000000.000000,261000000.000000,,,-1475147000000.000000,-513371000000.000000,,-500007000000.000000,-9775000000.000000,-3454000000.000000,,,,-135000000.000000,,-513371000000.000000,-1502556000000.000000,,3661841000000.000000,2159285000000.000000
12M 2023,1424316000000.000000,7665431000000.000000,-3910291000000.000000,-1301736000000.000000,-662966000000.000000,,-366122000000.000000,,1424316000000.000000,-793400000000.000000,-455414000000.000000,-34553000000.000000,,-8204000000.000000,121294000000.000000,-471249000000.000000,47458000000.000000,-7894000000.000000,15162000000.000000,,,-793400000000.000000,-592805000000.000000,,-555460000000.000000,-34934000000.000000,-2411000000.000000,,,,,,-592805000000.000000,38111000000.000000,,2159285000000.000000,2197396000000.000000
12M 2024,1728059000000.000000,9003282000000.000000,-4450233000000.000000,-1643239000000.000000,-756928000000.000000,,-424823000000.000000,,1728059000000.000000,-1929255000000.000000,-337210000000.000000,-42197000000.000000,,-12965000000.000000,136347000000.000000,-3619018000000.000000,1950229000000.000000,-4777000000.000000,336000000.000000,,,-1929255000000.000000,-715844000000.000000,,-714160000000.000000,,-1234000000.000000,,,,-450000000.000000,,-715844000000.000000,-917040000000.000000,,2197396000000.000000,1280356000000.000000
