Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Bagian Atas Hasil Bersih Entitas Asosiasi,Laba (Rugi) Selisih Kurs,Pendapatan Keuangan,Beban Keuangan,Keuntungan Atas Penjualan Entitas Anak,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Adjustment,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Operasi Yang Dihentikan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2018,1086948000000.000000,-667296000000.000000,419652000000.000000,-308476000000.000000,-48994000000.000000,-259482000000.000000,-308476000000.000000,111176000000.000000,879000000.000000,-2246000000.000000,378000000.000000,3477000000.000000,-730000000.000000,,,879000000.000000,112055000000.000000,-28541000000.000000,,,,-28541000000.000000,83514000000.000000,336000000.000000,83850000000.000000,3916000000.000000,3916000000.000000,3916000000.000000,87766000000.000000,83850000000.000000,83846000000.000000,4000000.000000,83850000000.000000,87766000000.000000,87762000000.000000,4000000.000000,87766000000.000000
12M 2019,1390778000000.000000,-873441000000.000000,517337000000.000000,-372489000000.000000,-55150000000.000000,-317339000000.000000,-372489000000.000000,144848000000.000000,-1361000000.000000,2828000000.000000,1772000000.000000,111000000.000000,-4731000000.000000,-1341000000.000000,,-1361000000.000000,143487000000.000000,-35599000000.000000,,,,-35599000000.000000,107888000000.000000,167000000.000000,108055000000.000000,-999000000.000000,-999000000.000000,-999000000.000000,107056000000.000000,108055000000.000000,108049000000.000000,6000000.000000,108055000000.000000,107056000000.000000,107050000000.000000,6000000.000000,107056000000.000000
12M 2020,1861963000000.000000,-1101820000000.000000,760143000000.000000,-524173000000.000000,-65923000000.000000,-458250000000.000000,-524173000000.000000,235970000000.000000,-10262000000.000000,-1796000000.000000,-3955000000.000000,368000000.000000,-4879000000.000000,,,-10262000000.000000,225708000000.000000,-48701000000.000000,,,,-48701000000.000000,177007000000.000000,,177007000000.000000,-1376000000.000000,-1376000000.000000,-1376000000.000000,175631000000.000000,177007000000.000000,176999000000.000000,8000000.000000,177007000000.000000,175631000000.000000,175623000000.000000,8000000.000000,175631000000.000000
12M 2021,4095689000000.000000,-2122649000000.000000,1973040000000.000000,-966371000000.000000,-78940000000.000000,-887431000000.000000,-966371000000.000000,1006669000000.000000,9461000000.000000,5113000000.000000,67000000.000000,7411000000.000000,-3130000000.000000,,,9461000000.000000,1016130000000.000000,-225901000000.000000,,,,-225901000000.000000,790229000000.000000,,790229000000.000000,2677000000.000000,2677000000.000000,2677000000.000000,792906000000.000000,790229000000.000000,790195000000.000000,34000000.000000,790229000000.000000,792906000000.000000,792872000000.000000,34000000.000000,792906000000.000000
12M 2022,6378348000000.000000,-3709855000000.000000,2668493000000.000000,-1412932000000.000000,-134175000000.000000,-1278757000000.000000,-1412932000000.000000,1255561000000.000000,87149000000.000000,5474000000.000000,9556000000.000000,75863000000.000000,-3744000000.000000,,,87149000000.000000,1342710000000.000000,-282128000000.000000,,,,-282128000000.000000,1060582000000.000000,,1060582000000.000000,818000000.000000,818000000.000000,818000000.000000,1061400000000.000000,1060582000000.000000,1060533000000.000000,49000000.000000,1060582000000.000000,1061400000000.000000,1061351000000.000000,49000000.000000,1061400000000.000000
12M 2023,7772910000000.000000,-4540182000000.000000,3232728000000.000000,-1805168000000.000000,-193850000000.000000,-1611318000000.000000,-1805168000000.000000,1427560000000.000000,133598000000.000000,8725000000.000000,900000000.000000,131067000000.000000,-7094000000.000000,,,133598000000.000000,1561158000000.000000,-319378000000.000000,,,,-319378000000.000000,1241780000000.000000,,1241780000000.000000,-3324000000.000000,-3324000000.000000,-3324000000.000000,1238456000000.000000,1241780000000.000000,1241715000000.000000,65000000.000000,1241780000000.000000,1238456000000.000000,1238391000000.000000,65000000.000000,1238456000000.000000
12M 2024,9025658000000.000000,-4942788000000.000000,4082870000000.000000,-2412307000000.000000,-208313000000.000000,-2203994000000.000000,-2412307000000.000000,1670563000000.000000,234229000000.000000,6454000000.000000,63194000000.000000,166795000000.000000,-1341000000.000000,,-873000000.000000,234229000000.000000,1904792000000.000000,-385367000000.000000,,,,-385367000000.000000,1519425000000.000000,,1519425000000.000000,5555000000.000000,5555000000.000000,5555000000.000000,1524980000000.000000,1519425000000.000000,1519337000000.000000,88000000.000000,1519425000000.000000,1524980000000.000000,1524892000000.000000,88000000.000000,1524980000000.000000
