Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Tunai Dari Pelanggan,Pembayaran Untuk Beban Usaha,Pembayaran Tunai Kepada Pemasok,Pembayaran Kepada Pemasok Dan Beban Operasi Lainya,Pembayaran Kepada Karyawan,Penerimaan Dari Tagihan Dan Keberatan Atas Hasil Pemeriksaan Pajak,Penerimaan Bunga,Pembayaran Pajak,Pembayaran Bunga,Penerimaan Neto Lain-Lain,Pembayaran Neto Lain-Lain,Adjusment,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Hasil Penjualan Aset Tetap Dan Tanaman Perkebunan,Hasil Penjualan Aset Tetap,Hasil Penjualan Tanaman Perkebunan,Total Hasil Penjualan Aset Tetap Dan Tanaman Perkebunan,Perolehan Aset Tetap,Penambahan Tanaman Perkebunan Belum Menghasilkan,Akuisisi Entitas Anak,Uang Muka Untuk Perolehan Aset Tetap,Penambahan Neto Piutang Plasma,Penurunan Modal Entitas Asosiasi,Pengembalian Investasi Dari Entitas Asosiasi,Perolehan Pembibitan,Investasi Pada Surat Utang Konversi,Penambahan Aset Tidak Lancar Lain,Penambahan Aset Biologis,Penambahan Aset Lain-Lain,Investasi Pada Entitas Asosiasi,Penambahan Beban Ditangguhkan,Pembayaran Untuk Penyertaan Saham Dalam Entitas-Entitas Asosiasi,Pembayaran Untuk Akuisisi Kepentingan Nonpengendali Entitas-Entitas Anak,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Utang Bank Jangka Pendek,Penerimaan,Pembayaran,Total Utang Bank Jangka Pendek,Utang Jangka Panjang,Penerimaan,Pembayaran,Total Utang Jangka Panjang,Penerimaan Pinjaman Jangka Panjang Dari Pemegang Saham,Pembayaran Utang Pemegang Saham,Pinjaman Jangka Panjang Dari Pihak-Pihak Berelasi,Penerimaan,Pembayaran,Total Pinjaman Jangka Panjang Dari Pihak-Pihak Berelasi,Pembayaran Dividen Tunai Entitas-Entitas Anak Kepada Pemegang Saham Nonpengendalinya,Uang Muka Setoran Modal Pemegang Saham Non Pengendali Pada Entitas Anak,Penerimaan Dari Setoran Modal Pemegang Saham Nonpengendali Kepada Entitas-Entitas Anak,Pembayaran Utang Obligasi Dan Sukuk Ijarah,Pembayaran Dividen Tunai,Pembayaran Modal Saham Diperoleh Kembali,Akuisisi Kepentingan Nonpengendali,Pembayaran Kewajiban Sewa,Penerimaan Neto Dari Penawaran Umum Perdana Saham Perusahaan,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2010,1976269000000.000000,9301051000000.000000,-2924660000000.000000,-2485542000000.000000,,-785355000000.000000,,57251000000.000000,-772981000000.000000,-388226000000.000000,,-25269000000.000000,,1976269000000.000000,-2878894000000.000000,3310000000.000000,,,3310000000.000000,-1659949000000.000000,,-488488000000.000000,-464991000000.000000,-128024000000.000000,,,-31416000000.000000,,,,,,-55969000000.000000,-11867000000.000000,-41500000000.000000,-2878894000000.000000,1502930000000.000000,,1882323000000.000000,-818153000000.000000,1064170000000.000000,,2344480000000.000000,-1759478000000.000000,585002000000.000000,,,-27152000000.000000,,,-27152000000.000000,-134007000000.000000,,14917000000.000000,,,,,,,1502930000000.000000,600305000000.000000,1617859000000.000000,-44197000000.000000,2173967000000.000000
12M 2011,2819781000000.000000,12596195000000.000000,-3464549000000.000000,-4234408000000.000000,,-970722000000.000000,,144970000000.000000,-811320000000.000000,-420345000000.000000,,-20040000000.000000,,2819781000000.000000,-1972198000000.000000,9274000000.000000,,,9274000000.000000,-1674656000000.000000,,,-184053000000.000000,-21324000000.000000,,,-21789000000.000000,,,,,,-73440000000.000000,-6210000000.000000,,-1972198000000.000000,2020493000000.000000,,3082749000000.000000,-2662748000000.000000,420001000000.000000,,932726000000.000000,-2550377000000.000000,-1617651000000.000000,,,37325000000.000000,,,37325000000.000000,-168631000000.000000,,,,,,,,3349449000000.000000,2020493000000.000000,2868076000000.000000,2173967000000.000000,4402000000.000000,5046445000000.000000
12M 2012,2723309000000.000000,13912414000000.000000,-4514790000000.000000,-4572746000000.000000,,-1052407000000.000000,49367000000.000000,175911000000.000000,-723950000000.000000,-472012000000.000000,,-78478000000.000000,,2723309000000.000000,-3313353000000.000000,3226000000.000000,,,3226000000.000000,-2563355000000.000000,,,-252612000000.000000,-164874000000.000000,,,-92779000000.000000,,,,,-171460000000.000000,-71499000000.000000,,,-3313353000000.000000,-1048648000000.000000,,755478000000.000000,-1330000000000.000000,-574522000000.000000,,804040000000.000000,-709559000000.000000,94481000000.000000,,,,80383000000.000000,-46656000000.000000,33727000000.000000,-293359000000.000000,,23167000000.000000,,-332142000000.000000,,,,,-1048648000000.000000,-1638692000000.000000,5046445000000.000000,41371000000.000000,3449124000000.000000
12M 2013,2138864000000.000000,13216012000000.000000,-4714167000000.000000,-4309590000000.000000,,-1128723000000.000000,193128000000.000000,97942000000.000000,-705856000000.000000,-473875000000.000000,,-36007000000.000000,,2138864000000.000000,-3978229000000.000000,,10274000000.000000,4659000000.000000,14933000000.000000,-1885761000000.000000,-1034708000000.000000,-329989000000.000000,-327307000000.000000,-168641000000.000000,,,-103369000000.000000,,,,,-79208000000.000000,-64029000000.000000,,-150000000.000000,-3978229000000.000000,343990000000.000000,,2838416000000.000000,-2191516000000.000000,646900000000.000000,,1133638000000.000000,-924905000000.000000,208733000000.000000,,,,132868000000.000000,-4102000000.000000,128766000000.000000,-347895000000.000000,,,,-194343000000.000000,-98171000000.000000,,,,343990000000.000000,-1495375000000.000000,3449124000000.000000,159073000000.000000,2112822000000.000000
12M 2014,2765289000000.000000,15092581000000.000000,-5316654000000.000000,-4412413000000.000000,,-1430850000000.000000,113949000000.000000,108474000000.000000,-688460000000.000000,-681048000000.000000,,-20290000000.000000,,2765289000000.000000,-3561905000000.000000,,14050000000.000000,1784000000.000000,15834000000.000000,-1637823000000.000000,-1155974000000.000000,-34952000000.000000,-354637000000.000000,-68459000000.000000,,,-86784000000.000000,-57020000000.000000,,,,-6000000000.000000,-176090000000.000000,,,-3561905000000.000000,1371508000000.000000,,2366911000000.000000,-1261223000000.000000,1105688000000.000000,,1463899000000.000000,-846822000000.000000,617077000000.000000,730000000000.000000,,,66966000000.000000,,66966000000.000000,-135588000000.000000,,38638000000.000000,-730000000000.000000,-155013000000.000000,-166260000000.000000,,,,1371508000000.000000,574892000000.000000,2112822000000.000000,8601000000.000000,2696315000000.000000
12M 2015,1665381000000.000000,13769905000000.000000,-4034155000000.000000,-4411938000000.000000,,-2433029000000.000000,99973000000.000000,80773000000.000000,-603064000000.000000,-753352000000.000000,,-49732000000.000000,,1665381000000.000000,-2955987000000.000000,,3579000000.000000,,3579000000.000000,-887000000000.000000,-952531000000.000000,,-223086000000.000000,-182062000000.000000,,,-86105000000.000000,,,,,-560202000000.000000,-68580000000.000000,,,-2955987000000.000000,11431000000.000000,,3270020000000.000000,-3337100000000.000000,-67080000000.000000,,1037514000000.000000,-981528000000.000000,55986000000.000000,,,,158075000000.000000,-122600000000.000000,35475000000.000000,-152613000000.000000,,387689000000.000000,,-248021000000.000000,,-5000000.000000,,,11431000000.000000,-1279175000000.000000,2696315000000.000000,44162000000.000000,1461302000000.000000
12M 2016,2162467000000.000000,14570732000000.000000,-3441989000000.000000,-5216503000000.000000,,-2636483000000.000000,-23671000000.000000,53699000000.000000,-486574000000.000000,-689963000000.000000,33219000000.000000,,,2162467000000.000000,-1762243000000.000000,,2106000000.000000,3986000000.000000,6092000000.000000,-518140000000.000000,-800270000000.000000,-54996000000.000000,-101019000000.000000,-189696000000.000000,30960000000.000000,,-115407000000.000000,,,,,,-19767000000.000000,,,-1762243000000.000000,17516000000.000000,,2733500000000.000000,-3314021000000.000000,-580521000000.000000,,1400000000000.000000,-829232000000.000000,570768000000.000000,,,,202805000000.000000,,202805000000.000000,-105029000000.000000,,7000000000.000000,,-77507000000.000000,,,,,17516000000.000000,417740000000.000000,1461302000000.000000,-11067000000.000000,1867975000000.000000
12M 2017,2002390000000.000000,15506266000000.000000,-4010935000000.000000,-5383189000000.000000,,-2902625000000.000000,84715000000.000000,71735000000.000000,-689776000000.000000,-670638000000.000000,,-3163000000.000000,,2002390000000.000000,-1881237000000.000000,,2635000000.000000,2791000000.000000,5426000000.000000,-402321000000.000000,-827714000000.000000,,-76954000000.000000,-135183000000.000000,,,-66552000000.000000,,,,,-349350000000.000000,-28589000000.000000,,,-1881237000000.000000,267280000000.000000,,3128000000000.000000,-2662474000000.000000,465526000000.000000,,,,,,,,12000000000.000000,,12000000000.000000,-113276000000.000000,,58043000000.000000,,-155013000000.000000,,,,,267280000000.000000,388433000000.000000,1867975000000.000000,4198000000.000000,2260606000000.000000
12M 2018,1155072000000.000000,13977516000000.000000,-4672852000000.000000,-3871868000000.000000,,-3076012000000.000000,-7715000000.000000,86008000000.000000,-562117000000.000000,-730752000000.000000,12864000000.000000,,,1155072000000.000000,-2120297000000.000000,,27108000000.000000,,27108000000.000000,-1404938000000.000000,,,,-268583000000.000000,,,,,,-165344000000.000000,-199217000000.000000,-109323000000.000000,,,,-2120297000000.000000,746377000000.000000,,4464981000000.000000,-3983434000000.000000,481547000000.000000,,,-1700000000.000000,-1700000000.000000,,,,497900000000.000000,,497900000000.000000,-127357000000.000000,,51000000000.000000,,-155013000000.000000,,,,,746377000000.000000,-218848000000.000000,2260606000000.000000,29701000000.000000,2071459000000.000000
12M 2019,1677215000000.000000,13921878000000.000000,-4033698000000.000000,-3888910000000.000000,,-3269439000000.000000,96956000000.000000,80919000000.000000,-307806000000.000000,-886652000000.000000,,-36033000000.000000,,1677215000000.000000,-2513962000000.000000,,11197000000.000000,,11197000000.000000,-1590950000000.000000,,,,-213811000000.000000,,,,,-160318000000.000000,-186314000000.000000,,-373766000000.000000,,,,-2513962000000.000000,508098000000.000000,,4130756000000.000000,-3670189000000.000000,460567000000.000000,,,,,,,,82000000000.000000,-80000000000.000000,2000000000.000000,-52469000000.000000,98000000000.000000,,,,,,,,508098000000.000000,-328649000000.000000,2071459000000.000000,-26015000000.000000,1716795000000.000000
12M 2020,2511877000000.000000,14470410000000.000000,-3261373000000.000000,-5245459000000.000000,,-2731143000000.000000,230505000000.000000,69083000000.000000,-225984000000.000000,-794420000000.000000,,258000000.000000,,2511877000000.000000,-1575455000000.000000,,2592000000.000000,,2592000000.000000,-1171785000000.000000,,,,-152250000000.000000,,,,,-60008000000.000000,-194004000000.000000,,,,,,-1575455000000.000000,-235689000000.000000,,2103428000000.000000,-2156398000000.000000,-52970000000.000000,,,,,,,,71284000000.000000,-165000000000.000000,-93716000000.000000,-41423000000.000000,,,,,,,-47580000000.000000,,-235689000000.000000,700733000000.000000,1716795000000.000000,9551000000.000000,2427079000000.000000
12M 2021,3706169000000.000000,19509581000000.000000,-4179872000000.000000,-7558860000000.000000,,-2861713000000.000000,33784000000.000000,68614000000.000000,-639817000000.000000,-671134000000.000000,,5586000000.000000,,3706169000000.000000,-1376346000000.000000,,25863000000.000000,,25863000000.000000,-1016931000000.000000,,,,-107928000000.000000,,,,,-87275000000.000000,-190075000000.000000,,,,,,-1376346000000.000000,-1039809000000.000000,,901800000000.000000,-1749387000000.000000,-847587000000.000000,,,,,,,,80470000000.000000,-126000000000.000000,-45530000000.000000,-55230000000.000000,,,,-46503000000.000000,,,-44959000000.000000,,-1039809000000.000000,1290014000000.000000,2427079000000.000000,9200000000.000000,3726293000000.000000
