Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2009,0.00,2700893.86,0.00,1851314.11,"1,756 B","1,025 B","2,781 B","1,163 B",861 B
12M 2010,0.00,3055460.15,0.00,2167936.19,"2,816 B","1,001 B","3,817 B","1,643 B",570 B
12M 2011,1.43,806.01,1.73,664.01,"3,334 B","1,029 B","4,363 B",(684 B),"3,314 B"
12M 2012,1.34,858.43,1.61,716.42,"2,664 B","1,084 B","3,749 B",299 B,"2,214 B"
12M 2013,0.90,864.20,1.09,716.39,"4,490 B",543 B,"5,033 B","2,920 B","(1,107 B)"
12M 2014,0.79,896.63,0.94,748.44,"4,749 B","1,364 B","6,113 B","3,417 B",(888 B)
12M 2015,0.37,886.80,0.45,738.61,"3,365 B","1,111 B","4,476 B","3,015 B",(345 B)
12M 2016,0.54,914.35,0.64,766.16,"2,481 B","1,324 B","3,805 B","1,937 B","1,134 B"
12M 2017,0.50,929.46,0.59,781.77,"4,463 B","5,054 B","9,517 B","7,256 B",102 B
12M 2018,0.49,939.75,0.58,792.05,"5,886 B","4,218 B","10,105 B","8,033 B",(802 B)
12M 2019,0.47,915.82,0.56,769.09,"6,744 B","3,833 B","10,577 B","8,860 B","(2,048 B)"
12M 2020,0.44,944.14,0.53,797.40,"6,393 B","4,141 B","10,533 B","8,106 B","(1,021 B)"
12M 2021,0.46,990.62,0.54,843.88,"6,605 B","3,088 B","9,693 B","5,966 B",367 B
12M 2022,0.39,1064.24,0.45,924.12,"6,694 B","1,838 B","8,532 B","4,235 B",982 B
12M 2023,0.34,1096.14,0.39,956.41,"6,943 B",853 B,"7,796 B","2,635 B",486 B
12M 2024,0.31,1207.92,0.35,1065.35,"6,081 B","1,690 B","7,771 B","2,019 B","4,463 B"
