Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Pembibitan,Piutang Pihak Berelasi,Aset Pajak Tangguhan,Investasi Pada Entitas Asosiasi,Goodwill,Aset Tetap,Tanaman Perkebunan,Tanaman Belum Menghasilkan,Tanaman Telah Menghasilkan,Total Tanaman Perkebunan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Total Utang Lain-Lain,Beban Akrual,Utang Pajak,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Obligasi Dan Sukuk Ijarah,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Obligasi,Liabilitas Pajak Tangguhan,Utang Pihak Berelasi,Utang Jangka Panjang Dari Pihak Berelasi,Utang Bank Jangka Panjang,Utang Pemegang Saham,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2009,,,1617859000000.000000,553014000000.000000,202215000000.000000,350799000000.000000,553014000000.000000,158224000000.000000,158224000000.000000,158224000000.000000,1082557000000.000000,350991000000.000000,3762645000000.000000,,133595000000.000000,2180000000.000000,238193000000.000000,5082000000.000000,2149955000000.000000,4739494000000.000000,5484155000000.000000,2034032000000.000000,3450123000000.000000,5484155000000.000000,1796306000000.000000,14548960000000.000000,18311605000000.000000,,,2902047000000.000000,1086802000000.000000,,290195000000.000000,5521000000.000000,295716000000.000000,,220935000000.000000,220935000000.000000,389051000000.000000,147650000000.000000,,669002000000.000000,,,669002000000.000000,92891000000.000000,2902047000000.000000,6705811000000.000000,721838000000.000000,693020000000.000000,4501488000000.000000,303321000000.000000,,,486144000000.000000,6705811000000.000000,9607858000000.000000,,2530610000000.000000,9191000000.000000,4402922000000.000000,240000000.000000,4402682000000.000000,4402922000000.000000,1868838000000.000000,-107814000000.000000,8703747000000.000000,18311605000000.000000,2530610.000000
12M 2010,,,2173967000000.000000,741293000000.000000,291938000000.000000,449355000000.000000,741293000000.000000,110175000000.000000,110175000000.000000,110175000000.000000,1321248000000.000000,324640000000.000000,4671323000000.000000,,113377000000.000000,881000000.000000,333689000000.000000,13130000000.000000,2245977000000.000000,5875545000000.000000,5915741000000.000000,1915421000000.000000,4000320000000.000000,5915741000000.000000,1894051000000.000000,16392391000000.000000,21063714000000.000000,,,4100944000000.000000,1875122000000.000000,,314783000000.000000,8562000000.000000,323345000000.000000,,289742000000.000000,289742000000.000000,428254000000.000000,145839000000.000000,,940398000000.000000,,,940398000000.000000,98244000000.000000,4100944000000.000000,7223694000000.000000,723109000000.000000,668458000000.000000,4955185000000.000000,278246000000.000000,,,598696000000.000000,7223694000000.000000,11324638000000.000000,,2530610000000.000000,9191000000.000000,5346428000000.000000,240000000.000000,5346188000000.000000,5346428000000.000000,2006898000000.000000,-154051000000.000000,9739076000000.000000,21063714000000.000000,2530610.000000
12M 2011,,,5046445000000.000000,751165000000.000000,241841000000.000000,509324000000.000000,751165000000.000000,254674000000.000000,254674000000.000000,254674000000.000000,1677576000000.000000,364347000000.000000,8094207000000.000000,,89040000000.000000,155000000.000000,472988000000.000000,,2245977000000.000000,6325419000000.000000,6391944000000.000000,1881244000000.000000,4510700000000.000000,6391944000000.000000,1890669000000.000000,17416192000000.000000,25510399000000.000000,,,4780071000000.000000,2295122000000.000000,,420252000000.000000,12254000000.000000,432506000000.000000,,348929000000.000000,348929000000.000000,444717000000.000000,120945000000.000000,,1039275000000.000000,,,1039275000000.000000,98577000000.000000,4780071000000.000000,5559138000000.000000,724579000000.000000,604772000000.000000,3201348000000.000000,303964000000.000000,,,724475000000.000000,5559138000000.000000,10339209000000.000000,,3163262000000.000000,2725988000000.000000,7012984000000.000000,240000000.000000,7012744000000.000000,7012984000000.000000,2423007000000.000000,-154051000000.000000,15171190000000.000000,25510399000000.000000,15816310000.000000
12M 2012,,,3449124000000.000000,784089000000.000000,283531000000.000000,500558000000.000000,784089000000.000000,249891000000.000000,249891000000.000000,249891000000.000000,1889006000000.000000,425442000000.000000,6797552000000.000000,,143134000000.000000,138000000.000000,657095000000.000000,141823000000.000000,2245977000000.000000,7743088000000.000000,6921879000000.000000,1988650000000.000000,4933229000000.000000,6921879000000.000000,1923775000000.000000,19776909000000.000000,26574461000000.000000,,,4583214000000.000000,2204100000000.000000,,645156000000.000000,15658000000.000000,660814000000.000000,,437444000000.000000,437444000000.000000,206524000000.000000,121314000000.000000,,460113000000.000000,,,460113000000.000000,492905000000.000000,4583214000000.000000,5899254000000.000000,726232000000.000000,546826000000.000000,3389772000000.000000,358066000000.000000,,,878358000000.000000,5899254000000.000000,10482468000000.000000,,3163262000000.000000,2495125000000.000000,7837784000000.000000,5000000000.000000,7832784000000.000000,7837784000000.000000,2514825000000.000000,80997000000.000000,16091993000000.000000,26574461000000.000000,15816310000.000000
12M 2013,,,2112822000000.000000,876400000000.000000,338942000000.000000,537458000000.000000,876400000000.000000,253442000000.000000,253442000000.000000,253442000000.000000,1568496000000.000000,542109000000.000000,5353269000000.000000,,165513000000.000000,1089000000.000000,907860000000.000000,189400000000.000000,2337723000000.000000,9073928000000.000000,7590370000000.000000,2847525000000.000000,4742845000000.000000,7590370000000.000000,2445969000000.000000,22711852000000.000000,28065121000000.000000,,,6460709000000.000000,3013939000000.000000,,652126000000.000000,11815000000.000000,663941000000.000000,,477586000000.000000,477586000000.000000,223886000000.000000,128930000000.000000,,747730000000.000000,728093000000.000000,,1475823000000.000000,476604000000.000000,6460709000000.000000,5496323000000.000000,,508795000000.000000,3396217000000.000000,542854000000.000000,,,1048457000000.000000,5496323000000.000000,11957032000000.000000,,3163262000000.000000,2495125000000.000000,8013842000000.000000,10240000000.000000,8003602000000.000000,8013842000000.000000,2439643000000.000000,-3783000000.000000,16108089000000.000000,28065121000000.000000,15816310000.000000
12M 2014,,,2696315000000.000000,724192000000.000000,363221000000.000000,360971000000.000000,724192000000.000000,264459000000.000000,264459000000.000000,264459000000.000000,1773329000000.000000,552197000000.000000,6010492000000.000000,,,65858000000.000000,1125770000000.000000,80677000000.000000,2343827000000.000000,10330692000000.000000,8313555000000.000000,3197449000000.000000,5116106000000.000000,8313555000000.000000,2725180000000.000000,24985559000000.000000,30996051000000.000000,,,6898825000000.000000,4038525000000.000000,,849269000000.000000,12931000000.000000,862200000000.000000,,510358000000.000000,510358000000.000000,241344000000.000000,178124000000.000000,,710670000000.000000,,,710670000000.000000,357604000000.000000,6898825000000.000000,7290175000000.000000,,482348000000.000000,4138349000000.000000,632299000000.000000,,731808000000.000000,1305371000000.000000,7290175000000.000000,14189000000000.000000,,3163262000000.000000,2495125000000.000000,8701115000000.000000,15240000000.000000,8685875000000.000000,8701115000000.000000,2625630000000.000000,-178081000000.000000,16807051000000.000000,30996051000000.000000,15816310000.000000
12M 2015,,,1461302000000.000000,810111000000.000000,415133000000.000000,394978000000.000000,810111000000.000000,296086000000.000000,296086000000.000000,296086000000.000000,1936731000000.000000,523795000000.000000,5028025000000.000000,,,779000000.000000,1363971000000.000000,662994000000.000000,2343827000000.000000,10810812000000.000000,8806261000000.000000,3612838000000.000000,5193423000000.000000,8806261000000.000000,2680473000000.000000,26669117000000.000000,31697142000000.000000,,,5373084000000.000000,2774701000000.000000,,786400000000.000000,26115000000.000000,812515000000.000000,,499514000000.000000,499514000000.000000,222000000000.000000,78236000000.000000,,590445000000.000000,,,590445000000.000000,395673000000.000000,5373084000000.000000,9092657000000.000000,,438244000000.000000,5741803000000.000000,376692000000.000000,,734161000000.000000,1801757000000.000000,9092657000000.000000,14465741000000.000000,,3163262000000.000000,2495125000000.000000,8537177000000.000000,20240000000.000000,8516937000000.000000,8537177000000.000000,3205442000000.000000,-169605000000.000000,17231401000000.000000,31697142000000.000000,15816310000.000000
12M 2016,,,1867975000000.000000,1012017000000.000000,505154000000.000000,506863000000.000000,1012017000000.000000,107153000000.000000,107153000000.000000,107153000000.000000,2070391000000.000000,671760000000.000000,5729296000000.000000,,,1497000000.000000,1226700000000.000000,493028000000.000000,2343827000000.000000,10626686000000.000000,9109409000000.000000,3095395000000.000000,6014014000000.000000,9109409000000.000000,3007149000000.000000,26808296000000.000000,32537592000000.000000,,,4595300000000.000000,2185600000000.000000,,570760000000.000000,26218000000.000000,596978000000.000000,,283839000000.000000,283839000000.000000,331482000000.000000,242718000000.000000,,295805000000.000000,,,295805000000.000000,658878000000.000000,4595300000000.000000,10324004000000.000000,,418156000000.000000,6542938000000.000000,1323925000000.000000,,,2038985000000.000000,10324004000000.000000,14919304000000.000000,,3163262000000.000000,2495125000000.000000,8996151000000.000000,25240000000.000000,8970911000000.000000,8996151000000.000000,3156640000000.000000,-192890000000.000000,17618288000000.000000,32537592000000.000000,15816310000.000000
12M 2017,,,2260606000000.000000,1073859000000.000000,571323000000.000000,502536000000.000000,1073859000000.000000,122443000000.000000,122443000000.000000,122443000000.000000,2102762000000.000000,730148000000.000000,6289818000000.000000,,,1919000000.000000,1334016000000.000000,855439000000.000000,2336028000000.000000,10261425000000.000000,9403598000000.000000,3028276000000.000000,6375322000000.000000,9403598000000.000000,2915523000000.000000,27107948000000.000000,33397766000000.000000,,,6187987000000.000000,3456600000000.000000,,587172000000.000000,34377000000.000000,621549000000.000000,,355806000000.000000,355806000000.000000,277375000000.000000,143355000000.000000,,1006104000000.000000,,,1006104000000.000000,327198000000.000000,6187987000000.000000,9029000000000.000000,,389660000000.000000,1177064000000.000000,,5054402000000.000000,,2407874000000.000000,9029000000000.000000,15216987000000.000000,,3163262000000.000000,2495125000000.000000,9240033000000.000000,30240000000.000000,9209793000000.000000,9240033000000.000000,3480110000000.000000,-197751000000.000000,18180779000000.000000,33397766000000.000000,15816310000.000000
12M 2018,,,2071459000000.000000,1282595000000.000000,582406000000.000000,700189000000.000000,1282595000000.000000,109992000000.000000,109992000000.000000,109992000000.000000,2428365000000.000000,1096496000000.000000,6988907000000.000000,,,2449000000.000000,1112859000000.000000,967003000000.000000,2336028000000.000000,20065928000000.000000,,,,,3193332000000.000000,27677599000000.000000,34666506000000.000000,,,7791396000000.000000,4881600000000.000000,,827669000000.000000,54021000000.000000,881690000000.000000,,299826000000.000000,299826000000.000000,461283000000.000000,81199000000.000000,,1004698000000.000000,,,1004698000000.000000,181100000000.000000,7791396000000.000000,8588433000000.000000,,361315000000.000000,1652885000000.000000,,4218271000000.000000,,2355962000000.000000,8588433000000.000000,16379829000000.000000,,3163262000000.000000,2495125000000.000000,9403861000000.000000,35240000000.000000,9368621000000.000000,9403861000000.000000,3423331000000.000000,-198902000000.000000,18286677000000.000000,34666506000000.000000,15816310000.000000
