Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Bagian Atas Hasil Bersih Entitas Asosiasi,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Final,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2010,9484281000000.000000,-5938813000000.000000,3545468000000.000000,-1302111000000.000000,-299916000000.000000,-708324000000.000000,-293871000000.000000,-1302111000000.000000,2243357000000.000000,-231241000000.000000,173020000000.000000,-400442000000.000000,-3819000000.000000,,-231241000000.000000,2012116000000.000000,-616925000000.000000,,,,-616925000000.000000,1395191000000.000000,,,,1395191000000.000000,1395191000000.000000,970975000000.000000,424216000000.000000,1395191000000.000000,1395191000000.000000,970975000000.000000,424216000000.000000,1395191000000.000000
12M 2011,12605311000000.000000,-8263528000000.000000,4341783000000.000000,-1213769000000.000000,-331176000000.000000,-768442000000.000000,-114151000000.000000,-1213769000000.000000,3128014000000.000000,-224473000000.000000,189439000000.000000,-412364000000.000000,-1548000000.000000,,-224473000000.000000,2903541000000.000000,-652245000000.000000,,,,-652245000000.000000,2251296000000.000000,,,,2251296000000.000000,2251296000000.000000,1666556000000.000000,584740000000.000000,2251296000000.000000,2251296000000.000000,1666556000000.000000,584740000000.000000,2251296000000.000000
12M 2012,13844891000000.000000,-9950605000000.000000,3894286000000.000000,-1447344000000.000000,-402322000000.000000,-889343000000.000000,-155679000000.000000,-1447344000000.000000,2446942000000.000000,-434905000000.000000,173810000000.000000,-572042000000.000000,-36673000000.000000,,-434905000000.000000,2012037000000.000000,-495936000000.000000,,,,-495936000000.000000,1516101000000.000000,7036000000.000000,7036000000.000000,7036000000.000000,1523137000000.000000,1516101000000.000000,1156942000000.000000,359159000000.000000,1516101000000.000000,1523137000000.000000,1161127000000.000000,362010000000.000000,1523137000000.000000
12M 2013,13279778000000.000000,-10332941000000.000000,2946837000000.000000,-1176039000000.000000,-421335000000.000000,-939324000000.000000,184620000000.000000,-1176039000000.000000,1770798000000.000000,-836430000000.000000,93443000000.000000,-859811000000.000000,-70062000000.000000,,-836430000000.000000,934368000000.000000,-299091000000.000000,,,,-299091000000.000000,635277000000.000000,19378000000.000000,19378000000.000000,19378000000.000000,654655000000.000000,635277000000.000000,523953000000.000000,111324000000.000000,635277000000.000000,654655000000.000000,535484000000.000000,119171000000.000000,654655000000.000000
12M 2014,14962727000000.000000,-10865668000000.000000,4097059000000.000000,-1655666000000.000000,-454530000000.000000,-1080029000000.000000,-121107000000.000000,-1655666000000.000000,2441393000000.000000,-794751000000.000000,109465000000.000000,-792189000000.000000,-112027000000.000000,,-794751000000.000000,1646642000000.000000,-537281000000.000000,,,,-537281000000.000000,1109361000000.000000,1871000000.000000,1871000000.000000,1871000000.000000,1111232000000.000000,1109361000000.000000,842286000000.000000,267075000000.000000,1109361000000.000000,1111232000000.000000,843399000000.000000,267833000000.000000,1111232000000.000000
12M 2015,13835444000000.000000,-10734950000000.000000,3100494000000.000000,-1468592000000.000000,-547651000000.000000,-917240000000.000000,-3701000000.000000,-1468592000000.000000,1631902000000.000000,-954068000000.000000,98969000000.000000,-997595000000.000000,-55442000000.000000,,-954068000000.000000,677834000000.000000,-293508000000.000000,,,-19447000000.000000,-293508000000.000000,364879000000.000000,164331000000.000000,164331000000.000000,164331000000.000000,529210000000.000000,364879000000.000000,264490000000.000000,100389000000.000000,364879000000.000000,529210000000.000000,396379000000.000000,132831000000.000000,529210000000.000000
12M 2016,14530938000000.000000,-11080998000000.000000,3449940000000.000000,-1399605000000.000000,-551228000000.000000,-908941000000.000000,60564000000.000000,-1399605000000.000000,2050335000000.000000,-655710000000.000000,112921000000.000000,-717791000000.000000,-50840000000.000000,,-655710000000.000000,1394625000000.000000,-784831000000.000000,,,,-784831000000.000000,609794000000.000000,-41582000000.000000,-41582000000.000000,-41582000000.000000,568212000000.000000,609794000000.000000,538330000000.000000,71464000000.000000,609794000000.000000,568212000000.000000,512470000000.000000,55742000000.000000,568212000000.000000
12M 2017,15826648000000.000000,-12402617000000.000000,3424031000000.000000,-1606710000000.000000,-608223000000.000000,-934319000000.000000,-64168000000.000000,-1606710000000.000000,1817321000000.000000,-623452000000.000000,72561000000.000000,-696153000000.000000,140000000.000000,,-623452000000.000000,1193869000000.000000,-498436000000.000000,,,,-498436000000.000000,695433000000.000000,-138057000000.000000,-138057000000.000000,-138057000000.000000,557376000000.000000,695433000000.000000,512200000000.000000,183233000000.000000,695433000000.000000,557376000000.000000,399301000000.000000,158075000000.000000,557376000000.000000
12M 2018,14190099000000.000000,-11732276000000.000000,2457823000000.000000,-1484559000000.000000,-655663000000.000000,-846398000000.000000,17502000000.000000,-1484559000000.000000,973264000000.000000,-766542000000.000000,86404000000.000000,-855187000000.000000,2241000000.000000,,-766542000000.000000,206722000000.000000,-384789000000.000000,,,,-384789000000.000000,-178067000000.000000,169294000000.000000,,169294000000.000000,-8773000000.000000,-178067000000.000000,-76566000000.000000,-101501000000.000000,-178067000000.000000,-8773000000.000000,53978000000.000000,-62751000000.000000,-8773000000.000000
12M 2019,13650388000000.000000,-11564711000000.000000,2085677000000.000000,-1446559000000.000000,-516474000000.000000,-916297000000.000000,-13788000000.000000,-1446559000000.000000,639118000000.000000,-836267000000.000000,80326000000.000000,-905796000000.000000,-10797000000.000000,,-836267000000.000000,-197149000000.000000,-445053000000.000000,,,,-445053000000.000000,-642202000000.000000,91317000000.000000,,91317000000.000000,-550885000000.000000,-642202000000.000000,-546148000000.000000,-96054000000.000000,-642202000000.000000,-550885000000.000000,-476393000000.000000,-74492000000.000000,-550885000000.000000
