Period,Days Sales Outstanding (Annual),Days Inventory (Annual),Payables Period (Annual),Cash Conversion Cycle (Annual),Receivables Turnover (Annual),Receivables Turnover (TTM),Inventory Turnover (Annual),Inventory Turnover (TTM),Fixed Assets Turnover (Annual),Fixed Assets Turnover (TTM),Asset Turnover (Annual),Asset Turnover (TTM),Working Capital Turnover (Annual),Working Capital Turnover (TTM),Working Capital Ratio (Annual)
12M 2017,,,,,,,,,,,,,,,0.0
12M 2018,,,,,,,,,2.1,,0.15,,,,0.0
12M 2019,,,,,,,,,-0.38,-0.39,-0.05,-0.05,,,0.0
12M 2020,,,,,,,,,0.76,0.78,0.1,0.11,,,0.0
12M 2021,,,,,,,,,0.22,0.23,0.03,0.03,,,0.0
12M 2022,,,,,,,,,0.36,0.37,0.06,0.05,,,0.0
12M 2023,,,,,,,,,0.51,0.53,0.08,0.08,,,0.0
12M 2024,,,,,,,,,0.51,0.52,0.08,0.08,,,0.0
