Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari :,Penerimaan Bunga,Penerimaan Lainnya,Pembiayaan Multiguna,Tagihan Anjak Piutang,Modal Usaha,Pembiayaan Investasi,Pembiayaan Syariah,Denda,Administrasi,Pendapatan Sewa,Penerimaan Angsuran Pembiayaan,Lain-Lain,Total Penerimaan Kas Dari :,Pengeluaran Kas Untuk :,Pembiayaan Multiguna,Tagihan Anjak Piutang,Modal Usaha,Pembiayaan Investasi,Pembiayaan Syariah,Beban Usaha,Pembayaran Tenaga Kerja,"Pembayaran Beban Umum, Administrasi Dan Lainnya",Pembayaran Beban Keuangan,Pengeluaran Untuk Fasilitas Pembiayaan,Pembayaran Pajak Penghasilan,Lain-Lain,Total Pengeluaran Kas Untuk :,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Hasil Penjualan Aset Tetap,Pembelian Reksadana,Penjualan Reksadana,Perolehan Dari Kegiatan Investasi Lainnya,Pembelian Aset Tak Berwujud,Investasi Pada Deposito Berjangka,Investasi Surat Berharga,Efek Yang Dibeli Dengan Janji Dijual Kembali,Pembelian Saham,Penjualan Saham,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penambahan Utang Bank,Pelunasan Utang Bank,Pembayaran Utang Lain-Lain,Penerimaan Dari (Pembayaran Kepada) Pihak Berelasi,Pembayaran Pinjaman Diterima,Deposito Kas Yang Terbatas Penggunaannya,Penerimaan (Pengeluaran) Kas Lainnya Dari Aktivitas Pendanaan,Pembayaran Utang Sewa Pembiayaan,Peningkatan Modal Ditempatkan Dan Disetor Penuh,Hasil Penawaran Umum Saham Perdana,Perolehan Dari Pelaksanaan Waran Seri I,Pembayaran Biaya Emisi Saham,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2017,57610139917.000000,,27076786138.000000,7589469652.000000,,,,,,,,,289057860045.000000,,323724115835.000000,,,,,,,,-5075115966.000000,-6886505398.000000,-777765035.000000,-242514074953.000000,-10860514566.000000,,-266113975918.000000,57610139917.000000,-42254080517.000000,-1989561786.000000,188820000.000000,-4780000000.000000,3253497669.000000,,,,,,-74222520400.000000,35295684000.000000,-42254080517.000000,13538471494.000000,13758537640.000000,-220066146.000000,,,,,,,,,,,13538471494.000000,28894530894.000000,6452104373.000000,35346635267.000000
12M 2018,-101158882028.000000,,2074775424.000000,2976467244.000000,,,,,,,,,141415154744.000000,,146466397412.000000,,,,,,,,-6499434773.000000,-5818297778.000000,-4545590796.000000,-227414075161.000000,-3347880932.000000,,-247625279440.000000,-101158882028.000000,-59775606552.000000,-47779651600.000000,139823501.000000,-7500000000.000000,4000230747.000000,,,,,,-107739976200.000000,99103967000.000000,-59775606552.000000,136330956292.000000,59588000000.000000,-13389485033.000000,-13000000000.000000,,,,,-330650486.000000,50000000.000000,108000000000.000000,,-4586908189.000000,136330956292.000000,-24603532288.000000,35346635267.000000,10743102979.000000
12M 2019,86740489232.000000,,924870264.000000,73431687478.000000,,,,,,,,,239316796839.000000,,313673354581.000000,,,,,,,,-7731574402.000000,-8209090310.000000,-6919088375.000000,-199593128521.000000,-4479983741.000000,,-226932865349.000000,86740489232.000000,-63216914563.000000,-1639938123.000000,2500000.000000,-2500000000.000000,2502954254.000000,,,-10800000000.000000,,-40000000500.000000,-258787005500.000000,248004575306.000000,-63216914563.000000,-26950989561.000000,30603780096.000000,-54681172010.000000,-3300000000.000000,,,,,-391640047.000000,,,818042400.000000,,-26950989561.000000,-3427414892.000000,10743102979.000000,7315688087.000000
12M 2020,16589602268.000000,,928209970.000000,2124997272.000000,,,,,,,,,86738330701.000000,,89791537943.000000,,,,,,,,-7690749224.000000,-13976856886.000000,-1556278893.000000,-47516617642.000000,-2461433030.000000,,-73201935675.000000,16589602268.000000,10279515476.000000,-109772000.000000,,,377252328.000000,,-787964852.000000,10800000000.000000,,,,,10279515476.000000,-16451223958.000000,,-18740883831.000000,2824540100.000000,,,,,-552856227.000000,,,17976000.000000,,-16451223958.000000,10417893786.000000,7315688087.000000,17733581873.000000
12M 2021,68215454146.000000,,1987892376.000000,,,,,,,,,,98254215730.000000,,100242108106.000000,,,,,,,,-7948242270.000000,-16074048795.000000,-160408322.000000,-7611856321.000000,-232098252.000000,,-32026653960.000000,68215454146.000000,16814174392.000000,-103532400.000000,286832553.000000,,,,-369125761.000000,17000000000.000000,,,,,16814174392.000000,-8301728869.000000,,-3354341832.000000,,-4270000000.000000,,,,-929168637.000000,,,251781600.000000,,-8301728869.000000,76727899669.000000,17733581873.000000,94461481542.000000
12M 2022,-44143223203.000000,,2214838963.000000,,,,,,,,,,92344105329.000000,2179392592.000000,96738336884.000000,,,,,,,,-8350976003.000000,-4049321791.000000,-13741972.000000,-128444916970.000000,-22603351.000000,,-140881560087.000000,-44143223203.000000,-10238241200.000000,-589241200.000000,351000000.000000,,,,,-10000000000.000000,,,,,-10238241200.000000,-12602837877.000000,,,,-12500000000.000000,,,,-102888277.000000,,,50400.000000,,-12602837877.000000,-66984302280.000000,90461481542.000000,23477179262.000000
12M 2023,-22554658558.000000,,659098883.000000,,,,,,,,,,92508014551.000000,1080266565.000000,94247379999.000000,,,,,,,,-11326190779.000000,-11456266885.000000,-8311362.000000,-93944059196.000000,-67210335.000000,,-116802038557.000000,-22554658558.000000,1248866650.000000,-256431795.000000,162580645.000000,,,,-34409300.000000,500000000.000000,,,,877127100.000000,1248866650.000000,14488050400.000000,,,,14488000000.000000,,,,,,,50400.000000,,14488050400.000000,-6817741508.000000,23477179262.000000,16659437754.000000
12M 2024,22151297775.000000,,510236208.000000,,,,,,,,,,88377361053.000000,2019738252.000000,90907335513.000000,,,,,,,,-9976434274.000000,-6749006481.000000,-150818295.000000,-51842773000.000000,-37005688.000000,,-68756037738.000000,22151297775.000000,-11945500.000000,-11945500.000000,,,,,,,,,,,-11945500.000000,-17585000000.000000,,,,-17585000000.000000,,,,,,,,,-17585000000.000000,4554352275.000000,16659437753.000000,21213790028.000000
