Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Umum Dan Administrasi,Beban Penjualan,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Final,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2019,121262715612.000000,-104095520027.000000,17167195585.000000,-8218538429.000000,-8218538429.000000,,-8218538429.000000,8948657156.000000,-1730393989.000000,-5148770034.000000,3418376045.000000,-1730393989.000000,7218263167.000000,-4192491024.000000,-304820750.000000,-3887670274.000000,-4192491024.000000,3025772143.000000,3025772143.000000,,2964255469.000000,3025772144.000000,3025772144.000000,,3025772144.000000,2964255470.000000,2964255470.000000,,2964255470.000000
12M 2020,48709779263.000000,-33963188059.000000,14746591204.000000,-5884985074.000000,-5884985074.000000,,-5884985074.000000,8861606130.000000,-5212150615.000000,-4555046638.000000,-657103977.000000,-5212150615.000000,3649455515.000000,-679785266.000000,,-679785266.000000,-679785266.000000,2969670249.000000,2969670249.000000,,2487003159.000000,2969670249.000000,2970923256.000000,-1253007.000000,2969670249.000000,2487003159.000000,2488256166.000000,-1253007.000000,2487003159.000000
12M 2021,244241654678.000000,-200253222924.000000,43988431754.000000,-18026795909.000000,-18026795909.000000,,-18026795909.000000,25961635845.000000,-17293538485.000000,-8915149812.000000,-8378388673.000000,-17293538485.000000,8668097360.000000,-5654121831.000000,,-5654121831.000000,-5654121831.000000,3013975529.000000,3013975529.000000,,3063947970.000000,3013975529.000000,3013339280.000000,636249.000000,3013975529.000000,3063947970.000000,3063311721.000000,636249.000000,3063947970.000000
12M 2022,154856880912.000000,-171579132457.000000,-16722251545.000000,-14479554991.000000,-14479554991.000000,,-14479554991.000000,-31201806536.000000,-34329197933.000000,-10552714297.000000,-23776483636.000000,-34329197933.000000,-65531004469.000000,,,,,-65531004469.000000,-65531004469.000000,,-26528163827.000000,-65531004469.000000,-65524855802.000000,-6148667.000000,-65531004469.000000,-26528163827.000000,-26522015160.000000,-6148667.000000,-26528163827.000000
12M 2023,118597296098.000000,-91284109966.000000,27313186132.000000,-13020156383.000000,-13020156383.000000,,-13020156383.000000,14293029749.000000,-48074333697.000000,-8073099884.000000,-40001233813.000000,-48074333697.000000,-33781303948.000000,,,,,-33781303948.000000,-33781303948.000000,,-33696891705.000000,-33781303948.000000,-33777914440.000000,-3389508.000000,-33781303948.000000,-33696891705.000000,-33693502197.000000,-3389508.000000,-33696891705.000000
