Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok Dan Beban Lainnya,Pembayaran Kepada Karyawan,Pembayaran Pajak Penghasilan,Pembayaran Beban Bunga Dan Keuangan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Penempatan Investasi Pada Entitas Asosiasi,Penjualan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Pinjaman Bank,Pembayaran Pinjaman Bank,Aset Tetap,Pembayaran Utang Pembelian Aset Tetap,Penerimaan Utang Kepada Pemegang Saham,Penerimaan Uang Muka Setoran Modal,Penerimaan Atas Agio Saham,Pembayaran Utang Kepada Pemegang Saham,Pengembalian Investasi Pada Ventura Bersama,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2019,-7495652003.000000,115553291318.000000,-115818946571.000000,-3327692726.000000,-3902304024.000000,,-7495652003.000000,826603152.000000,,,826603152.000000,826603152.000000,-8997881687.000000,15485602708.000000,-18433476395.000000,,,,,,-6050008000.000000,,-8997881687.000000,-15666930538.000000,18082023257.000000,2415092719.000000
12M 2020,-57327593634.000000,26455165095.000000,-80095936189.000000,-3007037274.000000,-679785266.000000,,-57327593634.000000,-1826147053.000000,866098711.000000,-2692245764.000000,,-1826147053.000000,85983716120.000000,82259761465.000000,-55244224687.000000,,-848109850.000000,35000000000.000000,15000000000.000000,11966289192.000000,-2150000000.000000,,85983716120.000000,26829975433.000000,2415092719.000000,29245068152.000000
12M 2021,-56302566366.000000,227307589397.000000,-270654727689.000000,-7301306243.000000,-5654121831.000000,,-56302566366.000000,-6876517706.000000,-3447527776.000000,-3428989930.000000,,-6876517706.000000,83013651676.000000,128505123463.000000,-46595600620.000000,,-864894698.000000,,,,,1969023531.000000,83013651676.000000,19834567604.000000,29245068152.000000,49079635756.000000
12M 2022,7928868790.000000,186050367485.000000,-166230396736.000000,-8837721174.000000,-3053380785.000000,,7928868790.000000,-2279450400.000000,-19064000.000000,-2260386400.000000,,-2279450400.000000,-22998274840.000000,19228800000.000000,-41042791953.000000,,-1184282887.000000,,,,,,-22998274840.000000,-17348856450.000000,49079635755.000000,31730779305.000000
12M 2023,-10665143229.000000,141143018337.000000,-124133690633.000000,-17026454855.000000,-2574916194.000000,-8073099884.000000,-10665143229.000000,-6155856.000000,-6155856.000000,,,-6155856.000000,-20362621149.000000,47766311134.000000,-67395000138.000000,,-733932145.000000,,,,,,-20362621149.000000,-31033920234.000000,31730779305.000000,696859071.000000
