Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok,Pembayaran Kepada Karyawan,Pembayaran Beban Usaha,Penerimaan Bunga,Pembayaran Beban Bunga,Pembayaran Pajak Penghasilan,Pembayaran Lainnya,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Uang Muka Pembelian Aset Tetap,Uang Muka Penjualan Aset Tetap,Hasil Penjualan Aset Tetap,Perolehan Aset Hak Guna,Penurunan (Kenaikan) Piutang Lain - Pihak Berelasi,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Kenaikan Modal Saham,Tambahan Modal Disetor,Pembayaran Utang Bank,Jangka Pendek,Jangka Panjang,Total Pembayaran Utang Bank,Penerimaan Utang Bank,Jangka Pendek,Jangka Panjang,Total Penerimaan Utang Bank,Kenaikan Utang Bank,Kenaikan Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Kenaikan Utang Lain-Lain,Penurunan Utang Lain-Lain Pihak Ketiga,Kenaikan Piutang Lain-Lain,Penerimaan (Pembayaran) Utang Pihak Berelasi,Pengembalian Uang Jaminan,Utang Pembiayaan Konsumen,Penerimaan Utang Pembiayaan Konsumen,Pembayaran Utang Pembiayaan Konsumen,Total Utang Pembiayaan Konsumen,Pembayaran Pokok Liabilitas Sewa,Penurunan Modal Disetor Dari Entitas Kepentingan Non-Pengendali,Pembayaran Sewa Guna Usaha,Pembayaran Biaya Emisi Saham,Total Arus Kas Dari Aktivitas Pendanaan,Adjustment,Adjustment,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2018,7388017675.000000,129055578491.000000,-55257327749.000000,-26167680177.000000,-26681618982.000000,15407649.000000,-4596857417.000000,-1492966939.000000,-7486517201.000000,7388017675.000000,-2248976066.000000,-2248976066.000000,,,,,,-2248976066.000000,-5506566181.000000,49800000000.000000,,-5094509931.000000,,,-5094509931.000000,950357664.000000,,,950357664.000000,,,,,,,-898398981.000000,-45135123300.000000,,,,-353036891.000000,-353036891.000000,,,-4775854742.000000,,-5506566181.000000,,,-367524572.000000,,1862386983.000000,1494862411.000000
12M 2019,-2341000874.000000,125985084472.000000,-57909475838.000000,-35484362888.000000,-30188412006.000000,5407735.000000,-2882565732.000000,-1449882807.000000,-416793810.000000,-2341000874.000000,-3770499215.000000,-4145499215.000000,,,375000000.000000,,,-3770499215.000000,5558031003.000000,15000000000.000000,5250000000.000000,-4115805794.000000,,,-4115805794.000000,-1434834290.000000,,,-1434834290.000000,,,,,,,,,,,,-32811905.000000,-32811905.000000,,,-5063281194.000000,-4045235814.000000,5558031003.000000,,,-553469086.000000,,1494862411.000000,941393325.000000
12M 2020,815711464.000000,98962496337.000000,-46278730684.000000,-16658709223.000000,-35323297657.000000,7291995.000000,-3482908600.000000,-336256131.000000,3925825427.000000,815711464.000000,-7490227578.000000,-7308283134.000000,,,112500000.000000,-294444444.000000,,-7490227578.000000,7793520526.000000,,,-4938981950.000000,,,-4938981950.000000,13013813483.000000,,,13013813483.000000,,,,,,,,-219822217.000000,,,,-61477548.000000,-61477548.000000,,,-11242.000000,,7793520526.000000,,,1119004412.000000,,941393325.000000,2060397737.000000
12M 2021,-6244422952.000000,92538653682.000000,-45068135894.000000,-17482562908.000000,-33960724550.000000,6603970.000000,-2995812462.000000,-4479376.000000,722034586.000000,-6244422952.000000,7673115507.000000,-583705544.000000,,8184821051.000000,72000000.000000,,,7673115507.000000,-1079482337.000000,,,,-430424880.000000,-621767824.000000,-1052192704.000000,,,,,,,45000000.000000,,45000000.000000,,-69797101.000000,,,,,178618578.000000,178618578.000000,-181111110.000000,,,,-1079482337.000000,,-698420436.000000,-349210218.000000,,2060397737.000000,1711187519.000000
12M 2022,-9710407546.000000,87771131589.000000,-55874883274.000000,-18399922916.000000,-22239520516.000000,3246418.000000,-2717498038.000000,,1747039191.000000,-9710407546.000000,-9071224576.000000,-1398867961.000000,,-8184821051.000000,258000000.000000,,254464436.000000,-9071224576.000000,19418187088.000000,20000000000.000000,,,141276510.000000,-1512571429.000000,-1371294919.000000,,,,,,,,,,,,,,,1257112120.000000,-282513551.000000,974598569.000000,-185116562.000000,,,,19418187088.000000,,,636554966.000000,,1711187519.000000,2347742485.000000
12M 2023,-22309898184.000000,79903279032.000000,-56305421006.000000,-16684611171.000000,-29837539829.000000,5592303.000000,-1983219085.000000,,2592021572.000000,-22309898184.000000,49931969848.000000,-2946530152.000000,,,52889000000.000000,,-10500000.000000,49931969848.000000,-25860189386.000000,,,,-37023243923.000000,-7617437068.000000,-44640680991.000000,,19699604283.000000,,19699604283.000000,,,,,,-3118000.000000,,,,,,-597222201.000000,-597222201.000000,-297965150.000000,-20807327.000000,,,-25860189386.000000,,,1761882278.000000,,2347742485.000000,4109624763.000000
12M 2024,-8037328051.000000,79538660919.000000,-50439865356.000000,-15257264292.000000,-22010019292.000000,2982019.000000,-466809706.000000,,594987657.000000,-8037328051.000000,-3062905841.000000,-2723621870.000000,-680368200.000000,,341084229.000000,,,-3062905841.000000,7719497632.000000,,,,-6156720000.000000,,-6156720000.000000,,11909914280.000000,,11909914280.000000,,,,,,2350000000.000000,,,,,361399449.000000,-535096097.000000,-173696648.000000,-210000000.000000,,,,7719497632.000000,,,-3380736260.000000,,4109624763.000000,728888503.000000
