Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Adjustment,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Penyesuaian Proforma,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2021,9626404475.000000,-4909809821.000000,4716594654.000000,-2638817412.000000,-206063483.000000,-2432753929.000000,-2638817412.000000,2077777242.000000,-1060835579.000000,,-1060835579.000000,-1060835579.000000,1016941663.000000,-398641578.000000,,,-398641578.000000,618300085.000000,,618300085.000000,-69912960.000000,548387125.000000,618300085.000000,618300085.000000,,618300085.000000,548387125.000000,548387125.000000,,548387125.000000
12M 2022,42755448261.000000,-25913053934.000000,16842394327.000000,-5148309061.000000,-391293430.000000,-4757015631.000000,-5148309061.000000,11694085266.000000,-1049360409.000000,,-1049360409.000000,-1049360409.000000,10644724857.000000,-1088253747.000000,,,-1088253747.000000,9556471110.000000,,9556471110.000000,14440920.000000,9570912030.000000,9556471110.000000,9556471110.000000,,9556471110.000000,9570912030.000000,9570912030.000000,,9570912030.000000
12M 2023,45539143133.000000,-27621341110.000000,17917802023.000000,-6265627474.000000,-258340147.000000,-6007287327.000000,-6265627474.000000,11652174549.000000,-3482812038.000000,,-3482812038.000000,-3482812038.000000,8169362511.000000,-860834720.000000,,,-860834720.000000,7308527791.000000,,7308527791.000000,-24700936.000000,7283826855.000000,7308527791.000000,7308527791.000000,,7308527791.000000,7283826855.000000,7283826855.000000,,7283826855.000000
12M 2024,47153308372.000000,-31589800908.000000,15563507464.000000,-8270395363.000000,-46419156.000000,-8223976207.000000,-8270395363.000000,7293112101.000000,-3626971393.000000,,-3626971393.000000,-3626971393.000000,3666140708.000000,-1161175276.000000,,,-1161175276.000000,2504965432.000000,,2504965432.000000,-307650295.000000,2197315137.000000,2504965432.000000,2504965432.000000,,2504965432.000000,2197315137.000000,2197315137.000000,,2197315137.000000
