Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Pajak Tangguhan,Aset Tetap,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Total Utang Usaha,Beban Akrual,Utang Pajak,Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2021,,,2722658509.000000,1050189682.000000,1050189682.000000,1050189682.000000,4613936001.000000,3021600321.000000,1592335680.000000,4613936001.000000,2052882067.000000,10439666259.000000,,97615320.000000,1008574549.000000,,1106189869.000000,11545856128.000000,,,7495315280.000000,4400000000.000000,,353941068.000000,353941068.000000,73942923.000000,576716976.000000,,2090714313.000000,2090714313.000000,7495315280.000000,549407245.000000,,,105701245.000000,105701245.000000,443706000.000000,549407245.000000,8044722525.000000,,2000000000.000000,,1571046563.000000,,1571046563.000000,1571046563.000000,,-69912960.000000,3501133603.000000,11545856128.000000,2000.000000
12M 2022,,,96580696.000000,17204964372.000000,17204964372.000000,17204964372.000000,6237853750.000000,4176808070.000000,2061045680.000000,6237853750.000000,9152196869.000000,32691595687.000000,,137016220.000000,805957325.000000,,942973545.000000,33634569232.000000,,,15189722599.000000,11193385671.000000,,221065988.000000,221065988.000000,,1669569695.000000,,2105701245.000000,2105701245.000000,15189722599.000000,5372801000.000000,4750000000.000000,,,,622801000.000000,5372801000.000000,20562523599.000000,,2000000000.000000,,11127517673.000000,,11127517673.000000,11127517673.000000,,-55472040.000000,13072045633.000000,33634569232.000000,2000.000000
12M 2023,,,89341423.000000,19586270842.000000,19586270842.000000,19586270842.000000,438123570.000000,438123570.000000,,438123570.000000,26124002813.000000,46237738648.000000,,615023215.000000,8362886948.000000,,8977910163.000000,55215648811.000000,,,18358329762.000000,12374105139.000000,,502115455.000000,502115455.000000,126939600.000000,3355169568.000000,,2000000000.000000,2000000000.000000,18358329762.000000,751446561.000000,,,,,751446561.000000,751446561.000000,19109776323.000000,,28750000000.000000,,7436045464.000000,400000000.000000,7036045464.000000,7436045464.000000,,-80172976.000000,36105872488.000000,55215648811.000000,1437500000.000000
12M 2024,,,30117958664.000000,25609178301.000000,25609178301.000000,25609178301.000000,70116521.000000,70116521.000000,,70116521.000000,45448444440.000000,101245697926.000000,,906960375.000000,8129796640.000000,417985082.000000,9454742097.000000,110700440023.000000,,,25185618503.000000,12789865445.000000,,473645242.000000,473645242.000000,148462500.000000,7872351876.000000,,3901293440.000000,3901293440.000000,25185618503.000000,1771633895.000000,,,298969257.000000,298969257.000000,1472664638.000000,1771633895.000000,26957252398.000000,,38350000000.000000,35840000000.000000,9941010896.000000,400000000.000000,9541010896.000000,9941010896.000000,,-387823271.000000,83743187625.000000,110700440023.000000,1917500000.000000
