Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok Dan Beban Usaha,Pembayaran Kas Kepada Karyawan,Penerimaan Bunga,Pembayaran Bunga,Penerimaan Pajak,Pembayaran Pajak,Adjustment,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penambahan Uang Muka Pembelian Aset Tetap,Perolehan Aset Tetap,Pembayaran Piutang Lain-Lain,Penambahan Piutang Lain-Lain,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penambahan Setoran Modal,Penambahan Hutang Bank,Pembayaran Hutang Bank,Penambahan Hutang Jangka Panjang,Pembayaran Hutang Jangka Panjang,Pembayaran Liabilitas Sewa,Pembayaran Hutang Lembaga Keuangan,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2021,-2055225712.000000,9775253481.000000,-8441187278.000000,-2385210051.000000,421678553.000000,-1223902372.000000,,-201858045.000000,,-2055225712.000000,6587050353.000000,,-561535270.000000,8705864451.000000,-1557278828.000000,6587050353.000000,-2728973347.000000,,28153310930.000000,-30130279854.000000,,,,-752004423.000000,-2728973347.000000,1802851294.000000,919807215.000000,2722658509.000000
12M 2022,-8842136173.000000,26242172880.000000,-28798530570.000000,-5197543066.000000,423536221.000000,-1472896631.000000,,-38875007.000000,,-8842136173.000000,-1126612998.000000,,-84355900.000000,619634946.000000,-1661892044.000000,-1126612998.000000,7342671358.000000,,40607601731.000000,-33814216060.000000,1890000000.000000,-1250000000.000000,,-90714313.000000,7342671358.000000,-2626077813.000000,2722658509.000000,96580696.000000
12M 2023,-7539131721.000000,33963167238.000000,-30638320824.000000,-9784470095.000000,222618132.000000,-1655851260.000000,,353725088.000000,,-7539131721.000000,-4543125775.000000,,-7849100552.000000,3305974777.000000,,-4543125775.000000,12075018223.000000,11000000000.000000,1180719468.000000,,,,,-105701245.000000,12075018223.000000,-7239273.000000,96580696.000000,89341423.000000
12M 2024,-17506229123.000000,53100130063.000000,-60195510922.000000,-11583925004.000000,183344696.000000,-2161110988.000000,,3150843032.000000,,-17506229123.000000,,,,,,,47534846364.000000,45440000000.000000,415760306.000000,,,,-175000000.000000,1854086058.000000,47534846364.000000,30028617241.000000,89341423.000000,30117958664.000000
